M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7658,-0.8417,1.653e-01
0.92,0.90,1.8670,-0.3277,1.676e-01
0.94,0.90,1.8769,-0.3436,1.710e-01
0.96,0.90,1.8694,-0.3334,1.757e-01
0.98,0.90,1.8604,-0.3218,1.816e-01
1.00,0.90,1.8503,-0.3095,1.886e-01
1.02,0.90,1.8396,-0.2970,1.967e-01
1.04,0.90,1.8284,-0.2847,2.058e-01
1.06,0.90,1.8170,-0.2727,2.158e-01
1.08,0.90,1.8054,-0.2612,2.266e-01
1.10,0.90,1.7937,-0.2503,2.380e-01
1.12,0.90,1.7820,-0.2398,2.500e-01
1.14,0.90,1.7702,-0.2299,2.623e-01
1.16,0.90,1.7584,-0.2203,2.748e-01
1.18,0.90,1.7465,-0.2112,2.875e-01
1.20,0.90,1.7345,-0.2024,3.002e-01
1.22,0.90,1.7224,-0.1940,3.129e-01
1.24,0.90,1.7102,-0.1858,3.254e-01
1.26,0.90,1.6978,-0.1779,3.377e-01
1.28,0.90,1.6852,-0.1703,3.498e-01
1.30,0.90,1.6724,-0.1628,3.615e-01
1.32,0.90,1.6451,-0.1149,3.729e-01
1.34,0.90,1.6275,-0.2437,3.840e-01
1.36,0.90,1.5019,-0.3799,3.947e-01
1.38,0.90,1.8339,-0.9467,4.050e-01
1.40,0.90,2.0397,-0.7540,4.149e-01
1.42,0.90,2.0399,-0.7547,4.245e-01
1.44,0.90,2.0402,-0.7554,4.337e-01
1.46,0.90,2.0405,-0.7561,4.426e-01
1.48,0.90,2.0408,-0.7568,4.511e-01
1.50,0.90,2.0411,-0.7576,4.593e-01
1.52,0.90,2.0415,-0.7584,4.672e-01
1.54,0.90,2.0418,-0.7592,4.748e-01
1.56,0.90,2.0422,-0.7601,4.822e-01
1.58,0.90,2.0425,-0.7610,4.893e-01
1.60,0.90,2.0429,-0.7619,4.962e-01
1.62,0.90,2.0433,-0.7629,5.029e-01
1.64,0.90,2.0437,-0.7639,5.093e-01
1.66,0.90,2.0441,-0.7649,5.156e-01
1.68,0.90,2.0445,-0.7660,5.217e-01
1.70,0.90,2.0450,-0.7671,5.276e-01
1.72,0.90,2.0454,-0.7682,5.333e-01
1.74,0.90,2.0459,-0.7694,5.389e-01
1.76,0.90,2.0464,-0.7707,5.442e-01
1.78,0.90,2.0469,-0.7720,5.494e-01
1.80,0.90,2.0474,-0.7733,5.544e-01
1.82,0.90,2.0479,-0.7747,5.591e-01
1.84,0.90,2.0485,-0.7761,5.634e-01
1.86,0.90,2.0491,-0.7776,5.674e-01
1.88,0.90,2.0804,-0.7530,4.654e-01
1.90,0.90,2.1573,-0.6790,3.463e-01
1.92,0.90,2.2004,-0.6479,2.738e-01
1.94,0.90,2.2145,-0.6541,2.274e-01
1.96,0.90,2.2060,-0.6902,1.968e-01
1.98,0.90,2.1818,-0.7483,1.761e-01
2.00,0.90,2.1477,-0.8218,1.620e-01
2.02,0.90,2.1082,-0.9054,1.524e-01
2.04,0.90,2.0667,-0.9948,1.459e-01
2.06,0.90,2.0259,-1.0867,1.419e-01
2.08,0.90,1.9876,-1.1783,1.396e-01
2.10,0.90,1.9534,-1.2675,1.388e-01
0.92,0.92,1.8553,-0.2730,1.654e-01
0.94,0.92,1.8882,-0.2618,1.676e-01
0.96,0.92,1.8710,-0.3355,1.709e-01
0.98,0.92,1.8638,-0.3262,1.754e-01
1.00,0.92,1.8553,-0.3155,1.811e-01
1.02,0.92,1.8457,-0.3040,1.879e-01
1.04,0.92,1.8354,-0.2923,1.957e-01
