M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.635e-01
0.92,0.90,2.0342,-0.7412,1.657e-01
0.94,0.90,2.0342,-0.7412,1.691e-01
0.96,0.90,2.0342,-0.7412,1.736e-01
0.98,0.90,2.0342,-0.7412,1.793e-01
1.00,0.90,2.0342,-0.7412,1.860e-01
1.02,0.90,2.0342,-0.7412,1.938e-01
1.04,0.90,2.0342,-0.7412,2.026e-01
1.06,0.90,2.0342,-0.7412,2.122e-01
1.08,0.90,2.0342,-0.7412,2.226e-01
1.10,0.90,2.0342,-0.7412,2.335e-01
1.12,0.90,2.0342,-0.7412,2.449e-01
1.14,0.90,2.0342,-0.7412,2.566e-01
1.16,0.90,2.0342,-0.7412,2.686e-01
1.18,0.90,2.0342,-0.7412,2.806e-01
1.20,0.90,2.0342,-0.7412,2.926e-01
1.22,0.90,2.0342,-0.7412,3.045e-01
1.24,0.90,2.0342,-0.7412,3.162e-01
1.26,0.90,1.9645,-0.5029,3.292e-01
1.28,0.90,1.9042,-0.3841,3.419e-01
1.30,0.90,1.8535,-0.3133,3.543e-01
1.32,0.90,1.7997,-0.2257,3.664e-01
1.34,0.90,1.7569,-0.3156,3.780e-01
1.36,0.90,1.6268,-0.4153,3.893e-01
1.38,0.90,1.8834,-0.8956,4.002e-01
1.40,0.90,2.0384,-0.7509,4.106e-01
1.42,0.90,2.0388,-0.7520,4.207e-01
1.44,0.90,2.0393,-0.7530,4.303e-01
1.46,0.90,2.0397,-0.7540,4.396e-01
1.48,0.90,2.0401,-0.7551,4.485e-01
1.50,0.90,2.0405,-0.7561,4.570e-01
1.52,0.90,2.0409,-0.7571,4.652e-01
1.54,0.90,2.0413,-0.7580,4.730e-01
1.56,0.90,2.0417,-0.7590,4.805e-01
1.58,0.90,2.0421,-0.7600,4.877e-01
1.60,0.90,2.0425,-0.7610,4.946e-01
1.62,0.90,2.0429,-0.7619,5.013e-01
1.64,0.90,2.0433,-0.7629,5.076e-01
1.66,0.90,2.0437,-0.7638,5.138e-01
1.68,0.90,2.0441,-0.7648,5.196e-01
1.70,0.90,2.0444,-0.7657,5.252e-01
1.72,0.90,2.0448,-0.7667,5.306e-01
1.74,0.90,2.0452,-0.7676,5.356e-01
1.76,0.90,2.0456,-0.7686,5.405e-01
1.78,0.90,2.0459,-0.7695,5.450e-01
1.80,0.90,2.0463,-0.7704,5.492e-01
1.82,0.90,2.0467,-0.7714,5.531e-01
1.84,0.90,2.0470,-0.7723,5.565e-01
1.86,0.90,2.0474,-0.7733,5.594e-01
1.88,0.90,2.0785,-0.7465,4.562e-01
1.90,0.90,2.1563,-0.6675,3.359e-01
1.92,0.90,2.2008,-0.6301,2.619e-01
1.94,0.90,2.2159,-0.6292,2.139e-01
1.96,0.90,2.2072,-0.6582,1.816e-01
1.98,0.90,2.1810,-0.7099,1.590e-01
2.00,0.90,2.1429,-0.7780,1.428e-01
2.02,0.90,2.0974,-0.8571,1.308e-01
2.04,0.90,2.0481,-0.9427,1.218e-01
2.06,0.90,1.9978,-1.0312,1.147e-01
2.08,0.90,1.9482,-1.1191,1.089e-01
2.10,0.90,1.8997,-1.2029,1.034e-01
0.92,0.92,2.0342,-0.7412,1.635e-01
0.94,0.92,2.0342,-0.7412,1.657e-01
0.96,0.92,2.0342,-0.7412,1.689e-01
0.98,0.92,2.0342,-0.7412,1.733e-01
1.00,0.92,2.0342,-0.7412,1.787e-01
1.02,0.92,2.0342,-0.7412,1.852e-01
1.04,0.92,2.0342,-0.7412,1.928e-01
1.06,0.92,2.0342,-0.7412,2.012e-01
1.08,0.92,2.0342,-0.7412,2.105e-01
1.10,0.92,2.0342,-0.7412,2.205e-01
1.12,0.92,2.0342,-0.7412,2.311e-01
