M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.2787,-0.9977,5.826e-01
0.92,0.90,0.0405,0.0317,5.422e-01
0.94,0.90,0.1443,0.0272,5.082e-01
0.96,0.90,0.1991,0.0266,4.799e-01
0.98,0.90,0.2551,0.0258,4.567e-01
1.00,0.90,0.3119,0.0250,4.381e-01
1.02,0.90,0.3691,0.0240,4.235e-01
1.04,0.90,0.4262,0.0229,4.124e-01
1.06,0.90,0.4827,0.0216,4.045e-01
1.08,0.90,0.5384,0.0202,3.993e-01
1.10,0.90,0.5927,0.0186,3.964e-01
1.12,0.90,0.6454,0.0169,3.954e-01
1.14,0.90,0.6963,0.0150,3.962e-01
1.16,0.90,0.7452,0.0129,3.983e-01
1.18,0.90,0.7920,0.0107,4.016e-01
1.20,0.90,0.8365,0.0084,4.057e-01
1.22,0.90,0.8789,0.0059,4.105e-01
1.24,0.90,0.9190,0.0033,4.159e-01
1.26,0.90,0.9569,0.0006,4.216e-01
1.28,0.90,0.9928,-0.0022,4.275e-01
1.30,0.90,1.0265,-0.0051,4.336e-01
1.32,0.90,1.0364,0.0303,4.397e-01
1.34,0.90,1.0605,-0.1230,4.458e-01
1.36,0.90,0.9367,-0.3115,4.518e-01
1.38,0.90,1.5040,-1.2929,4.577e-01
1.40,0.90,2.0529,-0.7877,4.634e-01
1.42,0.90,2.0519,-0.7850,4.690e-01
1.44,0.90,2.0510,-0.7826,4.743e-01
1.46,0.90,2.0502,-0.7804,4.794e-01
1.48,0.90,2.0494,-0.7784,4.844e-01
1.50,0.90,2.0487,-0.7766,4.890e-01
1.52,0.90,2.0481,-0.7750,4.935e-01
1.54,0.90,2.0475,-0.7735,4.977e-01
1.56,0.90,2.0470,-0.7721,5.017e-01
1.58,0.90,2.0465,-0.7709,5.055e-01
1.60,0.90,2.0460,-0.7697,5.091e-01
1.62,0.90,2.0456,-0.7686,5.125e-01
1.64,0.90,2.0452,-0.7676,5.157e-01
1.66,0.90,2.0448,-0.7667,5.187e-01
1.68,0.90,2.0445,-0.7659,5.215e-01
1.70,0.90,2.0442,-0.7651,5.241e-01
1.72,0.90,2.0439,-0.7644,5.265e-01
1.74,0.90,2.0436,-0.7637,5.288e-01
1.76,0.90,2.0434,-0.7630,5.308e-01
1.78,0.90,2.0431,-0.7625,5.325e-01
1.80,0.90,2.0429,-0.7619,5.340e-01
1.82,0.90,2.0427,-0.7614,5.352e-01
1.84,0.90,2.0425,-0.7610,5.360e-01
1.86,0.90,2.0423,-0.7605,5.364e-01
1.88,0.90,2.0730,-0.7280,4.307e-01
1.90,0.90,2.1536,-0.6354,3.079e-01
1.92,0.90,2.2021,-0.5810,2.315e-01
1.94,0.90,2.2201,-0.5620,1.813e-01
1.96,0.90,2.2108,-0.5744,1.468e-01
1.98,0.90,2.1787,-0.6132,1.220e-01
2.00,0.90,2.1290,-0.6727,1.038e-01
2.02,0.90,2.0667,-0.7475,8.996e-02
2.04,0.90,1.9966,-0.8323,7.921e-02
2.06,0.90,1.9229,-0.9225,7.069e-02
2.08,0.90,1.8489,-1.0139,6.382e-02
2.10,0.90,1.7771,-1.1031,5.818e-02
0.92,0.92,0.0724,0.0836,4.896e-01
0.94,0.92,0.2372,0.1591,4.592e-01
0.96,0.92,0.2495,0.0259,4.339e-01
0.98,0.92,0.3028,0.0251,4.131e-01
1.00,0.92,0.3571,0.0242,3.965e-01
1.02,0.92,0.4122,0.0232,3.835e-01
1.04,0.92,0.4675,0.0220,3.738e-01
1.06,0.92,0.5226,0.0206,3.671e-01
1.08,0.92,0.5772,0.0191,3.628e-01
1.10,0.92,0.6308,0.0174,3.609e-01
1.12,0.92,0.6831,0.0155,3.608e-01
1.14,0.92,0.7338,0.0134,3.624e-01
1.16,0.92,0.7828,0.0112,3.653e-01
1.18,0.92,0.8297,0.0087,3.694e-01
1.20,0.92,0.8746,0.0061,3.744e-01
1.22,0.92,0.9173,0.0034,3.801e-01
1.24,0.92,0.9578,0.0005,3.863e-01
1.26,0.92,0.9961,-0.0025,3.929e-01
1.28,0.92,1.0323,-0.0056,3.998e-01
1.30,0.92,1.0665,-0.0089,4.067e-01
1.32,0.92,1.0750,0.0205,4.138e-01
1.34,0.92,1.0485,-0.1422,4.208e-01
1.36,0.92,1.1379,0.1438,4.277e-01
1.38,0.92,1.0700,-1.6133,4.345e-01
1.40,0.92,2.0512,-0.7831,4.411e-01
1.42,0.92,2.0502,-0.7806,4.475e-01
1.44,0.92,2.0494,-0.7784,4.537e-01
1.46,0.92,2.0486,-0.7763,4.596e-01
1.48,0.92,2.0479,-0.7745,4.653e-01
1.50,0.92,2.0473,-0.7729,4.707e-01
1.52,0.92,2.0467,-0.7714,4.759e-01
1.54,0.92,2.0461,-0.7700,4.808e-01
1.56,0.92,2.0456,-0.7688,4.855e-01
1.58,0.92,2.0452,-0.7676,4.899e-01
1.60,0.92,2.0448,-0.7666,4.941e-01
1.62,0.92,2.0444,-0.7656,4.981e-01
1.64,0.92,2.0440,-0.7647,5.018e-01
1.66,0.92,2.0437,-0.7639,5.053e-01
1.68,0.92,2.0434,-0.7631,5.085e-01
1.70,0.92,2.0431,-0.7624,5.115e-01
1.72,0.92,2.0428,-0.7617,5.143e-01
