M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7215,-0.8547,1.657e-01
0.92,0.90,1.8448,-0.3004,1.678e-01
0.94,0.90,1.8674,-0.3308,1.712e-01
0.96,0.90,1.8733,-0.3386,1.756e-01
0.98,0.90,1.8797,-0.3475,1.813e-01
1.00,0.90,1.8866,-0.3572,1.880e-01
1.02,0.90,1.8936,-0.3676,1.958e-01
1.04,0.90,1.9007,-0.3785,2.045e-01
1.06,0.90,1.9077,-0.3898,2.141e-01
1.08,0.90,1.9145,-0.4011,2.244e-01
1.10,0.90,1.9210,-0.4124,2.353e-01
1.12,0.90,1.9271,-0.4235,2.467e-01
1.14,0.90,1.9328,-0.4343,2.584e-01
1.16,0.90,1.9381,-0.4446,2.703e-01
1.18,0.90,1.9429,-0.4546,2.823e-01
1.20,0.90,1.9474,-0.4640,2.943e-01
1.22,0.90,1.9515,-0.4728,3.062e-01
1.24,0.90,1.9553,-0.4812,3.179e-01
1.26,0.90,1.9587,-0.4890,3.293e-01
1.28,0.90,1.9618,-0.4963,3.404e-01
1.30,0.90,1.9646,-0.5030,3.512e-01
1.32,0.90,1.9636,-0.4813,3.616e-01
1.34,0.90,1.9651,-0.5595,3.715e-01
1.36,0.90,1.9389,-0.6070,3.811e-01
1.38,0.90,2.0108,-0.7651,3.902e-01
1.40,0.90,2.0347,-0.7423,3.989e-01
1.42,0.90,2.0347,-0.7423,4.072e-01
1.44,0.90,2.0347,-0.7422,4.150e-01
1.46,0.90,2.0347,-0.7422,4.225e-01
1.48,0.90,2.0347,-0.7422,4.295e-01
1.50,0.90,2.0347,-0.7422,4.362e-01
1.52,0.90,2.0347,-0.7421,4.425e-01
1.54,0.90,2.0347,-0.7421,4.485e-01
1.56,0.90,2.0347,-0.7421,4.541e-01
1.58,0.90,2.0346,-0.7421,4.594e-01
1.60,0.90,2.0346,-0.7421,4.644e-01
1.62,0.90,2.0346,-0.7421,4.691e-01
1.64,0.90,2.0346,-0.7421,4.736e-01
1.66,0.90,2.0346,-0.7421,4.777e-01
1.68,0.90,2.0346,-0.7420,4.817e-01
1.70,0.90,2.0346,-0.7420,4.853e-01
1.72,0.90,2.0346,-0.7420,4.887e-01
1.74,0.90,2.0346,-0.7420,4.919e-01
1.76,0.90,2.0346,-0.7420,4.948e-01
1.78,0.90,2.0346,-0.7420,4.974e-01
1.80,0.90,2.0346,-0.7420,4.997e-01
1.82,0.90,2.0346,-0.7420,5.016e-01
1.84,0.90,2.0346,-0.7420,5.032e-01
1.86,0.90,2.0346,-0.7421,5.043e-01
1.88,0.90,2.0653,-0.7040,3.992e-01
1.90,0.90,2.1501,-0.5970,2.770e-01
1.92,0.90,2.2037,-0.5257,2.013e-01
1.94,0.90,2.2252,-0.4902,1.516e-01
1.96,0.90,2.2151,-0.4893,1.176e-01
1.98,0.90,2.1760,-0.5199,9.341e-02
2.00,0.90,2.1125,-0.5769,7.567e-02
2.02,0.90,2.0309,-0.6537,6.231e-02
2.04,0.90,1.9375,-0.7437,5.204e-02
2.06,0.90,1.8382,-0.8404,4.399e-02
2.08,0.90,1.7376,-0.9386,3.761e-02
2.10,0.90,1.6391,-1.0344,3.254e-02
0.92,0.92,1.8367,-0.2499,1.656e-01
0.94,0.92,1.8796,-0.2478,1.677e-01
0.96,0.92,1.8722,-0.3371,1.709e-01
0.98,0.92,1.8779,-0.3449,1.752e-01
1.00,0.92,1.8841,-0.3536,1.806e-01
1.02,0.92,1.8907,-0.3632,1.871e-01
1.04,0.92,1.8975,-0.3735,1.946e-01
1.06,0.92,1.9043,-0.3842,2.031e-01
1.08,0.92,1.9110,-0.3953,2.123e-01
1.10,0.92,1.9176,-0.4064,2.223e-01
1.12,0.92,1.9238,-0.4176,2.328e-01
1.14,0.92,1.9298,-0.4285,2.439e-01
1.16,0.92,1.9353,-0.4392,2.553e-01
1.18,0.92,1.9405,-0.4495,2.669e-01
