M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,4.237e-01
0.92,0.90,2.0342,-0.7412,4.237e-01
0.94,0.90,2.0342,-0.7412,4.237e-01
0.96,0.90,2.0342,-0.7412,4.237e-01
0.98,0.90,2.0342,-0.7412,4.237e-01
1.00,0.90,2.0342,-0.7412,4.237e-01
1.02,0.90,2.0342,-0.7412,4.237e-01
1.04,0.90,2.0342,-0.7412,4.237e-01
1.06,0.90,2.0342,-0.7412,4.237e-01
1.08,0.90,2.0342,-0.7412,4.237e-01
1.10,0.90,2.0342,-0.7412,4.237e-01
1.12,0.90,2.0342,-0.7412,4.237e-01
1.14,0.90,2.0342,-0.7412,4.237e-01
1.16,0.90,2.0342,-0.7412,4.237e-01
1.18,0.90,2.0342,-0.7412,4.237e-01
1.20,0.90,2.0342,-0.7412,4.237e-01
1.22,0.90,2.0342,-0.7412,4.237e-01
1.24,0.90,2.0342,-0.7412,4.237e-01
1.26,0.90,1.9794,-0.5412,4.252e-01
1.28,0.90,1.9274,-0.4240,4.268e-01
1.30,0.90,1.8802,-0.3480,4.285e-01
1.32,0.90,1.8279,-0.2549,4.301e-01
1.34,0.90,1.7837,-0.3354,4.318e-01
1.36,0.90,1.6552,-0.4254,4.335e-01
1.38,0.90,1.8940,-0.8847,4.352e-01
1.40,0.90,2.0381,-0.7503,4.370e-01
1.42,0.90,2.0386,-0.7515,4.387e-01
1.44,0.90,2.0391,-0.7527,4.405e-01
1.46,0.90,2.0397,-0.7540,4.423e-01
1.48,0.90,2.0402,-0.7552,4.442e-01
1.50,0.90,2.0407,-0.7564,4.460e-01
1.52,0.90,2.0412,-0.7577,4.479e-01
1.54,0.90,2.0417,-0.7589,4.497e-01
1.56,0.90,2.0422,-0.7602,4.516e-01
1.58,0.90,2.0427,-0.7615,4.535e-01
1.60,0.90,2.0432,-0.7627,4.554e-01
1.62,0.90,2.0437,-0.7640,4.573e-01
1.64,0.90,2.0443,-0.7653,4.593e-01
1.66,0.90,2.0448,-0.7666,4.612e-01
1.68,0.90,2.0453,-0.7678,4.631e-01
1.70,0.90,2.0458,-0.7691,4.651e-01
1.72,0.90,2.0463,-0.7704,4.670e-01
1.74,0.90,2.0468,-0.7716,4.689e-01
1.76,0.90,2.0473,-0.7729,4.709e-01
1.78,0.90,2.0477,-0.7741,4.728e-01
1.80,0.90,2.0482,-0.7754,4.747e-01
1.82,0.90,2.0487,-0.7766,4.766e-01
1.84,0.90,2.0492,-0.7778,4.785e-01
1.86,0.90,2.0496,-0.7790,4.804e-01
1.88,0.90,2.0808,-0.7542,3.934e-01
1.90,0.90,2.1573,-0.6799,2.925e-01
1.92,0.90,2.2004,-0.6473,2.308e-01
1.94,0.90,2.2147,-0.6505,1.912e-01
1.96,0.90,2.2063,-0.6820,1.647e-01
1.98,0.90,2.1815,-0.7342,1.465e-01
2.00,0.90,2.1455,-0.8008,1.336e-01
2.02,0.90,2.1020,-0.8766,1.243e-01
2.04,0.90,2.0538,-0.9577,1.175e-01
2.06,0.90,2.0029,-1.0406,1.123e-01
2.08,0.90,1.9508,-1.1226,1.081e-01
2.10,0.90,1.8973,-1.2004,1.040e-01
0.92,0.92,2.0342,-0.7412,4.123e-01
0.94,0.92,2.0342,-0.7412,4.123e-01
0.96,0.92,2.0342,-0.7412,4.123e-01
0.98,0.92,2.0342,-0.7412,4.123e-01
1.00,0.92,2.0342,-0.7412,4.123e-01
1.02,0.92,2.0342,-0.7412,4.123e-01
1.04,0.92,2.0342,-0.7412,4.123e-01
1.06,0.92,2.0342,-0.7412,4.123e-01
1.08,0.92,2.0342,-0.7412,4.123e-01
1.10,0.92,2.0342,-0.7412,4.123e-01
1.12,0.92,2.0342,-0.7412,4.123e-01
1.14,0.92,2.0342,-0.7412,4.123e-01
1.16,0.92,2.0342,-0.7412,4.123e-01
1.18,0.92,2.0342,-0.7412,4.123e-01
1.20,0.92,2.0342,-0.7412,4.123e-01
1.22,0.92,2.0342,-0.7412,4.123e-01
1.24,0.92,2.0342,-0.7412,4.123e-01
1.26,0.92,1.9970,-0.5935,4.133e-01
1.28,0.92,1.9440,-0.4568,4.148e-01
1.30,0.92,1.8960,-0.3713,4.164e-01
1.32,0.92,1.8429,-0.2769,4.180e-01
1.34,0.92,1.7730,-0.3436,4.196e-01
1.36,0.92,1.7640,-0.0839,4.212e-01
1.38,0.92,1.6670,-1.0922,4.228e-01
1.40,0.92,2.0379,-0.7498,4.245e-01
1.42,0.92,2.0384,-0.7510,4.262e-01
1.44,0.92,2.0389,-0.7522,4.279e-01
1.46,0.92,2.0394,-0.7534,4.297e-01
1.48,0.92,2.0399,-0.7546,4.314e-01
1.50,0.92,2.0404,-0.7559,4.332e-01
1.52,0.92,2.0409,-0.7571,4.349e-01
1.54,0.92,2.0415,-0.7583,4.367e-01
1.56,0.92,2.0420,-0.7596,4.386e-01
1.58,0.92,2.0425,-0.7608,4.404e-01
1.60,0.92,2.0430,-0.7621,4.422e-01
1.62,0.92,2.0435,-0.7633,4.440e-01
1.64,0.92,2.0440,-0.7646,4.459e-01
1.66,0.92,2.0445,-0.7659,4.477e-01
1.68,0.92,2.0450,-0.7671,4.496e-01
1.70,0.92,2.0455,-0.7684,4.515e-01
1.72,0.92,2.0460,-0.7696,4.533e-01
1.74,0.92,2.0465,-0.7709,4.552e-01
1.76,0.92,2.0470,-0.7721,4.571e-01
1.78,0.92,2.0474,-0.7734,4.589e-01
1.80,0.92,2.0479,-0.7746,4.608e-01
1.82,0.92,2.0484,-0.7758,4.626e-01
1.84,0.92,2.0837,-0.7456,3.723e-01
1.86,0.92,2.1607,-0.6697,2.747e-01
1.88,0.92,2.2030,-0.6370,2.155e-01
1.90,0.92,2.2154,-0.6415,1.777e-01
1.92,0.92,2.2042,-0.6753,1.526e-01
1.94,0.92,2.1761,-0.7307,1.354e-01
1.96,0.92,2.1365,-0.8008,1.234e-01
1.98,0.92,2.0895,-0.8804,1.149e-01
2.00,0.92,2.0382,-0.9652,1.087e-01
2.02,0.92,1.9848,-1.0516,1.043e-01
2.04,0.92,1.9311,-1.1369,1.009e-01
2.06,0.92,1.8782,-1.2186,9.833e-02
2.08,0.92,1.8268,-1.2948,9.607e-02
2.10,0.92,1.7758,-1.3635,9.341e-02
0.94,0.94,2.0342,-0.7412,4.006e-01
0.96,0.94,2.0342,-0.7412,4.006e-01
0.98,0.94,2.0342,-0.7412,4.006e-01
1.00,0.94,2.0342,-0.7412,4.006e-01
1.02,0.94,2.0342,-0.7412,4.006e-01
1.04,0.94,2.0342,-0.7412,4.006e-01
1.06,0.94,2.0342,-0.7412,4.006e-01
1.08,0.94,2.0342,-0.7412,4.006e-01
1.10,0.94,2.0342,-0.7412,4.006e-01
1.12,0.94,2.0342,-0.7412,4.006e-01
1.14,0.94,2.0342,-0.7412,4.006e-01
1.16,0.94,2.0342,-0.7412,4.006e-01
1.18,0.94,2.0342,-0.7412,4.006e-01
1.20,0.94,2.0342,-0.7412,4.006e-01
1.22,0.94,2.0342,-0.7412,4.006e-01
1.24,0.94,2.0342,-0.7412,4.006e-01
1.26,0.94,2.0135,-0.6514,4.011e-01
1.28,0.94,1.9597,-0.4913,4.025e-01
1.30,0.94,1.9110,-0.3952,4.040e-01
1.32,0.94,1.8572,-0.2977,4.055e-01
1.34,0.94,1.7934,-0.3003,4.070e-01
1.36,0.94,1.8643,0.0805,4.086e-01
1.38,0.94,1.5641,-1.0296,4.102e-01
1.40,0.94,2.0258,-0.7589,4.117e-01
1.42,0.94,2.0382,-0.7505,4.134e-01
1.44,0.94,2.0387,-0.7517,4.150e-01
1.46,0.94,2.0392,-0.7529,4.167e-01
1.48,0.94,2.0397,-0.7541,4.183e-01
1.50,0.94,2.0402,-0.7553,4.200e-01
1.52,0.94,2.0407,-0.7565,4.217e-01
1.54,0.94,2.0412,-0.7578,4.235e-01
1.56,0.94,2.0417,-0.7590,4.252e-01
1.58,0.94,2.0422,-0.7602,4.269e-01
1.60,0.94,2.0427,-0.7615,4.287e-01
1.62,0.94,2.0432,-0.7627,4.305e-01
1.64,0.94,2.0437,-0.7640,4.322e-01
1.66,0.94,2.0442,-0.7652,4.340e-01
1.68,0.94,2.0447,-0.7665,4.358e-01
1.70,0.94,2.0452,-0.7677,4.376e-01
1.72,0.94,2.0457,-0.7689,4.394e-01
1.74,0.94,2.0462,-0.7702,4.412e-01
1.76,0.94,2.0467,-0.7714,4.430e-01
1.78,0.94,2.0472,-0.7726,4.447e-01
1.80,0.94,2.0784,-0.7460,3.625e-01
1.82,0.94,2.1590,-0.6644,2.638e-01
1.84,0.94,2.2033,-0.6281,2.047e-01
1.86,0.94,2.2160,-0.6308,1.673e-01
1.88,0.94,2.2037,-0.6648,1.427e-01
1.90,0.94,2.1733,-0.7217,1.261e-01
1.92,0.94,2.1308,-0.7944,1.145e-01
1.94,0.94,2.0806,-0.8770,1.064e-01
1.96,0.94,2.0262,-0.9650,1.006e-01
1.98,0.94,1.9700,-1.0546,9.649e-02
2.00,0.94,1.9141,-1.1426,9.356e-02
2.02,0.94,1.8598,-1.2267,9.145e-02
2.04,0.94,1.8082,-1.3050,8.990e-02
2.06,0.94,1.7597,-1.3764,8.866e-02
2.08,0.94,1.7142,-1.4401,8.744e-02
2.10,0.94,1.6699,-1.4951,8.558e-02
0.96,0.96,2.0342,-0.7412,3.884e-01
0.98,0.96,2.0342,-0.7412,3.884e-01
1.00,0.96,2.0342,-0.7412,3.884e-01
1.02,0.96,2.0342,-0.7412,3.884e-01
1.04,0.96,2.0342,-0.7412,3.884e-01
1.06,0.96,2.0342,-0.7412,3.884e-01
1.08,0.96,2.0342,-0.7412,3.884e-01
1.10,0.96,2.0342,-0.7412,3.884e-01
1.12,0.96,2.0342,-0.7412,3.884e-01
