M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8859,-0.8015,4.259e-01
0.92,0.90,1.9501,-0.4677,4.259e-01
0.94,0.90,1.9598,-0.4916,4.258e-01
0.96,0.90,1.9610,-0.4943,4.258e-01
0.98,0.90,1.9621,-0.4970,4.257e-01
1.00,0.90,1.9632,-0.4996,4.257e-01
1.02,0.90,1.9643,-0.5022,4.257e-01
1.04,0.90,1.9653,-0.5047,4.257e-01
1.06,0.90,1.9663,-0.5071,4.256e-01
1.08,0.90,1.9673,-0.5095,4.256e-01
1.10,0.90,1.9682,-0.5119,4.256e-01
1.12,0.90,1.9691,-0.5142,4.255e-01
1.14,0.90,1.9700,-0.5164,4.255e-01
1.16,0.90,1.9709,-0.5186,4.255e-01
1.18,0.90,1.9717,-0.5207,4.255e-01
1.20,0.90,1.9725,-0.5228,4.254e-01
1.22,0.90,1.9733,-0.5248,4.254e-01
1.24,0.90,1.9740,-0.5267,4.254e-01
1.26,0.90,1.9747,-0.5285,4.254e-01
1.28,0.90,1.9754,-0.5303,4.254e-01
1.30,0.90,1.9760,-0.5320,4.253e-01
1.32,0.90,1.9735,-0.5076,4.253e-01
1.34,0.90,1.9732,-0.5762,4.253e-01
1.36,0.90,1.9479,-0.6170,4.253e-01
1.38,0.90,2.0127,-0.7632,4.253e-01
1.40,0.90,2.0347,-0.7422,4.253e-01
1.42,0.90,2.0347,-0.7422,4.252e-01
1.44,0.90,2.0347,-0.7422,4.252e-01
1.46,0.90,2.0347,-0.7422,4.252e-01
1.48,0.90,2.0347,-0.7422,4.252e-01
1.50,0.90,2.0347,-0.7422,4.252e-01
1.52,0.90,2.0347,-0.7422,4.252e-01
1.54,0.90,2.0347,-0.7422,4.252e-01
1.56,0.90,2.0347,-0.7422,4.252e-01
1.58,0.90,2.0347,-0.7422,4.252e-01
1.60,0.90,2.0347,-0.7422,4.252e-01
1.62,0.90,2.0347,-0.7422,4.252e-01
1.64,0.90,2.0347,-0.7422,4.252e-01
1.66,0.90,2.0347,-0.7422,4.252e-01
1.68,0.90,2.0347,-0.7422,4.252e-01
1.70,0.90,2.0347,-0.7422,4.252e-01
1.72,0.90,2.0347,-0.7422,4.252e-01
1.74,0.90,2.0347,-0.7422,4.252e-01
