M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4397,-0.9994,2.146e-03
0.92,0.90,-4.6030,0.0353,2.109e-03
0.94,0.90,-7.3177,0.0319,2.074e-03
0.96,0.90,-7.3177,0.0319,2.039e-03
0.98,0.90,-7.3177,0.0319,2.005e-03
1.00,0.90,-7.3177,0.0319,1.972e-03
1.02,0.90,-7.3177,0.0319,1.940e-03
1.04,0.90,-7.3177,0.0319,1.909e-03
1.06,0.90,-7.3177,0.0319,1.879e-03
1.08,0.90,-7.3177,0.0319,1.850e-03
1.10,0.90,-7.3177,0.0319,1.822e-03
1.12,0.90,-7.3177,0.0319,1.794e-03
1.14,0.90,-7.3177,0.0319,1.768e-03
1.16,0.90,-7.3177,0.0319,1.743e-03
1.18,0.90,-7.3177,0.0319,1.718e-03
1.20,0.90,-7.3177,0.0319,1.695e-03
1.22,0.90,-7.3177,0.0319,1.672e-03
1.24,0.90,-7.3177,0.0319,1.651e-03
1.26,0.90,-7.3177,0.0319,1.630e-03
1.28,0.90,-7.3177,0.0319,1.610e-03
1.30,0.90,-7.3177,0.0319,1.591e-03
1.32,0.90,-5.3060,0.0689,1.574e-03
1.34,0.90,-4.3800,-0.0855,1.557e-03
1.36,0.90,-2.8467,-0.2884,1.540e-03
1.38,0.90,0.3482,-3.7887,1.525e-03
1.40,0.90,2.1901,-5.3264,1.511e-03
1.42,0.90,2.1901,-5.3264,1.498e-03
1.44,0.90,2.1901,-5.3264,1.486e-03
1.46,0.90,2.1901,-5.3264,1.474e-03
1.48,0.90,2.1901,-5.3264,1.464e-03
1.50,0.90,2.1901,-5.3264,1.455e-03
1.52,0.90,2.1901,-5.3264,1.447e-03
1.54,0.90,2.1901,-5.3264,1.439e-03
1.56,0.90,2.1901,-5.3264,1.433e-03
1.58,0.90,2.1901,-5.3264,1.428e-03
1.60,0.90,2.1901,-5.3264,1.424e-03
1.62,0.90,2.1901,-5.3264,1.421e-03
1.64,0.90,2.1901,-5.3264,1.420e-03
1.66,0.90,2.1901,-5.3264,1.419e-03
1.68,0.90,2.1901,-5.3264,1.420e-03
1.70,0.90,2.1901,-5.3264,1.422e-03
1.72,0.90,2.1901,-5.3264,1.425e-03
1.74,0.90,2.1901,-5.3264,1.430e-03
1.76,0.90,2.1901,-5.3264,1.436e-03
1.78,0.90,2.1901,-5.3264,1.443e-03
1.80,0.90,2.1901,-5.3264,1.452e-03
1.82,0.90,2.1901,-5.3264,1.463e-03
1.84,0.90,2.1901,-5.3264,1.475e-03
1.86,0.90,2.1901,-5.3264,1.489e-03
1.88,0.90,2.1901,-5.3264,1.505e-03
1.90,0.90,2.1901,-5.3264,1.523e-03
1.92,0.90,2.1901,-5.3264,1.543e-03
