M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9079,-0.7933,2.119e-01
0.92,0.90,1.9610,-0.4926,2.119e-01
0.94,0.90,1.9671,-0.5092,2.119e-01
0.96,0.90,1.9654,-0.5050,2.119e-01
0.98,0.90,1.9634,-0.5000,2.120e-01
1.00,0.90,1.9610,-0.4943,2.120e-01
1.02,0.90,1.9582,-0.4878,2.121e-01
1.04,0.90,1.9549,-0.4804,2.121e-01
1.06,0.90,1.9513,-0.4723,2.122e-01
1.08,0.90,1.9471,-0.4632,2.122e-01
1.10,0.90,1.9424,-0.4533,2.123e-01
1.12,0.90,1.9370,-0.4425,2.124e-01
1.14,0.90,1.9309,-0.4307,2.125e-01
1.16,0.90,1.9241,-0.4180,2.126e-01
1.18,0.90,1.9164,-0.4043,2.127e-01
1.20,0.90,1.9076,-0.3896,2.129e-01
1.22,0.90,1.8978,-0.3740,2.130e-01
1.24,0.90,1.8867,-0.3574,2.132e-01
1.26,0.90,1.8742,-0.3398,2.135e-01
1.28,0.90,1.8601,-0.3214,2.137e-01
1.30,0.90,1.8441,-0.3022,2.140e-01
1.32,0.90,1.8167,-0.2428,2.144e-01
1.34,0.90,1.7928,-0.3426,2.148e-01
1.36,0.90,1.6840,-0.4365,2.153e-01
1.38,0.90,1.9109,-0.8674,2.159e-01
1.40,0.90,2.0376,-0.7490,2.166e-01
1.42,0.90,2.0381,-0.7502,2.174e-01
1.44,0.90,2.0387,-0.7516,2.184e-01
1.46,0.90,2.0394,-0.7533,2.196e-01
1.48,0.90,2.0403,-0.7554,2.210e-01
1.50,0.90,2.0413,-0.7580,2.227e-01
1.52,0.90,2.0426,-0.7611,2.248e-01
1.54,0.90,2.0441,-0.7650,2.275e-01
1.56,0.90,2.0460,-0.7698,2.307e-01
1.58,0.90,2.0484,-0.7758,2.348e-01
1.60,0.90,2.0513,-0.7833,2.400e-01
1.62,0.90,2.0548,-0.7928,2.467e-01
1.64,0.90,2.0591,-0.8048,2.552e-01
1.66,0.90,2.0643,-0.8199,2.664e-01
1.68,0.90,2.0705,-0.8391,2.810e-01
1.70,0.90,2.0780,-0.8633,3.004e-01
1.72,0.90,2.0866,-0.8939,3.263e-01
1.74,0.90,2.0963,-0.9322,3.613e-01
1.76,0.90,2.1071,-0.9798,4.089e-01
1.78,0.90,2.1184,-1.0381,4.741e-01
1.80,0.90,2.1299,-1.1085,5.643e-01
1.82,0.90,2.1411,-1.1919,6.901e-01
1.84,0.90,2.1514,-1.2891,8.668e-01
1.86,0.90,2.1604,-1.3999,1.118e+00
1.88,0.90,2.1759,-1.5926,1.440e+00
1.90,0.90,2.1879,-1.8317,1.918e+00
1.92,0.90,2.1905,-2.0849,2.651e+00
1.94,0.90,2.1906,-2.3425,3.752e+00
1.96,0.90,2.1903,-2.6011,5.404e+00
1.98,0.90,2.1901,-2.8601,7.899e+00
2.00,0.90,2.1899,-3.1192,1.170e+01
2.02,0.90,2.1899,-3.3784,1.757e+01
2.04,0.90,2.1899,-3.6372,2.674e+01
2.06,0.90,2.1899,-3.8948,4.128e+01
