M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,2.110e-01
0.92,0.90,2.0342,-0.7412,2.110e-01
0.94,0.90,2.0342,-0.7412,2.110e-01
0.96,0.90,2.0342,-0.7412,2.110e-01
0.98,0.90,2.0342,-0.7412,2.110e-01
1.00,0.90,2.0342,-0.7412,2.110e-01
1.02,0.90,2.0342,-0.7412,2.110e-01
1.04,0.90,2.0342,-0.7412,2.110e-01
1.06,0.90,2.0342,-0.7412,2.110e-01
1.08,0.90,2.0342,-0.7412,2.110e-01
1.10,0.90,2.0342,-0.7412,2.110e-01
1.12,0.90,2.0342,-0.7412,2.110e-01
1.14,0.90,2.0342,-0.7412,2.110e-01
1.16,0.90,2.0342,-0.7412,2.110e-01
1.18,0.90,2.0342,-0.7412,2.110e-01
1.20,0.90,2.0342,-0.7412,2.110e-01
1.22,0.90,2.0342,-0.7412,2.110e-01
1.24,0.90,2.0342,-0.7412,2.110e-01
1.26,0.90,1.9303,-0.4296,2.125e-01
1.28,0.90,1.8410,-0.2986,2.141e-01
1.30,0.90,1.7658,-0.2263,2.157e-01
1.32,0.90,1.6876,-0.1390,2.174e-01
1.34,0.90,1.6247,-0.2425,2.190e-01
1.36,0.90,1.4546,-0.3695,2.207e-01
1.38,0.90,1.7889,-0.9932,2.224e-01
1.40,0.90,2.0419,-0.7593,2.242e-01
1.42,0.90,2.0428,-0.7617,2.259e-01
1.44,0.90,2.0438,-0.7641,2.276e-01
1.46,0.90,2.0447,-0.7665,2.294e-01
1.48,0.90,2.0457,-0.7689,2.311e-01
1.50,0.90,2.0467,-0.7714,2.328e-01
1.52,0.90,2.0476,-0.7738,2.345e-01
1.54,0.90,2.0486,-0.7763,2.361e-01
1.56,0.90,2.0495,-0.7788,2.376e-01
1.58,0.90,2.0505,-0.7813,2.391e-01
1.60,0.90,2.0515,-0.7839,2.405e-01
1.62,0.90,2.0524,-0.7865,2.417e-01
1.64,0.90,2.0534,-0.7891,2.427e-01
1.66,0.90,2.0544,-0.7918,2.436e-01
1.68,0.90,2.0554,-0.7946,2.443e-01
1.70,0.90,2.0565,-0.7974,2.447e-01
1.72,0.90,2.0575,-0.8004,2.448e-01
1.74,0.90,2.0586,-0.8035,2.447e-01
1.76,0.90,2.0598,-0.8067,2.442e-01
1.78,0.90,2.0609,-0.8101,2.433e-01
1.80,0.90,2.0622,-0.8137,2.421e-01
1.82,0.90,2.0634,-0.8174,2.405e-01
1.84,0.90,2.0648,-0.8215,2.386e-01
1.86,0.90,2.0662,-0.8257,2.362e-01
1.88,0.90,2.0975,-0.8181,1.968e-01
1.90,0.90,2.1644,-0.7818,1.535e-01
1.92,0.90,2.1975,-0.7907,1.278e-01
1.94,0.90,2.2064,-0.8331,1.118e-01
1.96,0.90,2.2001,-0.8975,1.015e-01
1.98,0.90,2.1852,-0.9753,9.487e-02
2.00,0.90,2.1661,-1.0605,9.046e-02
2.02,0.90,2.1453,-1.1489,8.753e-02
2.04,0.90,2.1239,-1.2378,8.553e-02
2.06,0.90,2.1030,-1.3251,8.408e-02
2.08,0.90,2.0827,-1.4090,8.279e-02
2.10,0.90,2.0631,-1.4869,8.092e-02
0.92,0.92,2.0342,-0.7412,2.110e-01
0.94,0.92,2.0342,-0.7412,2.110e-01
0.96,0.92,2.0342,-0.7412,2.110e-01
0.98,0.92,2.0342,-0.7412,2.110e-01
1.00,0.92,2.0342,-0.7412,2.110e-01
1.02,0.92,2.0342,-0.7412,2.110e-01
1.04,0.92,2.0342,-0.7412,2.110e-01
1.06,0.92,2.0342,-0.7412,2.110e-01
