M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.770e-01
0.92,0.90,2.0342,-0.7412,1.770e-01
0.94,0.90,2.0342,-0.7412,1.770e-01
0.96,0.90,2.0342,-0.7412,1.770e-01
0.98,0.90,2.0342,-0.7412,1.770e-01
1.00,0.90,2.0342,-0.7412,1.770e-01
1.02,0.90,2.0342,-0.7412,1.770e-01
1.04,0.90,2.0342,-0.7412,1.770e-01
1.06,0.90,2.0342,-0.7412,1.770e-01
1.08,0.90,2.0342,-0.7412,1.770e-01
1.10,0.90,2.0342,-0.7412,1.770e-01
1.12,0.90,2.0342,-0.7412,1.770e-01
1.14,0.90,2.0342,-0.7412,1.770e-01
1.16,0.90,2.0342,-0.7412,1.770e-01
1.18,0.90,2.0342,-0.7412,1.770e-01
1.20,0.90,2.0342,-0.7412,1.770e-01
1.22,0.90,2.0342,-0.7412,1.770e-01
1.24,0.90,2.0342,-0.7412,1.770e-01
1.26,0.90,1.9105,-0.3943,1.785e-01
1.28,0.90,1.8101,-0.2659,1.801e-01
1.30,0.90,1.7275,-0.1974,1.817e-01
1.32,0.90,1.6383,-0.1214,1.834e-01
1.34,0.90,1.6016,-0.1901,1.850e-01
1.36,0.90,1.3796,-0.4388,1.867e-01
1.38,0.90,1.8090,-0.9753,1.884e-01
1.40,0.90,2.0433,-0.7628,1.902e-01
1.42,0.90,2.0444,-0.7656,1.919e-01
1.44,0.90,2.0455,-0.7684,1.937e-01
1.46,0.90,2.0466,-0.7712,1.955e-01
1.48,0.90,2.0477,-0.7741,1.972e-01
1.50,0.90,2.0488,-0.7769,1.990e-01
1.52,0.90,2.0499,-0.7798,2.009e-01
1.54,0.90,2.0510,-0.7827,2.027e-01
1.56,0.90,2.0521,-0.7856,2.045e-01
1.58,0.90,2.0532,-0.7885,2.063e-01
1.60,0.90,2.0542,-0.7914,2.081e-01
1.62,0.90,2.0553,-0.7943,2.099e-01
1.64,0.90,2.0564,-0.7972,2.117e-01
1.66,0.90,2.0574,-0.8001,2.135e-01
1.68,0.90,2.0585,-0.8031,2.152e-01
1.70,0.90,2.0595,-0.8061,2.169e-01
1.72,0.90,2.0606,-0.8091,2.185e-01
1.74,0.90,2.0616,-0.8121,2.201e-01
1.76,0.90,2.0627,-0.8152,2.216e-01
1.78,0.90,2.0637,-0.8183,2.229e-01
1.80,0.90,2.0648,-0.8215,2.242e-01
1.82,0.90,2.0659,-0.8248,2.253e-01
1.84,0.90,2.0670,-0.8282,2.262e-01
1.86,0.90,2.0682,-0.8317,2.269e-01
1.88,0.90,2.0694,-0.8354,2.273e-01
1.90,0.90,2.0706,-0.8393,2.273e-01
1.92,0.90,2.0719,-0.8434,2.270e-01
1.94,0.90,2.0733,-0.8480,2.262e-01
1.96,0.90,2.0748,-0.8530,2.249e-01
1.98,0.90,2.0765,-0.8585,2.229e-01
2.00,0.90,2.0784,-0.8648,2.202e-01
2.02,0.90,2.0805,-0.8721,2.167e-01
2.04,0.90,2.0829,-0.8806,2.122e-01
2.06,0.90,2.0857,-0.8907,2.067e-01
2.08,0.90,2.0890,-0.9029,2.001e-01
2.10,0.90,2.0928,-0.9180,1.925e-01
2.12,0.90,2.0975,-0.9370,1.838e-01
2.14,0.90,2.1030,-0.9610,1.741e-01
2.16,0.90,2.1096,-0.9922,1.637e-01
2.18,0.90,2.1175,-1.0331,1.529e-01
2.20,0.90,2.1267,-1.0875,1.422e-01
2.22,0.90,2.1371,-1.1603,1.321e-01
2.24,0.90,2.1484,-1.2583,1.230e-01
2.26,0.90,2.1597,-1.3896,1.156e-01
2.28,0.90,2.1699,-1.5633,1.101e-01
2.30,0.90,2.1782,-1.7890,1.065e-01
2.32,0.90,2.1840,-2.0752,1.046e-01
2.34,0.90,2.1874,-2.4303,1.041e-01
2.36,0.90,2.1883,-2.5959,1.048e-01
2.38,0.90,2.1883,-2.5998,1.057e-01
2.40,0.90,2.1883,-2.6020,1.063e-01
2.42,0.90,2.1883,-2.6005,1.059e-01
0.92,0.92,2.0342,-0.7412,1.770e-01
0.94,0.92,2.0342,-0.7412,1.770e-01
0.96,0.92,2.0342,-0.7412,1.770e-01
0.98,0.92,2.0342,-0.7412,1.770e-01
1.00,0.92,2.0342,-0.7412,1.770e-01
1.02,0.92,2.0342,-0.7412,1.770e-01
1.04,0.92,2.0342,-0.7412,1.770e-01
1.06,0.92,2.0342,-0.7412,1.770e-01
1.08,0.92,2.0342,-0.7412,1.770e-01
1.10,0.92,2.0342,-0.7412,1.770e-01
1.12,0.92,2.0342,-0.7412,1.770e-01
1.14,0.92,2.0342,-0.7412,1.770e-01
1.16,0.92,2.0342,-0.7412,1.770e-01
1.18,0.92,2.0342,-0.7412,1.770e-01
1.20,0.92,2.0342,-0.7412,1.770e-01
1.22,0.92,2.0342,-0.7412,1.770e-01
1.24,0.92,2.0342,-0.7412,1.770e-01
1.26,0.92,1.9494,-0.4682,1.780e-01
1.28,0.92,1.8453,-0.3036,1.795e-01
1.30,0.92,1.7601,-0.2217,1.810e-01
1.32,0.92,1.6732,-0.1329,1.826e-01
1.34,0.92,1.5701,-0.2528,1.842e-01
1.36,0.92,1.5327,-0.0079,1.858e-01
1.38,0.92,1.4405,-1.3112,1.874e-01
1.40,0.92,2.0426,-0.7611,1.891e-01
1.42,0.92,2.0437,-0.7638,1.908e-01
1.44,0.92,2.0447,-0.7665,1.924e-01
1.46,0.92,2.0458,-0.7692,1.941e-01
1.48,0.92,2.0469,-0.7720,1.958e-01
1.50,0.92,2.0480,-0.7747,1.976e-01
1.52,0.92,2.0490,-0.7775,1.993e-01
1.54,0.92,2.0501,-0.7803,2.010e-01
1.56,0.92,2.0512,-0.7831,2.027e-01
1.58,0.92,2.0522,-0.7859,2.045e-01
1.60,0.92,2.0533,-0.7887,2.062e-01
1.62,0.92,2.0543,-0.7915,2.079e-01
1.64,0.92,2.0553,-0.7944,2.095e-01
1.66,0.92,2.0564,-0.7972,2.112e-01
1.68,0.92,2.0574,-0.8001,2.128e-01
1.70,0.92,2.0584,-0.8030,2.143e-01
1.72,0.92,2.0595,-0.8059,2.158e-01
1.74,0.92,2.0605,-0.8089,2.172e-01
1.76,0.92,2.0616,-0.8119,2.185e-01
1.78,0.92,2.0626,-0.8150,2.197e-01
1.80,0.92,2.0637,-0.8182,2.207e-01
1.82,0.92,2.0648,-0.8215,2.215e-01
1.84,0.92,2.0659,-0.8249,2.221e-01
1.86,0.92,2.0671,-0.8284,2.224e-01
1.88,0.92,2.0683,-0.8322,2.224e-01
1.90,0.92,2.0696,-0.8362,2.220e-01
1.92,0.92,2.0710,-0.8406,2.212e-01
1.94,0.92,2.0725,-0.8454,2.198e-01
1.96,0.92,2.0742,-0.8508,2.177e-01
1.98,0.92,2.0760,-0.8568,2.149e-01
2.00,0.92,2.0781,-0.8638,2.113e-01
2.02,0.92,2.0805,-0.8720,2.068e-01
2.04,0.92,2.0832,-0.8817,2.012e-01
2.06,0.92,2.0864,-0.8934,1.946e-01
2.08,0.92,2.0903,-0.9079,1.869e-01
2.10,0.92,2.0949,-0.9261,1.781e-01
2.12,0.92,2.1004,-0.9493,1.683e-01
2.14,0.92,2.1070,-0.9794,1.579e-01
2.16,0.92,2.1149,-1.0190,1.471e-01
2.18,0.92,2.1242,-1.0718,1.363e-01
2.20,0.92,2.1348,-1.1428,1.261e-01
2.22,0.92,2.1464,-1.2388,1.171e-01
2.24,0.92,2.1581,-1.3681,1.096e-01
2.26,0.92,2.1688,-1.5401,1.040e-01
2.28,0.92,2.1775,-1.7644,1.004e-01
2.30,0.92,2.1837,-2.0499,9.859e-02
