M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.2355,-0.9542,5.927e-01
0.92,0.90,0.0770,0.0416,5.505e-01
0.94,0.90,0.1673,0.0270,5.134e-01
0.96,0.90,0.2108,0.0264,4.809e-01
0.98,0.90,0.2531,0.0259,4.523e-01
1.00,0.90,0.2941,0.0253,4.271e-01
1.02,0.90,0.3338,0.0246,4.048e-01
1.04,0.90,0.3722,0.0240,3.851e-01
1.06,0.90,0.4093,0.0232,3.677e-01
1.08,0.90,0.4450,0.0225,3.523e-01
1.10,0.90,0.4795,0.0217,3.385e-01
1.12,0.90,0.5127,0.0209,3.263e-01
1.14,0.90,0.5445,0.0200,3.154e-01
1.16,0.90,0.5751,0.0192,3.057e-01
1.18,0.90,0.6044,0.0183,2.970e-01
1.20,0.90,0.6325,0.0173,2.892e-01
1.22,0.90,0.6594,0.0164,2.822e-01
1.24,0.90,0.6851,0.0154,2.759e-01
1.26,0.90,0.7096,0.0144,2.702e-01
1.28,0.90,0.7331,0.0135,2.650e-01
1.30,0.90,0.7555,0.0125,2.603e-01
1.32,0.90,0.7467,0.0384,2.561e-01
1.34,0.90,0.8061,-0.0586,2.523e-01
1.36,0.90,0.6063,-0.3901,2.488e-01
1.38,0.90,1.3645,-1.4613,2.455e-01
1.40,0.90,2.0705,-0.8391,2.426e-01
1.42,0.90,2.0694,-0.8355,2.399e-01
1.44,0.90,2.0683,-0.8322,2.374e-01
1.46,0.90,2.0673,-0.8291,2.351e-01
1.48,0.90,2.0664,-0.8262,2.330e-01
1.50,0.90,2.0655,-0.8236,2.310e-01
1.52,0.90,2.0647,-0.8211,2.291e-01
1.54,0.90,2.0639,-0.8188,2.274e-01
1.56,0.90,2.0632,-0.8166,2.258e-01
1.58,0.90,2.0625,-0.8146,2.242e-01
1.60,0.90,2.0618,-0.8127,2.228e-01
1.62,0.90,2.0612,-0.8110,2.214e-01
1.64,0.90,2.0607,-0.8094,2.200e-01
1.66,0.90,2.0601,-0.8078,2.187e-01
1.68,0.90,2.0596,-0.8064,2.174e-01
1.70,0.90,2.0592,-0.8051,2.162e-01
1.72,0.90,2.0587,-0.8038,2.149e-01
1.74,0.90,2.0583,-0.8027,2.136e-01
1.76,0.90,2.0580,-0.8017,2.123e-01
1.78,0.90,2.0576,-0.8007,2.108e-01
1.80,0.90,2.0573,-0.7999,2.094e-01
1.82,0.90,2.0571,-0.7991,2.077e-01
1.84,0.90,2.0568,-0.7985,2.060e-01
1.86,0.90,2.0566,-0.7979,2.040e-01
1.88,0.90,2.0565,-0.7976,2.018e-01
1.90,0.90,2.0564,-0.7973,1.993e-01
1.92,0.90,2.0564,-0.7973,1.964e-01
1.94,0.90,2.0564,-0.7974,1.931e-01
1.96,0.90,2.0566,-0.7977,1.893e-01
1.98,0.90,2.0568,-0.7984,1.848e-01
2.00,0.90,2.0572,-0.7994,1.797e-01
