M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7416,-0.8333,1.791e-01
0.92,0.90,1.8562,-0.3063,1.791e-01
0.94,0.90,1.8735,-0.3389,1.791e-01
0.96,0.90,1.8758,-0.3420,1.790e-01
0.98,0.90,1.8780,-0.3450,1.790e-01
1.00,0.90,1.8802,-0.3480,1.790e-01
1.02,0.90,1.8823,-0.3510,1.789e-01
1.04,0.90,1.8843,-0.3539,1.789e-01
1.06,0.90,1.8863,-0.3568,1.789e-01
1.08,0.90,1.8883,-0.3596,1.788e-01
1.10,0.90,1.8901,-0.3624,1.788e-01
1.12,0.90,1.8920,-0.3651,1.788e-01
1.14,0.90,1.8937,-0.3678,1.788e-01
1.16,0.90,1.8955,-0.3704,1.787e-01
1.18,0.90,1.8971,-0.3729,1.787e-01
1.20,0.90,1.8987,-0.3754,1.787e-01
1.22,0.90,1.9003,-0.3778,1.787e-01
1.24,0.90,1.9018,-0.3802,1.786e-01
1.26,0.90,1.9032,-0.3824,1.786e-01
1.28,0.90,1.9046,-0.3846,1.786e-01
1.30,0.90,1.9059,-0.3868,1.786e-01
1.32,0.90,1.8988,-0.3577,1.785e-01
1.34,0.90,1.9107,-0.4393,1.785e-01
1.36,0.90,1.8428,-0.5766,1.785e-01
1.38,0.90,1.9961,-0.7805,1.785e-01
1.40,0.90,2.0353,-0.7437,1.784e-01
1.42,0.90,2.0353,-0.7437,1.784e-01
1.44,0.90,2.0353,-0.7437,1.784e-01
1.46,0.90,2.0353,-0.7436,1.783e-01
1.48,0.90,2.0353,-0.7436,1.783e-01
1.50,0.90,2.0353,-0.7436,1.782e-01
1.52,0.90,2.0353,-0.7436,1.782e-01
1.54,0.90,2.0353,-0.7436,1.781e-01
1.56,0.90,2.0353,-0.7436,1.780e-01
1.58,0.90,2.0353,-0.7436,1.779e-01
1.60,0.90,2.0353,-0.7435,1.778e-01
1.62,0.90,2.0353,-0.7435,1.777e-01
1.64,0.90,2.0353,-0.7435,1.775e-01
1.66,0.90,2.0353,-0.7435,1.773e-01
1.68,0.90,2.0353,-0.7435,1.771e-01
1.70,0.90,2.0353,-0.7435,1.768e-01
1.72,0.90,2.0353,-0.7435,1.764e-01
1.74,0.90,2.0353,-0.7436,1.760e-01
1.76,0.90,2.0353,-0.7436,1.755e-01
1.78,0.90,2.0353,-0.7436,1.748e-01
1.80,0.90,2.0353,-0.7436,1.741e-01
1.82,0.90,2.0353,-0.7436,1.732e-01
1.84,0.90,2.0353,-0.7436,1.721e-01
1.86,0.90,2.0353,-0.7437,1.707e-01
1.88,0.90,2.0353,-0.7437,1.691e-01
1.90,0.90,2.0354,-0.7438,1.671e-01
1.92,0.90,2.0354,-0.7438,1.648e-01
1.94,0.90,2.0354,-0.7439,1.620e-01
1.96,0.90,2.0354,-0.7440,1.586e-01
1.98,0.90,2.0355,-0.7441,1.547e-01
2.00,0.90,2.0355,-0.7442,1.499e-01
2.02,0.90,2.0356,-0.7443,1.444e-01
2.04,0.90,2.0357,-0.7445,1.379e-01
2.06,0.90,2.0358,-0.7447,1.305e-01
2.08,0.90,2.0359,-0.7450,1.220e-01
2.10,0.90,2.0361,-0.7454,1.123e-01
2.12,0.90,2.0363,-0.7460,1.017e-01
2.14,0.90,2.0366,-0.7467,9.012e-02
2.16,0.90,2.0370,-0.7476,7.785e-02
2.18,0.90,2.0376,-0.7490,6.523e-02
2.20,0.90,2.0385,-0.7511,5.269e-02
2.22,0.90,2.0398,-0.7543,4.076e-02
2.24,0.90,2.0420,-0.7596,3.000e-02
2.26,0.90,2.0456,-0.7687,2.089e-02
2.28,0.90,2.0521,-0.7855,1.373e-02
2.30,0.90,2.0638,-0.8184,8.595e-03
2.32,0.90,2.0846,-0.8865,5.304e-03
2.34,0.90,2.1166,-1.0281,3.462e-03
2.36,0.90,2.1319,-1.1218,3.059e-03
2.38,0.90,2.1330,-1.1295,3.122e-03
2.40,0.90,2.1342,-1.1385,3.197e-03
2.42,0.90,2.1358,-1.1505,3.300e-03
0.92,0.92,1.8527,-0.2518,1.791e-01
0.94,0.92,1.8879,-0.2625,1.790e-01
0.96,0.92,1.8783,-0.3455,1.790e-01
0.98,0.92,1.8806,-0.3486,1.790e-01
1.00,0.92,1.8828,-0.3517,1.789e-01
1.02,0.92,1.8849,-0.3548,1.789e-01
1.04,0.92,1.8871,-0.3579,1.789e-01
1.06,0.92,1.8891,-0.3609,1.788e-01
1.08,0.92,1.8911,-0.3638,1.788e-01
1.10,0.92,1.8930,-0.3667,1.788e-01
1.12,0.92,1.8949,-0.3696,1.787e-01
1.14,0.92,1.8967,-0.3723,1.787e-01
1.16,0.92,1.8985,-0.3751,1.787e-01
1.18,0.92,1.9002,-0.3778,1.787e-01
1.20,0.92,1.9019,-0.3804,1.786e-01
1.22,0.92,1.9035,-0.3829,1.786e-01
1.24,0.92,1.9050,-0.3854,1.786e-01
1.26,0.92,1.9065,-0.3878,1.786e-01
1.28,0.92,1.9079,-0.3901,1.785e-01
1.30,0.92,1.9093,-0.3923,1.785e-01
1.32,0.92,1.9039,-0.3602,1.785e-01
1.34,0.92,1.8889,-0.4623,1.784e-01
1.36,0.92,1.8991,-0.3062,1.784e-01
1.38,0.92,1.8843,-0.8877,1.784e-01
1.40,0.92,2.0353,-0.7436,1.784e-01
1.42,0.92,2.0353,-0.7436,1.783e-01
1.44,0.92,2.0353,-0.7436,1.783e-01
1.46,0.92,2.0353,-0.7435,1.782e-01
1.48,0.92,2.0353,-0.7435,1.782e-01
1.50,0.92,2.0353,-0.7435,1.781e-01
1.52,0.92,2.0352,-0.7435,1.780e-01
1.54,0.92,2.0352,-0.7435,1.780e-01
1.56,0.92,2.0352,-0.7435,1.779e-01
1.58,0.92,2.0352,-0.7435,1.777e-01
1.60,0.92,2.0352,-0.7435,1.776e-01
1.62,0.92,2.0352,-0.7434,1.774e-01
1.64,0.92,2.0352,-0.7434,1.772e-01
1.66,0.92,2.0352,-0.7434,1.770e-01
