M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7676,-0.8268,1.653e-01
0.92,0.90,1.8679,-0.3213,1.676e-01
0.94,0.90,1.8764,-0.3428,1.710e-01
0.96,0.90,1.8688,-0.3327,1.757e-01
0.98,0.90,1.8599,-0.3212,1.816e-01
1.00,0.90,1.8499,-0.3089,1.886e-01
1.02,0.90,1.8392,-0.2965,1.967e-01
1.04,0.90,1.8280,-0.2842,2.058e-01
1.06,0.90,1.8166,-0.2723,2.158e-01
1.08,0.90,1.8050,-0.2609,2.266e-01
1.10,0.90,1.7934,-0.2500,2.380e-01
1.12,0.90,1.7817,-0.2395,2.500e-01
1.14,0.90,1.7699,-0.2296,2.623e-01
1.16,0.90,1.7581,-0.2201,2.748e-01
1.18,0.90,1.7463,-0.2110,2.875e-01
1.20,0.90,1.7343,-0.2022,3.002e-01
1.22,0.90,1.7222,-0.1938,3.129e-01
1.24,0.90,1.7100,-0.1857,3.254e-01
1.26,0.90,1.6976,-0.1778,3.377e-01
1.28,0.90,1.6850,-0.1701,3.498e-01
1.30,0.90,1.6722,-0.1628,3.615e-01
1.32,0.90,1.6405,-0.1226,3.729e-01
1.34,0.90,1.6516,-0.2130,3.840e-01
1.36,0.90,1.4865,-0.4564,3.947e-01
1.38,0.90,1.8756,-0.9055,4.050e-01
1.40,0.90,2.0397,-0.7540,4.149e-01
1.42,0.90,2.0399,-0.7547,4.245e-01
1.44,0.90,2.0402,-0.7554,4.337e-01
1.46,0.90,2.0405,-0.7561,4.426e-01
1.48,0.90,2.0408,-0.7568,4.511e-01
1.50,0.90,2.0411,-0.7576,4.593e-01
1.52,0.90,2.0415,-0.7584,4.672e-01
1.54,0.90,2.0418,-0.7592,4.749e-01
1.56,0.90,2.0422,-0.7601,4.823e-01
1.58,0.90,2.0425,-0.7610,4.894e-01
1.60,0.90,2.0429,-0.7619,4.963e-01
1.62,0.90,2.0433,-0.7629,5.030e-01
1.64,0.90,2.0437,-0.7638,5.095e-01
1.66,0.90,2.0441,-0.7649,5.158e-01
1.68,0.90,2.0445,-0.7659,5.220e-01
1.70,0.90,2.0450,-0.7670,5.280e-01
1.72,0.90,2.0454,-0.7682,5.339e-01
1.74,0.90,2.0459,-0.7694,5.397e-01
1.76,0.90,2.0463,-0.7706,5.454e-01
1.78,0.90,2.0468,-0.7718,5.509e-01
1.80,0.90,2.0473,-0.7731,5.564e-01
1.82,0.90,2.0479,-0.7744,5.618e-01
1.84,0.90,2.0484,-0.7758,5.672e-01
1.86,0.90,2.0489,-0.7772,5.725e-01
1.88,0.90,2.0495,-0.7787,5.777e-01
1.90,0.90,2.0501,-0.7802,5.828e-01
