M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9675,-0.7660,4.242e-01
0.92,0.90,1.9966,-0.5872,4.242e-01
0.94,0.90,1.9995,-0.6015,4.242e-01
0.96,0.90,1.9985,-0.5984,4.243e-01
0.98,0.90,1.9974,-0.5948,4.243e-01
1.00,0.90,1.9961,-0.5906,4.243e-01
1.02,0.90,1.9946,-0.5858,4.244e-01
1.04,0.90,1.9929,-0.5804,4.244e-01
1.06,0.90,1.9909,-0.5742,4.245e-01
1.08,0.90,1.9886,-0.5673,4.245e-01
1.10,0.90,1.9860,-0.5597,4.246e-01
1.12,0.90,1.9830,-0.5512,4.247e-01
1.14,0.90,1.9796,-0.5418,4.248e-01
1.16,0.90,1.9758,-0.5314,4.249e-01
1.18,0.90,1.9714,-0.5200,4.250e-01
1.20,0.90,1.9665,-0.5076,4.252e-01
1.22,0.90,1.9608,-0.4939,4.254e-01
1.24,0.90,1.9544,-0.4791,4.256e-01
1.26,0.90,1.9470,-0.4631,4.258e-01
1.28,0.90,1.9386,-0.4458,4.260e-01
1.30,0.90,1.9290,-0.4272,4.264e-01
1.32,0.90,1.9104,-0.3769,4.267e-01
1.34,0.90,1.9078,-0.4350,4.271e-01
1.36,0.90,1.8168,-0.5624,4.276e-01
1.38,0.90,1.9836,-0.7934,4.282e-01
1.40,0.90,2.0359,-0.7451,4.290e-01
1.42,0.90,2.0362,-0.7457,4.298e-01
1.44,0.90,2.0365,-0.7464,4.308e-01
1.46,0.90,2.0369,-0.7473,4.321e-01
1.48,0.90,2.0373,-0.7483,4.336e-01
1.50,0.90,2.0378,-0.7496,4.355e-01
1.52,0.90,2.0385,-0.7512,4.378e-01
1.54,0.90,2.0393,-0.7531,4.407e-01
1.56,0.90,2.0403,-0.7556,4.442e-01
1.58,0.90,2.0416,-0.7586,4.487e-01
1.60,0.90,2.0431,-0.7624,4.544e-01
1.62,0.90,2.0450,-0.7672,4.617e-01
1.64,0.90,2.0474,-0.7733,4.710e-01
1.66,0.90,2.0504,-0.7811,4.831e-01
1.68,0.90,2.0541,-0.7910,4.988e-01
1.70,0.90,2.0587,-0.8036,5.194e-01
1.72,0.90,2.0643,-0.8198,5.467e-01
1.74,0.90,2.0710,-0.8406,5.831e-01
1.76,0.90,2.0790,-0.8670,6.321e-01
1.78,0.90,2.0883,-0.9004,6.986e-01
1.80,0.90,2.0987,-0.9424,7.896e-01
1.82,0.90,2.1101,-0.9944,9.152e-01
1.84,0.90,2.1219,-1.0578,1.090e+00
1.86,0.90,2.1336,-1.1337,1.337e+00
1.88,0.90,2.1446,-1.2229,1.686e+00
1.90,0.90,2.1546,-1.3253,2.188e+00
1.92,0.90,2.1632,-1.4407,2.914e+00
1.94,0.90,2.1702,-1.5682,3.976e+00
1.96,0.90,2.1757,-1.7068,5.546e+00
1.98,0.90,2.1800,-1.8555,7.891e+00
2.00,0.90,2.1831,-2.0132,1.143e+01
2.02,0.90,2.1853,-2.1789,1.684e+01
2.04,0.90,2.1869,-2.3520,2.519e+01
2.06,0.90,2.1880,-2.5318,3.824e+01
2.08,0.90,2.1888,-2.7180,5.887e+01
2.10,0.90,2.1892,-2.9101,9.185e+01
2.12,0.90,2.1896,-3.1079,1.453e+02
2.14,0.90,2.1898,-3.3110,2.329e+02
2.16,0.90,2.1899,-3.5190,3.783e+02
2.18,0.90,2.1900,-3.7312,6.230e+02
2.20,0.90,2.1901,-3.9464,1.040e+03
2.22,0.90,2.1901,-4.1627,1.761e+03
2.24,0.90,2.1901,-4.3766,3.024e+03
2.26,0.90,2.1901,-4.5829,5.267e+03
2.28,0.90,2.1901,-4.7740,9.312e+03
2.30,0.90,2.1901,-4.9406,1.671e+04
2.32,0.90,2.1901,-5.0748,3.046e+04
2.34,0.90,2.1901,-5.1729,5.640e+04
2.36,0.90,2.1901,-5.2382,1.062e+05
2.38,0.90,2.1901,-5.2781,2.033e+05
2.40,0.90,2.1901,-5.3010,3.967e+05
2.42,0.90,2.1901,-5.3135,7.918e+05
0.92,0.92,1.9935,-0.5516,4.128e-01
0.94,0.92,2.0013,-0.5613,4.128e-01
0.96,0.92,1.9975,-0.5950,4.129e-01
0.98,0.92,1.9965,-0.5919,4.129e-01
1.00,0.92,1.9954,-0.5882,4.129e-01
1.02,0.92,1.9940,-0.5839,4.130e-01
