M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8875,-0.7927,4.255e-01
0.92,0.90,1.9508,-0.4635,4.254e-01
0.94,0.90,1.9597,-0.4913,4.254e-01
0.96,0.90,1.9609,-0.4941,4.254e-01
0.98,0.90,1.9620,-0.4967,4.253e-01
1.00,0.90,1.9631,-0.4993,4.253e-01
1.02,0.90,1.9641,-0.5019,4.253e-01
1.04,0.90,1.9652,-0.5044,4.252e-01
1.06,0.90,1.9662,-0.5069,4.252e-01
1.08,0.90,1.9672,-0.5093,4.252e-01
1.10,0.90,1.9681,-0.5116,4.251e-01
1.12,0.90,1.9690,-0.5139,4.251e-01
1.14,0.90,1.9699,-0.5161,4.251e-01
1.16,0.90,1.9708,-0.5183,4.251e-01
1.18,0.90,1.9716,-0.5204,4.250e-01
1.20,0.90,1.9724,-0.5225,4.250e-01
1.22,0.90,1.9731,-0.5245,4.250e-01
1.24,0.90,1.9739,-0.5264,4.250e-01
1.26,0.90,1.9746,-0.5282,4.249e-01
1.28,0.90,1.9753,-0.5300,4.249e-01
1.30,0.90,1.9759,-0.5317,4.249e-01
1.32,0.90,1.9724,-0.5102,4.249e-01
1.34,0.90,1.9783,-0.5679,4.249e-01
1.36,0.90,1.9438,-0.6467,4.249e-01
1.38,0.90,2.0179,-0.7580,4.248e-01
1.40,0.90,2.0347,-0.7422,4.248e-01
1.42,0.90,2.0347,-0.7422,4.248e-01
1.44,0.90,2.0347,-0.7422,4.248e-01
1.46,0.90,2.0347,-0.7422,4.248e-01
1.48,0.90,2.0347,-0.7422,4.248e-01
1.50,0.90,2.0347,-0.7422,4.248e-01
1.52,0.90,2.0347,-0.7422,4.248e-01
1.54,0.90,2.0347,-0.7422,4.248e-01
1.56,0.90,2.0347,-0.7422,4.247e-01
1.58,0.90,2.0347,-0.7422,4.247e-01
1.60,0.90,2.0347,-0.7422,4.247e-01
1.62,0.90,2.0347,-0.7422,4.247e-01
1.64,0.90,2.0347,-0.7422,4.247e-01
1.66,0.90,2.0347,-0.7422,4.247e-01
