M1,M2,SrDy,ThDy,total_mass
0.90,0.90,nan,nan,0.000e+00
0.92,0.90,nan,nan,0.000e+00
0.94,0.90,nan,nan,0.000e+00
0.96,0.90,nan,nan,0.000e+00
0.98,0.90,nan,nan,0.000e+00
1.00,0.90,nan,nan,0.000e+00
1.02,0.90,nan,nan,0.000e+00
1.04,0.90,nan,nan,0.000e+00
1.06,0.90,nan,nan,0.000e+00
1.08,0.90,nan,nan,0.000e+00
1.10,0.90,nan,nan,0.000e+00
1.12,0.90,nan,nan,0.000e+00
1.14,0.90,nan,nan,0.000e+00
1.16,0.90,nan,nan,0.000e+00
1.18,0.90,nan,nan,0.000e+00
1.20,0.90,nan,nan,0.000e+00
1.22,0.90,nan,nan,0.000e+00
1.24,0.90,nan,nan,0.000e+00
1.26,0.90,-7.3177,0.0319,1.528e-03
1.28,0.90,-7.3177,0.0319,3.129e-03
1.30,0.90,-7.3177,0.0319,4.756e-03
1.32,0.90,-5.2061,0.0577,6.409e-03
1.34,0.90,-4.3003,-0.0375,8.086e-03
1.36,0.90,-2.8076,-0.3808,9.786e-03
1.38,0.90,0.5043,-3.9635,1.151e-02
1.40,0.90,2.1901,-5.3264,1.325e-02
1.42,0.90,2.1901,-5.3264,1.502e-02
1.44,0.90,2.1901,-5.3264,1.681e-02
1.46,0.90,2.1901,-5.3264,1.861e-02
1.48,0.90,2.1901,-5.3264,2.044e-02
1.50,0.90,2.1901,-5.3264,2.228e-02
1.52,0.90,2.1901,-5.3264,2.414e-02
1.54,0.90,2.1901,-5.3264,2.601e-02
1.56,0.90,2.1901,-5.3264,2.790e-02
1.58,0.90,2.1901,-5.3264,2.981e-02
1.60,0.90,2.1901,-5.3264,3.173e-02
1.62,0.90,2.1901,-5.3264,3.366e-02
1.64,0.90,2.1901,-5.3264,3.560e-02
1.66,0.90,2.1901,-5.3264,3.756e-02
1.68,0.90,2.1901,-5.3264,3.953e-02
1.70,0.90,2.1901,-5.3264,4.150e-02
1.72,0.90,2.1901,-5.3264,4.349e-02
1.74,0.90,2.1901,-5.3264,4.548e-02
1.76,0.90,2.1901,-5.3264,4.749e-02
1.78,0.90,2.1901,-5.3264,4.950e-02
1.80,0.90,2.1901,-5.3264,5.151e-02
1.82,0.90,2.1901,-5.3264,5.353e-02
1.84,0.90,2.1901,-5.3264,5.556e-02
1.86,0.90,2.1901,-5.3264,5.758e-02
1.88,0.90,2.1901,-5.3264,5.961e-02
1.90,0.90,2.1901,-5.3264,6.164e-02
1.92,0.90,2.1901,-5.3264,6.368e-02
1.94,0.90,2.1901,-5.3264,6.571e-02
1.96,0.90,2.1901,-5.3264,6.773e-02
1.98,0.90,2.1901,-5.3264,6.976e-02
2.00,0.90,2.1901,-5.3264,7.178e-02
2.02,0.90,2.1901,-5.3264,7.379e-02
2.04,0.90,2.1901,-5.3264,7.579e-02
2.06,0.90,2.1901,-5.3264,7.779e-02
2.08,0.90,2.1901,-5.3264,7.977e-02
2.10,0.90,2.1901,-5.3264,8.174e-02
2.12,0.90,2.1901,-5.3264,8.369e-02
2.14,0.90,2.1901,-5.3264,8.562e-02
2.16,0.90,2.1901,-5.3264,8.752e-02
2.18,0.90,2.1901,-5.3264,8.940e-02
2.20,0.90,2.1901,-5.3264,9.125e-02
2.22,0.90,2.1901,-5.3264,9.306e-02
2.24,0.90,2.1901,-5.3264,9.483e-02
2.26,0.90,2.1901,-5.3264,9.654e-02
2.28,0.90,2.1901,-5.3264,9.820e-02
2.30,0.90,2.1901,-5.3264,9.977e-02
2.32,0.90,2.1901,-5.3264,1.013e-01
2.34,0.90,2.1901,-5.3264,1.026e-01
2.36,0.90,2.1901,-5.3264,1.038e-01
2.38,0.90,2.1901,-5.3264,1.047e-01
2.40,0.90,2.1901,-5.3264,1.053e-01
2.42,0.90,2.1901,-5.3264,1.049e-01
0.92,0.92,nan,nan,0.000e+00
0.94,0.92,nan,nan,0.000e+00
0.96,0.92,nan,nan,0.000e+00
0.98,0.92,nan,nan,0.000e+00
1.00,0.92,nan,nan,0.000e+00
1.02,0.92,nan,nan,0.000e+00
1.04,0.92,nan,nan,0.000e+00
1.06,0.92,nan,nan,0.000e+00
1.08,0.92,nan,nan,0.000e+00
1.10,0.92,nan,nan,0.000e+00
1.12,0.92,nan,nan,0.000e+00
1.14,0.92,nan,nan,0.000e+00
1.16,0.92,nan,nan,0.000e+00
1.18,0.92,nan,nan,0.000e+00
1.20,0.92,nan,nan,0.000e+00
1.22,0.92,nan,nan,0.000e+00
1.24,0.92,nan,nan,0.000e+00
1.26,0.92,-7.3177,0.0319,9.997e-04
1.28,0.92,-7.3177,0.0319,2.524e-03
1.30,0.92,-7.3177,0.0319,4.075e-03
1.32,0.92,-5.2813,0.0661,5.652e-03
1.34,0.92,-4.5110,-0.1214,7.254e-03
1.36,0.92,-2.9964,0.1304,8.879e-03
1.38,0.92,-0.6040,-2.4092,1.053e-02
1.40,0.92,2.1901,-5.3264,1.220e-02
1.42,0.92,2.1901,-5.3264,1.389e-02
1.44,0.92,2.1901,-5.3264,1.560e-02
1.46,0.92,2.1901,-5.3264,1.733e-02
1.48,0.92,2.1901,-5.3264,1.908e-02
1.50,0.92,2.1901,-5.3264,2.084e-02
1.52,0.92,2.1901,-5.3264,2.263e-02
1.54,0.92,2.1901,-5.3264,2.443e-02
1.56,0.92,2.1901,-5.3264,2.624e-02
1.58,0.92,2.1901,-5.3264,2.807e-02
1.60,0.92,2.1901,-5.3264,2.991e-02
1.62,0.92,2.1901,-5.3264,3.177e-02
1.64,0.92,2.1901,-5.3264,3.364e-02
1.66,0.92,2.1901,-5.3264,3.552e-02
1.68,0.92,2.1901,-5.3264,3.741e-02
1.70,0.92,2.1901,-5.3264,3.931e-02
1.72,0.92,2.1901,-5.3264,4.122e-02
1.74,0.92,2.1901,-5.3264,4.314e-02
1.76,0.92,2.1901,-5.3264,4.507e-02
1.78,0.92,2.1901,-5.3264,4.700e-02
1.80,0.92,2.1901,-5.3264,4.894e-02
1.82,0.92,2.1901,-5.3264,5.088e-02
1.84,0.92,2.1901,-5.3264,5.283e-02
1.86,0.92,2.1901,-5.3264,5.478e-02
1.88,0.92,2.1901,-5.3264,5.674e-02
1.90,0.92,2.1901,-5.3264,5.869e-02
1.92,0.92,2.1901,-5.3264,6.064e-02
1.94,0.92,2.1901,-5.3264,6.260e-02
1.96,0.92,2.1901,-5.3264,6.455e-02
1.98,0.92,2.1901,-5.3264,6.649e-02
2.00,0.92,2.1901,-5.3264,6.843e-02
2.02,0.92,2.1901,-5.3264,7.037e-02
2.04,0.92,2.1901,-5.3264,7.230e-02
2.06,0.92,2.1901,-5.3264,7.421e-02
2.08,0.92,2.1901,-5.3264,7.611e-02
2.10,0.92,2.1901,-5.3264,7.800e-02
2.12,0.92,2.1901,-5.3264,7.987e-02
2.14,0.92,2.1901,-5.3264,8.173e-02
2.16,0.92,2.1901,-5.3264,8.355e-02
2.18,0.92,2.1901,-5.3264,8.535e-02
2.20,0.92,2.1901,-5.3264,8.712e-02
2.22,0.92,2.1901,-5.3264,8.885e-02
2.24,0.92,2.1901,-5.3264,9.054e-02
2.26,0.92,2.1901,-5.3264,9.218e-02
2.28,0.92,2.1901,-5.3264,9.375e-02
2.30,0.92,2.1901,-5.3264,9.524e-02
2.32,0.92,2.1901,-5.3264,9.664e-02
2.34,0.92,2.1901,-5.3264,9.792e-02
2.36,0.92,2.1901,-5.3264,9.903e-02
2.38,0.92,2.1901,-5.3264,9.989e-02
2.40,0.92,2.1901,-5.3264,1.004e-01
2.42,0.92,2.1901,-5.3264,9.992e-02
0.94,0.94,nan,nan,0.000e+00
0.96,0.94,nan,nan,0.000e+00
0.98,0.94,nan,nan,0.000e+00
1.00,0.94,nan,nan,0.000e+00
1.02,0.94,nan,nan,0.000e+00
1.04,0.94,nan,nan,0.000e+00
1.06,0.94,nan,nan,0.000e+00
1.08,0.94,nan,nan,0.000e+00
1.10,0.94,nan,nan,0.000e+00
1.12,0.94,nan,nan,0.000e+00
1.14,0.94,nan,nan,0.000e+00
1.16,0.94,nan,nan,0.000e+00
1.18,0.94,nan,nan,0.000e+00
1.20,0.94,nan,nan,0.000e+00
1.22,0.94,nan,nan,0.000e+00
1.24,0.94,nan,nan,0.000e+00
1.26,0.94,-7.3177,0.0319,5.455e-04
1.28,0.94,-7.3177,0.0319,1.995e-03
1.30,0.94,-7.3177,0.0319,3.472e-03
1.32,0.94,-5.3325,0.0683,4.974e-03
1.34,0.94,-4.5836,-0.0586,6.501e-03
1.36,0.94,-3.1096,0.4842,8.052e-03
1.38,0.94,-1.8040,-1.3638,9.625e-03
1.40,0.94,1.8776,-4.9785,1.122e-02
1.42,0.94,2.1901,-5.3264,1.284e-02
1.44,0.94,2.1901,-5.3264,1.447e-02
1.46,0.94,2.1901,-5.3264,1.613e-02
1.48,0.94,2.1901,-5.3264,1.781e-02
1.50,0.94,2.1901,-5.3264,1.950e-02
1.52,0.94,2.1901,-5.3264,2.121e-02
1.54,0.94,2.1901,-5.3264,2.293e-02
1.56,0.94,2.1901,-5.3264,2.468e-02
1.58,0.94,2.1901,-5.3264,2.643e-02
1.60,0.94,2.1901,-5.3264,2.820e-02
1.62,0.94,2.1901,-5.3264,2.998e-02
1.64,0.94,2.1901,-5.3264,3.178e-02
1.66,0.94,2.1901,-5.3264,3.359e-02
1.68,0.94,2.1901,-5.3264,3.540e-02
1.70,0.94,2.1901,-5.3264,3.723e-02
1.72,0.94,2.1901,-5.3264,3.907e-02
1.74,0.94,2.1901,-5.3264,4.091e-02
1.76,0.94,2.1901,-5.3264,4.276e-02
1.78,0.94,2.1901,-5.3264,4.462e-02
1.80,0.94,2.1901,-5.3264,4.649e-02
1.82,0.94,2.1901,-5.3264,4.836e-02
1.84,0.94,2.1901,-5.3264,5.023e-02
1.86,0.94,2.1901,-5.3264,5.211e-02
1.88,0.94,2.1901,-5.3264,5.398e-02
1.90,0.94,2.1901,-5.3264,5.586e-02
1.92,0.94,2.1901,-5.3264,5.774e-02
1.94,0.94,2.1901,-5.3264,5.962e-02
1.96,0.94,2.1901,-5.3264,6.149e-02
1.98,0.94,2.1901,-5.3264,6.337e-02
2.00,0.94,2.1901,-5.3264,6.523e-02
2.02,0.94,2.1901,-5.3264,6.709e-02
2.04,0.94,2.1901,-5.3264,6.894e-02
2.06,0.94,2.1901,-5.3264,7.078e-02
2.08,0.94,2.1901,-5.3264,7.261e-02
