M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9093,-0.7857,2.119e-01
0.92,0.90,1.9617,-0.4888,2.119e-01
0.94,0.90,1.9671,-0.5090,2.119e-01
0.96,0.90,1.9653,-0.5048,2.119e-01
0.98,0.90,1.9633,-0.4998,2.120e-01
1.00,0.90,1.9609,-0.4941,2.120e-01
1.02,0.90,1.9581,-0.4876,2.121e-01
1.04,0.90,1.9549,-0.4802,2.121e-01
1.06,0.90,1.9512,-0.4721,2.122e-01
1.08,0.90,1.9470,-0.4630,2.122e-01
1.10,0.90,1.9422,-0.4531,2.123e-01
1.12,0.90,1.9369,-0.4423,2.124e-01
1.14,0.90,1.9308,-0.4305,2.125e-01
1.16,0.90,1.9240,-0.4178,2.126e-01
1.18,0.90,1.9162,-0.4041,2.127e-01
1.20,0.90,1.9075,-0.3894,2.129e-01
1.22,0.90,1.8976,-0.3737,2.130e-01
1.24,0.90,1.8865,-0.3571,2.132e-01
1.26,0.90,1.8740,-0.3396,2.135e-01
1.28,0.90,1.8599,-0.3212,2.137e-01
1.30,0.90,1.8439,-0.3019,2.140e-01
1.32,0.90,1.8135,-0.2486,2.144e-01
1.34,0.90,1.8095,-0.3199,2.148e-01
1.36,0.90,1.6717,-0.5027,2.153e-01
1.38,0.90,1.9383,-0.8403,2.159e-01
1.40,0.90,2.0376,-0.7490,2.166e-01
1.42,0.90,2.0381,-0.7502,2.174e-01
1.44,0.90,2.0387,-0.7516,2.184e-01
1.46,0.90,2.0394,-0.7533,2.196e-01
1.48,0.90,2.0403,-0.7554,2.210e-01
1.50,0.90,2.0413,-0.7580,2.227e-01
1.52,0.90,2.0426,-0.7611,2.248e-01
1.54,0.90,2.0441,-0.7649,2.275e-01
1.56,0.90,2.0460,-0.7697,2.307e-01
1.58,0.90,2.0483,-0.7757,2.348e-01
1.60,0.90,2.0512,-0.7832,2.400e-01
1.62,0.90,2.0547,-0.7926,2.466e-01
1.64,0.90,2.0589,-0.8044,2.551e-01
1.66,0.90,2.0641,-0.8194,2.662e-01
1.68,0.90,2.0703,-0.8383,2.807e-01
1.70,0.90,2.0776,-0.8621,2.999e-01
1.72,0.90,2.0861,-0.8922,3.256e-01
1.74,0.90,2.0957,-0.9297,3.600e-01
1.76,0.90,2.1063,-0.9762,4.068e-01
