M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.1600,-0.9539,6.267e-01
0.92,0.90,0.1524,0.0409,5.845e-01
0.94,0.90,0.2425,0.0260,5.474e-01
0.96,0.90,0.2859,0.0254,5.149e-01
0.98,0.90,0.3280,0.0247,4.863e-01
1.00,0.90,0.3689,0.0240,4.611e-01
1.02,0.90,0.4085,0.0233,4.388e-01
1.04,0.90,0.4467,0.0225,4.191e-01
1.06,0.90,0.4836,0.0216,4.017e-01
1.08,0.90,0.5192,0.0207,3.863e-01
1.10,0.90,0.5535,0.0198,3.726e-01
1.12,0.90,0.5865,0.0188,3.603e-01
1.14,0.90,0.6182,0.0178,3.495e-01
1.16,0.90,0.6486,0.0168,3.397e-01
1.18,0.90,0.6777,0.0157,3.310e-01
1.20,0.90,0.7056,0.0146,3.232e-01
1.22,0.90,0.7322,0.0135,3.162e-01
1.24,0.90,0.7577,0.0124,3.099e-01
1.26,0.90,0.7821,0.0112,3.042e-01
1.28,0.90,0.8053,0.0100,2.990e-01
1.30,0.90,0.8275,0.0089,2.944e-01
1.32,0.90,0.8188,0.0348,2.902e-01
1.34,0.90,0.8776,-0.0625,2.863e-01
1.36,0.90,0.6796,-0.3918,2.828e-01
1.38,0.90,1.4174,-1.4006,2.796e-01
1.40,0.90,2.0659,-0.8247,2.766e-01
1.42,0.90,2.0648,-0.8216,2.739e-01
1.44,0.90,2.0639,-0.8187,2.714e-01
1.46,0.90,2.0630,-0.8161,2.690e-01
1.48,0.90,2.0621,-0.8136,2.668e-01
1.50,0.90,2.0614,-0.8114,2.648e-01
1.52,0.90,2.0606,-0.8093,2.628e-01
1.54,0.90,2.0600,-0.8073,2.609e-01
1.56,0.90,2.0593,-0.8055,2.590e-01
1.58,0.90,2.0588,-0.8039,2.571e-01
1.60,0.90,2.0582,-0.8024,2.552e-01
1.62,0.90,2.0577,-0.8010,2.533e-01
1.64,0.90,2.0573,-0.7997,2.513e-01
1.66,0.90,2.0569,-0.7986,2.492e-01
1.68,0.90,2.0565,-0.7976,2.470e-01
1.70,0.90,2.0562,-0.7967,2.446e-01
1.72,0.90,2.0559,-0.7959,2.420e-01
1.74,0.90,2.0557,-0.7953,2.392e-01
1.76,0.90,2.0555,-0.7948,2.362e-01
1.78,0.90,2.0553,-0.7944,2.329e-01
1.80,0.90,2.0553,-0.7941,2.294e-01
1.82,0.90,2.0552,-0.7940,2.255e-01
1.84,0.90,2.0552,-0.7940,2.214e-01
1.86,0.90,2.0553,-0.7941,2.170e-01
1.88,0.90,2.0554,-0.7944,2.123e-01
1.90,0.90,2.0555,-0.7949,2.073e-01
1.92,0.90,2.0557,-0.7955,2.021e-01
1.94,0.90,2.0560,-0.7962,1.967e-01
1.96,0.90,2.0563,-0.7971,1.911e-01
1.98,0.90,2.0567,-0.7982,1.854e-01
2.00,0.90,2.0572,-0.7995,1.795e-01
2.02,0.90,2.0577,-0.8009,1.735e-01
2.04,0.90,2.0583,-0.8025,1.675e-01
2.06,0.90,2.0589,-0.8044,1.614e-01
2.08,0.90,2.0597,-0.8064,1.554e-01
2.10,0.90,2.0604,-0.8087,1.494e-01
2.12,0.90,2.0613,-0.8112,1.435e-01
2.14,0.90,2.0622,-0.8139,1.377e-01
2.16,0.90,2.0633,-0.8169,1.320e-01
2.18,0.90,2.0644,-0.8202,1.264e-01
2.20,0.90,2.0656,-0.8237,1.210e-01
2.22,0.90,2.0668,-0.8276,1.158e-01
2.24,0.90,2.0682,-0.8318,1.108e-01
2.26,0.90,2.0697,-0.8363,1.059e-01
2.28,0.90,2.0712,-0.8412,1.013e-01
2.30,0.90,2.0729,-0.8465,9.681e-02
2.32,0.90,2.0746,-0.8523,9.253e-02
2.34,0.90,2.0765,-0.8586,8.843e-02
2.36,0.90,2.0785,-0.8653,8.452e-02
2.38,0.90,2.0807,-0.8727,8.076e-02
2.40,0.90,2.0830,-0.8808,7.713e-02
2.42,0.90,2.0854,-0.8897,7.356e-02
0.92,0.92,0.1962,0.1050,5.345e-01
0.94,0.92,0.3436,0.1557,5.022e-01
0.96,0.92,0.3477,0.0244,4.738e-01
0.98,0.92,0.3900,0.0236,4.489e-01
1.00,0.92,0.4310,0.0228,4.270e-01
1.02,0.92,0.4707,0.0219,4.077e-01
1.04,0.92,0.5090,0.0210,3.906e-01
1.06,0.92,0.5459,0.0200,3.755e-01
1.08,0.92,0.5815,0.0190,3.621e-01
1.10,0.92,0.6158,0.0179,3.502e-01
1.12,0.92,0.6487,0.0168,3.397e-01
1.14,0.92,0.6802,0.0156,3.303e-01
1.16,0.92,0.7104,0.0144,3.219e-01
1.18,0.92,0.7393,0.0132,3.144e-01
1.20,0.92,0.7670,0.0119,3.077e-01
1.22,0.92,0.7934,0.0106,3.016e-01
1.24,0.92,0.8186,0.0093,2.962e-01
1.26,0.92,0.8426,0.0080,2.913e-01
1.28,0.92,0.8655,0.0067,2.869e-01
1.30,0.92,0.8873,0.0054,2.829e-01
1.32,0.92,0.8836,0.0394,2.793e-01
1.34,0.92,0.8474,-0.1434,2.760e-01
1.36,0.92,0.8963,0.1022,2.730e-01
1.38,0.92,0.8733,-1.8020,2.703e-01
1.40,0.92,2.0624,-0.8144,2.677e-01
1.42,0.92,2.0615,-0.8117,2.654e-01
1.44,0.92,2.0606,-0.8092,2.632e-01
1.46,0.92,2.0598,-0.8069,2.611e-01
1.48,0.92,2.0591,-0.8047,2.592e-01
1.50,0.92,2.0584,-0.8028,2.573e-01
1.52,0.92,2.0577,-0.8010,2.555e-01
1.54,0.92,2.0571,-0.7993,2.537e-01
1.56,0.92,2.0566,-0.7978,2.519e-01
1.58,0.92,2.0561,-0.7964,2.501e-01
1.60,0.92,2.0556,-0.7951,2.482e-01
1.62,0.92,2.0552,-0.7940,2.463e-01
1.64,0.92,2.0548,-0.7929,2.442e-01
1.66,0.92,2.0545,-0.7920,2.419e-01
1.68,0.92,2.0542,-0.7912,2.395e-01
1.70,0.92,2.0539,-0.7905,2.369e-01
1.72,0.92,2.0537,-0.7900,2.340e-01
1.74,0.92,2.0536,-0.7895,2.309e-01
