M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8930,-0.8530,1.779e-01
0.92,0.90,1.9360,-0.5094,1.779e-01
0.94,0.90,1.9517,-0.4733,1.780e-01
0.96,0.90,1.9496,-0.4686,1.780e-01
0.98,0.90,1.9471,-0.4632,1.780e-01
1.00,0.90,1.9441,-0.4569,1.781e-01
1.02,0.90,1.9406,-0.4498,1.781e-01
1.04,0.90,1.9366,-0.4418,1.781e-01
1.06,0.90,1.9321,-0.4330,1.782e-01
1.08,0.90,1.9270,-0.4233,1.783e-01
1.10,0.90,1.9211,-0.4127,1.783e-01
1.12,0.90,1.9145,-0.4012,1.784e-01
1.14,0.90,1.9071,-0.3888,1.785e-01
1.16,0.90,1.8987,-0.3754,1.786e-01
1.18,0.90,1.8893,-0.3612,1.787e-01
1.20,0.90,1.8787,-0.3460,1.789e-01
1.22,0.90,1.8668,-0.3300,1.790e-01
1.24,0.90,1.8534,-0.3132,1.792e-01
1.26,0.90,1.8383,-0.2955,1.794e-01
1.28,0.90,1.8214,-0.2772,1.797e-01
1.30,0.90,1.8023,-0.2583,1.799e-01
1.32,0.90,1.7742,-0.2144,1.803e-01
1.34,0.90,1.8861,0.0316,1.806e-01
1.36,0.90,1.5327,-0.9386,1.811e-01
1.38,0.90,2.0309,-0.7557,1.816e-01
1.40,0.90,2.0386,-0.7513,1.822e-01
1.42,0.90,2.0392,-0.7529,1.829e-01
1.44,0.90,2.0400,-0.7548,1.838e-01
1.46,0.90,2.0409,-0.7571,1.848e-01
1.48,0.90,2.0421,-0.7599,1.861e-01
1.50,0.90,2.0435,-0.7633,1.877e-01
1.52,0.90,2.0452,-0.7675,1.896e-01
1.54,0.90,2.0472,-0.7728,1.920e-01
1.56,0.90,2.0497,-0.7794,1.950e-01
1.58,0.90,2.0528,-0.7876,1.989e-01
1.60,0.90,2.0566,-0.7980,2.038e-01
1.62,0.90,2.0613,-0.8111,2.102e-01
1.64,0.90,2.0669,-0.8278,2.185e-01
1.66,0.90,2.0737,-0.8492,2.294e-01
1.68,0.90,2.0817,-0.8764,2.440e-01
1.70,0.90,2.0911,-0.9113,2.636e-01
1.72,0.90,2.1018,-0.9556,2.901e-01
1.74,0.90,2.1135,-1.0117,3.263e-01
1.76,0.90,2.1259,-1.0821,3.762e-01
1.78,0.90,2.1622,-1.2229,4.113e-01
1.80,0.90,2.1868,-1.4205,4.837e-01
1.82,0.90,2.1918,-1.6626,6.113e-01
1.84,0.90,2.1914,-1.9284,8.059e-01
1.86,0.90,2.1904,-2.2107,1.091e+00
1.88,0.90,2.1897,-2.5089,1.505e+00
1.90,0.90,2.1895,-2.8251,2.108e+00
1.92,0.90,2.1895,-3.1631,2.991e+00
1.94,0.90,2.1897,-3.5270,4.298e+00
1.96,0.90,2.1899,-3.9195,6.251e+00
1.98,0.90,2.1900,-4.3365,9.210e+00
2.00,0.90,2.1901,-4.7501,1.375e+01
2.02,0.90,2.1901,-5.0833,2.086e+01
2.04,0.90,2.1901,-5.2579,3.230e+01
0.92,0.92,1.9151,-0.5505,1.779e-01
0.94,0.92,1.9555,-0.4096,1.780e-01
0.96,0.92,1.9493,-0.4680,1.780e-01
0.98,0.92,1.9471,-0.4633,1.780e-01
1.00,0.92,1.9445,-0.4578,1.780e-01
1.02,0.92,1.9415,-0.4516,1.781e-01
1.04,0.92,1.9380,-0.4445,1.781e-01
1.06,0.92,1.9340,-0.4366,1.782e-01
1.08,0.92,1.9294,-0.4278,1.782e-01
1.10,0.92,1.9242,-0.4182,1.783e-01
1.12,0.92,1.9183,-0.4077,1.784e-01
1.14,0.92,1.9117,-0.3963,1.784e-01
1.16,0.92,1.9042,-0.3841,1.785e-01
1.18,0.92,1.8958,-0.3709,1.786e-01
1.20,0.92,1.8864,-0.3569,1.787e-01
1.22,0.92,1.8758,-0.3420,1.789e-01
1.24,0.92,1.8639,-0.3263,1.790e-01
1.26,0.92,1.8505,-0.3097,1.792e-01
1.28,0.92,1.8355,-0.2924,1.794e-01
1.30,0.92,1.8187,-0.2745,1.796e-01
1.32,0.92,1.8009,-0.2161,1.798e-01
1.34,0.92,1.8811,-0.0836,1.801e-01
1.36,0.92,1.6075,-0.6682,1.804e-01
1.38,0.92,1.9343,-0.8449,1.808e-01
1.40,0.92,2.0380,-0.7501,1.812e-01
1.42,0.92,2.0386,-0.7514,1.817e-01
1.44,0.92,2.0392,-0.7529,1.823e-01
1.46,0.92,2.0400,-0.7548,1.830e-01
1.48,0.92,2.0409,-0.7570,1.838e-01
1.50,0.92,2.0420,-0.7597,1.848e-01
1.52,0.92,2.0434,-0.7631,1.860e-01
1.54,0.92,2.0450,-0.7672,1.874e-01
1.56,0.92,2.0470,-0.7723,1.893e-01
1.58,0.92,2.0495,-0.7787,1.916e-01
1.60,0.92,2.0526,-0.7868,1.945e-01
1.62,0.92,2.0563,-0.7970,1.982e-01
1.64,0.92,2.0609,-0.8100,2.031e-01
1.66,0.92,2.0665,-0.8266,2.095e-01
1.68,0.92,2.0733,-0.8479,2.180e-01
1.70,0.92,2.0815,-0.8755,2.294e-01
1.72,0.92,2.0911,-0.9111,2.449e-01
1.74,0.92,2.1348,-0.9713,2.325e-01
1.76,0.92,2.1818,-1.0765,2.328e-01
1.78,0.92,2.1944,-1.2534,2.610e-01
1.80,0.92,2.1939,-1.4717,3.151e-01
1.82,0.92,2.1908,-1.7144,3.988e-01
1.84,0.92,2.1885,-1.9750,5.203e-01
1.86,0.92,2.1876,-2.2524,6.934e-01
1.88,0.92,2.1876,-2.5485,9.392e-01
1.90,0.92,2.1881,-2.8670,1.289e+00
1.92,0.92,2.1887,-3.2126,1.792e+00
1.94,0.92,2.1893,-3.5903,2.520e+00
1.96,0.92,2.1897,-4.0031,3.584e+00
1.98,0.92,2.1899,-4.4428,5.161e+00
2.00,0.92,2.1901,-4.8649,7.526e+00
2.02,0.92,2.1901,-5.1631,1.114e+01
2.04,0.92,2.1901,-5.2173,1.682e+01
0.94,0.94,1.9765,-0.2613,1.780e-01
0.96,0.94,1.9525,-0.4252,1.780e-01
0.98,0.94,1.9468,-0.4626,1.780e-01
1.00,0.94,1.9446,-0.4579,1.780e-01
1.02,0.94,1.9419,-0.4524,1.781e-01
1.04,0.94,1.9388,-0.4462,1.781e-01
1.06,0.94,1.9353,-0.4391,1.781e-01
1.08,0.94,1.9312,-0.4313,1.782e-01
1.10,0.94,1.9266,-0.4226,1.782e-01
1.12,0.94,1.9213,-0.4130,1.783e-01
1.14,0.94,1.9154,-0.4026,1.784e-01
1.16,0.94,1.9087,-0.3914,1.784e-01
1.18,0.94,1.9012,-0.3793,1.785e-01
1.20,0.94,1.8928,-0.3663,1.786e-01
1.22,0.94,1.8833,-0.3525,1.787e-01
1.24,0.94,1.8727,-0.3378,1.788e-01
1.26,0.94,1.8608,-0.3223,1.790e-01
1.28,0.94,1.8475,-0.3061,1.791e-01
1.30,0.94,1.8320,-0.2889,1.792e-01
1.32,0.94,1.8221,-0.2184,1.794e-01
1.34,0.94,1.8631,-0.1900,1.796e-01
1.36,0.94,1.6817,-0.3981,1.798e-01
1.38,0.94,1.7493,-1.0238,1.801e-01
1.40,0.94,2.0376,-0.7491,1.803e-01
1.42,0.94,2.0381,-0.7501,1.806e-01
1.44,0.94,2.0386,-0.7514,1.809e-01
1.46,0.94,2.0392,-0.7529,1.813e-01
1.48,0.94,2.0400,-0.7548,1.818e-01
1.50,0.94,2.0409,-0.7570,1.823e-01
1.52,0.94,2.0420,-0.7597,1.828e-01
1.54,0.94,2.0433,-0.7630,1.835e-01
1.56,0.94,2.0450,-0.7671,1.844e-01
1.58,0.94,2.0470,-0.7722,1.855e-01
1.60,0.94,2.0495,-0.7786,1.868e-01
1.62,0.94,2.0525,-0.7867,1.885e-01
1.64,0.94,2.0563,-0.7970,1.908e-01
1.66,0.94,2.0610,-0.8102,1.938e-01
1.68,0.94,2.0667,-0.8273,1.979e-01
1.70,0.94,2.0994,-0.8449,1.755e-01
1.72,0.94,2.1711,-0.8575,1.483e-01
1.74,0.94,2.1973,-0.9555,1.432e-01
1.76,0.94,2.1987,-1.1143,1.534e-01
1.78,0.94,2.1922,-1.3110,1.771e-01
1.80,0.94,2.1860,-1.5321,2.152e-01
1.82,0.94,2.1825,-1.7716,2.708e-01
1.84,0.94,2.1816,-2.0285,3.490e-01
1.86,0.94,2.1825,-2.3045,4.580e-01
1.88,0.94,2.1842,-2.6034,6.098e-01
1.90,0.94,2.1861,-2.9301,8.219e-01
1.92,0.94,2.1878,-3.2908,1.121e+00
1.94,0.94,2.1889,-3.6912,1.545e+00
1.96,0.94,2.1896,-4.1329,2.153e+00
1.98,0.94,2.1899,-4.5978,3.035e+00
2.00,0.94,2.1901,-5.0044,4.330e+00
2.02,0.94,2.1901,-5.0896,6.266e+00
2.04,0.94,2.1901,-5.1576,9.248e+00
0.96,0.96,1.9944,-0.2896,1.780e-01
0.98,0.96,1.9446,-0.4379,1.780e-01
1.00,0.96,1.9442,-0.4571,1.780e-01
1.02,0.96,1.9419,-0.4524,1.781e-01
1.04,0.96,1.9392,-0.4470,1.781e-01
1.06,0.96,1.9361,-0.4407,1.781e-01
1.08,0.96,1.9325,-0.4337,1.782e-01
1.10,0.96,1.9283,-0.4259,1.782e-01
1.12,0.96,1.9237,-0.4172,1.783e-01
1.14,0.96,1.9183,-0.4078,1.783e-01
1.16,0.96,1.9124,-0.3975,1.784e-01
1.18,0.96,1.9056,-0.3864,1.784e-01
1.20,0.96,1.8981,-0.3744,1.785e-01
1.22,0.96,1.8896,-0.3616,1.786e-01
1.24,0.96,1.8801,-0.3479,1.787e-01
1.26,0.96,1.8695,-0.3335,1.787e-01
1.28,0.96,1.8575,-0.3183,1.788e-01
1.30,0.96,1.8338,-0.2918,1.789e-01
1.32,0.96,1.8395,-0.2205,1.790e-01
1.34,0.96,1.8465,-0.2723,1.791e-01
1.36,0.96,1.7556,-0.1911,1.793e-01
1.38,0.96,1.6677,-1.0593,1.794e-01
1.40,0.96,2.0373,-0.7483,1.795e-01
1.42,0.96,2.0377,-0.7492,1.796e-01
1.44,0.96,2.0381,-0.7502,1.797e-01
1.46,0.96,2.0386,-0.7515,1.798e-01
1.48,0.96,2.0393,-0.7530,1.799e-01
1.50,0.96,2.0400,-0.7549,1.799e-01
1.52,0.96,2.0409,-0.7571,1.800e-01
1.54,0.96,2.0421,-0.7598,1.800e-01
1.56,0.96,2.0434,-0.7632,1.800e-01
1.58,0.96,2.0451,-0.7673,1.800e-01
1.60,0.96,2.0471,-0.7725,1.800e-01
1.62,0.96,2.0496,-0.7791,1.801e-01
1.64,0.96,2.0528,-0.7874,1.802e-01
1.66,0.96,2.0590,-0.8046,1.646e-01
1.68,0.96,2.1521,-0.7465,1.212e-01
1.70,0.96,2.1970,-0.7686,1.013e-01
1.72,0.96,2.2055,-0.8613,9.468e-02
1.74,0.96,2.1961,-1.0051,9.731e-02
1.76,0.96,2.1828,-1.1829,1.076e-01
1.78,0.96,2.1729,-1.3836,1.257e-01
1.80,0.96,2.1681,-1.6024,1.525e-01
1.82,0.96,2.1680,-1.8384,1.902e-01
1.84,0.96,2.1710,-2.0935,2.421e-01
1.86,0.96,2.1756,-2.3719,3.131e-01
1.88,0.96,2.1804,-2.6789,4.102e-01
1.90,0.96,2.1844,-3.0213,5.437e-01
1.92,0.96,2.1872,-3.4063,7.283e-01
1.94,0.96,2.1888,-3.8395,9.858e-01
1.96,0.96,2.1897,-4.3173,1.348e+00
1.98,0.96,2.1900,-4.7915,1.864e+00
2.00,0.96,2.1900,-4.8984,2.607e+00
2.02,0.96,2.1901,-4.9905,3.695e+00
2.04,0.96,2.1901,-5.0675,5.339e+00
0.98,0.98,1.9794,-0.4066,1.780e-01
1.00,0.98,1.9416,-0.4331,1.780e-01
1.02,0.98,1.9415,-0.4516,1.781e-01
1.04,0.98,1.9392,-0.4469,1.781e-01
1.06,0.98,1.9365,-0.4414,1.781e-01
1.08,0.98,1.9333,-0.4352,1.781e-01
1.10,0.98,1.9296,-0.4282,1.782e-01
1.12,0.98,1.9254,-0.4204,1.782e-01
1.14,0.98,1.9206,-0.4118,1.782e-01
1.16,0.98,1.9153,-0.4024,1.783e-01
1.18,0.98,1.9092,-0.3922,1.783e-01
1.20,0.98,1.9024,-0.3812,1.784e-01
1.22,0.98,1.8948,-0.3694,1.784e-01
1.24,0.98,1.8863,-0.3567,1.785e-01
1.26,0.98,1.8767,-0.3432,1.785e-01
1.28,0.98,1.8660,-0.3290,1.786e-01
1.30,0.98,1.8400,-0.2978,1.786e-01
1.32,0.98,1.8544,-0.2215,1.787e-01
1.34,0.98,1.8338,-0.3328,1.787e-01
1.36,0.98,1.8244,-0.0560,1.787e-01
1.38,0.98,1.6173,-0.9990,1.787e-01
1.40,0.98,1.9877,-0.7917,1.787e-01
1.42,0.98,2.0373,-0.7484,1.786e-01
1.44,0.98,2.0377,-0.7493,1.785e-01
1.46,0.98,2.0382,-0.7504,1.783e-01
1.48,0.98,2.0387,-0.7517,1.780e-01
1.50,0.98,2.0393,-0.7532,1.777e-01
1.52,0.98,2.0401,-0.7551,1.772e-01
1.54,0.98,2.0410,-0.7574,1.766e-01
1.56,0.98,2.0422,-0.7601,1.758e-01
1.58,0.98,2.0436,-0.7636,1.748e-01
1.60,0.98,2.0453,-0.7679,1.736e-01
1.62,0.98,2.0475,-0.7734,1.722e-01
1.64,0.98,2.1231,-0.7112,1.188e-01
1.66,0.98,2.1889,-0.6725,8.858e-02
1.68,0.98,2.2110,-0.7040,7.325e-02
1.70,0.98,2.2033,-0.7942,6.666e-02
1.72,0.98,2.1824,-0.9273,6.602e-02
1.74,0.98,2.1613,-1.0893,7.016e-02
1.76,0.98,2.1467,-1.2717,7.878e-02
1.78,0.98,2.1405,-1.4703,9.222e-02
1.80,0.98,2.1420,-1.6847,1.113e-01
1.82,0.98,2.1490,-1.9174,1.376e-01
1.84,0.98,2.1588,-2.1733,1.730e-01
1.86,0.98,2.1690,-2.4588,2.207e-01
1.88,0.98,2.1775,-2.7814,2.850e-01
1.90,0.98,2.1836,-3.1491,3.719e-01
1.92,0.98,2.1872,-3.5693,4.902e-01
1.94,0.98,2.1891,-4.0446,6.524e-01
1.96,0.98,2.1898,-4.5493,8.769e-01
1.98,0.98,2.1899,-4.6617,1.191e+00
2.00,0.98,2.1899,-4.7621,1.635e+00
2.02,0.98,2.1900,-4.8494,2.273e+00
2.04,0.98,2.1900,-4.9249,3.221e+00
