M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7674,-0.9457,1.790e-01
0.92,0.90,1.8383,-0.3862,1.791e-01
0.94,0.90,1.8624,-0.3243,1.792e-01
0.96,0.90,1.8518,-0.3113,1.794e-01
0.98,0.90,1.8388,-0.2961,1.796e-01
1.00,0.90,1.8235,-0.2794,1.799e-01
1.02,0.90,1.8062,-0.2620,1.802e-01
1.04,0.90,1.7872,-0.2444,1.805e-01
1.06,0.90,1.7667,-0.2269,1.809e-01
1.08,0.90,1.7449,-0.2100,1.814e-01
1.10,0.90,1.7222,-0.1938,1.818e-01
1.12,0.90,1.6986,-0.1784,1.824e-01
1.14,0.90,1.6743,-0.1639,1.829e-01
1.16,0.90,1.6495,-0.1504,1.835e-01
1.18,0.90,1.6244,-0.1379,1.842e-01
1.20,0.90,1.5990,-0.1262,1.849e-01
1.22,0.90,1.5734,-0.1154,1.856e-01
1.24,0.90,1.5477,-0.1055,1.864e-01
1.26,0.90,1.5220,-0.0963,1.872e-01
1.28,0.90,1.4963,-0.0878,1.881e-01
1.30,0.90,1.4707,-0.0800,1.890e-01
1.32,0.90,1.4339,-0.0483,1.899e-01
1.34,0.90,1.6507,0.2999,1.909e-01
1.36,0.90,1.1200,-1.0155,1.919e-01
1.38,0.90,2.0243,-0.7850,1.930e-01
1.40,0.90,2.0462,-0.7703,1.940e-01
1.42,0.90,2.0471,-0.7724,1.951e-01
1.44,0.90,2.0479,-0.7745,1.962e-01
1.46,0.90,2.0488,-0.7768,1.972e-01
1.48,0.90,2.0497,-0.7792,1.983e-01
1.50,0.90,2.0506,-0.7817,1.993e-01
1.52,0.90,2.0516,-0.7843,2.003e-01
1.54,0.90,2.0527,-0.7871,2.011e-01
1.56,0.90,2.0538,-0.7900,2.019e-01
1.58,0.90,2.0549,-0.7932,2.025e-01
1.60,0.90,2.0561,-0.7965,2.029e-01
1.62,0.90,2.0574,-0.8001,2.030e-01
1.64,0.90,2.0588,-0.8040,2.027e-01
1.66,0.90,2.0603,-0.8083,2.020e-01
1.68,0.90,2.0620,-0.8131,2.008e-01
1.70,0.90,2.0638,-0.8185,1.989e-01
1.72,0.90,2.0659,-0.8246,1.963e-01
1.74,0.90,2.0682,-0.8318,1.928e-01
1.76,0.90,2.0709,-0.8404,1.883e-01
1.78,0.90,2.1182,-0.8336,1.484e-01
1.80,0.90,2.1771,-0.8308,1.167e-01
1.82,0.90,2.2003,-0.8849,9.883e-02
1.84,0.90,2.2016,-0.9813,8.861e-02
1.86,0.90,2.1930,-1.1080,8.292e-02
1.88,0.90,2.1823,-1.2578,8.010e-02
1.90,0.90,2.1737,-1.4280,7.920e-02
1.92,0.90,2.1690,-1.6194,7.966e-02
1.94,0.90,2.1685,-1.8355,8.112e-02
1.96,0.90,2.1715,-2.0825,8.334e-02
1.98,0.90,2.1764,-2.3689,8.616e-02
2.00,0.90,2.1816,-2.7050,8.943e-02
2.02,0.90,2.1857,-3.1027,9.307e-02
2.04,0.90,2.1883,-3.5654,9.702e-02
0.92,0.92,1.8019,-0.4508,1.791e-01
0.94,0.92,1.8725,-0.2429,1.792e-01
0.96,0.92,1.8567,-0.3172,1.793e-01
0.98,0.92,1.8466,-0.3050,1.795e-01
1.00,0.92,1.8340,-0.2907,1.797e-01
1.02,0.92,1.8192,-0.2750,1.799e-01
1.04,0.92,1.8025,-0.2585,1.802e-01
1.06,0.92,1.7840,-0.2416,1.806e-01
1.08,0.92,1.7641,-0.2249,1.810e-01
1.10,0.92,1.7430,-0.2086,1.814e-01
1.12,0.92,1.7208,-0.1928,1.818e-01
1.14,0.92,1.6978,-0.1779,1.823e-01
1.16,0.92,1.6741,-0.1638,1.829e-01
1.18,0.92,1.6498,-0.1506,1.835e-01
1.20,0.92,1.6252,-0.1383,1.841e-01
1.22,0.92,1.6003,-0.1268,1.848e-01
1.24,0.92,1.5751,-0.1162,1.855e-01
1.26,0.92,1.5499,-0.1063,1.862e-01
1.28,0.92,1.5246,-0.0972,1.870e-01
1.30,0.92,1.4993,-0.0888,1.878e-01
1.32,0.92,1.4759,-0.0343,1.887e-01
1.34,0.92,1.6355,0.1708,1.896e-01
1.36,0.92,1.2077,-0.6446,1.905e-01
1.38,0.92,1.7730,-1.0146,1.914e-01
1.40,0.92,2.0453,-0.7680,1.923e-01
1.42,0.92,2.0461,-0.7700,1.932e-01
1.44,0.92,2.0469,-0.7720,1.942e-01
1.46,0.92,2.0477,-0.7741,1.951e-01
1.48,0.92,2.0486,-0.7764,1.959e-01
1.50,0.92,2.0495,-0.7788,1.967e-01
1.52,0.92,2.0505,-0.7813,1.974e-01
1.54,0.92,2.0515,-0.7840,1.980e-01
1.56,0.92,2.0526,-0.7868,1.984e-01
1.58,0.92,2.0537,-0.7899,1.986e-01
1.60,0.92,2.0549,-0.7931,1.985e-01
1.62,0.92,2.0562,-0.7967,1.980e-01
1.64,0.92,2.0576,-0.8006,1.971e-01
1.66,0.92,2.0591,-0.8050,1.957e-01
1.68,0.92,2.0609,-0.8099,1.937e-01
1.70,0.92,2.0628,-0.8156,1.908e-01
1.72,0.92,2.0650,-0.8221,1.871e-01
1.74,0.92,2.1073,-0.8098,1.487e-01
