M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.2319,-1.4707,6.459e-01
0.92,0.90,-0.0175,-0.0926,5.937e-01
0.94,0.90,0.1249,0.0274,5.484e-01
0.96,0.90,0.1729,0.0269,5.090e-01
0.98,0.90,0.2196,0.0263,4.747e-01
1.00,0.90,0.2649,0.0257,4.447e-01
1.02,0.90,0.3087,0.0250,4.186e-01
1.04,0.90,0.3510,0.0243,3.957e-01
1.06,0.90,0.3919,0.0236,3.756e-01
1.08,0.90,0.4313,0.0228,3.580e-01
1.10,0.90,0.4692,0.0219,3.425e-01
1.12,0.90,0.5056,0.0211,3.288e-01
1.14,0.90,0.5406,0.0201,3.167e-01
1.16,0.90,0.5740,0.0192,3.059e-01
1.18,0.90,0.6060,0.0182,2.964e-01
1.20,0.90,0.6365,0.0172,2.880e-01
1.22,0.90,0.6656,0.0162,2.804e-01
1.24,0.90,0.6934,0.0151,2.737e-01
1.26,0.90,0.7198,0.0140,2.676e-01
1.28,0.90,0.7449,0.0129,2.622e-01
1.30,0.90,0.7688,0.0118,2.573e-01
1.32,0.90,0.7772,0.0338,2.528e-01
1.34,0.90,1.1245,0.4614,2.488e-01
1.36,0.90,0.5171,-1.0573,2.451e-01
1.38,0.90,2.0029,-0.8923,2.418e-01
1.40,0.90,2.0693,-0.8353,2.386e-01
1.42,0.90,2.0682,-0.8318,2.357e-01
1.44,0.90,2.0671,-0.8285,2.330e-01
1.46,0.90,2.0662,-0.8256,2.304e-01
1.48,0.90,2.0653,-0.8229,2.279e-01
1.50,0.90,2.0645,-0.8204,2.255e-01
1.52,0.90,2.0637,-0.8182,2.231e-01
1.54,0.90,2.0630,-0.8162,2.207e-01
1.56,0.90,2.0624,-0.8145,2.182e-01
1.58,0.90,2.0619,-0.8129,2.156e-01
1.60,0.90,2.0615,-0.8116,2.128e-01
1.62,0.90,2.0611,-0.8105,2.098e-01
1.64,0.90,2.0608,-0.8097,2.064e-01
1.66,0.90,2.0606,-0.8092,2.026e-01
1.68,0.90,2.0605,-0.8090,1.982e-01
1.70,0.90,2.0606,-0.8091,1.932e-01
1.72,0.90,2.0608,-0.8098,1.874e-01
1.74,0.90,2.0612,-0.8110,1.806e-01
1.76,0.90,2.0619,-0.8129,1.728e-01
1.78,0.90,2.1090,-0.7861,1.296e-01
1.80,0.90,2.1743,-0.7479,9.460e-02
1.82,0.90,2.2036,-0.7609,7.334e-02
1.84,0.90,2.2069,-0.8157,5.966e-02
1.86,0.90,2.1948,-0.9032,5.046e-02
1.88,0.90,2.1764,-1.0167,4.406e-02
1.90,0.90,2.1585,-1.1523,3.951e-02
1.92,0.90,2.1458,-1.3095,3.624e-02
1.94,0.90,2.1408,-1.4908,3.390e-02
1.96,0.90,2.1440,-1.7018,3.223e-02
