M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7536,-0.9554,1.792e-01
0.92,0.90,1.8358,-0.3837,1.792e-01
0.94,0.90,1.8701,-0.3344,1.791e-01
0.96,0.90,1.8723,-0.3373,1.791e-01
0.98,0.90,1.8744,-0.3401,1.790e-01
1.00,0.90,1.8765,-0.3429,1.790e-01
1.02,0.90,1.8784,-0.3457,1.790e-01
1.04,0.90,1.8804,-0.3483,1.789e-01
1.06,0.90,1.8822,-0.3509,1.789e-01
1.08,0.90,1.8840,-0.3535,1.789e-01
1.10,0.90,1.8858,-0.3560,1.788e-01
1.12,0.90,1.8874,-0.3584,1.788e-01
1.14,0.90,1.8890,-0.3607,1.788e-01
1.16,0.90,1.8905,-0.3630,1.787e-01
1.18,0.90,1.8920,-0.3652,1.787e-01
1.20,0.90,1.8934,-0.3672,1.787e-01
1.22,0.90,1.8947,-0.3692,1.786e-01
1.24,0.90,1.8960,-0.3711,1.786e-01
1.26,0.90,1.8971,-0.3729,1.785e-01
1.28,0.90,1.8982,-0.3746,1.784e-01
1.30,0.90,1.8992,-0.3762,1.784e-01
1.32,0.90,1.8961,-0.3556,1.783e-01
1.34,0.90,1.9685,-0.2105,1.782e-01
1.36,0.90,1.7875,-0.8553,1.780e-01
1.38,0.90,2.0332,-0.7457,1.779e-01
1.40,0.90,2.0354,-0.7439,1.777e-01
1.42,0.90,2.0354,-0.7439,1.775e-01
1.44,0.90,2.0354,-0.7439,1.772e-01
1.46,0.90,2.0354,-0.7439,1.768e-01
1.48,0.90,2.0354,-0.7439,1.764e-01
1.50,0.90,2.0354,-0.7439,1.759e-01
1.52,0.90,2.0354,-0.7439,1.752e-01
1.54,0.90,2.0354,-0.7439,1.744e-01
1.56,0.90,2.0354,-0.7439,1.734e-01
1.58,0.90,2.0354,-0.7439,1.722e-01
1.60,0.90,2.0354,-0.7440,1.707e-01
1.62,0.90,2.0355,-0.7440,1.689e-01
1.64,0.90,2.0355,-0.7440,1.666e-01
1.66,0.90,2.0355,-0.7441,1.638e-01
1.68,0.90,2.0355,-0.7442,1.604e-01
1.70,0.90,2.0356,-0.7443,1.563e-01
1.72,0.90,2.0356,-0.7444,1.514e-01
1.74,0.90,2.0357,-0.7446,1.454e-01
1.76,0.90,2.0358,-0.7448,1.384e-01
1.78,0.90,2.0851,-0.6852,9.596e-02
1.80,0.90,2.1669,-0.5840,6.161e-02
1.82,0.90,2.2130,-0.5247,4.099e-02
1.84,0.90,2.2235,-0.5069,2.793e-02
1.86,0.90,2.2011,-0.5283,1.931e-02
1.88,0.90,2.1519,-0.5842,1.345e-02
1.90,0.90,2.0854,-0.6678,9.425e-03
1.92,0.90,2.0134,-0.7726,6.656e-03
1.94,0.90,1.9501,-0.8938,4.787e-03
1.96,0.90,1.9116,-1.0303,3.575e-03
1.98,0.90,1.9136,-1.1878,2.842e-03
2.00,0.90,1.9622,-1.3832,2.451e-03
2.02,0.90,2.0422,-1.6485,2.293e-03
2.04,0.90,2.1176,-2.0206,2.299e-03
0.92,0.92,1.8040,-0.4522,1.791e-01
0.94,0.92,1.8805,-0.2554,1.791e-01
0.96,0.92,1.8748,-0.3406,1.790e-01
0.98,0.92,1.8769,-0.3435,1.790e-01
1.00,0.92,1.8790,-0.3464,1.790e-01
1.02,0.92,1.8810,-0.3493,1.789e-01
1.04,0.92,1.8830,-0.3521,1.789e-01
1.06,0.92,1.8849,-0.3548,1.789e-01
1.08,0.92,1.8868,-0.3575,1.788e-01
1.10,0.92,1.8886,-0.3601,1.788e-01
1.12,0.92,1.8903,-0.3626,1.788e-01
1.14,0.92,1.8919,-0.3650,1.787e-01
1.16,0.92,1.8935,-0.3674,1.787e-01
1.18,0.92,1.8950,-0.3697,1.786e-01
1.20,0.92,1.8964,-0.3719,1.786e-01
1.22,0.92,1.8978,-0.3740,1.785e-01
1.24,0.92,1.8991,-0.3760,1.785e-01
1.26,0.92,1.9003,-0.3779,1.784e-01
1.28,0.92,1.9014,-0.3796,1.783e-01
1.30,0.92,1.9025,-0.3813,1.782e-01
1.32,0.92,1.9041,-0.3495,1.781e-01
1.34,0.92,1.9608,-0.2856,1.780e-01
1.36,0.92,1.8189,-0.6941,1.779e-01
1.38,0.92,1.9977,-0.7790,1.777e-01
1.40,0.92,2.0354,-0.7438,1.774e-01
1.42,0.92,2.0354,-0.7438,1.771e-01
1.44,0.92,2.0354,-0.7438,1.768e-01
1.46,0.92,2.0354,-0.7438,1.764e-01
1.48,0.92,2.0354,-0.7438,1.758e-01
1.50,0.92,2.0354,-0.7438,1.752e-01
1.52,0.92,2.0354,-0.7438,1.744e-01
1.54,0.92,2.0354,-0.7438,1.734e-01
1.56,0.92,2.0354,-0.7438,1.722e-01
1.58,0.92,2.0354,-0.7439,1.707e-01
1.60,0.92,2.0354,-0.7439,1.688e-01
1.62,0.92,2.0354,-0.7439,1.665e-01
1.64,0.92,2.0355,-0.7440,1.637e-01
1.66,0.92,2.0355,-0.7441,1.604e-01
1.68,0.92,2.0355,-0.7441,1.563e-01
1.70,0.92,2.0356,-0.7443,1.513e-01
1.72,0.92,2.0356,-0.7444,1.454e-01
1.74,0.92,2.0782,-0.6929,1.047e-01
