M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7513,-0.9570,1.656e-01
0.92,0.90,1.8277,-0.3760,1.679e-01
0.94,0.90,1.8558,-0.3161,1.713e-01
0.96,0.90,1.8489,-0.3078,1.760e-01
0.98,0.90,1.8408,-0.2983,1.819e-01
1.00,0.90,1.8317,-0.2882,1.889e-01
1.02,0.90,1.8219,-0.2778,1.970e-01
1.04,0.90,1.8117,-0.2674,2.062e-01
1.06,0.90,1.8012,-0.2573,2.162e-01
1.08,0.90,1.7905,-0.2474,2.270e-01
1.10,0.90,1.7797,-0.2379,2.384e-01
1.12,0.90,1.7688,-0.2287,2.503e-01
1.14,0.90,1.7578,-0.2199,2.626e-01
1.16,0.90,1.7467,-0.2113,2.752e-01
1.18,0.90,1.7355,-0.2031,2.879e-01
1.20,0.90,1.7241,-0.1951,3.006e-01
1.22,0.90,1.7125,-0.1873,3.133e-01
1.24,0.90,1.7007,-0.1798,3.258e-01
1.26,0.90,1.6888,-0.1724,3.381e-01
1.28,0.90,1.6766,-0.1653,3.502e-01
1.30,0.90,1.6642,-0.1583,3.619e-01
1.32,0.90,1.6426,-0.1265,3.733e-01
1.34,0.90,1.8098,0.1552,3.844e-01
1.36,0.90,1.3957,-0.9708,3.950e-01
1.38,0.90,2.0295,-0.7616,4.053e-01
1.40,0.90,2.0398,-0.7543,4.153e-01
1.42,0.90,2.0401,-0.7550,4.248e-01
1.44,0.90,2.0404,-0.7557,4.340e-01
1.46,0.90,2.0406,-0.7564,4.429e-01
1.48,0.90,2.0410,-0.7571,4.513e-01
1.50,0.90,2.0413,-0.7579,4.595e-01
1.52,0.90,2.0416,-0.7587,4.673e-01
1.54,0.90,2.0419,-0.7595,4.748e-01
1.56,0.90,2.0423,-0.7604,4.820e-01
1.58,0.90,2.0427,-0.7613,4.888e-01
1.60,0.90,2.0430,-0.7623,4.953e-01
1.62,0.90,2.0434,-0.7633,5.015e-01
1.64,0.90,2.0439,-0.7643,5.073e-01
1.66,0.90,2.0443,-0.7654,5.126e-01
1.68,0.90,2.0448,-0.7665,5.175e-01
1.70,0.90,2.0452,-0.7678,5.217e-01
1.72,0.90,2.0458,-0.7691,5.251e-01
1.74,0.90,2.0463,-0.7705,5.276e-01
1.76,0.90,2.0469,-0.7720,5.288e-01
1.78,0.90,2.0958,-0.7269,4.023e-01
1.80,0.90,2.1704,-0.6544,2.935e-01
1.82,0.90,2.2082,-0.6292,2.278e-01
1.84,0.90,2.2147,-0.6449,1.862e-01
1.86,0.90,2.1976,-0.6932,1.589e-01
1.88,0.90,2.1653,-0.7650,1.406e-01
1.90,0.90,2.1246,-0.8524,1.283e-01
1.92,0.90,2.0807,-0.9490,1.201e-01
1.94,0.90,2.0373,-1.0495,1.149e-01
1.96,0.90,1.9965,-1.1495,1.120e-01
1.98,0.90,1.9594,-1.2458,1.108e-01
2.00,0.90,1.9264,-1.3360,1.108e-01
2.02,0.90,1.8975,-1.4186,1.120e-01
2.04,0.90,1.8726,-1.4931,1.139e-01
0.92,0.92,1.7874,-0.4411,1.657e-01
0.94,0.92,1.8633,-0.2295,1.679e-01
0.96,0.92,1.8498,-0.3088,1.713e-01
0.98,0.92,1.8433,-0.3012,1.758e-01
1.00,0.92,1.8356,-0.2925,1.814e-01
1.02,0.92,1.8268,-0.2830,1.882e-01
1.04,0.92,1.8175,-0.2732,1.960e-01
1.06,0.92,1.8076,-0.2634,2.048e-01
1.08,0.92,1.7974,-0.2537,2.145e-01
1.10,0.92,1.7871,-0.2443,2.249e-01
1.12,0.92,1.7765,-0.2352,2.360e-01
1.14,0.92,1.7659,-0.2263,2.476e-01
1.16,0.92,1.7552,-0.2178,2.595e-01
1.18,0.92,1.7443,-0.2096,2.718e-01
1.20,0.92,1.7334,-0.2016,2.842e-01
1.22,0.92,1.7222,-0.1938,2.966e-01
1.24,0.92,1.7109,-0.1863,3.091e-01
1.26,0.92,1.6994,-0.1789,3.214e-01
1.28,0.92,1.6877,-0.1718,3.335e-01
1.30,0.92,1.6758,-0.1648,3.455e-01
1.32,0.92,1.6652,-0.1140,3.571e-01
1.34,0.92,1.7919,0.0442,3.684e-01
1.36,0.92,1.4597,-0.6567,3.794e-01
1.38,0.92,1.8901,-0.8910,3.901e-01
1.40,0.92,2.0395,-0.7537,4.003e-01
1.42,0.92,2.0398,-0.7543,4.103e-01
1.44,0.92,2.0400,-0.7549,4.198e-01
1.46,0.92,2.0403,-0.7556,4.290e-01
1.48,0.92,2.0406,-0.7563,4.378e-01
1.50,0.92,2.0409,-0.7570,4.463e-01
1.52,0.92,2.0412,-0.7578,4.544e-01
1.54,0.92,2.0415,-0.7586,4.622e-01
1.56,0.92,2.0419,-0.7594,4.696e-01
1.58,0.92,2.0422,-0.7602,4.766e-01
1.60,0.92,2.0426,-0.7611,4.833e-01
1.62,0.92,2.0430,-0.7621,4.895e-01
1.64,0.92,2.0434,-0.7631,4.952e-01
1.66,0.92,2.0438,-0.7641,5.004e-01
1.68,0.92,2.0442,-0.7652,5.049e-01
1.70,0.92,2.0447,-0.7664,5.086e-01
1.72,0.92,2.0452,-0.7677,5.113e-01
1.74,0.92,2.0878,-0.7273,3.978e-01
1.76,0.92,2.1674,-0.6460,2.857e-01
1.78,0.92,2.2084,-0.6133,2.188e-01
1.80,0.92,2.2159,-0.6234,1.768e-01
1.82,0.92,2.1975,-0.6681,1.492e-01
1.84,0.92,2.1616,-0.7382,1.307e-01
1.86,0.92,2.1158,-0.8255,1.180e-01
1.88,0.92,2.0659,-0.9231,1.095e-01
1.90,0.92,2.0162,-1.0254,1.039e-01
1.92,0.92,1.9697,-1.1277,1.004e-01
1.94,0.92,1.9278,-1.2265,9.862e-02
1.96,0.92,1.8912,-1.3190,9.811e-02
1.98,0.92,1.8599,-1.4037,9.862e-02
2.00,0.92,1.8336,-1.4797,9.995e-02
2.02,0.92,1.8118,-1.5469,1.019e-01
2.04,0.92,1.7942,-1.6055,1.045e-01
0.94,0.94,1.9045,-0.0263,1.658e-01
0.96,0.94,1.8563,-0.2503,1.679e-01
0.98,0.94,1.8441,-0.3022,1.712e-01
1.00,0.94,1.8380,-0.2952,1.755e-01
1.02,0.94,1.8306,-0.2870,1.810e-01
1.04,0.94,1.8223,-0.2782,1.875e-01
1.06,0.94,1.8132,-0.2690,1.951e-01
1.08,0.94,1.8037,-0.2596,2.036e-01
1.10,0.94,1.7938,-0.2504,2.129e-01
1.12,0.94,1.7838,-0.2414,2.230e-01
1.14,0.94,1.7735,-0.2326,2.337e-01
1.16,0.94,1.7632,-0.2241,2.450e-01
1.18,0.94,1.7527,-0.2159,2.566e-01
1.20,0.94,1.7421,-0.2079,2.685e-01
1.22,0.94,1.7313,-0.2001,2.806e-01
1.24,0.94,1.7204,-0.1926,2.928e-01
1.26,0.94,1.7094,-0.1853,3.051e-01
1.28,0.94,1.6981,-0.1781,3.172e-01
1.30,0.94,1.6859,-0.1711,3.291e-01
1.32,0.94,1.6840,-0.1035,3.409e-01
1.34,0.94,1.7561,-0.0678,3.524e-01
1.36,0.94,1.5312,-0.3459,3.637e-01
1.38,0.94,1.6352,-1.1364,3.746e-01
1.40,0.94,2.0393,-0.7531,3.852e-01
1.42,0.94,2.0395,-0.7536,3.954e-01
1.44,0.94,2.0398,-0.7542,4.053e-01
1.46,0.94,2.0400,-0.7549,4.148e-01
1.48,0.94,2.0403,-0.7555,4.239e-01
1.50,0.94,2.0406,-0.7562,4.327e-01
1.52,0.94,2.0409,-0.7569,4.411e-01
1.54,0.94,2.0412,-0.7577,4.491e-01
1.56,0.94,2.0415,-0.7584,4.567e-01
1.58,0.94,2.0418,-0.7592,4.639e-01
1.60,0.94,2.0422,-0.7601,4.707e-01
1.62,0.94,2.0425,-0.7610,4.769e-01
1.64,0.94,2.0429,-0.7620,4.825e-01
1.66,0.94,2.0433,-0.7630,4.874e-01
1.68,0.94,2.0438,-0.7641,4.914e-01
1.70,0.94,2.0707,-0.7395,4.051e-01
1.72,0.94,2.1586,-0.6454,2.848e-01
1.74,0.94,2.2061,-0.6018,2.142e-01
1.76,0.94,2.2174,-0.6035,1.704e-01
1.78,0.94,2.1998,-0.6425,1.418e-01
1.80,0.94,2.1618,-0.7095,1.227e-01
1.82,0.94,2.1116,-0.7959,1.097e-01
1.84,0.94,2.0558,-0.8941,1.007e-01
1.86,0.94,1.9997,-0.9979,9.464e-02
1.88,0.94,1.9467,-1.1024,9.070e-02
1.90,0.94,1.8992,-1.2036,8.838e-02
1.92,0.94,1.8581,-1.2985,8.732e-02
1.94,0.94,1.8235,-1.3855,8.728e-02
1.96,0.94,1.7952,-1.4635,8.804e-02
1.98,0.94,1.7725,-1.5322,8.946e-02
2.00,0.94,1.7546,-1.5918,9.142e-02
2.02,0.94,1.7408,-1.6424,9.382e-02
2.04,0.94,1.7308,-1.6834,9.662e-02
0.96,0.96,1.9420,-0.0429,1.659e-01
