M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.635e-01
0.92,0.90,2.0342,-0.7412,1.657e-01
0.94,0.90,2.0342,-0.7412,1.691e-01
0.96,0.90,2.0342,-0.7412,1.736e-01
0.98,0.90,2.0342,-0.7412,1.793e-01
1.00,0.90,2.0342,-0.7412,1.860e-01
1.02,0.90,2.0342,-0.7412,1.938e-01
1.04,0.90,2.0342,-0.7412,2.026e-01
1.06,0.90,2.0342,-0.7412,2.122e-01
1.08,0.90,2.0342,-0.7412,2.226e-01
1.10,0.90,2.0342,-0.7412,2.335e-01
1.12,0.90,2.0342,-0.7412,2.449e-01
1.14,0.90,2.0342,-0.7412,2.566e-01
1.16,0.90,2.0342,-0.7412,2.686e-01
1.18,0.90,2.0342,-0.7412,2.806e-01
1.20,0.90,2.0342,-0.7412,2.926e-01
1.22,0.90,2.0342,-0.7412,3.045e-01
1.24,0.90,1.9637,-0.5009,3.177e-01
1.26,0.90,1.9039,-0.3836,3.307e-01
1.28,0.90,1.8539,-0.3137,3.434e-01
1.30,0.90,1.8109,-0.2667,3.557e-01
1.32,0.90,1.7665,-0.2078,3.677e-01
1.34,0.90,1.8756,0.0523,3.794e-01
1.36,0.90,1.5053,-0.9456,3.905e-01
1.38,0.90,2.0306,-0.7568,4.013e-01
1.40,0.90,2.0387,-0.7517,4.117e-01
1.42,0.90,2.0391,-0.7527,4.216e-01
1.44,0.90,2.0395,-0.7537,4.312e-01
1.46,0.90,2.0399,-0.7546,4.403e-01
1.48,0.90,2.0403,-0.7556,4.490e-01
1.50,0.90,2.0407,-0.7565,4.573e-01
1.52,0.90,2.0411,-0.7574,4.653e-01
1.54,0.90,2.0414,-0.7583,4.728e-01
1.56,0.90,2.0418,-0.7592,4.800e-01
1.58,0.90,2.0422,-0.7601,4.868e-01
1.60,0.90,2.0425,-0.7609,4.931e-01
1.62,0.90,2.0429,-0.7618,4.991e-01
1.64,0.90,2.0432,-0.7627,5.046e-01
1.66,0.90,2.0436,-0.7636,5.095e-01
1.68,0.90,2.0439,-0.7644,5.139e-01
1.70,0.90,2.0443,-0.7654,5.175e-01
1.72,0.90,2.0447,-0.7663,5.203e-01
1.74,0.90,2.0450,-0.7673,5.220e-01
1.76,0.90,2.0454,-0.7683,5.224e-01
1.78,0.90,2.0943,-0.7207,3.949e-01
1.80,0.90,2.1699,-0.6433,2.850e-01
1.82,0.90,2.2090,-0.6117,2.182e-01
1.84,0.90,2.2161,-0.6202,1.752e-01
1.86,0.90,2.1982,-0.6614,1.464e-01
1.88,0.90,2.1629,-0.7268,1.265e-01
1.90,0.90,2.1170,-0.8088,1.123e-01
1.92,0.90,2.0659,-0.9009,1.021e-01
1.94,0.90,2.0134,-0.9975,9.472e-02
1.96,0.90,1.9620,-1.0942,8.930e-02
1.98,0.90,1.9130,-1.1872,8.527e-02
2.00,0.90,1.8668,-1.2740,8.216e-02
2.02,0.90,1.8227,-1.3525,7.948e-02
2.04,0.90,1.7785,-1.4209,7.639e-02
0.92,0.92,2.0342,-0.7412,1.635e-01
0.94,0.92,2.0342,-0.7412,1.657e-01
0.96,0.92,2.0342,-0.7412,1.689e-01
0.98,0.92,2.0342,-0.7412,1.733e-01
1.00,0.92,2.0342,-0.7412,1.787e-01
1.02,0.92,2.0342,-0.7412,1.852e-01
1.04,0.92,2.0342,-0.7412,1.928e-01
1.06,0.92,2.0342,-0.7412,2.012e-01
1.08,0.92,2.0342,-0.7412,2.105e-01
1.10,0.92,2.0342,-0.7412,2.205e-01
1.12,0.92,2.0342,-0.7412,2.311e-01
1.14,0.92,2.0342,-0.7412,2.421e-01
1.16,0.92,2.0342,-0.7412,2.536e-01
1.18,0.92,2.0342,-0.7412,2.652e-01
