M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,4.080e-01
0.92,0.90,2.0342,-0.7412,4.080e-01
0.94,0.90,2.0342,-0.7412,4.080e-01
0.96,0.90,2.0342,-0.7412,4.080e-01
0.98,0.90,2.0342,-0.7412,4.080e-01
1.00,0.90,2.0342,-0.7412,4.080e-01
1.02,0.90,2.0342,-0.7412,4.080e-01
1.04,0.90,2.0342,-0.7412,4.080e-01
1.06,0.90,2.0342,-0.7412,4.080e-01
1.08,0.90,2.0342,-0.7412,4.080e-01
1.10,0.90,2.0342,-0.7412,4.080e-01
1.12,0.90,2.0342,-0.7412,4.080e-01
1.14,0.90,2.0342,-0.7412,4.080e-01
1.16,0.90,2.0342,-0.7412,4.080e-01
1.18,0.90,2.0342,-0.7412,4.080e-01
1.20,0.90,2.0342,-0.7412,4.080e-01
1.22,0.90,2.0342,-0.7412,4.080e-01
1.24,0.90,1.9786,-0.5390,4.094e-01
1.26,0.90,1.9267,-0.4228,4.110e-01
1.28,0.90,1.8796,-0.3473,4.125e-01
1.30,0.90,1.8367,-0.2937,4.141e-01
1.32,0.90,1.7907,-0.2290,4.157e-01
1.34,0.90,1.8881,0.0273,4.174e-01
1.36,0.90,1.5272,-0.9400,4.190e-01
1.38,0.90,2.0308,-0.7560,4.207e-01
1.40,0.90,2.0386,-0.7515,4.223e-01
1.42,0.90,2.0391,-0.7526,4.240e-01
1.44,0.90,2.0396,-0.7538,4.257e-01
1.46,0.90,2.0401,-0.7550,4.274e-01
1.48,0.90,2.0406,-0.7562,4.291e-01
1.50,0.90,2.0411,-0.7575,4.309e-01
1.52,0.90,2.0416,-0.7587,4.326e-01
1.54,0.90,2.0421,-0.7599,4.343e-01
1.56,0.90,2.0426,-0.7611,4.360e-01
1.58,0.90,2.0430,-0.7623,4.378e-01
1.60,0.90,2.0435,-0.7635,4.395e-01
1.62,0.90,2.0440,-0.7647,4.413e-01
1.64,0.90,2.0445,-0.7658,4.430e-01
1.66,0.90,2.0449,-0.7670,4.447e-01
1.68,0.90,2.0454,-0.7682,4.464e-01
1.70,0.90,2.0459,-0.7693,4.481e-01
1.72,0.90,2.0463,-0.7705,4.498e-01
1.74,0.90,2.0468,-0.7716,4.515e-01
1.76,0.90,2.0472,-0.7727,4.531e-01
1.78,0.90,2.0959,-0.7271,3.461e-01
1.80,0.90,2.1704,-0.6530,2.539e-01
1.82,0.90,2.2084,-0.6239,1.982e-01
1.84,0.90,2.2153,-0.6332,1.628e-01
1.86,0.90,2.1980,-0.6726,1.394e-01
1.88,0.90,2.1634,-0.7337,1.233e-01
1.90,0.90,2.1171,-0.8094,1.121e-01
1.92,0.90,2.0637,-0.8943,1.041e-01
1.94,0.90,2.0062,-0.9835,9.822e-02
1.96,0.90,1.9471,-1.0735,9.388e-02
1.98,0.90,1.8884,-1.1611,9.056e-02
2.00,0.90,1.8309,-1.2439,8.785e-02
2.02,0.90,1.7753,-1.3200,8.537e-02
2.04,0.90,1.7198,-1.3874,8.231e-02
0.92,0.92,2.0342,-0.7412,3.959e-01
0.94,0.92,2.0342,-0.7412,3.959e-01
0.96,0.92,2.0342,-0.7412,3.959e-01
0.98,0.92,2.0342,-0.7412,3.959e-01
1.00,0.92,2.0342,-0.7412,3.959e-01
1.02,0.92,2.0342,-0.7412,3.959e-01
1.04,0.92,2.0342,-0.7412,3.959e-01
1.06,0.92,2.0342,-0.7412,3.959e-01
1.08,0.92,2.0342,-0.7412,3.959e-01
1.10,0.92,2.0342,-0.7412,3.959e-01
1.12,0.92,2.0342,-0.7412,3.959e-01
1.14,0.92,2.0342,-0.7412,3.959e-01
1.16,0.92,2.0342,-0.7412,3.959e-01
1.18,0.92,2.0342,-0.7412,3.959e-01
1.20,0.92,2.0342,-0.7412,3.959e-01
1.22,0.92,2.0342,-0.7412,3.959e-01
1.24,0.92,1.9940,-0.5841,3.969e-01
1.26,0.92,1.9414,-0.4513,3.983e-01
1.28,0.92,1.8937,-0.3677,3.998e-01
1.30,0.92,1.8502,-0.3093,4.013e-01
1.32,0.92,1.8111,-0.2264,4.029e-01
1.34,0.92,1.8772,-0.0766,4.044e-01
1.36,0.92,1.5856,-0.6662,4.060e-01
1.38,0.92,1.9251,-0.8545,4.076e-01
1.40,0.92,2.0384,-0.7510,4.092e-01
1.42,0.92,2.0389,-0.7522,4.108e-01
1.44,0.92,2.0394,-0.7533,4.124e-01
1.46,0.92,2.0399,-0.7545,4.140e-01
1.48,0.92,2.0404,-0.7557,4.157e-01
1.50,0.92,2.0409,-0.7569,4.173e-01
1.52,0.92,2.0414,-0.7581,4.190e-01
1.54,0.92,2.0418,-0.7593,4.206e-01
1.56,0.92,2.0423,-0.7605,4.223e-01
1.58,0.92,2.0428,-0.7617,4.239e-01
1.60,0.92,2.0433,-0.7628,4.256e-01
1.62,0.92,2.0437,-0.7640,4.272e-01
1.64,0.92,2.0442,-0.7652,4.289e-01
1.66,0.92,2.0447,-0.7663,4.305e-01
1.68,0.92,2.0451,-0.7675,4.322e-01
1.70,0.92,2.0456,-0.7686,4.338e-01
1.72,0.92,2.0460,-0.7698,4.354e-01
1.74,0.92,2.0885,-0.7298,3.396e-01
1.76,0.92,2.1675,-0.6490,2.453e-01
1.78,0.92,2.2083,-0.6154,1.892e-01
1.80,0.92,2.2159,-0.6225,1.539e-01
1.82,0.92,2.1976,-0.6618,1.307e-01
1.84,0.92,2.1607,-0.7245,1.151e-01
1.86,0.92,2.1114,-0.8029,1.042e-01
1.88,0.92,2.0547,-0.8910,9.652e-02
1.90,0.92,1.9941,-0.9836,9.103e-02
1.92,0.92,1.9324,-1.0768,8.707e-02
1.94,0.92,1.8716,-1.1672,8.418e-02
1.96,0.92,1.8133,-1.2523,8.202e-02
1.98,0.92,1.7581,-1.3305,8.032e-02
2.00,0.92,1.7065,-1.4008,7.885e-02
2.02,0.92,1.6581,-1.4625,7.731e-02
2.04,0.92,1.6102,-1.5148,7.498e-02
0.94,0.94,2.0342,-0.7412,3.833e-01
0.96,0.94,2.0342,-0.7412,3.833e-01
0.98,0.94,2.0342,-0.7412,3.833e-01
1.00,0.94,2.0342,-0.7412,3.833e-01
1.02,0.94,2.0342,-0.7412,3.833e-01
1.04,0.94,2.0342,-0.7412,3.833e-01
1.06,0.94,2.0342,-0.7412,3.833e-01
1.08,0.94,2.0342,-0.7412,3.833e-01
1.10,0.94,2.0342,-0.7412,3.833e-01
1.12,0.94,2.0342,-0.7412,3.833e-01
1.14,0.94,2.0342,-0.7412,3.833e-01
1.16,0.94,2.0342,-0.7412,3.833e-01
1.18,0.94,2.0342,-0.7412,3.833e-01
1.20,0.94,2.0342,-0.7412,3.833e-01
1.22,0.94,2.0342,-0.7412,3.833e-01
1.24,0.94,2.0080,-0.6310,3.839e-01
1.26,0.94,1.9548,-0.4800,3.853e-01
1.28,0.94,1.9066,-0.3879,3.867e-01
1.30,0.94,1.8621,-0.3243,3.882e-01
1.32,0.94,1.8282,-0.2253,3.896e-01
1.34,0.94,1.8534,-0.1760,3.911e-01
1.36,0.94,1.6491,-0.3846,3.926e-01
1.38,0.94,1.7135,-1.0591,3.941e-01
1.40,0.94,2.0382,-0.7506,3.956e-01
1.42,0.94,2.0387,-0.7517,3.972e-01
1.44,0.94,2.0392,-0.7529,3.987e-01
1.46,0.94,2.0397,-0.7541,4.003e-01
1.48,0.94,2.0402,-0.7552,4.018e-01
1.50,0.94,2.0407,-0.7564,4.034e-01
1.52,0.94,2.0411,-0.7576,4.050e-01
1.54,0.94,2.0416,-0.7588,4.066e-01
1.56,0.94,2.0421,-0.7599,4.081e-01
1.58,0.94,2.0426,-0.7611,4.097e-01
1.60,0.94,2.0430,-0.7623,4.113e-01
1.62,0.94,2.0435,-0.7634,4.129e-01
1.64,0.94,2.0440,-0.7646,4.145e-01
1.66,0.94,2.0444,-0.7657,4.160e-01
1.68,0.94,2.0449,-0.7669,4.176e-01
1.70,0.94,2.0718,-0.7431,3.441e-01
1.72,0.94,2.1590,-0.6510,2.430e-01
1.74,0.94,2.2059,-0.6087,1.841e-01
1.76,0.94,2.2170,-0.6102,1.476e-01
1.78,0.94,2.1997,-0.6468,1.240e-01
1.80,0.94,2.1618,-0.7093,1.082e-01
1.82,0.94,2.1102,-0.7892,9.734e-02
1.84,0.94,2.0505,-0.8798,8.976e-02
1.86,0.94,1.9868,-0.9755,8.442e-02
1.88,0.94,1.9222,-1.0718,8.064e-02
1.90,0.94,1.8590,-1.1651,7.797e-02
1.92,0.94,1.7987,-1.2527,7.607e-02
1.94,0.94,1.7425,-1.3330,7.471e-02
1.96,0.94,1.6909,-1.4050,7.370e-02
1.98,0.94,1.6440,-1.4683,7.288e-02
2.00,0.94,1.6016,-1.5229,7.208e-02
2.02,0.94,1.5627,-1.5685,7.105e-02
2.04,0.94,1.5235,-1.6036,6.912e-02
0.96,0.96,2.0342,-0.7412,3.703e-01
0.98,0.96,2.0342,-0.7412,3.703e-01
1.00,0.96,2.0342,-0.7412,3.703e-01
1.02,0.96,2.0342,-0.7412,3.703e-01
1.04,0.96,2.0342,-0.7412,3.703e-01
1.06,0.96,2.0342,-0.7412,3.703e-01
1.08,0.96,2.0342,-0.7412,3.703e-01
1.10,0.96,2.0342,-0.7412,3.703e-01
1.12,0.96,2.0342,-0.7412,3.703e-01
1.14,0.96,2.0342,-0.7412,3.703e-01
1.16,0.96,2.0342,-0.7412,3.703e-01
1.18,0.96,2.0342,-0.7412,3.703e-01
1.20,0.96,2.0342,-0.7412,3.703e-01
1.22,0.96,2.0342,-0.7412,3.703e-01
1.24,0.96,2.0205,-0.6789,3.706e-01
1.26,0.96,1.9668,-0.5083,3.720e-01
1.28,0.96,1.9182,-0.4075,3.733e-01
1.30,0.96,1.8647,-0.3286,3.747e-01
1.32,0.96,1.8430,-0.2249,3.760e-01
1.34,0.96,1.8312,-0.2543,3.774e-01
1.36,0.96,1.7180,-0.1632,3.789e-01
1.38,0.96,1.6105,-1.1053,3.803e-01
1.40,0.96,2.0381,-0.7502,3.817e-01
1.42,0.96,2.0386,-0.7513,3.832e-01
1.44,0.96,2.0390,-0.7525,3.847e-01
1.46,0.96,2.0395,-0.7536,3.862e-01
1.48,0.96,2.0400,-0.7548,3.877e-01
1.50,0.96,2.0405,-0.7560,3.892e-01
1.52,0.96,2.0410,-0.7571,3.907e-01
1.54,0.96,2.0414,-0.7583,3.922e-01
1.56,0.96,2.0419,-0.7594,3.937e-01
1.58,0.96,2.0424,-0.7606,3.952e-01
1.60,0.96,2.0428,-0.7618,3.967e-01
1.62,0.96,2.0433,-0.7629,3.982e-01
1.64,0.96,2.0438,-0.7641,3.997e-01
1.66,0.96,2.0453,-0.7680,3.616e-01
1.68,0.96,2.1434,-0.6613,2.478e-01
1.70,0.96,2.2000,-0.6058,1.833e-01
1.72,0.96,2.2180,-0.5976,1.441e-01
1.74,0.96,2.2041,-0.6284,1.192e-01
1.76,0.96,2.1669,-0.6883,1.027e-01
1.78,0.96,2.1140,-0.7683,9.152e-02
1.80,0.96,2.0517,-0.8607,8.381e-02
1.82,0.96,1.9849,-0.9591,7.843e-02
1.84,0.96,1.9171,-1.0586,7.468e-02
1.86,0.96,1.8509,-1.1551,7.208e-02
1.88,0.96,1.7882,-1.2457,7.030e-02
1.90,0.96,1.7301,-1.3286,6.910e-02
1.92,0.96,1.6772,-1.4027,6.830e-02
1.94,0.96,1.6299,-1.4677,6.778e-02
1.96,0.96,1.5882,-1.5238,6.741e-02
1.98,0.96,1.5516,-1.5707,6.708e-02
2.00,0.96,1.5193,-1.6075,6.665e-02
2.02,0.96,1.4896,-1.6325,6.590e-02
2.04,0.96,1.4582,-1.6429,6.417e-02
0.98,0.98,2.0342,-0.7412,3.570e-01
1.00,0.98,2.0342,-0.7412,3.570e-01
1.02,0.98,2.0342,-0.7412,3.570e-01
1.04,0.98,2.0342,-0.7412,3.570e-01
1.06,0.98,2.0342,-0.7412,3.570e-01
1.08,0.98,2.0342,-0.7412,3.570e-01
1.10,0.98,2.0342,-0.7412,3.570e-01
1.12,0.98,2.0342,-0.7412,3.570e-01
1.14,0.98,2.0342,-0.7412,3.570e-01
1.16,0.98,2.0342,-0.7412,3.570e-01
1.18,0.98,2.0342,-0.7412,3.570e-01
1.20,0.98,2.0342,-0.7412,3.570e-01
1.22,0.98,2.0342,-0.7412,3.570e-01
1.24,0.98,2.0311,-0.7261,3.570e-01
1.26,0.98,1.9772,-0.5352,3.583e-01
1.28,0.98,1.9284,-0.4259,3.595e-01
1.30,0.98,1.8716,-0.3367,3.608e-01
1.32,0.98,1.8563,-0.2242,3.621e-01
1.34,0.98,1.8133,-0.3125,3.635e-01
1.36,0.98,1.7866,-0.0121,3.648e-01
1.38,0.98,1.5414,-1.0355,3.662e-01
1.40,0.98,1.9727,-0.8081,3.675e-01
1.42,0.98,2.0384,-0.7510,3.689e-01
1.44,0.98,2.0389,-0.7521,3.703e-01
1.46,0.98,2.0394,-0.7533,3.718e-01
1.48,0.98,2.0398,-0.7544,3.732e-01
1.50,0.98,2.0403,-0.7556,3.746e-01
1.52,0.98,2.0408,-0.7567,3.760e-01
1.54,0.98,2.0413,-0.7579,3.775e-01
