M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.1147,-1.4582,8.769e-01
0.92,0.90,0.3402,-0.0965,8.247e-01
0.94,0.90,0.4807,0.0217,7.794e-01
0.96,0.90,0.5279,0.0205,7.400e-01
0.98,0.90,0.5737,0.0192,7.057e-01
1.00,0.90,0.6181,0.0178,6.757e-01
1.02,0.90,0.6609,0.0163,6.496e-01
1.04,0.90,0.7022,0.0147,6.267e-01
1.06,0.90,0.7419,0.0131,6.066e-01
1.08,0.90,0.7802,0.0113,5.890e-01
1.10,0.90,0.8168,0.0094,5.735e-01
1.12,0.90,0.8520,0.0075,5.598e-01
1.14,0.90,0.8855,0.0055,5.477e-01
1.16,0.90,0.9176,0.0034,5.370e-01
1.18,0.90,0.9482,0.0012,5.275e-01
1.20,0.90,0.9773,-0.0010,5.191e-01
1.22,0.90,1.0050,-0.0033,5.115e-01
1.24,0.90,1.0313,-0.0055,5.048e-01
1.26,0.90,1.0563,-0.0079,4.988e-01
1.28,0.90,1.0800,-0.0102,4.934e-01
1.30,0.90,1.1024,-0.0126,4.886e-01
1.32,0.90,1.1104,0.0087,4.842e-01
1.34,0.90,1.4233,0.4007,4.803e-01
1.36,0.90,0.8640,-1.0398,4.767e-01
1.38,0.90,2.0183,-0.8130,4.735e-01
1.40,0.90,2.0516,-0.7843,4.705e-01
1.42,0.90,2.0510,-0.7826,4.679e-01
1.44,0.90,2.0504,-0.7809,4.654e-01
1.46,0.90,2.0498,-0.7795,4.632e-01
1.48,0.90,2.0493,-0.7781,4.611e-01
1.50,0.90,2.0488,-0.7768,4.592e-01
1.52,0.90,2.0483,-0.7757,4.575e-01
1.54,0.90,2.0479,-0.7746,4.559e-01
1.56,0.90,2.0475,-0.7736,4.544e-01
1.58,0.90,2.0472,-0.7726,4.530e-01
1.60,0.90,2.0468,-0.7718,4.517e-01
1.62,0.90,2.0465,-0.7710,4.505e-01
1.64,0.90,2.0462,-0.7702,4.494e-01
1.66,0.90,2.0459,-0.7695,4.483e-01
1.68,0.90,2.0457,-0.7688,4.474e-01
1.70,0.90,2.0454,-0.7682,4.465e-01
1.72,0.90,2.0452,-0.7676,4.456e-01
1.74,0.90,2.0450,-0.7671,4.448e-01
1.76,0.90,2.0448,-0.7666,4.440e-01
1.78,0.90,2.0931,-0.7160,3.347e-01
1.80,0.90,2.1694,-0.6320,2.402e-01
1.82,0.90,2.2099,-0.5903,1.824e-01
1.84,0.90,2.2181,-0.5861,1.449e-01
1.86,0.90,2.1991,-0.6132,1.194e-01
1.88,0.90,2.1586,-0.6651,1.015e-01
1.90,0.90,2.1021,-0.7353,8.839e-02
1.92,0.90,2.0345,-0.8179,7.864e-02
1.94,0.90,1.9602,-0.9078,7.122e-02
1.96,0.90,1.8829,-1.0004,6.547e-02
1.98,0.90,1.8055,-1.0918,6.094e-02
2.00,0.90,1.7300,-1.1790,5.733e-02
2.02,0.90,1.6579,-1.2600,5.442e-02
2.04,0.90,1.5899,-1.3335,5.200e-02
0.92,0.92,0.3056,-0.2288,7.534e-01
0.94,0.92,0.5586,0.1443,7.140e-01
0.96,0.92,0.5807,0.0190,6.799e-01
0.98,0.92,0.6269,0.0175,6.503e-01
1.00,0.92,0.6716,0.0159,6.244e-01
1.02,0.92,0.7146,0.0142,6.018e-01
1.04,0.92,0.7561,0.0124,5.821e-01
1.06,0.92,0.7960,0.0105,5.649e-01
1.08,0.92,0.8343,0.0085,5.497e-01
1.10,0.92,0.8710,0.0064,5.364e-01
1.12,0.92,0.9061,0.0041,5.247e-01
1.14,0.92,0.9396,0.0018,5.144e-01
1.16,0.92,0.9716,-0.0005,5.052e-01
1.18,0.92,1.0020,-0.0030,4.971e-01
1.20,0.92,1.0308,-0.0055,4.900e-01
1.22,0.92,1.0582,-0.0081,4.836e-01
1.24,0.92,1.0842,-0.0106,4.779e-01
1.26,0.92,1.1088,-0.0132,4.728e-01
1.28,0.92,1.1321,-0.0159,4.682e-01
1.30,0.92,1.1541,-0.0185,4.642e-01
1.32,0.92,1.1770,0.0274,4.605e-01
1.34,0.92,1.4190,0.2603,4.572e-01
1.36,0.92,0.9762,-0.6384,4.542e-01
1.38,0.92,1.6706,-1.1243,4.514e-01
1.40,0.92,2.0497,-0.7791,4.490e-01
1.42,0.92,2.0491,-0.7776,4.467e-01
1.44,0.92,2.0485,-0.7762,4.447e-01
1.46,0.92,2.0480,-0.7749,4.428e-01
1.48,0.92,2.0476,-0.7737,4.411e-01
1.50,0.92,2.0471,-0.7726,4.395e-01
1.52,0.92,2.0467,-0.7716,4.380e-01
1.54,0.92,2.0464,-0.7706,4.367e-01
1.56,0.92,2.0460,-0.7698,4.354e-01
1.58,0.92,2.0457,-0.7690,4.343e-01
1.60,0.92,2.0454,-0.7682,4.332e-01
1.62,0.92,2.0451,-0.7675,4.322e-01
1.64,0.92,2.0449,-0.7668,4.312e-01
1.66,0.92,2.0446,-0.7662,4.304e-01
1.68,0.92,2.0444,-0.7656,4.295e-01
1.70,0.92,2.0442,-0.7651,4.288e-01
1.72,0.92,2.0440,-0.7646,4.280e-01
1.74,0.92,2.0859,-0.7204,3.300e-01
1.76,0.92,2.1665,-0.6303,2.334e-01
1.78,0.92,2.2096,-0.5844,1.752e-01
1.80,0.92,2.2186,-0.5780,1.378e-01
1.82,0.92,2.1986,-0.6049,1.127e-01
1.84,0.92,2.1556,-0.6581,9.503e-02
1.86,0.92,2.0955,-0.7307,8.230e-02
1.88,0.92,2.0238,-0.8164,7.285e-02
1.90,0.92,1.9453,-0.9095,6.569e-02
1.92,0.92,1.8640,-1.0049,6.016e-02
1.94,0.92,1.7829,-1.0987,5.583e-02
1.96,0.92,1.7042,-1.1876,5.239e-02
1.98,0.92,1.6293,-1.2696,4.962e-02
2.00,0.92,1.5593,-1.3437,4.738e-02
2.02,0.92,1.4946,-1.4093,4.553e-02
2.04,0.92,1.4356,-1.4663,4.396e-02
0.94,0.94,0.7548,0.4726,6.554e-01
0.96,0.94,0.6546,0.1024,6.259e-01
0.98,0.94,0.6797,0.0156,6.002e-01
1.00,0.94,0.7248,0.0138,5.779e-01
1.02,0.94,0.7681,0.0119,5.585e-01
1.04,0.94,0.8098,0.0098,5.415e-01
1.06,0.94,0.8499,0.0076,5.267e-01
1.08,0.94,0.8883,0.0053,5.137e-01
1.10,0.94,0.9251,0.0029,5.023e-01
1.12,0.94,0.9601,0.0003,4.923e-01
1.14,0.94,0.9935,-0.0023,4.835e-01
1.16,0.94,1.0253,-0.0050,4.757e-01
1.18,0.94,1.0555,-0.0078,4.688e-01
1.20,0.94,1.0841,-0.0106,4.627e-01
1.22,0.94,1.1111,-0.0135,4.573e-01
1.24,0.94,1.1367,-0.0164,4.525e-01
1.26,0.94,1.1609,-0.0194,4.482e-01
1.28,0.94,1.1837,-0.0223,4.444e-01
1.30,0.94,1.2039,-0.0255,4.410e-01
1.32,0.94,1.2390,0.0420,4.379e-01
1.34,0.94,1.3876,0.1089,4.351e-01
1.36,0.94,1.1010,-0.2769,4.326e-01
1.38,0.94,1.2796,-1.4840,4.303e-01
1.40,0.94,2.0479,-0.7745,4.283e-01
1.42,0.94,2.0474,-0.7732,4.264e-01
1.44,0.94,2.0469,-0.7720,4.247e-01
1.46,0.94,2.0465,-0.7708,4.231e-01
1.48,0.94,2.0460,-0.7698,4.217e-01
1.50,0.94,2.0457,-0.7688,4.203e-01
1.52,0.94,2.0453,-0.7680,4.191e-01
1.54,0.94,2.0450,-0.7671,4.180e-01
1.56,0.94,2.0447,-0.7664,4.169e-01
1.58,0.94,2.0444,-0.7657,4.160e-01
1.60,0.94,2.0441,-0.7650,4.151e-01
1.62,0.94,2.0439,-0.7644,4.142e-01
1.64,0.94,2.0437,-0.7638,4.134e-01
1.66,0.94,2.0435,-0.7633,4.127e-01
1.68,0.94,2.0432,-0.7628,4.120e-01
1.70,0.94,2.0695,-0.7358,3.363e-01
1.72,0.94,2.1578,-0.6354,2.331e-01
1.74,0.94,2.2069,-0.5816,1.721e-01
1.76,0.94,2.2196,-0.5697,1.336e-01
1.78,0.94,2.2009,-0.5937,1.080e-01
1.80,0.94,2.1572,-0.6462,9.021e-02
1.82,0.94,2.0948,-0.7199,7.749e-02
1.84,0.94,2.0197,-0.8077,6.812e-02
1.86,0.94,1.9374,-0.9035,6.107e-02
