M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8900,-0.8554,4.102e-01
0.92,0.90,1.9369,-0.5108,4.101e-01
0.94,0.90,1.9554,-0.4814,4.101e-01
0.96,0.90,1.9565,-0.4840,4.101e-01
0.98,0.90,1.9576,-0.4865,4.100e-01
1.00,0.90,1.9587,-0.4890,4.100e-01
1.02,0.90,1.9597,-0.4914,4.100e-01
1.04,0.90,1.9607,-0.4938,4.100e-01
1.06,0.90,1.9617,-0.4961,4.099e-01
1.08,0.90,1.9626,-0.4983,4.099e-01
1.10,0.90,1.9635,-0.5004,4.099e-01
1.12,0.90,1.9644,-0.5025,4.098e-01
1.14,0.90,1.9652,-0.5046,4.098e-01
1.16,0.90,1.9660,-0.5065,4.098e-01
1.18,0.90,1.9668,-0.5084,4.098e-01
1.20,0.90,1.9675,-0.5102,4.098e-01
1.22,0.90,1.9682,-0.5119,4.097e-01
1.24,0.90,1.9688,-0.5135,4.097e-01
1.26,0.90,1.9695,-0.5150,4.097e-01
1.28,0.90,1.9700,-0.5165,4.097e-01
1.30,0.90,1.9706,-0.5179,4.097e-01
1.32,0.90,1.9690,-0.5026,4.097e-01
1.34,0.90,2.0046,-0.4137,4.096e-01
1.36,0.90,1.9101,-0.8029,4.096e-01
1.38,0.90,2.0338,-0.7431,4.096e-01
1.40,0.90,2.0348,-0.7424,4.096e-01
1.42,0.90,2.0348,-0.7423,4.096e-01
1.44,0.90,2.0347,-0.7423,4.096e-01
1.46,0.90,2.0347,-0.7423,4.096e-01
1.48,0.90,2.0347,-0.7423,4.096e-01
1.50,0.90,2.0347,-0.7423,4.096e-01
1.52,0.90,2.0347,-0.7423,4.096e-01
1.54,0.90,2.0347,-0.7423,4.096e-01
1.56,0.90,2.0347,-0.7423,4.096e-01
1.58,0.90,2.0347,-0.7423,4.096e-01
1.60,0.90,2.0347,-0.7423,4.096e-01
1.62,0.90,2.0347,-0.7423,4.096e-01
1.64,0.90,2.0347,-0.7423,4.096e-01
1.66,0.90,2.0347,-0.7423,4.096e-01
1.68,0.90,2.0348,-0.7423,4.096e-01
1.70,0.90,2.0348,-0.7424,4.096e-01
1.72,0.90,2.0348,-0.7424,4.096e-01
1.74,0.90,2.0348,-0.7424,4.096e-01
1.76,0.90,2.0348,-0.7424,4.096e-01
1.78,0.90,2.0840,-0.6813,3.011e-01
1.80,0.90,2.1665,-0.5767,2.072e-01
1.82,0.90,2.2137,-0.5122,1.501e-01
1.84,0.90,2.2250,-0.4875,1.132e-01
1.86,0.90,2.2018,-0.5005,8.828e-02
1.88,0.90,2.1482,-0.5464,7.086e-02
1.90,0.90,2.0708,-0.6182,5.831e-02
1.92,0.90,1.9769,-0.7080,4.906e-02
1.94,0.90,1.8739,-0.8081,4.211e-02
1.96,0.90,1.7675,-0.9116,3.681e-02
1.98,0.90,1.6620,-1.0135,3.273e-02
2.00,0.90,1.5598,-1.1101,2.955e-02
2.02,0.90,1.4624,-1.1991,2.706e-02
2.04,0.90,1.3706,-1.2793,2.514e-02
0.92,0.92,1.9161,-0.5517,3.980e-01
0.94,0.92,1.9587,-0.4183,3.980e-01
0.96,0.92,1.9556,-0.4820,3.979e-01
0.98,0.92,1.9568,-0.4847,3.979e-01
1.00,0.92,1.9579,-0.4873,3.979e-01
1.02,0.92,1.9590,-0.4898,3.978e-01
1.04,0.92,1.9601,-0.4922,3.978e-01
1.06,0.92,1.9611,-0.4946,3.978e-01
1.08,0.92,1.9621,-0.4970,3.977e-01
1.10,0.92,1.9630,-0.4992,3.977e-01
1.12,0.92,1.9640,-0.5014,3.977e-01
1.14,0.92,1.9648,-0.5036,3.977e-01
1.16,0.92,1.9657,-0.5056,3.976e-01
1.18,0.92,1.9665,-0.5076,3.976e-01
1.20,0.92,1.9672,-0.5095,3.976e-01
1.22,0.92,1.9680,-0.5113,3.976e-01
1.24,0.92,1.9687,-0.5130,3.976e-01
1.26,0.92,1.9693,-0.5146,3.975e-01
1.28,0.92,1.9699,-0.5162,3.975e-01
1.30,0.92,1.9705,-0.5176,3.975e-01
1.32,0.92,1.9714,-0.4951,3.975e-01
1.34,0.92,2.0000,-0.4614,3.975e-01
1.36,0.92,1.9250,-0.7138,3.975e-01
1.38,0.92,2.0176,-0.7584,3.975e-01
1.40,0.92,2.0348,-0.7424,3.974e-01
1.42,0.92,2.0348,-0.7423,3.974e-01
1.44,0.92,2.0347,-0.7423,3.974e-01
1.46,0.92,2.0347,-0.7423,3.974e-01
1.48,0.92,2.0347,-0.7423,3.974e-01
1.50,0.92,2.0347,-0.7423,3.974e-01
1.52,0.92,2.0347,-0.7423,3.974e-01
1.54,0.92,2.0347,-0.7423,3.974e-01
1.56,0.92,2.0347,-0.7423,3.974e-01
1.58,0.92,2.0347,-0.7423,3.974e-01
1.60,0.92,2.0347,-0.7423,3.974e-01
1.62,0.92,2.0347,-0.7423,3.974e-01
1.64,0.92,2.0347,-0.7423,3.974e-01
1.66,0.92,2.0347,-0.7423,3.974e-01
1.68,0.92,2.0347,-0.7423,3.974e-01
1.70,0.92,2.0348,-0.7423,3.974e-01
1.72,0.92,2.0348,-0.7424,3.974e-01
1.74,0.92,2.0772,-0.6897,3.001e-01
1.76,0.92,2.1635,-0.5804,2.042e-01
1.78,0.92,2.2130,-0.5131,1.465e-01
1.80,0.92,2.2250,-0.4874,1.098e-01
1.82,0.92,2.2009,-0.5010,8.516e-02
1.84,0.92,2.1452,-0.5488,6.806e-02
1.86,0.92,2.0649,-0.6234,5.582e-02
1.88,0.92,1.9678,-0.7163,4.684e-02
1.90,0.92,1.8618,-0.8192,4.013e-02
1.92,0.92,1.7527,-0.9251,3.503e-02
1.94,0.92,1.6450,-1.0286,3.111e-02
1.96,0.92,1.5409,-1.1262,2.807e-02
1.98,0.92,1.4418,-1.2154,2.569e-02
2.00,0.92,1.3483,-1.2954,2.382e-02
2.02,0.92,1.2610,-1.3659,2.236e-02
2.04,0.92,1.1806,-1.4270,2.123e-02
0.94,0.94,1.9788,-0.2726,3.854e-01
0.96,0.94,1.9583,-0.4400,3.853e-01
0.98,0.94,1.9558,-0.4825,3.853e-01
1.00,0.94,1.9570,-0.4851,3.853e-01
1.02,0.94,1.9582,-0.4878,3.852e-01
1.04,0.94,1.9593,-0.4904,3.852e-01
1.06,0.94,1.9604,-0.4929,3.852e-01
1.08,0.94,1.9614,-0.4953,3.851e-01
1.10,0.94,1.9624,-0.4977,3.851e-01
1.12,0.94,1.9634,-0.5000,3.851e-01
1.14,0.94,1.9643,-0.5022,3.851e-01
1.16,0.94,1.9652,-0.5044,3.850e-01
1.18,0.94,1.9660,-0.5064,3.850e-01
1.20,0.94,1.9668,-0.5084,3.850e-01
1.22,0.94,1.9676,-0.5104,3.850e-01
1.24,0.94,1.9683,-0.5122,3.850e-01
1.26,0.94,1.9690,-0.5139,3.849e-01
1.28,0.94,1.9697,-0.5156,3.849e-01
1.30,0.94,1.9701,-0.5168,3.849e-01
1.32,0.94,1.9730,-0.4874,3.849e-01
1.34,0.94,1.9915,-0.5014,3.849e-01
1.36,0.94,1.9415,-0.5900,3.849e-01
1.38,0.94,1.9712,-0.8039,3.848e-01
1.40,0.94,2.0348,-0.7424,3.848e-01
1.42,0.94,2.0348,-0.7423,3.848e-01
1.44,0.94,2.0347,-0.7423,3.848e-01
1.46,0.94,2.0347,-0.7423,3.848e-01
1.48,0.94,2.0347,-0.7423,3.848e-01
1.50,0.94,2.0347,-0.7423,3.848e-01
1.52,0.94,2.0347,-0.7423,3.848e-01
1.54,0.94,2.0347,-0.7423,3.848e-01
1.56,0.94,2.0347,-0.7423,3.848e-01
