M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-1.5061,-1.4806,4.689e-01
0.92,0.90,-4.5668,-0.0896,4.167e-01
0.94,0.90,-7.3177,0.0319,3.714e-01
0.96,0.90,-7.3177,0.0319,3.320e-01
0.98,0.90,-7.3177,0.0319,2.977e-01
1.00,0.90,-7.3177,0.0319,2.678e-01
1.02,0.90,-7.3177,0.0319,2.416e-01
1.04,0.90,-7.3177,0.0319,2.187e-01
1.06,0.90,-7.3177,0.0319,1.987e-01
1.08,0.90,-7.3177,0.0319,1.810e-01
1.10,0.90,-7.3177,0.0319,1.655e-01
1.12,0.90,-7.3177,0.0319,1.518e-01
1.14,0.90,-7.3177,0.0319,1.397e-01
1.16,0.90,-7.3177,0.0319,1.290e-01
1.18,0.90,-7.3177,0.0319,1.195e-01
1.20,0.90,-7.3177,0.0319,1.111e-01
1.22,0.90,-7.3177,0.0319,1.036e-01
1.24,0.90,-7.3177,0.0319,9.684e-02
1.26,0.90,-7.3177,0.0319,9.083e-02
1.28,0.90,-7.3177,0.0319,8.544e-02
1.30,0.90,-7.3177,0.0319,8.060e-02
1.32,0.90,-4.8567,0.0545,7.624e-02
1.34,0.90,-3.6107,0.5150,7.230e-02
1.36,0.90,-2.3635,-1.0721,6.873e-02
1.38,0.90,1.9170,-5.0223,6.550e-02
1.40,0.90,2.1901,-5.3264,6.256e-02
1.42,0.90,2.1901,-5.3264,5.988e-02
1.44,0.90,2.1901,-5.3264,5.743e-02
1.46,0.90,2.1901,-5.3264,5.519e-02
1.48,0.90,2.1901,-5.3264,5.313e-02
1.50,0.90,2.1901,-5.3264,5.124e-02
1.52,0.90,2.1901,-5.3264,4.949e-02
1.54,0.90,2.1901,-5.3264,4.788e-02
1.56,0.90,2.1901,-5.3264,4.639e-02
1.58,0.90,2.1901,-5.3264,4.500e-02
1.60,0.90,2.1901,-5.3264,4.372e-02
1.62,0.90,2.1901,-5.3264,4.252e-02
1.64,0.90,2.1901,-5.3264,4.140e-02
1.66,0.90,2.1901,-5.3264,4.036e-02
1.68,0.90,2.1901,-5.3264,3.939e-02
1.70,0.90,2.1901,-5.3264,3.847e-02
1.72,0.90,2.1901,-5.3264,3.762e-02
1.74,0.90,2.1901,-5.3264,3.682e-02
1.76,0.90,2.1901,-5.3264,3.606e-02
1.78,0.90,2.1901,-5.3264,3.536e-02
1.80,0.90,2.1901,-5.3264,3.469e-02
1.82,0.90,2.1901,-5.3264,3.407e-02
1.84,0.90,2.1901,-5.3264,3.348e-02
1.86,0.90,2.1901,-5.3264,3.292e-02
1.88,0.90,2.1901,-5.3264,3.240e-02
1.90,0.90,2.1901,-5.3264,3.191e-02
1.92,0.90,2.1901,-5.3264,3.145e-02
1.94,0.90,2.1901,-5.3264,3.101e-02
1.96,0.90,2.1901,-5.3264,3.060e-02
1.98,0.90,2.1901,-5.3264,3.022e-02
2.00,0.90,2.1901,-5.3264,2.984e-02
2.02,0.90,2.1901,-5.3264,2.948e-02
2.04,0.90,2.1901,-5.3264,2.911e-02
