M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-1.5061,-1.4806,2.198e-03
0.92,0.90,-4.5668,-0.0896,2.162e-03
0.94,0.90,-7.3177,0.0319,2.127e-03
0.96,0.90,-7.3177,0.0319,2.094e-03
0.98,0.90,-7.3177,0.0319,2.061e-03
1.00,0.90,-7.3177,0.0319,2.030e-03
1.02,0.90,-7.3177,0.0319,1.999e-03
1.04,0.90,-7.3177,0.0319,1.970e-03
1.06,0.90,-7.3177,0.0319,1.942e-03
1.08,0.90,-7.3177,0.0319,1.914e-03
1.10,0.90,-7.3177,0.0319,1.888e-03
1.12,0.90,-7.3177,0.0319,1.863e-03
1.14,0.90,-7.3177,0.0319,1.839e-03
1.16,0.90,-7.3177,0.0319,1.816e-03
1.18,0.90,-7.3177,0.0319,1.795e-03
1.20,0.90,-7.3177,0.0319,1.774e-03
1.22,0.90,-7.3177,0.0319,1.754e-03
1.24,0.90,-7.3177,0.0319,1.736e-03
1.26,0.90,-7.3177,0.0319,1.718e-03
1.28,0.90,-7.3177,0.0319,1.702e-03
1.30,0.90,-7.3177,0.0319,1.686e-03
1.32,0.90,-4.8567,0.0545,1.672e-03
1.34,0.90,-3.6107,0.5150,1.659e-03
1.36,0.90,-2.3635,-1.0721,1.647e-03
1.38,0.90,1.9170,-5.0223,1.636e-03
1.40,0.90,2.1901,-5.3264,1.626e-03
1.42,0.90,2.1901,-5.3264,1.617e-03
1.44,0.90,2.1901,-5.3264,1.610e-03
1.46,0.90,2.1901,-5.3264,1.604e-03
1.48,0.90,2.1901,-5.3264,1.598e-03
1.50,0.90,2.1901,-5.3264,1.594e-03
1.52,0.90,2.1901,-5.3264,1.592e-03
1.54,0.90,2.1901,-5.3264,1.590e-03
1.56,0.90,2.1901,-5.3264,1.590e-03
1.58,0.90,2.1901,-5.3264,1.591e-03
1.60,0.90,2.1901,-5.3264,1.593e-03
1.62,0.90,2.1901,-5.3264,1.597e-03
1.64,0.90,2.1901,-5.3264,1.602e-03
1.66,0.90,2.1901,-5.3264,1.608e-03
1.68,0.90,2.1901,-5.3264,1.616e-03
1.70,0.90,2.1901,-5.3264,1.626e-03
1.72,0.90,2.1901,-5.3264,1.637e-03
1.74,0.90,2.1901,-5.3264,1.650e-03
1.76,0.90,2.1901,-5.3264,1.664e-03
1.78,0.90,2.1901,-5.3264,1.681e-03
1.80,0.90,2.1901,-5.3264,1.699e-03
1.82,0.90,2.1901,-5.3264,1.720e-03
1.84,0.90,2.1901,-5.3264,1.742e-03
1.86,0.90,2.1901,-5.3264,1.768e-03
1.88,0.90,2.1901,-5.3264,1.796e-03
1.90,0.90,2.1901,-5.3264,1.827e-03
1.92,0.90,2.1901,-5.3264,1.862e-03
