M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,2.110e-01
0.92,0.90,2.0342,-0.7412,2.110e-01
0.94,0.90,2.0342,-0.7412,2.110e-01
0.96,0.90,2.0342,-0.7412,2.110e-01
0.98,0.90,2.0342,-0.7412,2.110e-01
1.00,0.90,2.0342,-0.7412,2.110e-01
1.02,0.90,2.0342,-0.7412,2.110e-01
1.04,0.90,2.0342,-0.7412,2.110e-01
1.06,0.90,2.0342,-0.7412,2.110e-01
1.08,0.90,2.0342,-0.7412,2.110e-01
1.10,0.90,2.0342,-0.7412,2.110e-01
1.12,0.90,2.0342,-0.7412,2.110e-01
1.14,0.90,2.0342,-0.7412,2.110e-01
1.16,0.90,2.0342,-0.7412,2.110e-01
1.18,0.90,2.0342,-0.7412,2.110e-01
1.20,0.90,2.0342,-0.7412,2.110e-01
1.22,0.90,2.0342,-0.7412,2.110e-01
1.24,0.90,1.9324,-0.4336,2.125e-01
1.26,0.90,1.8458,-0.3041,2.140e-01
1.28,0.90,1.7726,-0.2318,2.156e-01
1.30,0.90,1.7092,-0.1851,2.171e-01
1.32,0.90,1.6443,-0.1274,2.187e-01
1.34,0.90,1.7854,0.1847,2.204e-01
1.36,0.90,1.3115,-0.9870,2.220e-01
1.38,0.90,2.0277,-0.7695,2.236e-01
1.40,0.90,2.0425,-0.7608,2.253e-01
1.42,0.90,2.0434,-0.7631,2.269e-01
1.44,0.90,2.0443,-0.7654,2.285e-01
1.46,0.90,2.0452,-0.7676,2.301e-01
1.48,0.90,2.0461,-0.7699,2.317e-01
1.50,0.90,2.0470,-0.7722,2.332e-01
1.52,0.90,2.0479,-0.7745,2.347e-01
1.54,0.90,2.0488,-0.7768,2.361e-01
1.56,0.90,2.0497,-0.7791,2.375e-01
1.58,0.90,2.0505,-0.7815,2.387e-01
1.60,0.90,2.0514,-0.7838,2.397e-01
1.62,0.90,2.0523,-0.7862,2.406e-01
1.64,0.90,2.0532,-0.7887,2.413e-01
1.66,0.90,2.0542,-0.7911,2.418e-01
1.68,0.90,2.0551,-0.7937,2.421e-01
1.70,0.90,2.0560,-0.7963,2.421e-01
1.72,0.90,2.0570,-0.7990,2.418e-01
1.74,0.90,2.0580,-0.8018,2.412e-01
1.76,0.90,2.0590,-0.8047,2.403e-01
1.78,0.90,2.1067,-0.7749,1.879e-01
1.80,0.90,2.1736,-0.7297,1.436e-01
1.82,0.90,2.2045,-0.7316,1.174e-01
1.84,0.90,2.2087,-0.7690,1.011e-01
1.86,0.90,2.1956,-0.8306,9.054e-02
1.88,0.90,2.1724,-0.9071,8.360e-02
1.90,0.90,2.1436,-0.9922,7.895e-02
1.92,0.90,2.1122,-1.0814,7.580e-02
1.94,0.90,2.0800,-1.1714,7.363e-02
1.96,0.90,2.0480,-1.2598,7.210e-02
1.98,0.90,2.0173,-1.3446,7.095e-02
2.00,0.90,1.9884,-1.4241,6.993e-02
2.02,0.90,1.9613,-1.4967,6.876e-02
2.04,0.90,1.9349,-1.5601,6.673e-02
0.92,0.92,2.0342,-0.7412,2.110e-01
0.94,0.92,2.0342,-0.7412,2.110e-01
0.96,0.92,2.0342,-0.7412,2.110e-01
0.98,0.92,2.0342,-0.7412,2.110e-01
1.00,0.92,2.0342,-0.7412,2.110e-01
1.02,0.92,2.0342,-0.7412,2.110e-01
1.04,0.92,2.0342,-0.7412,2.110e-01
1.06,0.92,2.0342,-0.7412,2.110e-01
1.08,0.92,2.0342,-0.7412,2.110e-01
1.10,0.92,2.0342,-0.7412,2.110e-01
1.12,0.92,2.0342,-0.7412,2.110e-01
