M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.6924,0.0888,3.028e-01
0.92,0.90,0.6022,0.0157,2.891e-01
0.94,0.90,0.6789,0.0157,2.774e-01
0.96,0.90,0.7229,0.0139,2.672e-01
0.98,0.90,0.7648,0.0120,2.585e-01
1.00,0.90,0.8047,0.0101,2.509e-01
1.02,0.90,0.8424,0.0080,2.444e-01
1.04,0.90,0.8780,0.0059,2.387e-01
1.06,0.90,0.9117,0.0038,2.337e-01
1.08,0.90,0.9433,0.0016,2.294e-01
1.10,0.90,0.9730,-0.0007,2.256e-01
1.12,0.90,1.0008,-0.0029,2.223e-01
1.14,0.90,1.0268,-0.0051,2.193e-01
1.16,0.90,1.0512,-0.0074,2.167e-01
1.18,0.90,1.0408,-0.0049,2.144e-01
1.20,0.90,1.1229,0.0871,2.123e-01
1.22,0.90,1.1273,-0.0779,2.105e-01
1.24,0.90,1.1540,0.2208,2.088e-01
1.26,0.90,0.8689,-1.2909,2.072e-01
1.28,0.90,1.9096,-0.9063,2.058e-01
1.30,0.90,2.0523,-0.7861,2.045e-01
1.32,0.90,2.0517,-0.7845,2.032e-01
1.34,0.90,2.0511,-0.7830,2.020e-01
1.36,0.90,2.0506,-0.7817,2.008e-01
1.38,0.90,2.0502,-0.7805,1.996e-01
1.40,0.90,2.0497,-0.7794,1.984e-01
1.42,0.90,2.0494,-0.7783,1.972e-01
1.44,0.90,2.0490,-0.7774,1.958e-01
1.46,0.90,2.0487,-0.7766,1.943e-01
1.48,0.90,2.0484,-0.7759,1.927e-01
1.50,0.90,2.0482,-0.7753,1.909e-01
1.52,0.90,2.0480,-0.7748,1.887e-01
1.54,0.90,2.0478,-0.7744,1.862e-01
1.56,0.90,2.0477,-0.7741,1.833e-01
1.58,0.90,2.0477,-0.7739,1.798e-01
1.60,0.90,2.0477,-0.7740,1.757e-01
1.62,0.90,2.0478,-0.7742,1.708e-01
1.64,0.90,2.0480,-0.7747,1.649e-01
1.66,0.90,2.0483,-0.7756,1.580e-01
1.68,0.90,2.0488,-0.7768,1.498e-01
1.70,0.90,2.0495,-0.7787,1.403e-01
1.72,0.90,2.0505,-0.7813,1.294e-01
1.74,0.90,2.0519,-0.7851,1.171e-01
1.76,0.90,2.0539,-0.7905,1.036e-01
1.78,0.90,2.0568,-0.7985,8.925e-02
