M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8884,-0.3063,1.794e-01
0.92,0.90,1.8444,-0.3045,1.793e-01
0.94,0.90,1.8574,-0.3181,1.793e-01
0.96,0.90,1.8594,-0.3206,1.793e-01
0.98,0.90,1.8613,-0.3230,1.792e-01
1.00,0.90,1.8631,-0.3253,1.792e-01
1.02,0.90,1.8649,-0.3276,1.792e-01
1.04,0.90,1.8667,-0.3298,1.791e-01
1.06,0.90,1.8683,-0.3320,1.791e-01
1.08,0.90,1.8699,-0.3341,1.791e-01
1.10,0.90,1.8715,-0.3362,1.790e-01
1.12,0.90,1.8729,-0.3381,1.790e-01
1.14,0.90,1.8743,-0.3400,1.789e-01
1.16,0.90,1.8757,-0.3418,1.789e-01
1.18,0.90,1.8653,-0.3269,1.788e-01
1.20,0.90,1.8873,-0.2824,1.788e-01
1.22,0.90,1.8833,-0.3972,1.787e-01
1.24,0.90,1.8871,-0.1727,1.786e-01
1.26,0.90,1.7626,-0.9339,1.785e-01
1.28,0.90,2.0240,-0.7542,1.784e-01
1.30,0.90,2.0356,-0.7444,1.782e-01
1.32,0.90,2.0356,-0.7444,1.780e-01
1.34,0.90,2.0356,-0.7444,1.778e-01
1.36,0.90,2.0356,-0.7443,1.775e-01
1.38,0.90,2.0356,-0.7443,1.771e-01
1.40,0.90,2.0356,-0.7443,1.767e-01
1.42,0.90,2.0356,-0.7443,1.762e-01
1.44,0.90,2.0356,-0.7443,1.755e-01
1.46,0.90,2.0356,-0.7443,1.746e-01
1.48,0.90,2.0356,-0.7444,1.736e-01
1.50,0.90,2.0356,-0.7444,1.723e-01
1.52,0.90,2.0356,-0.7444,1.706e-01
1.54,0.90,2.0357,-0.7444,1.686e-01
1.56,0.90,2.0357,-0.7445,1.662e-01
1.58,0.90,2.0357,-0.7446,1.631e-01
1.60,0.90,2.0357,-0.7446,1.594e-01
1.62,0.90,2.0358,-0.7448,1.549e-01
1.64,0.90,2.0358,-0.7449,1.494e-01
1.66,0.90,2.0359,-0.7451,1.428e-01
1.68,0.90,2.0360,-0.7453,1.350e-01
1.70,0.90,2.0362,-0.7457,1.258e-01
1.72,0.90,2.0364,-0.7461,1.152e-01
1.74,0.90,2.0366,-0.7468,1.032e-01
1.76,0.90,2.0370,-0.7476,8.998e-02
1.78,0.90,2.0376,-0.7489,7.589e-02
1.80,0.90,2.0461,-0.7434,5.338e-02
1.82,0.90,2.1399,-0.6379,2.842e-02
1.84,0.90,2.1972,-0.5856,1.542e-02
1.86,0.90,2.2173,-0.5977,8.565e-03
1.88,0.90,2.2069,-0.6902,5.036e-03
1.90,0.90,2.1844,-0.8817,3.322e-03
1.92,0.90,2.1720,-1.1901,2.573e-03
1.94,0.90,2.1750,-1.6269,2.301e-03
1.96,0.90,2.1686,-1.7280,2.312e-03
1.98,0.90,2.1608,-1.7968,2.342e-03
2.00,0.90,2.1527,-1.8622,2.382e-03
2.02,0.90,2.1447,-1.9241,2.433e-03
2.04,0.90,2.1370,-1.9835,2.501e-03
2.06,0.90,2.1307,-2.0438,2.613e-03
0.92,0.92,1.8698,-0.3584,1.793e-01
0.94,0.92,1.8617,-0.2812,1.793e-01
