M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8369,-0.2354,1.667e-01
0.92,0.90,1.7769,-0.2377,1.690e-01
0.94,0.90,1.7879,-0.2450,1.725e-01
0.96,0.90,1.7838,-0.2414,1.771e-01
0.98,0.90,1.7789,-0.2371,1.830e-01
1.00,0.90,1.7733,-0.2324,1.900e-01
1.02,0.90,1.7671,-0.2273,1.982e-01
1.04,0.90,1.7605,-0.2220,2.073e-01
1.06,0.90,1.7535,-0.2165,2.173e-01
1.08,0.90,1.7462,-0.2109,2.281e-01
1.10,0.90,1.7385,-0.2053,2.395e-01
1.12,0.90,1.7306,-0.1996,2.514e-01
1.14,0.90,1.7223,-0.1939,2.637e-01
1.16,0.90,1.7137,-0.1881,2.763e-01
1.18,0.90,1.6847,-0.1686,2.889e-01
1.20,0.90,1.7122,-0.0955,3.017e-01
1.22,0.90,1.6934,-0.2309,3.143e-01
1.24,0.90,1.6887,0.0483,3.268e-01
1.26,0.90,1.4601,-1.1029,3.391e-01
1.28,0.90,2.0015,-0.7832,3.512e-01
1.30,0.90,2.0390,-0.7523,3.629e-01
1.32,0.90,2.0392,-0.7528,3.743e-01
1.34,0.90,2.0394,-0.7533,3.854e-01
1.36,0.90,2.0396,-0.7539,3.960e-01
1.38,0.90,2.0399,-0.7545,4.063e-01
1.40,0.90,2.0401,-0.7551,4.162e-01
1.42,0.90,2.0404,-0.7557,4.258e-01
1.44,0.90,2.0406,-0.7564,4.349e-01
1.46,0.90,2.0409,-0.7571,4.437e-01
1.48,0.90,2.0412,-0.7578,4.521e-01
1.50,0.90,2.0415,-0.7586,4.602e-01
1.52,0.90,2.0419,-0.7594,4.679e-01
1.54,0.90,2.0422,-0.7602,4.752e-01
1.56,0.90,2.0426,-0.7611,4.821e-01
1.58,0.90,2.0429,-0.7620,4.887e-01
1.60,0.90,2.0433,-0.7630,4.947e-01
1.62,0.90,2.0437,-0.7640,5.003e-01
1.64,0.90,2.0442,-0.7651,5.053e-01
1.66,0.90,2.0446,-0.7662,5.095e-01
1.68,0.90,2.0451,-0.7674,5.129e-01
1.70,0.90,2.0456,-0.7688,5.151e-01
1.72,0.90,2.0462,-0.7702,5.160e-01
1.74,0.90,2.0469,-0.7719,5.151e-01
1.76,0.90,2.0476,-0.7737,5.121e-01
1.78,0.90,2.0484,-0.7759,5.068e-01
1.80,0.90,2.0580,-0.7753,4.391e-01
1.82,0.90,2.1459,-0.6902,3.100e-01
1.84,0.90,2.1961,-0.6553,2.343e-01
