M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.635e-01
0.92,0.90,2.0342,-0.7412,1.657e-01
0.94,0.90,2.0342,-0.7412,1.691e-01
0.96,0.90,2.0342,-0.7412,1.736e-01
0.98,0.90,2.0342,-0.7412,1.793e-01
1.00,0.90,2.0342,-0.7412,1.860e-01
1.02,0.90,2.0342,-0.7412,1.938e-01
1.04,0.90,2.0342,-0.7412,2.026e-01
1.06,0.90,2.0342,-0.7412,2.122e-01
1.08,0.90,2.0342,-0.7412,2.226e-01
1.10,0.90,2.0342,-0.7412,2.335e-01
1.12,0.90,2.0342,-0.7412,2.449e-01
1.14,0.90,2.0342,-0.7412,2.566e-01
1.16,0.90,2.0255,-0.7006,2.687e-01
1.18,0.90,1.9496,-0.4678,2.821e-01
1.20,0.90,1.9078,-0.3177,2.954e-01
1.22,0.90,1.8572,-0.3651,3.087e-01
1.24,0.90,1.8215,-0.0746,3.217e-01
1.26,0.90,1.6094,-1.0259,3.346e-01
1.28,0.90,2.0117,-0.7699,3.471e-01
1.30,0.90,2.0377,-0.7494,3.594e-01
1.32,0.90,2.0381,-0.7503,3.712e-01
1.34,0.90,2.0385,-0.7512,3.827e-01
1.36,0.90,2.0389,-0.7521,3.937e-01
1.38,0.90,2.0392,-0.7530,4.043e-01
1.40,0.90,2.0396,-0.7538,4.145e-01
1.42,0.90,2.0399,-0.7546,4.242e-01
1.44,0.90,2.0403,-0.7555,4.336e-01
1.46,0.90,2.0406,-0.7563,4.425e-01
1.48,0.90,2.0409,-0.7571,4.510e-01
1.50,0.90,2.0413,-0.7578,4.591e-01
1.52,0.90,2.0416,-0.7586,4.667e-01
1.54,0.90,2.0419,-0.7594,4.739e-01
1.56,0.90,2.0422,-0.7602,4.807e-01
1.58,0.90,2.0425,-0.7610,4.870e-01
1.60,0.90,2.0428,-0.7618,4.928e-01
1.62,0.90,2.0432,-0.7626,4.980e-01
1.64,0.90,2.0435,-0.7634,5.025e-01
1.66,0.90,2.0438,-0.7642,5.062e-01
1.68,0.90,2.0442,-0.7651,5.089e-01
1.70,0.90,2.0445,-0.7660,5.104e-01
1.72,0.90,2.0449,-0.7670,5.105e-01
1.74,0.90,2.0454,-0.7681,5.087e-01
1.76,0.90,2.0458,-0.7693,5.047e-01
1.78,0.90,2.0464,-0.7707,4.982e-01
1.80,0.90,2.0555,-0.7683,4.294e-01
1.82,0.90,2.1445,-0.6769,2.989e-01
1.84,0.90,2.1964,-0.6333,2.218e-01
1.86,0.90,2.2153,-0.6327,1.736e-01
1.88,0.90,2.2078,-0.6674,1.424e-01
1.90,0.90,2.1819,-0.7282,1.216e-01
1.92,0.90,2.1447,-0.8059,1.075e-01
1.94,0.90,2.1014,-0.8933,9.791e-02
1.96,0.90,2.0550,-0.9848,9.125e-02
1.98,0.90,2.0075,-1.0762,8.657e-02
2.00,0.90,1.9600,-1.1646,8.318e-02
2.02,0.90,1.9128,-1.2477,8.056e-02
2.04,0.90,1.8660,-1.3237,7.818e-02
2.06,0.90,1.8169,-1.3901,7.499e-02
0.92,0.92,2.0342,-0.7412,1.635e-01
0.94,0.92,2.0342,-0.7412,1.657e-01
0.96,0.92,2.0342,-0.7412,1.689e-01
0.98,0.92,2.0342,-0.7412,1.733e-01
1.00,0.92,2.0342,-0.7412,1.787e-01
1.02,0.92,2.0342,-0.7412,1.852e-01
1.04,0.92,2.0342,-0.7412,1.928e-01
1.06,0.92,2.0342,-0.7412,2.012e-01
1.08,0.92,2.0342,-0.7412,2.105e-01
1.10,0.92,2.0342,-0.7412,2.205e-01
1.12,0.92,2.0342,-0.7412,2.311e-01
1.14,0.92,2.0342,-0.7412,2.421e-01
1.16,0.92,2.0342,-0.7412,2.535e-01
