M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.6596,0.0901,2.894e-01
0.92,0.90,0.5747,0.0165,2.779e-01
0.94,0.90,0.6599,0.0164,2.695e-01
0.96,0.90,0.7149,0.0142,2.638e-01
0.98,0.90,0.7701,0.0118,2.608e-01
1.00,0.90,0.8250,0.0090,2.600e-01
1.02,0.90,0.8793,0.0058,2.613e-01
1.04,0.90,0.9325,0.0023,2.644e-01
1.06,0.90,0.9841,-0.0015,2.690e-01
1.08,0.90,1.0339,-0.0058,2.751e-01
1.10,0.90,1.0816,-0.0104,2.822e-01
1.12,0.90,1.1269,-0.0153,2.903e-01
1.14,0.90,1.1697,-0.0205,2.991e-01
1.16,0.90,1.2099,-0.0259,3.085e-01
1.18,0.90,1.2162,-0.0253,3.182e-01
1.20,0.90,1.3082,0.0587,3.282e-01
1.22,0.90,1.3264,-0.1068,3.383e-01
1.24,0.90,1.3639,0.1827,3.484e-01
1.26,0.90,1.1124,-1.2338,3.584e-01
1.28,0.90,1.9621,-0.8349,3.682e-01
1.30,0.90,2.0439,-0.7644,3.778e-01
1.32,0.90,2.0433,-0.7629,3.871e-01
1.34,0.90,2.0428,-0.7616,3.960e-01
1.36,0.90,2.0423,-0.7604,4.047e-01
1.38,0.90,2.0419,-0.7593,4.130e-01
1.40,0.90,2.0415,-0.7584,4.209e-01
1.42,0.90,2.0411,-0.7575,4.284e-01
1.44,0.90,2.0408,-0.7568,4.355e-01
1.46,0.90,2.0405,-0.7561,4.423e-01
1.48,0.90,2.0403,-0.7555,4.486e-01
1.50,0.90,2.0400,-0.7549,4.546e-01
1.52,0.90,2.0398,-0.7544,4.602e-01
1.54,0.90,2.0396,-0.7539,4.653e-01
1.56,0.90,2.0394,-0.7535,4.701e-01
1.58,0.90,2.0393,-0.7531,4.744e-01
1.60,0.90,2.0391,-0.7527,4.782e-01
1.62,0.90,2.0390,-0.7524,4.814e-01
1.64,0.90,2.0389,-0.7521,4.840e-01
1.66,0.90,2.0388,-0.7518,4.858e-01
1.68,0.90,2.0387,-0.7516,4.866e-01
1.70,0.90,2.0386,-0.7514,4.863e-01
1.72,0.90,2.0385,-0.7512,4.845e-01
1.74,0.90,2.0385,-0.7511,4.809e-01
1.76,0.90,2.0385,-0.7511,4.752e-01
1.78,0.90,2.0385,-0.7511,4.669e-01
1.80,0.90,2.0462,-0.7437,3.964e-01
1.82,0.90,2.1393,-0.6326,2.643e-01
1.84,0.90,2.1975,-0.5628,1.855e-01
1.86,0.90,2.2215,-0.5332,1.358e-01
1.88,0.90,2.2136,-0.5405,1.031e-01
1.90,0.90,2.1785,-0.5796,8.091e-02
1.92,0.90,2.1224,-0.6434,6.551e-02
1.94,0.90,2.0519,-0.7246,5.464e-02
1.96,0.90,1.9726,-0.8164,4.685e-02
1.98,0.90,1.8893,-0.9131,4.120e-02
2.00,0.90,1.8054,-1.0098,3.703e-02
2.02,0.90,1.7234,-1.1030,3.391e-02
2.04,0.90,1.6445,-1.1902,3.153e-02
2.06,0.90,1.5695,-1.2699,2.968e-02
0.92,0.92,0.7136,-0.0192,2.566e-01
0.94,0.92,0.7355,0.0689,2.488e-01
0.96,0.92,0.7544,0.0117,2.435e-01
0.98,0.92,0.8345,0.0085,2.406e-01
1.00,0.92,0.8870,0.0054,2.397e-01
1.02,0.92,0.9390,0.0019,2.408e-01
1.04,0.92,0.9901,-0.0020,2.436e-01
1.06,0.92,1.0399,-0.0063,2.480e-01
1.08,0.92,1.0881,-0.0110,2.537e-01
1.10,0.92,1.1344,-0.0161,2.606e-01
1.12,0.92,1.1785,-0.0216,2.684e-01
1.14,0.92,1.2202,-0.0274,2.771e-01
1.16,0.92,1.2595,-0.0334,2.864e-01
1.18,0.92,1.2672,-0.0249,2.962e-01
1.20,0.92,1.3595,0.0570,3.063e-01
1.22,0.92,1.3211,-0.1767,3.166e-01
1.24,0.92,1.5386,0.3643,3.270e-01
1.26,0.92,1.1691,-0.8676,3.373e-01
1.28,0.92,1.5426,-1.2352,3.476e-01
1.30,0.92,2.0427,-0.7614,3.576e-01
1.32,0.92,2.0422,-0.7601,3.675e-01
1.34,0.92,2.0417,-0.7589,3.770e-01
1.36,0.92,2.0413,-0.7579,3.862e-01
1.38,0.92,2.0409,-0.7569,3.950e-01
1.40,0.92,2.0405,-0.7561,4.035e-01
1.42,0.92,2.0402,-0.7554,4.116e-01
1.44,0.92,2.0400,-0.7547,4.193e-01
1.46,0.92,2.0397,-0.7541,4.266e-01
1.48,0.92,2.0395,-0.7535,4.335e-01
1.50,0.92,2.0393,-0.7530,4.399e-01
1.52,0.92,2.0391,-0.7526,4.459e-01
1.54,0.92,2.0389,-0.7521,4.515e-01
1.56,0.92,2.0387,-0.7517,4.566e-01
1.58,0.92,2.0386,-0.7514,4.611e-01
