M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8783,-0.2908,1.659e-01
0.92,0.90,1.8341,-0.2929,1.681e-01
0.94,0.90,1.8507,-0.3099,1.714e-01
0.96,0.90,1.8566,-0.3171,1.759e-01
0.98,0.90,1.8631,-0.3253,1.815e-01
1.00,0.90,1.8701,-0.3343,1.883e-01
1.02,0.90,1.8773,-0.3441,1.961e-01
1.04,0.90,1.8846,-0.3544,2.048e-01
1.06,0.90,1.8919,-0.3650,2.144e-01
1.08,0.90,1.8989,-0.3757,2.247e-01
1.10,0.90,1.9057,-0.3864,2.356e-01
1.12,0.90,1.9121,-0.3970,2.470e-01
1.14,0.90,1.9180,-0.4072,2.587e-01
1.16,0.90,1.9236,-0.4171,2.706e-01
1.18,0.90,1.9204,-0.4104,2.826e-01
1.20,0.90,1.9397,-0.3835,2.946e-01
1.22,0.90,1.9404,-0.4860,3.065e-01
1.24,0.90,1.9460,-0.3052,3.182e-01
1.26,0.90,1.8675,-0.8637,3.296e-01
1.28,0.90,2.0289,-0.7480,3.407e-01
1.30,0.90,2.0349,-0.7428,3.515e-01
1.32,0.90,2.0349,-0.7427,3.619e-01
1.34,0.90,2.0349,-0.7427,3.718e-01
1.36,0.90,2.0349,-0.7426,3.814e-01
1.38,0.90,2.0349,-0.7426,3.905e-01
1.40,0.90,2.0348,-0.7426,3.991e-01
1.42,0.90,2.0348,-0.7425,4.074e-01
1.44,0.90,2.0348,-0.7425,4.152e-01
1.46,0.90,2.0348,-0.7425,4.225e-01
1.48,0.90,2.0348,-0.7425,4.295e-01
1.50,0.90,2.0348,-0.7424,4.360e-01
1.52,0.90,2.0348,-0.7424,4.421e-01
1.54,0.90,2.0348,-0.7424,4.477e-01
1.56,0.90,2.0348,-0.7424,4.529e-01
1.58,0.90,2.0348,-0.7424,4.577e-01
1.60,0.90,2.0348,-0.7424,4.619e-01
1.62,0.90,2.0348,-0.7424,4.655e-01
1.64,0.90,2.0348,-0.7424,4.684e-01
1.66,0.90,2.0348,-0.7424,4.706e-01
1.68,0.90,2.0348,-0.7424,4.718e-01
1.70,0.90,2.0348,-0.7424,4.718e-01
1.72,0.90,2.0348,-0.7424,4.703e-01
1.74,0.90,2.0348,-0.7424,4.670e-01
1.76,0.90,2.0348,-0.7424,4.615e-01
1.78,0.90,2.0348,-0.7425,4.536e-01
1.80,0.90,2.0422,-0.7336,3.833e-01
1.82,0.90,2.1370,-0.6149,2.514e-01
1.84,0.90,2.1980,-0.5353,1.729e-01
1.86,0.90,2.2243,-0.4947,1.234e-01
1.88,0.90,2.2163,-0.4921,9.090e-02
1.90,0.90,2.1769,-0.5239,6.890e-02
1.92,0.90,2.1116,-0.5840,5.368e-02
1.94,0.90,2.0273,-0.6652,4.299e-02
1.96,0.90,1.9312,-0.7597,3.537e-02
1.98,0.90,1.8296,-0.8606,2.987e-02
2.00,0.90,1.7272,-0.9622,2.586e-02
2.02,0.90,1.6272,-1.0604,2.290e-02
2.04,0.90,1.5313,-1.1523,2.069e-02
2.06,0.90,1.4410,-1.2362,1.907e-02
0.92,0.92,1.8587,-0.3447,1.659e-01
0.94,0.92,1.8521,-0.2686,1.680e-01
0.96,0.92,1.8448,-0.3036,1.712e-01
0.98,0.92,1.8606,-0.3220,1.755e-01
1.00,0.92,1.8669,-0.3301,1.809e-01
1.02,0.92,1.8736,-0.3390,1.874e-01
1.04,0.92,1.8805,-0.3485,1.949e-01
1.06,0.92,1.8876,-0.3586,2.033e-01
1.08,0.92,1.8946,-0.3690,2.126e-01
1.10,0.92,1.9014,-0.3795,2.226e-01
1.12,0.92,1.9079,-0.3901,2.331e-01
1.14,0.92,1.9141,-0.4004,2.442e-01
1.16,0.92,1.9199,-0.4106,2.555e-01
1.18,0.92,1.9172,-0.3993,2.672e-01
1.20,0.92,1.9378,-0.3731,2.789e-01
1.22,0.92,1.9238,-0.4998,2.906e-01
1.24,0.92,1.9720,-0.2221,3.023e-01
1.26,0.92,1.8655,-0.7841,3.138e-01
1.28,0.92,1.9676,-0.8080,3.251e-01
1.30,0.92,2.0350,-0.7428,3.361e-01
1.32,0.92,2.0349,-0.7428,3.468e-01
1.34,0.92,2.0349,-0.7427,3.571e-01
1.36,0.92,2.0349,-0.7427,3.670e-01
1.38,0.92,2.0349,-0.7426,3.765e-01
1.40,0.92,2.0349,-0.7426,3.856e-01
1.42,0.92,2.0348,-0.7425,3.943e-01
1.44,0.92,2.0348,-0.7425,4.025e-01
1.46,0.92,2.0348,-0.7425,4.103e-01
1.48,0.92,2.0348,-0.7425,4.177e-01
1.50,0.92,2.0348,-0.7424,4.246e-01
1.52,0.92,2.0348,-0.7424,4.310e-01
1.54,0.92,2.0348,-0.7424,4.370e-01
1.56,0.92,2.0348,-0.7424,4.424e-01
1.58,0.92,2.0348,-0.7424,4.473e-01
1.60,0.92,2.0348,-0.7424,4.516e-01
1.62,0.92,2.0348,-0.7424,4.552e-01
1.64,0.92,2.0348,-0.7424,4.579e-01
1.66,0.92,2.0348,-0.7424,4.596e-01
1.68,0.92,2.0348,-0.7424,4.601e-01
1.70,0.92,2.0348,-0.7424,4.590e-01
1.72,0.92,2.0348,-0.7424,4.561e-01
1.74,0.92,2.0348,-0.7424,4.510e-01
1.76,0.92,2.0372,-0.7397,3.910e-01
1.78,0.92,2.1353,-0.6169,2.555e-01
1.80,0.92,2.1980,-0.5350,1.754e-01
1.82,0.92,2.2245,-0.4938,1.252e-01
1.84,0.92,2.2152,-0.4921,9.209e-02
1.86,0.92,2.1732,-0.5262,6.961e-02
1.88,0.92,2.1045,-0.5895,5.398e-02
1.90,0.92,2.0166,-0.6741,4.294e-02
1.92,0.92,1.9170,-0.7719,3.505e-02
1.94,0.92,1.8124,-0.8756,2.936e-02
1.96,0.92,1.7076,-0.9792,2.522e-02
1.98,0.92,1.6055,-1.0786,2.218e-02
2.00,0.92,1.5079,-1.1709,1.993e-02
2.02,0.92,1.4157,-1.2546,1.825e-02
2.04,0.92,1.3294,-1.3292,1.700e-02
2.06,0.92,1.2501,-1.3947,1.610e-02
0.94,0.94,1.8595,-0.3561,1.658e-01
0.96,0.94,1.8673,-0.2359,1.678e-01
0.98,0.94,1.8477,-0.2958,1.709e-01
1.00,0.94,1.8646,-0.3271,1.751e-01
1.02,0.94,1.8706,-0.3350,1.803e-01
1.04,0.94,1.8771,-0.3437,1.866e-01
1.06,0.94,1.8838,-0.3531,1.938e-01
1.08,0.94,1.8905,-0.3630,2.020e-01
1.10,0.94,1.8973,-0.3732,2.109e-01
