M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9301,-0.3820,3.505e-01
0.92,0.90,1.8925,-0.3678,3.506e-01
0.94,0.90,1.8970,-0.3727,3.507e-01
0.96,0.90,1.8913,-0.3641,3.509e-01
0.98,0.90,1.8841,-0.3536,3.511e-01
1.00,0.90,1.8755,-0.3416,3.513e-01
1.02,0.90,1.8656,-0.3285,3.516e-01
1.04,0.90,1.8546,-0.3146,3.520e-01
1.06,0.90,1.8424,-0.3002,3.524e-01
1.08,0.90,1.8293,-0.2856,3.528e-01
1.10,0.90,1.8152,-0.2709,3.533e-01
1.12,0.90,1.8003,-0.2564,3.538e-01
1.14,0.90,1.7847,-0.2422,3.544e-01
1.16,0.90,1.7684,-0.2284,3.550e-01
1.18,0.90,1.7334,-0.2003,3.557e-01
1.20,0.90,1.7496,-0.1239,3.564e-01
1.22,0.90,1.7235,-0.2494,3.571e-01
1.24,0.90,1.7106,0.0325,3.579e-01
1.26,0.90,1.4785,-1.0941,3.588e-01
1.28,0.90,2.0022,-0.7822,3.597e-01
1.30,0.90,2.0390,-0.7524,3.607e-01
1.32,0.90,2.0394,-0.7532,3.617e-01
1.34,0.90,2.0397,-0.7541,3.627e-01
1.36,0.90,2.0401,-0.7550,3.639e-01
1.38,0.90,2.0405,-0.7560,3.650e-01
1.40,0.90,2.0409,-0.7570,3.663e-01
1.42,0.90,2.0414,-0.7581,3.676e-01
1.44,0.90,2.0418,-0.7592,3.689e-01
1.46,0.90,2.0423,-0.7603,3.703e-01
1.48,0.90,2.0428,-0.7615,3.718e-01
1.50,0.90,2.0433,-0.7628,3.734e-01
1.52,0.90,2.0438,-0.7641,3.750e-01
1.54,0.90,2.0443,-0.7654,3.766e-01
1.56,0.90,2.0449,-0.7668,3.784e-01
1.58,0.90,2.0455,-0.7683,3.802e-01
1.60,0.90,2.0460,-0.7698,3.821e-01
1.62,0.90,2.0467,-0.7713,3.840e-01
1.64,0.90,2.0473,-0.7730,3.860e-01
1.66,0.90,2.0479,-0.7746,3.881e-01
1.68,0.90,2.0486,-0.7763,3.903e-01
1.70,0.90,2.0493,-0.7781,3.926e-01
1.72,0.90,2.0500,-0.7799,3.949e-01
1.74,0.90,2.0507,-0.7818,3.974e-01
1.76,0.90,2.0514,-0.7838,3.999e-01
1.78,0.90,2.0522,-0.7858,4.025e-01
1.80,0.90,2.0618,-0.7862,3.582e-01
1.82,0.90,2.1476,-0.7064,2.632e-01
1.84,0.90,2.1959,-0.6749,2.077e-01
1.86,0.90,2.2126,-0.6838,1.735e-01
1.88,0.90,2.2057,-0.7237,1.518e-01
1.90,0.90,2.1829,-0.7851,1.378e-01
1.92,0.90,2.1504,-0.8605,1.288e-01
1.94,0.90,2.1121,-0.9443,1.231e-01
1.96,0.90,2.0711,-1.0322,1.199e-01
1.98,0.90,2.0292,-1.1209,1.183e-01
2.00,0.90,1.9880,-1.2081,1.181e-01
2.02,0.90,1.9486,-1.2916,1.188e-01
2.04,0.90,1.9120,-1.3699,1.203e-01
2.06,0.90,1.8791,-1.4422,1.226e-01
0.92,0.92,1.9057,-0.4089,3.368e-01
0.94,0.92,1.8950,-0.3302,3.369e-01
0.96,0.92,1.8807,-0.3494,3.370e-01
0.98,0.92,1.8835,-0.3528,3.371e-01
1.00,0.92,1.8764,-0.3428,3.373e-01
1.02,0.92,1.8678,-0.3313,3.376e-01
1.04,0.92,1.8580,-0.3188,3.379e-01
1.06,0.92,1.8470,-0.3055,3.382e-01
1.08,0.92,1.8348,-0.2917,3.386e-01
1.10,0.92,1.8217,-0.2776,3.390e-01
1.12,0.92,1.8076,-0.2634,3.395e-01
1.14,0.92,1.7928,-0.2494,3.400e-01
1.16,0.92,1.7771,-0.2357,3.406e-01
1.18,0.92,1.7439,-0.2007,3.412e-01
1.20,0.92,1.7613,-0.1256,3.418e-01
1.22,0.92,1.6994,-0.2974,3.425e-01
