M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,3.473e-01
0.92,0.90,2.0342,-0.7412,3.473e-01
0.94,0.90,2.0342,-0.7412,3.473e-01
0.96,0.90,2.0342,-0.7412,3.473e-01
0.98,0.90,2.0342,-0.7412,3.473e-01
1.00,0.90,2.0342,-0.7412,3.473e-01
1.02,0.90,2.0342,-0.7412,3.473e-01
1.04,0.90,2.0342,-0.7412,3.473e-01
1.06,0.90,2.0342,-0.7412,3.473e-01
1.08,0.90,2.0342,-0.7412,3.473e-01
1.10,0.90,2.0342,-0.7412,3.473e-01
1.12,0.90,2.0342,-0.7412,3.473e-01
1.14,0.90,2.0342,-0.7412,3.473e-01
1.16,0.90,2.0275,-0.7094,3.475e-01
1.18,0.90,1.9647,-0.5024,3.488e-01
1.20,0.90,1.9254,-0.3522,3.501e-01
1.22,0.90,1.8755,-0.3872,3.515e-01
1.24,0.90,1.8368,-0.0944,3.528e-01
1.26,0.90,1.6251,-1.0171,3.542e-01
1.28,0.90,2.0123,-0.7692,3.557e-01
1.30,0.90,2.0378,-0.7494,3.571e-01
1.32,0.90,2.0383,-0.7506,3.586e-01
1.34,0.90,2.0388,-0.7519,3.600e-01
1.36,0.90,2.0393,-0.7531,3.615e-01
1.38,0.90,2.0398,-0.7543,3.630e-01
1.40,0.90,2.0403,-0.7556,3.645e-01
1.42,0.90,2.0408,-0.7568,3.661e-01
1.44,0.90,2.0414,-0.7581,3.676e-01
1.46,0.90,2.0419,-0.7594,3.691e-01
1.48,0.90,2.0424,-0.7606,3.707e-01
1.50,0.90,2.0429,-0.7619,3.723e-01
1.52,0.90,2.0434,-0.7632,3.738e-01
1.54,0.90,2.0439,-0.7644,3.754e-01
1.56,0.90,2.0444,-0.7657,3.770e-01
1.58,0.90,2.0449,-0.7670,3.785e-01
1.60,0.90,2.0454,-0.7682,3.801e-01
1.62,0.90,2.0459,-0.7695,3.817e-01
1.64,0.90,2.0464,-0.7707,3.833e-01
1.66,0.90,2.0469,-0.7720,3.848e-01
1.68,0.90,2.0474,-0.7732,3.864e-01
1.70,0.90,2.0479,-0.7744,3.879e-01
1.72,0.90,2.0483,-0.7756,3.894e-01
1.74,0.90,2.0488,-0.7768,3.910e-01
1.76,0.90,2.0492,-0.7780,3.925e-01
1.78,0.90,2.0497,-0.7792,3.939e-01
1.80,0.90,2.0588,-0.7775,3.484e-01
1.82,0.90,2.1460,-0.6906,2.521e-01
1.84,0.90,2.1962,-0.6499,1.951e-01
1.86,0.90,2.2144,-0.6488,1.593e-01
1.88,0.90,2.2073,-0.6791,1.359e-01
1.90,0.90,2.1820,-0.7324,1.200e-01
1.92,0.90,2.1442,-0.8014,1.088e-01
1.94,0.90,2.0984,-0.8804,1.009e-01
1.96,0.90,2.0475,-0.9650,9.518e-02
1.98,0.90,1.9941,-1.0516,9.090e-02
2.00,0.90,1.9397,-1.1372,8.760e-02
2.02,0.90,1.8856,-1.2191,8.490e-02
2.04,0.90,1.8322,-1.2954,8.235e-02
2.06,0.90,1.7772,-1.3631,7.895e-02
0.92,0.92,2.0342,-0.7412,3.335e-01
0.94,0.92,2.0342,-0.7412,3.335e-01
0.96,0.92,2.0342,-0.7412,3.335e-01
0.98,0.92,2.0342,-0.7412,3.335e-01
1.00,0.92,2.0342,-0.7412,3.335e-01
1.02,0.92,2.0342,-0.7412,3.335e-01
1.04,0.92,2.0342,-0.7412,3.335e-01
1.06,0.92,2.0342,-0.7412,3.335e-01
1.08,0.92,2.0342,-0.7412,3.335e-01
1.10,0.92,2.0342,-0.7412,3.335e-01
1.12,0.92,2.0342,-0.7412,3.335e-01
1.14,0.92,2.0342,-0.7412,3.335e-01
1.16,0.92,2.0342,-0.7412,3.335e-01
1.18,0.92,1.9759,-0.5270,3.347e-01
1.20,0.92,1.9358,-0.3685,3.359e-01
1.22,0.92,1.8648,-0.4254,3.372e-01
1.24,0.92,1.9006,0.0049,3.385e-01
1.26,0.92,1.6413,-0.8242,3.398e-01
1.28,0.92,1.8173,-0.9589,3.412e-01
1.30,0.92,2.0376,-0.7491,3.425e-01
1.32,0.92,2.0381,-0.7503,3.439e-01
1.34,0.92,2.0386,-0.7515,3.453e-01
1.36,0.92,2.0391,-0.7527,3.467e-01
1.38,0.92,2.0397,-0.7540,3.482e-01
1.40,0.92,2.0402,-0.7552,3.496e-01
