M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-4.1137,0.1061,1.111e-03
0.92,0.90,-4.9078,0.0292,1.133e-03
0.94,0.90,-7.3177,0.0319,1.160e-03
0.96,0.90,-7.3177,0.0319,1.194e-03
0.98,0.90,-7.3177,0.0319,1.234e-03
1.00,0.90,-7.3177,0.0319,1.282e-03
1.02,0.90,-7.3177,0.0319,1.337e-03
1.04,0.90,-7.3177,0.0319,1.401e-03
1.06,0.90,-7.3177,0.0319,1.474e-03
1.08,0.90,-7.3177,0.0319,1.558e-03
1.10,0.90,-7.3177,0.0319,1.654e-03
1.12,0.90,-7.3177,0.0319,1.765e-03
1.14,0.90,-7.3177,0.0319,1.891e-03
1.16,0.90,-7.3177,0.0319,2.036e-03
1.18,0.90,-6.1105,0.0335,2.202e-03
1.20,0.90,-4.7130,0.1360,2.393e-03
1.22,0.90,-4.2917,-0.0323,2.614e-03
1.24,0.90,-3.0411,0.2759,2.869e-03
1.26,0.90,-1.7605,-1.3804,3.165e-03
1.28,0.90,1.3594,-4.5952,3.510e-03
1.30,0.90,2.1901,-5.3264,3.913e-03
1.32,0.90,2.1901,-5.3264,4.386e-03
1.34,0.90,2.1901,-5.3264,4.944e-03
1.36,0.90,2.1901,-5.3264,5.604e-03
1.38,0.90,2.1901,-5.3264,6.389e-03
1.40,0.90,2.1901,-5.3264,7.326e-03
1.42,0.90,2.0898,-0.9060,2.093e-02
1.44,0.90,2.0627,-0.8153,4.571e-02
1.46,0.90,2.0569,-0.7987,6.655e-02
1.48,0.90,2.0553,-0.7944,8.395e-02
1.50,0.90,2.0556,-0.7950,9.839e-02
1.52,0.90,2.0569,-0.7988,1.103e-01
1.54,0.90,2.0593,-0.8055,1.202e-01
1.56,0.90,2.0627,-0.8154,1.284e-01
1.58,0.90,2.0673,-0.8291,1.356e-01
1.60,0.90,2.0732,-0.8476,1.422e-01
1.62,0.90,2.0807,-0.8726,1.490e-01
1.64,0.90,2.0898,-0.9063,1.568e-01
1.66,0.90,2.1009,-0.9516,1.666e-01
1.68,0.90,2.1137,-1.0127,1.798e-01
1.70,0.90,2.1279,-1.0948,1.983e-01
1.72,0.90,2.1427,-1.2056,2.245e-01
1.74,0.90,2.1571,-1.3560,2.620e-01
1.76,0.90,2.1701,-1.5660,3.155e-01
1.78,0.90,2.1807,-1.8879,3.920e-01
1.80,0.90,2.1888,-2.7195,5.007e-01
1.82,0.90,2.1901,-5.3264,6.699e-01
1.84,0.90,2.1901,-5.3264,9.114e-01
1.86,0.90,2.1901,-5.3264,1.253e+00
1.88,0.90,2.1901,-5.3264,1.739e+00
1.90,0.90,2.1901,-5.3264,2.440e+00
1.92,0.90,2.1901,-5.3264,3.460e+00
1.94,0.90,2.1901,-5.3264,4.962e+00
1.96,0.90,2.1901,-5.3264,7.198e+00
1.98,0.90,2.1901,-5.3264,1.057e+01
2.00,0.90,2.1901,-5.3264,1.571e+01
2.02,0.90,2.1901,-5.3264,2.366e+01
2.04,0.90,2.1901,-5.3264,3.619e+01
2.06,0.90,2.1901,-5.3264,5.662e+01
0.92,0.92,-4.2460,-0.0018,1.149e-03
0.94,0.92,-4.7933,0.0879,1.171e-03
0.96,0.92,-6.4642,0.0311,1.200e-03
0.98,0.92,-7.3177,0.0319,1.234e-03
1.00,0.92,-7.3177,0.0319,1.275e-03
1.02,0.92,-7.3177,0.0319,1.324e-03
1.04,0.92,-7.3177,0.0319,1.380e-03
1.06,0.92,-7.3177,0.0319,1.445e-03
1.08,0.92,-7.3177,0.0319,1.519e-03
1.10,0.92,-7.3177,0.0319,1.605e-03
1.12,0.92,-7.3177,0.0319,1.703e-03
1.14,0.92,-7.3177,0.0319,1.814e-03
