M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-4.1137,0.1061,3.189e-03
0.92,0.90,-4.9078,0.0292,3.261e-03
0.94,0.90,-7.3177,0.0319,3.379e-03
0.96,0.90,-7.3177,0.0319,3.545e-03
0.98,0.90,-7.3177,0.0319,3.756e-03
1.00,0.90,-7.3177,0.0319,4.012e-03
1.02,0.90,-7.3177,0.0319,4.313e-03
1.04,0.90,-7.3177,0.0319,4.659e-03
1.06,0.90,-7.3177,0.0319,5.049e-03
1.08,0.90,-7.3177,0.0319,5.484e-03
1.10,0.90,-7.3177,0.0319,5.963e-03
1.12,0.90,-7.3177,0.0319,6.488e-03
1.14,0.90,-7.3177,0.0319,7.059e-03
1.16,0.90,-7.3177,0.0319,7.676e-03
1.18,0.90,-6.1105,0.0335,8.339e-03
1.20,0.90,-4.7130,0.1360,9.050e-03
1.22,0.90,-4.2917,-0.0323,9.809e-03
1.24,0.90,-3.0411,0.2759,1.062e-02
1.26,0.90,-1.7605,-1.3804,1.147e-02
1.28,0.90,1.3594,-4.5952,1.238e-02
1.30,0.90,2.1901,-5.3264,1.334e-02
1.32,0.90,2.1901,-5.3264,1.436e-02
1.34,0.90,2.1901,-5.3264,1.542e-02
1.36,0.90,2.1901,-5.3264,1.654e-02
1.38,0.90,2.1901,-5.3264,1.772e-02
1.40,0.90,2.1901,-5.3264,1.895e-02
1.42,0.90,2.1230,-1.0645,3.272e-02
1.44,0.90,2.0856,-0.8904,5.750e-02
1.46,0.90,2.0739,-0.8499,7.810e-02
1.48,0.90,2.0687,-0.8334,9.496e-02
1.50,0.90,2.0662,-0.8258,1.085e-01
1.52,0.90,2.0652,-0.8226,1.189e-01
1.54,0.90,2.0650,-0.8222,1.266e-01
1.56,0.90,2.0656,-0.8239,1.319e-01
1.58,0.90,2.0667,-0.8273,1.348e-01
1.60,0.90,2.0684,-0.8326,1.358e-01
1.62,0.90,2.0707,-0.8397,1.348e-01
1.64,0.90,2.0737,-0.8492,1.321e-01
1.66,0.90,2.0775,-0.8616,1.278e-01
1.68,0.90,2.0822,-0.8781,1.220e-01
1.70,0.90,2.0883,-0.9003,1.149e-01
1.72,0.90,2.0962,-0.9315,1.065e-01
1.74,0.90,2.1067,-0.9781,9.698e-02
1.76,0.90,2.1214,-1.0549,8.631e-02
1.78,0.90,2.1429,-1.2077,7.461e-02
1.80,0.90,2.1797,-1.8186,6.138e-02
1.82,0.90,2.1901,-5.3264,6.059e-02
1.84,0.90,2.1901,-5.3264,6.346e-02
1.86,0.90,2.1901,-5.3264,6.643e-02
1.88,0.90,2.1901,-5.3264,6.949e-02
1.90,0.90,2.1901,-5.3264,7.265e-02
1.92,0.90,2.1901,-5.3264,7.591e-02
1.94,0.90,2.1901,-5.3264,7.929e-02
1.96,0.90,2.1901,-5.3264,8.277e-02
1.98,0.90,2.1901,-5.3264,8.636e-02
2.00,0.90,2.1901,-5.3264,9.008e-02
2.02,0.90,2.1901,-5.3264,9.392e-02
2.04,0.90,2.1901,-5.3264,9.791e-02
2.06,0.90,2.1901,-5.3264,1.021e-01
0.92,0.92,-4.2460,-0.0018,3.280e-03
0.94,0.92,-4.7933,0.0879,3.348e-03
0.96,0.92,-6.4642,0.0311,3.463e-03
0.98,0.92,-7.3177,0.0319,3.623e-03
1.00,0.92,-7.3177,0.0319,3.828e-03
1.02,0.92,-7.3177,0.0319,4.077e-03
1.04,0.92,-7.3177,0.0319,4.370e-03
1.06,0.92,-7.3177,0.0319,4.707e-03
1.08,0.92,-7.3177,0.0319,5.088e-03
1.10,0.92,-7.3177,0.0319,5.513e-03
1.12,0.92,-7.3177,0.0319,5.981e-03
1.14,0.92,-7.3177,0.0319,6.494e-03
1.16,0.92,-7.3177,0.0319,7.051e-03
1.18,0.92,-5.7141,0.0420,7.653e-03
1.20,0.92,-4.6977,0.1453,8.301e-03
1.22,0.92,-4.4237,-0.1068,8.995e-03
1.24,0.92,-3.1312,0.5204,9.736e-03
1.26,0.92,-2.5324,-0.8914,1.052e-02
