M1,M2,SrDy,ThDy,total_mass
0.90,0.90,nan,nan,0.000e+00
0.92,0.90,nan,nan,0.000e+00
0.94,0.90,nan,nan,0.000e+00
0.96,0.90,nan,nan,0.000e+00
0.98,0.90,nan,nan,0.000e+00
1.00,0.90,nan,nan,0.000e+00
1.02,0.90,nan,nan,0.000e+00
1.04,0.90,nan,nan,0.000e+00
1.06,0.90,nan,nan,0.000e+00
1.08,0.90,nan,nan,0.000e+00
1.10,0.90,nan,nan,0.000e+00
1.12,0.90,nan,nan,0.000e+00
1.14,0.90,nan,nan,0.000e+00
1.16,0.90,-7.3177,0.0319,1.424e-04
1.18,0.90,-6.1105,0.0335,1.450e-03
1.20,0.90,-4.7130,0.1360,2.783e-03
1.22,0.90,-4.2917,-0.0323,4.140e-03
1.24,0.90,-3.0411,0.2759,5.519e-03
1.26,0.90,-1.7605,-1.3804,6.920e-03
1.28,0.90,1.3594,-4.5952,8.341e-03
1.30,0.90,2.1901,-5.3264,9.780e-03
1.32,0.90,2.1901,-5.3264,1.124e-02
1.34,0.90,2.1901,-5.3264,1.271e-02
1.36,0.90,2.1901,-5.3264,1.420e-02
1.38,0.90,2.1901,-5.3264,1.570e-02
1.40,0.90,2.1901,-5.3264,1.721e-02
1.42,0.90,2.1200,-1.0472,3.122e-02
1.44,0.90,2.0835,-0.8825,5.617e-02
1.46,0.90,2.0724,-0.8449,7.691e-02
1.48,0.90,2.0675,-0.8296,9.385e-02
1.50,0.90,2.0652,-0.8225,1.074e-01
1.52,0.90,2.0642,-0.8195,1.178e-01
1.54,0.90,2.0640,-0.8191,1.254e-01
1.56,0.90,2.0645,-0.8204,1.305e-01
1.58,0.90,2.0654,-0.8234,1.332e-01
1.60,0.90,2.0669,-0.8279,1.338e-01
1.62,0.90,2.0689,-0.8341,1.325e-01
1.64,0.90,2.0715,-0.8423,1.293e-01
1.66,0.90,2.0748,-0.8530,1.245e-01
1.68,0.90,2.0791,-0.8671,1.181e-01
1.70,0.90,2.0845,-0.8863,1.102e-01
1.72,0.90,2.0917,-0.9134,1.011e-01
1.74,0.90,2.1015,-0.9541,9.058e-02
1.76,0.90,2.1155,-1.0222,7.891e-02
1.78,0.90,2.1372,-1.1611,6.609e-02
1.80,0.90,2.1778,-1.7455,5.162e-02
1.82,0.90,2.1901,-5.3264,4.949e-02
1.84,0.90,2.1901,-5.3264,5.089e-02
1.86,0.90,2.1901,-5.3264,5.224e-02
1.88,0.90,2.1901,-5.3264,5.355e-02
1.90,0.90,2.1901,-5.3264,5.480e-02
1.92,0.90,2.1901,-5.3264,5.598e-02
1.94,0.90,2.1901,-5.3264,5.709e-02
1.96,0.90,2.1901,-5.3264,5.809e-02
1.98,0.90,2.1901,-5.3264,5.895e-02
2.00,0.90,2.1901,-5.3264,5.962e-02
2.02,0.90,2.1901,-5.3264,6.002e-02
2.04,0.90,2.1901,-5.3264,5.993e-02
2.06,0.90,2.1901,-5.3264,5.848e-02
0.92,0.92,nan,nan,0.000e+00
0.94,0.92,nan,nan,0.000e+00
0.96,0.92,nan,nan,0.000e+00
0.98,0.92,nan,nan,0.000e+00
1.00,0.92,nan,nan,0.000e+00
1.02,0.92,nan,nan,0.000e+00
1.04,0.92,nan,nan,0.000e+00
1.06,0.92,nan,nan,0.000e+00
1.08,0.92,nan,nan,0.000e+00
1.10,0.92,nan,nan,0.000e+00
1.12,0.92,nan,nan,0.000e+00
1.14,0.92,nan,nan,0.000e+00
1.16,0.92,nan,nan,0.000e+00
1.18,0.92,-5.7141,0.0420,1.158e-03
1.20,0.92,-4.6977,0.1453,2.413e-03
1.22,0.92,-4.4237,-0.1068,3.693e-03
1.24,0.92,-3.1312,0.5204,4.996e-03
1.26,0.92,-2.5324,-0.8914,6.320e-03
1.28,0.92,-0.0627,-3.0118,7.665e-03
1.30,0.92,2.1901,-5.3264,9.028e-03
1.32,0.92,2.1901,-5.3264,1.041e-02
1.34,0.92,2.1901,-5.3264,1.181e-02
1.36,0.92,2.1901,-5.3264,1.322e-02
1.38,0.92,2.0956,-0.9290,3.308e-02
1.40,0.92,2.0686,-0.8332,6.252e-02
1.42,0.92,2.0608,-0.8097,8.739e-02
1.44,0.92,2.0574,-0.8000,1.082e-01
1.46,0.92,2.0557,-0.7954,1.253e-01
1.48,0.92,2.0550,-0.7933,1.391e-01
1.50,0.92,2.0548,-0.7928,1.499e-01
1.52,0.92,2.0549,-0.7933,1.581e-01
1.54,0.92,2.0554,-0.7946,1.638e-01
1.56,0.92,2.0562,-0.7967,1.673e-01
1.58,0.92,2.0572,-0.7995,1.687e-01
1.60,0.92,2.0585,-0.8031,1.683e-01
1.62,0.92,2.0600,-0.8075,1.662e-01
1.64,0.92,2.0619,-0.8129,1.625e-01
1.66,0.92,2.0641,-0.8195,1.574e-01
1.68,0.92,2.0668,-0.8276,1.508e-01
1.70,0.92,2.0701,-0.8378,1.431e-01
1.72,0.92,2.0742,-0.8509,1.341e-01
1.74,0.92,2.0793,-0.8680,1.240e-01
1.76,0.92,2.0919,-0.9061,1.045e-01
1.78,0.92,2.1644,-0.9307,7.730e-02
1.80,0.92,2.1925,-1.0532,6.286e-02
1.82,0.92,2.1959,-1.2855,5.490e-02
1.84,0.92,2.1915,-1.7520,5.048e-02
1.86,0.92,2.1901,-5.3264,4.937e-02
1.88,0.92,2.1901,-5.3264,5.060e-02
1.90,0.92,2.1901,-5.3264,5.177e-02
1.92,0.92,2.1901,-5.3264,5.288e-02
1.94,0.92,2.1901,-5.3264,5.391e-02
1.96,0.92,2.1901,-5.3264,5.483e-02
1.98,0.92,2.1901,-5.3264,5.561e-02
2.00,0.92,2.1901,-5.3264,5.621e-02
2.02,0.92,2.1901,-5.3264,5.653e-02
2.04,0.92,2.1901,-5.3264,5.636e-02
2.06,0.92,2.1901,-5.3264,5.483e-02
0.94,0.94,nan,nan,0.000e+00
0.96,0.94,nan,nan,0.000e+00
0.98,0.94,nan,nan,0.000e+00
1.00,0.94,nan,nan,0.000e+00
1.02,0.94,nan,nan,0.000e+00
1.04,0.94,nan,nan,0.000e+00
1.06,0.94,nan,nan,0.000e+00
1.08,0.94,nan,nan,0.000e+00
1.10,0.94,nan,nan,0.000e+00
1.12,0.94,nan,nan,0.000e+00
1.14,0.94,nan,nan,0.000e+00
1.16,0.94,nan,nan,0.000e+00
1.18,0.94,-5.3273,0.0687,9.282e-04
1.20,0.94,-4.6753,0.1557,2.108e-03
1.22,0.94,-4.4914,-0.1181,3.313e-03
1.24,0.94,-3.2625,0.6403,4.540e-03
1.26,0.94,-2.8234,-0.3433,5.789e-03
1.28,0.94,-0.9545,-1.9005,7.059e-03
1.30,0.94,1.7200,-4.8511,8.347e-03
1.32,0.94,2.1901,-5.3264,9.654e-03
1.34,0.94,2.1006,-0.9506,2.304e-02
1.36,0.94,2.0628,-0.8154,5.731e-02
1.38,0.94,2.0550,-0.7934,8.657e-02
1.40,0.94,2.0519,-0.7850,1.114e-01
1.42,0.94,2.0504,-0.7812,1.322e-01
1.44,0.94,2.0498,-0.7794,1.495e-01
1.46,0.94,2.0495,-0.7788,1.636e-01
1.48,0.94,2.0496,-0.7790,1.748e-01
1.50,0.94,2.0499,-0.7797,1.834e-01
1.52,0.94,2.0504,-0.7810,1.897e-01
1.54,0.94,2.0510,-0.7826,1.938e-01
1.56,0.94,2.0518,-0.7847,1.961e-01
1.58,0.94,2.0527,-0.7872,1.965e-01
1.60,0.94,2.0538,-0.7901,1.954e-01
1.62,0.94,2.0551,-0.7936,1.927e-01
1.64,0.94,2.0565,-0.7976,1.887e-01
1.66,0.94,2.0582,-0.8024,1.834e-01
1.68,0.94,2.0602,-0.8081,1.769e-01
1.70,0.94,2.0626,-0.8149,1.693e-01
1.72,0.94,2.0671,-0.8284,1.524e-01
1.74,0.94,2.1469,-0.7878,1.076e-01
1.76,0.94,2.1923,-0.8007,8.299e-02
1.78,0.94,2.2047,-0.8700,6.880e-02
1.80,0.94,2.1988,-0.9826,6.031e-02
1.82,0.94,2.1863,-1.1309,5.512e-02
1.84,0.94,2.1754,-1.3176,5.194e-02
1.86,0.94,2.1712,-1.5687,5.002e-02
1.88,0.94,2.1782,-2.0168,4.889e-02
1.90,0.94,2.1901,-5.3264,4.887e-02
1.92,0.94,2.1901,-5.3264,4.990e-02
1.94,0.94,2.1901,-5.3264,5.085e-02
1.96,0.94,2.1901,-5.3264,5.170e-02
1.98,0.94,2.1901,-5.3264,5.241e-02
2.00,0.94,2.1901,-5.3264,5.293e-02
2.02,0.94,2.1901,-5.3264,5.317e-02
2.04,0.94,2.1901,-5.3264,5.293e-02
2.06,0.94,2.1901,-5.3264,5.132e-02
0.96,0.96,nan,nan,0.000e+00
0.98,0.96,nan,nan,0.000e+00
1.00,0.96,nan,nan,0.000e+00
1.02,0.96,nan,nan,0.000e+00
1.04,0.96,nan,nan,0.000e+00
1.06,0.96,nan,nan,0.000e+00
1.08,0.96,nan,nan,0.000e+00
1.10,0.96,nan,nan,0.000e+00
1.12,0.96,nan,nan,0.000e+00
1.14,0.96,nan,nan,0.000e+00
1.16,0.96,nan,nan,0.000e+00
1.18,0.96,-5.0964,0.0413,7.589e-04
1.20,0.96,-4.6476,0.1655,1.864e-03
1.22,0.96,-4.5263,-0.1142,2.994e-03
1.24,0.96,-3.4634,0.5969,4.148e-03
1.26,0.96,-2.9688,0.0456,5.323e-03
1.28,0.96,-2.0187,-1.2731,6.519e-03
1.30,0.96,0.1796,-3.4271,7.734e-03
1.32,0.96,2.0632,-0.8168,4.107e-02
1.34,0.96,2.0520,-0.7854,7.511e-02
1.36,0.96,2.0486,-0.7763,1.042e-01
1.38,0.96,2.0471,-0.7725,1.290e-01
1.40,0.96,2.0464,-0.7708,1.499e-01
1.42,0.96,2.0462,-0.7701,1.673e-01
1.44,0.96,2.0462,-0.7701,1.816e-01
1.46,0.96,2.0463,-0.7705,1.932e-01
1.48,0.96,2.0467,-0.7714,2.022e-01
1.50,0.96,2.0471,-0.7725,2.091e-01
1.52,0.96,2.0476,-0.7739,2.138e-01
1.54,0.96,2.0483,-0.7755,2.168e-01
1.56,0.96,2.0490,-0.7774,2.180e-01
1.58,0.96,2.0499,-0.7796,2.178e-01
1.60,0.96,2.0508,-0.7822,2.161e-01
1.62,0.96,2.0519,-0.7850,2.131e-01
1.64,0.96,2.0531,-0.7883,2.089e-01
1.66,0.96,2.0545,-0.7921,2.035e-01
