M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-4.1137,0.1061,2.395e-03
0.92,0.90,-4.9078,0.0292,2.361e-03
0.94,0.90,-7.3177,0.0319,2.328e-03
0.96,0.90,-7.3177,0.0319,2.297e-03
0.98,0.90,-7.3177,0.0319,2.266e-03
1.00,0.90,-7.3177,0.0319,2.237e-03
1.02,0.90,-7.3177,0.0319,2.209e-03
1.04,0.90,-7.3177,0.0319,2.181e-03
1.06,0.90,-7.3177,0.0319,2.155e-03
1.08,0.90,-7.3177,0.0319,2.130e-03
1.10,0.90,-7.3177,0.0319,2.106e-03
1.12,0.90,-7.3177,0.0319,2.083e-03
1.14,0.90,-7.3177,0.0319,2.061e-03
1.16,0.90,-7.3177,0.0319,2.040e-03
1.18,0.90,-6.1105,0.0335,2.021e-03
1.20,0.90,-4.7130,0.1360,2.002e-03
1.22,0.90,-4.2917,-0.0323,1.984e-03
1.24,0.90,-3.0411,0.2759,1.968e-03
1.26,0.90,-1.7605,-1.3804,1.952e-03
1.28,0.90,1.3594,-4.5952,1.938e-03
1.30,0.90,2.1901,-5.3264,1.924e-03
1.32,0.90,2.1901,-5.3264,1.912e-03
1.34,0.90,2.1901,-5.3264,1.901e-03
1.36,0.90,2.1901,-5.3264,1.891e-03
1.38,0.90,2.1901,-5.3264,1.882e-03
1.40,0.90,2.1901,-5.3264,1.874e-03
1.42,0.90,2.0513,-0.7833,1.434e-02
1.44,0.90,2.0406,-0.7562,3.776e-02
1.46,0.90,2.0384,-0.7510,5.694e-02
1.48,0.90,2.0375,-0.7489,7.233e-02
1.50,0.90,2.0371,-0.7478,8.428e-02
1.52,0.90,2.0368,-0.7471,9.314e-02
1.54,0.90,2.0366,-0.7468,9.919e-02
1.56,0.90,2.0366,-0.7466,1.027e-01
1.58,0.90,2.0365,-0.7465,1.038e-01
1.60,0.90,2.0366,-0.7466,1.029e-01
1.62,0.90,2.0366,-0.7468,9.996e-02
1.64,0.90,2.0368,-0.7471,9.524e-02
1.66,0.90,2.0370,-0.7475,8.885e-02
1.68,0.90,2.0372,-0.7482,8.092e-02
1.70,0.90,2.0376,-0.7492,7.156e-02
1.72,0.90,2.0383,-0.7507,6.085e-02
1.74,0.90,2.0393,-0.7531,4.887e-02
1.76,0.90,2.0412,-0.7578,3.572e-02
1.78,0.90,2.0461,-0.7699,2.143e-02
1.80,0.90,2.0880,-0.8727,5.532e-03
1.82,0.90,2.1901,-5.3264,1.994e-03
1.84,0.90,2.1901,-5.3264,2.016e-03
1.86,0.90,2.1901,-5.3264,2.041e-03
1.88,0.90,2.1901,-5.3264,2.068e-03
