M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9088,-0.3408,2.134e-01
0.92,0.90,1.8699,-0.3361,2.134e-01
0.94,0.90,1.8815,-0.3499,2.133e-01
0.96,0.90,1.8832,-0.3524,2.133e-01
0.98,0.90,1.8849,-0.3548,2.133e-01
1.00,0.90,1.8866,-0.3572,2.132e-01
1.02,0.90,1.8882,-0.3595,2.132e-01
1.04,0.90,1.8897,-0.3617,2.132e-01
1.06,0.90,1.8912,-0.3639,2.132e-01
1.08,0.90,1.8926,-0.3660,2.131e-01
1.10,0.90,1.8940,-0.3681,2.131e-01
1.12,0.90,1.8953,-0.3701,2.131e-01
1.14,0.90,1.8965,-0.3720,2.130e-01
1.16,0.90,1.8977,-0.3738,2.130e-01
1.18,0.90,1.8885,-0.3589,2.129e-01
1.20,0.90,1.9079,-0.3180,2.128e-01
1.22,0.90,1.9044,-0.4266,2.126e-01
1.24,0.90,1.9076,-0.2126,2.124e-01
1.26,0.90,1.7962,-0.9120,2.122e-01
1.28,0.90,2.0256,-0.7522,2.118e-01
1.30,0.90,2.0354,-0.7439,2.113e-01
1.32,0.90,2.0354,-0.7439,2.106e-01
1.34,0.90,2.0354,-0.7439,2.098e-01
1.36,0.90,2.0354,-0.7439,2.087e-01
1.38,0.90,2.0354,-0.7439,2.073e-01
1.40,0.90,2.0354,-0.7439,2.056e-01
1.42,0.90,2.0354,-0.7439,2.036e-01
1.44,0.90,2.0354,-0.7439,2.012e-01
1.46,0.90,2.0354,-0.7440,1.983e-01
1.48,0.90,2.0355,-0.7440,1.950e-01
1.50,0.90,2.0355,-0.7441,1.913e-01
1.52,0.90,2.0355,-0.7441,1.871e-01
1.54,0.90,2.0355,-0.7442,1.824e-01
1.56,0.90,2.0356,-0.7443,1.773e-01
1.58,0.90,2.0356,-0.7444,1.718e-01
1.60,0.90,2.0357,-0.7445,1.660e-01
1.62,0.90,2.0357,-0.7447,1.598e-01
1.64,0.90,2.0358,-0.7448,1.535e-01
1.66,0.90,2.0359,-0.7450,1.469e-01
1.68,0.90,2.0360,-0.7452,1.402e-01
1.70,0.90,2.0361,-0.7454,1.334e-01
1.72,0.90,2.0362,-0.7457,1.267e-01
1.74,0.90,2.0363,-0.7460,1.199e-01
1.76,0.90,2.0364,-0.7463,1.133e-01
1.78,0.90,2.0366,-0.7467,1.069e-01
1.80,0.90,2.0443,-0.7389,8.722e-02
1.82,0.90,2.1383,-0.6249,5.594e-02
1.84,0.90,2.1977,-0.5520,3.796e-02
1.86,0.90,2.2225,-0.5196,2.698e-02
1.88,0.90,2.2144,-0.5252,1.995e-02
1.90,0.90,2.1781,-0.5642,1.528e-02
1.92,0.90,2.1201,-0.6295,1.207e-02
1.94,0.90,2.0477,-0.7136,9.820e-03
1.96,0.90,1.9680,-0.8094,8.205e-03
1.98,0.90,1.8868,-0.9106,7.029e-03
2.00,0.90,1.8087,-1.0120,6.162e-03
2.02,0.90,1.7369,-1.1102,5.520e-03
2.04,0.90,1.6742,-1.2026,5.048e-03
2.06,0.90,1.6242,-1.2887,4.724e-03
0.92,0.92,1.8925,-0.3890,2.133e-01
0.94,0.92,1.8853,-0.3149,2.133e-01
0.96,0.92,1.8766,-0.3437,2.133e-01
0.98,0.92,1.8870,-0.3577,2.132e-01
1.00,0.92,1.8886,-0.3602,2.132e-01
1.02,0.92,1.8903,-0.3626,2.132e-01
1.04,0.92,1.8918,-0.3649,2.131e-01
1.06,0.92,1.8934,-0.3672,2.131e-01
1.08,0.92,1.8948,-0.3694,2.131e-01
1.10,0.92,1.8962,-0.3715,2.130e-01
1.12,0.92,1.8976,-0.3736,2.130e-01
1.14,0.92,1.8988,-0.3756,2.129e-01
1.16,0.92,1.9000,-0.3774,2.128e-01
1.18,0.92,1.8915,-0.3574,2.127e-01
1.20,0.92,1.9114,-0.3178,2.126e-01
1.22,0.92,1.8889,-0.4531,2.124e-01
