M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8874,-0.8010,1.779e-01
0.92,0.90,1.9483,-0.4638,1.779e-01
0.94,0.90,1.9554,-0.4814,1.779e-01
0.96,0.90,1.9534,-0.4769,1.779e-01
0.98,0.90,1.9510,-0.4716,1.780e-01
1.00,0.90,1.9482,-0.4656,1.780e-01
1.02,0.90,1.9450,-0.4587,1.780e-01
1.04,0.90,1.9412,-0.4510,1.781e-01
1.06,0.90,1.9370,-0.4425,1.781e-01
1.08,0.90,1.9322,-0.4331,1.782e-01
1.10,0.90,1.9267,-0.4228,1.783e-01
1.12,0.90,1.9206,-0.4117,1.784e-01
1.14,0.90,1.9136,-0.3996,1.785e-01
1.16,0.90,1.9058,-0.3866,1.786e-01
1.18,0.90,1.8969,-0.3726,1.787e-01
1.20,0.90,1.8870,-0.3578,1.788e-01
1.22,0.90,1.8758,-0.3421,1.790e-01
1.24,0.90,1.8633,-0.3255,1.792e-01
1.26,0.90,1.8491,-0.3081,1.794e-01
1.28,0.90,1.8332,-0.2899,1.796e-01
1.30,0.90,1.8154,-0.2711,1.799e-01
1.32,0.90,1.7848,-0.2117,1.803e-01
1.34,0.90,1.7584,-0.3167,1.806e-01
1.36,0.90,1.6398,-0.4198,1.811e-01
1.38,0.90,1.8907,-0.8881,1.817e-01
1.40,0.90,2.0382,-0.7505,1.823e-01
1.42,0.90,2.0388,-0.7519,1.831e-01
1.44,0.90,2.0395,-0.7536,1.840e-01
1.46,0.90,2.0404,-0.7557,1.852e-01
1.48,0.90,2.0414,-0.7581,1.866e-01
1.50,0.90,2.0426,-0.7612,1.883e-01
1.52,0.90,2.0441,-0.7649,1.904e-01
1.54,0.90,2.0459,-0.7695,1.930e-01
1.56,0.90,2.0482,-0.7752,1.963e-01
1.58,0.90,2.0509,-0.7823,2.005e-01
1.60,0.90,2.0542,-0.7911,2.057e-01
1.62,0.90,2.0582,-0.8023,2.125e-01
1.64,0.90,2.0630,-0.8162,2.212e-01
1.66,0.90,2.0689,-0.8338,2.325e-01
1.68,0.90,2.0758,-0.8560,2.474e-01
1.70,0.90,2.0838,-0.8838,2.670e-01
1.72,0.90,2.0930,-0.9186,2.932e-01
1.74,0.90,2.1032,-0.9618,3.284e-01
1.76,0.90,2.1141,-1.0151,3.760e-01
1.78,0.90,2.1255,-1.0799,4.412e-01
1.80,0.90,2.1368,-1.1577,5.311e-01
1.82,0.90,2.1475,-1.2495,6.563e-01
1.84,0.90,2.1571,-1.3563,8.320e-01
1.86,0.90,2.1655,-1.4785,1.081e+00
1.88,0.90,2.1787,-1.6884,1.409e+00
1.90,0.90,2.1884,-1.9476,1.895e+00
1.92,0.90,2.1904,-2.2223,2.633e+00
1.94,0.90,2.1905,-2.5059,3.737e+00
1.96,0.90,2.1903,-2.7977,5.391e+00
1.98,0.90,2.1901,-3.0990,7.887e+00
2.00,0.90,2.1900,-3.4119,1.169e+01
2.02,0.90,2.1900,-3.7378,1.756e+01
2.04,0.90,2.1900,-4.0766,2.673e+01
2.06,0.90,2.1901,-4.4223,4.127e+01
2.08,0.90,2.1901,-4.7552,6.478e+01
2.10,0.90,2.1901,-5.0339,1.040e+02
0.92,0.92,1.9426,-0.4206,1.779e-01
0.94,0.92,1.9613,-0.4206,1.779e-01
0.96,0.92,1.9531,-0.4763,1.779e-01
0.98,0.92,1.9511,-0.4719,1.780e-01
1.00,0.92,1.9487,-0.4666,1.780e-01
1.02,0.92,1.9459,-0.4606,1.780e-01
1.04,0.92,1.9426,-0.4538,1.781e-01
1.06,0.92,1.9388,-0.4462,1.781e-01
1.08,0.92,1.9345,-0.4377,1.782e-01
1.10,0.92,1.9297,-0.4284,1.782e-01
1.12,0.92,1.9242,-0.4183,1.783e-01
1.14,0.92,1.9180,-0.4072,1.784e-01
1.16,0.92,1.9111,-0.3953,1.785e-01
1.18,0.92,1.9032,-0.3825,1.786e-01
1.20,0.92,1.8944,-0.3688,1.787e-01
1.22,0.92,1.8845,-0.3542,1.788e-01
1.24,0.92,1.8734,-0.3388,1.790e-01
1.26,0.92,1.8609,-0.3225,1.792e-01
1.28,0.92,1.8469,-0.3054,1.794e-01
1.30,0.92,1.8312,-0.2877,1.796e-01
1.32,0.92,1.8028,-0.2337,1.799e-01
1.34,0.92,1.7530,-0.3295,1.802e-01
1.36,0.92,1.7615,-0.0817,1.806e-01
1.38,0.92,1.6760,-1.0837,1.810e-01
1.40,0.92,2.0377,-0.7493,1.815e-01
1.42,0.92,2.0382,-0.7505,1.821e-01
1.44,0.92,2.0388,-0.7519,1.829e-01
1.46,0.92,2.0395,-0.7535,1.837e-01
1.48,0.92,2.0403,-0.7555,1.848e-01
1.50,0.92,2.0413,-0.7579,1.860e-01
1.52,0.92,2.0425,-0.7608,1.876e-01
1.54,0.92,2.0439,-0.7644,1.895e-01
1.56,0.92,2.0456,-0.7688,1.918e-01
1.58,0.92,2.0478,-0.7742,1.947e-01
1.60,0.92,2.0504,-0.7810,1.984e-01
1.62,0.92,2.0535,-0.7894,2.031e-01
1.64,0.92,2.0573,-0.7999,2.090e-01
1.66,0.92,2.0620,-0.8131,2.166e-01
1.68,0.92,2.0675,-0.8297,2.265e-01
1.70,0.92,2.0742,-0.8507,2.394e-01
1.72,0.92,2.0819,-0.8771,2.563e-01
1.74,0.92,2.0909,-0.9102,2.789e-01
1.76,0.92,2.1009,-0.9516,3.090e-01
1.78,0.92,2.1118,-1.0029,3.498e-01
1.80,0.92,2.1232,-1.0660,4.052e-01
1.82,0.92,2.1348,-1.1424,4.813e-01
1.84,0.92,2.1621,-1.2869,5.546e-01
1.86,0.92,2.1857,-1.4834,6.703e-01
1.88,0.92,2.1912,-1.7160,8.621e-01
1.90,0.92,2.1914,-1.9660,1.151e+00
