M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7813,-0.8369,1.787e-01
0.92,0.90,1.8759,-0.3397,1.788e-01
0.94,0.90,1.8829,-0.3519,1.789e-01
0.96,0.90,1.8720,-0.3369,1.791e-01
0.98,0.90,1.8586,-0.3195,1.793e-01
1.00,0.90,1.8428,-0.3006,1.796e-01
1.02,0.90,1.8249,-0.2809,1.799e-01
1.04,0.90,1.8053,-0.2612,1.802e-01
1.06,0.90,1.7842,-0.2417,1.806e-01
1.08,0.90,1.7618,-0.2230,1.810e-01
1.10,0.90,1.7384,-0.2052,1.815e-01
1.12,0.90,1.7141,-0.1884,1.820e-01
1.14,0.90,1.6892,-0.1727,1.826e-01
1.16,0.90,1.6638,-0.1581,1.832e-01
1.18,0.90,1.6381,-0.1446,1.839e-01
1.20,0.90,1.6121,-0.1321,1.846e-01
1.22,0.90,1.5859,-0.1206,1.853e-01
1.24,0.90,1.5597,-0.1101,1.861e-01
1.26,0.90,1.5336,-0.1003,1.870e-01
1.28,0.90,1.5075,-0.0914,1.878e-01
1.30,0.90,1.4815,-0.0832,1.888e-01
1.32,0.90,1.4375,-0.0356,1.898e-01
1.34,0.90,1.4063,-0.1735,1.908e-01
1.36,0.90,1.2441,-0.3366,1.919e-01
1.38,0.90,1.6781,-1.1086,1.930e-01
1.40,0.90,2.0459,-0.7695,1.942e-01
1.42,0.90,2.0467,-0.7716,1.954e-01
1.44,0.90,2.0476,-0.7737,1.967e-01
1.46,0.90,2.0484,-0.7759,1.980e-01
1.48,0.90,2.0493,-0.7782,1.993e-01
1.50,0.90,2.0502,-0.7806,2.007e-01
1.52,0.90,2.0512,-0.7831,2.021e-01
1.54,0.90,2.0521,-0.7857,2.035e-01
1.56,0.90,2.0531,-0.7884,2.049e-01
1.58,0.90,2.0542,-0.7912,2.063e-01
1.60,0.90,2.0553,-0.7941,2.077e-01
1.62,0.90,2.0564,-0.7972,2.091e-01
1.64,0.90,2.0575,-0.8004,2.104e-01
1.66,0.90,2.0587,-0.8038,2.116e-01
1.68,0.90,2.0600,-0.8074,2.127e-01
1.70,0.90,2.0613,-0.8112,2.137e-01
1.72,0.90,2.0627,-0.8153,2.144e-01
1.74,0.90,2.0642,-0.8196,2.149e-01
1.76,0.90,2.0658,-0.8244,2.151e-01
1.78,0.90,2.0675,-0.8296,2.148e-01
1.80,0.90,2.0693,-0.8353,2.141e-01
1.82,0.90,2.0714,-0.8418,2.128e-01
1.84,0.90,2.0737,-0.8491,2.107e-01
1.86,0.90,2.0763,-0.8576,2.078e-01
1.88,0.90,2.1078,-0.8646,1.754e-01
1.90,0.90,2.1687,-0.8588,1.411e-01
1.92,0.90,2.1959,-0.9040,1.215e-01
1.94,0.90,2.2016,-0.9869,1.101e-01
1.96,0.90,2.1964,-1.0961,1.036e-01
