M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.770e-01
0.92,0.90,2.0342,-0.7412,1.770e-01
0.94,0.90,2.0342,-0.7412,1.770e-01
0.96,0.90,2.0342,-0.7412,1.770e-01
0.98,0.90,2.0342,-0.7412,1.770e-01
1.00,0.90,2.0342,-0.7412,1.770e-01
1.02,0.90,2.0342,-0.7412,1.770e-01
1.04,0.90,2.0342,-0.7412,1.770e-01
1.06,0.90,2.0342,-0.7412,1.770e-01
1.08,0.90,2.0342,-0.7412,1.770e-01
1.10,0.90,2.0342,-0.7412,1.770e-01
1.12,0.90,2.0342,-0.7412,1.770e-01
1.14,0.90,2.0342,-0.7412,1.770e-01
1.16,0.90,2.0342,-0.7412,1.770e-01
1.18,0.90,2.0342,-0.7412,1.770e-01
1.20,0.90,2.0342,-0.7412,1.770e-01
1.22,0.90,2.0342,-0.7412,1.769e-01
1.24,0.90,2.0342,-0.7412,1.769e-01
1.26,0.90,1.9129,-0.3983,1.784e-01
1.28,0.90,1.8119,-0.2677,1.800e-01
1.30,0.90,1.7289,-0.1984,1.816e-01
1.32,0.90,1.6438,-0.1142,1.832e-01
1.34,0.90,1.5763,-0.2230,1.849e-01
1.36,0.90,1.3968,-0.3586,1.865e-01
1.38,0.90,1.7547,-1.0287,1.882e-01
1.40,0.90,2.0433,-0.7628,1.899e-01
1.42,0.90,2.0444,-0.7656,1.916e-01
1.44,0.90,2.0455,-0.7684,1.933e-01
1.46,0.90,2.0466,-0.7713,1.950e-01
1.48,0.90,2.0477,-0.7741,1.967e-01
1.50,0.90,2.0489,-0.7770,1.984e-01
1.52,0.90,2.0500,-0.7799,2.000e-01
1.54,0.90,2.0511,-0.7829,2.016e-01
1.56,0.90,2.0522,-0.7858,2.032e-01
1.58,0.90,2.0533,-0.7888,2.047e-01
1.60,0.90,2.0544,-0.7918,2.062e-01
1.62,0.90,2.0555,-0.7948,2.075e-01
1.64,0.90,2.0566,-0.7979,2.087e-01
1.66,0.90,2.0578,-0.8011,2.098e-01
1.68,0.90,2.0589,-0.8043,2.107e-01
1.70,0.90,2.0601,-0.8077,2.113e-01
1.72,0.90,2.0613,-0.8112,2.117e-01
1.74,0.90,2.0626,-0.8148,2.117e-01
1.76,0.90,2.0639,-0.8187,2.113e-01
1.78,0.90,2.0653,-0.8229,2.104e-01
1.80,0.90,2.0668,-0.8275,2.089e-01
1.82,0.90,2.0684,-0.8325,2.068e-01
1.84,0.90,2.0703,-0.8383,2.038e-01
1.86,0.90,2.0723,-0.8448,1.998e-01
1.88,0.90,2.1038,-0.8459,1.663e-01
1.90,0.90,2.1671,-0.8285,1.307e-01
1.92,0.90,2.1964,-0.8613,1.096e-01
1.94,0.90,2.2032,-0.9318,9.660e-02
1.96,0.90,2.1975,-1.0295,8.837e-02
1.98,0.90,2.1868,-1.1471,8.310e-02
2.00,0.90,2.1758,-1.2807,7.975e-02
2.02,0.90,2.1672,-1.4293,7.766e-02
2.04,0.90,2.1622,-1.5939,7.640e-02
2.06,0.90,2.1613,-1.7774,7.565e-02
2.08,0.90,2.1641,-1.9840,7.505e-02
2.10,0.90,2.1692,-2.2177,7.390e-02
0.92,0.92,2.0342,-0.7412,1.770e-01
0.94,0.92,2.0342,-0.7412,1.770e-01
0.96,0.92,2.0342,-0.7412,1.770e-01
0.98,0.92,2.0342,-0.7412,1.770e-01
1.00,0.92,2.0342,-0.7412,1.770e-01
1.02,0.92,2.0342,-0.7412,1.770e-01
1.04,0.92,2.0342,-0.7412,1.770e-01
1.06,0.92,2.0342,-0.7412,1.770e-01
1.08,0.92,2.0342,-0.7412,1.770e-01
1.10,0.92,2.0342,-0.7412,1.770e-01
1.12,0.92,2.0342,-0.7412,1.770e-01
1.14,0.92,2.0342,-0.7412,1.770e-01
1.16,0.92,2.0342,-0.7412,1.770e-01
1.18,0.92,2.0342,-0.7412,1.770e-01
1.20,0.92,2.0342,-0.7412,1.769e-01
1.22,0.92,2.0342,-0.7412,1.769e-01
1.24,0.92,2.0342,-0.7412,1.769e-01
1.26,0.92,1.9520,-0.4738,1.779e-01
1.28,0.92,1.8472,-0.3058,1.794e-01
1.30,0.92,1.7616,-0.2228,1.809e-01
1.32,0.92,1.6741,-0.1365,1.824e-01
1.34,0.92,1.5683,-0.2387,1.840e-01
1.36,0.92,1.5551,0.0447,1.856e-01
1.38,0.92,1.4222,-1.3162,1.872e-01
1.40,0.92,2.0426,-0.7611,1.888e-01
1.42,0.92,2.0437,-0.7638,1.904e-01
1.44,0.92,2.0448,-0.7665,1.920e-01
1.46,0.92,2.0458,-0.7693,1.936e-01
1.48,0.92,2.0469,-0.7721,1.952e-01
1.50,0.92,2.0480,-0.7748,1.967e-01
1.52,0.92,2.0491,-0.7777,1.982e-01
1.54,0.92,2.0502,-0.7805,1.997e-01
1.56,0.92,2.0513,-0.7834,2.012e-01
1.58,0.92,2.0524,-0.7863,2.025e-01
1.60,0.92,2.0534,-0.7892,2.038e-01
1.62,0.92,2.0545,-0.7922,2.049e-01
1.64,0.92,2.0557,-0.7952,2.059e-01
1.66,0.92,2.0568,-0.7984,2.067e-01
1.68,0.92,2.0579,-0.8016,2.073e-01
1.70,0.92,2.0591,-0.8050,2.076e-01
1.72,0.92,2.0604,-0.8085,2.075e-01
1.74,0.92,2.0617,-0.8122,2.070e-01
1.76,0.92,2.0630,-0.8163,2.061e-01
1.78,0.92,2.0645,-0.8206,2.045e-01
1.80,0.92,2.0661,-0.8255,2.023e-01
1.82,0.92,2.0679,-0.8310,1.992e-01
1.84,0.92,2.1032,-0.8241,1.633e-01
1.86,0.92,2.1684,-0.7978,1.269e-01
1.88,0.92,2.1986,-0.8217,1.054e-01
1.90,0.92,2.2048,-0.8837,9.218e-02
1.92,0.92,2.1973,-0.9726,8.380e-02
1.94,0.92,2.1839,-1.0804,7.841e-02
1.96,0.92,2.1697,-1.2025,7.497e-02
1.98,0.92,2.1575,-1.3368,7.282e-02
2.00,0.92,2.1494,-1.4834,7.156e-02
2.02,0.92,2.1462,-1.6441,7.090e-02
2.04,0.92,2.1479,-1.8225,7.064e-02
2.06,0.92,2.1538,-2.0238,7.057e-02
2.08,0.92,2.1623,-2.2549,7.045e-02
2.10,0.92,2.1712,-2.5218,6.960e-02
0.94,0.94,2.0342,-0.7412,1.770e-01
0.96,0.94,2.0342,-0.7412,1.770e-01
0.98,0.94,2.0342,-0.7412,1.770e-01
1.00,0.94,2.0342,-0.7412,1.770e-01
1.02,0.94,2.0342,-0.7412,1.770e-01
1.04,0.94,2.0342,-0.7412,1.770e-01
1.06,0.94,2.0342,-0.7412,1.770e-01
1.08,0.94,2.0342,-0.7412,1.770e-01
1.10,0.94,2.0342,-0.7412,1.770e-01
1.12,0.94,2.0342,-0.7412,1.770e-01
1.14,0.94,2.0342,-0.7412,1.770e-01
1.16,0.94,2.0342,-0.7412,1.770e-01
1.18,0.94,2.0342,-0.7412,1.769e-01
1.20,0.94,2.0342,-0.7412,1.769e-01
1.22,0.94,2.0342,-0.7412,1.769e-01
1.24,0.94,2.0342,-0.7412,1.769e-01
1.26,0.94,1.9887,-0.5676,1.774e-01
1.28,0.94,1.8807,-0.3488,1.788e-01
1.30,0.94,1.7928,-0.2495,1.803e-01
1.32,0.94,1.7038,-0.1583,1.817e-01
1.34,0.94,1.6062,-0.1859,1.832e-01
1.36,0.94,1.7150,0.2612,1.847e-01
1.38,0.94,1.2998,-1.1376,1.862e-01
1.40,0.94,2.0159,-0.7803,1.877e-01
1.42,0.94,2.0430,-0.7622,1.892e-01
1.44,0.94,2.0441,-0.7648,1.907e-01
