M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.2448,-0.9976,5.961e-01
0.92,0.90,0.0687,0.0314,5.535e-01
0.94,0.90,0.1639,0.0270,5.161e-01
0.96,0.90,0.2074,0.0265,4.833e-01
0.98,0.90,0.2497,0.0259,4.545e-01
1.00,0.90,0.2907,0.0253,4.291e-01
1.02,0.90,0.3304,0.0247,4.066e-01
1.04,0.90,0.3688,0.0240,3.868e-01
1.06,0.90,0.4059,0.0233,3.692e-01
1.08,0.90,0.4417,0.0226,3.537e-01
1.10,0.90,0.4761,0.0218,3.398e-01
1.12,0.90,0.5093,0.0210,3.275e-01
1.14,0.90,0.5411,0.0201,3.165e-01
1.16,0.90,0.5717,0.0193,3.067e-01
1.18,0.90,0.6010,0.0184,2.979e-01
1.20,0.90,0.6291,0.0174,2.901e-01
1.22,0.90,0.6560,0.0165,2.830e-01
1.24,0.90,0.6817,0.0155,2.766e-01
1.26,0.90,0.7063,0.0146,2.708e-01
1.28,0.90,0.7298,0.0136,2.656e-01
1.30,0.90,0.7523,0.0126,2.609e-01
1.32,0.90,0.7506,0.0493,2.566e-01
1.34,0.90,0.7646,-0.1040,2.527e-01
1.36,0.90,0.6238,-0.2995,2.491e-01
1.38,0.90,1.2591,-1.5620,2.458e-01
1.40,0.90,2.0707,-0.8397,2.427e-01
1.42,0.90,2.0696,-0.8360,2.399e-01
1.44,0.90,2.0685,-0.8327,2.373e-01
1.46,0.90,2.0675,-0.8295,2.349e-01
1.48,0.90,2.0665,-0.8266,2.326e-01
1.50,0.90,2.0656,-0.8240,2.304e-01
1.52,0.90,2.0648,-0.8214,2.283e-01
1.54,0.90,2.0640,-0.8191,2.263e-01
1.56,0.90,2.0633,-0.8170,2.244e-01
1.58,0.90,2.0626,-0.8150,2.225e-01
1.60,0.90,2.0620,-0.8131,2.206e-01
1.62,0.90,2.0614,-0.8114,2.187e-01
1.64,0.90,2.0608,-0.8098,2.168e-01
1.66,0.90,2.0604,-0.8084,2.147e-01
1.68,0.90,2.0599,-0.8072,2.126e-01
1.70,0.90,2.0595,-0.8061,2.102e-01
1.72,0.90,2.0592,-0.8051,2.077e-01
1.74,0.90,2.0589,-0.8044,2.048e-01
1.76,0.90,2.0587,-0.8038,2.016e-01
1.78,0.90,2.0586,-0.8035,1.979e-01
