M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7387,-0.8498,1.791e-01
0.92,0.90,1.8547,-0.3122,1.791e-01
0.94,0.90,1.8736,-0.3390,1.791e-01
0.96,0.90,1.8759,-0.3421,1.790e-01
0.98,0.90,1.8781,-0.3452,1.790e-01
1.00,0.90,1.8802,-0.3482,1.790e-01
1.02,0.90,1.8824,-0.3511,1.789e-01
1.04,0.90,1.8844,-0.3540,1.789e-01
1.06,0.90,1.8864,-0.3569,1.789e-01
1.08,0.90,1.8883,-0.3597,1.788e-01
1.10,0.90,1.8902,-0.3625,1.788e-01
1.12,0.90,1.8921,-0.3652,1.788e-01
1.14,0.90,1.8938,-0.3679,1.787e-01
1.16,0.90,1.8956,-0.3705,1.787e-01
1.18,0.90,1.8972,-0.3731,1.787e-01
1.20,0.90,1.8988,-0.3755,1.786e-01
1.22,0.90,1.9004,-0.3780,1.786e-01
1.24,0.90,1.9019,-0.3803,1.786e-01
1.26,0.90,1.9033,-0.3826,1.786e-01
1.28,0.90,1.9046,-0.3848,1.785e-01
1.30,0.90,1.9059,-0.3869,1.785e-01
1.32,0.90,1.9008,-0.3532,1.784e-01
1.34,0.90,1.9003,-0.4543,1.784e-01
1.36,0.90,1.8503,-0.5279,1.783e-01
1.38,0.90,1.9842,-0.7923,1.783e-01
1.40,0.90,2.0353,-0.7437,1.782e-01
1.42,0.90,2.0353,-0.7437,1.781e-01
1.44,0.90,2.0353,-0.7437,1.780e-01
1.46,0.90,2.0353,-0.7436,1.779e-01
1.48,0.90,2.0353,-0.7436,1.777e-01
1.50,0.90,2.0353,-0.7436,1.776e-01
1.52,0.90,2.0353,-0.7436,1.773e-01
1.54,0.90,2.0353,-0.7436,1.771e-01
1.56,0.90,2.0353,-0.7436,1.768e-01
1.58,0.90,2.0353,-0.7436,1.764e-01
1.60,0.90,2.0353,-0.7436,1.759e-01
1.62,0.90,2.0353,-0.7436,1.753e-01
1.64,0.90,2.0353,-0.7436,1.746e-01
1.66,0.90,2.0353,-0.7436,1.738e-01
1.68,0.90,2.0353,-0.7436,1.727e-01
1.70,0.90,2.0353,-0.7436,1.714e-01
1.72,0.90,2.0353,-0.7437,1.699e-01
1.74,0.90,2.0353,-0.7437,1.679e-01
1.76,0.90,2.0354,-0.7438,1.656e-01
1.78,0.90,2.0354,-0.7438,1.628e-01
1.80,0.90,2.0354,-0.7439,1.594e-01
1.82,0.90,2.0355,-0.7440,1.553e-01
1.84,0.90,2.0355,-0.7441,1.505e-01
1.86,0.90,2.0356,-0.7442,1.447e-01
1.88,0.90,2.0663,-0.7072,1.093e-01
1.90,0.90,2.1506,-0.6027,7.185e-02
1.92,0.90,2.2034,-0.5352,4.900e-02
1.94,0.90,2.2241,-0.5047,3.427e-02
1.96,0.90,2.2140,-0.5098,2.436e-02
1.98,0.90,2.1768,-0.5472,1.750e-02
2.00,0.90,2.1190,-0.6117,1.263e-02
2.02,0.90,2.0488,-0.6972,9.141e-03
2.04,0.90,1.9761,-0.7981,6.650e-03
2.06,0.90,1.9123,-0.9104,4.900e-03
2.08,0.90,1.8707,-1.0330,3.721e-03
2.10,0.90,1.8670,-1.1710,2.998e-03
0.92,0.92,1.8489,-0.2648,1.791e-01
0.94,0.92,1.8880,-0.2614,1.790e-01
0.96,0.92,1.8784,-0.3456,1.790e-01
0.98,0.92,1.8807,-0.3487,1.790e-01
1.00,0.92,1.8829,-0.3519,1.789e-01
1.02,0.92,1.8850,-0.3550,1.789e-01
1.04,0.92,1.8871,-0.3580,1.789e-01
1.06,0.92,1.8892,-0.3610,1.788e-01
1.08,0.92,1.8912,-0.3639,1.788e-01
1.10,0.92,1.8931,-0.3668,1.788e-01
1.12,0.92,1.8950,-0.3697,1.787e-01
1.14,0.92,1.8968,-0.3725,1.787e-01
1.16,0.92,1.8986,-0.3752,1.787e-01
1.18,0.92,1.9003,-0.3779,1.786e-01
1.20,0.92,1.9020,-0.3805,1.786e-01
1.22,0.92,1.9036,-0.3830,1.786e-01
1.24,0.92,1.9051,-0.3855,1.785e-01
1.26,0.92,1.9066,-0.3879,1.785e-01
1.28,0.92,1.9080,-0.3902,1.784e-01
1.30,0.92,1.9093,-0.3924,1.784e-01
1.32,0.92,1.9039,-0.3625,1.783e-01
1.34,0.92,1.8878,-0.4514,1.783e-01
1.36,0.92,1.9074,-0.2735,1.782e-01
1.38,0.92,1.8770,-0.8930,1.782e-01
1.40,0.92,2.0353,-0.7436,1.781e-01
1.42,0.92,2.0353,-0.7436,1.780e-01
1.44,0.92,2.0353,-0.7436,1.778e-01
1.46,0.92,2.0353,-0.7436,1.777e-01
1.48,0.92,2.0353,-0.7435,1.775e-01
1.50,0.92,2.0353,-0.7435,1.773e-01
1.52,0.92,2.0353,-0.7435,1.770e-01
1.54,0.92,2.0352,-0.7435,1.767e-01
1.56,0.92,2.0352,-0.7435,1.763e-01
1.58,0.92,2.0352,-0.7435,1.759e-01
1.60,0.92,2.0352,-0.7435,1.753e-01
1.62,0.92,2.0352,-0.7435,1.746e-01
1.64,0.92,2.0352,-0.7435,1.737e-01
1.66,0.92,2.0353,-0.7435,1.727e-01
1.68,0.92,2.0353,-0.7435,1.714e-01
1.70,0.92,2.0353,-0.7436,1.698e-01
1.72,0.92,2.0353,-0.7436,1.679e-01
1.74,0.92,2.0353,-0.7436,1.656e-01
1.76,0.92,2.0353,-0.7437,1.627e-01
1.78,0.92,2.0354,-0.7438,1.593e-01
1.80,0.92,2.0354,-0.7438,1.553e-01
1.82,0.92,2.0354,-0.7439,1.504e-01
1.84,0.92,2.0706,-0.7013,1.126e-01
1.86,0.92,2.1551,-0.5961,7.444e-02
1.88,0.92,2.2066,-0.5292,5.120e-02
1.90,0.92,2.2247,-0.5005,3.624e-02
1.92,0.92,2.2107,-0.5082,2.616e-02
1.94,0.92,2.1687,-0.5485,1.912e-02
1.96,0.92,2.1050,-0.6153,1.409e-02
1.98,0.92,2.0278,-0.7019,1.041e-02
2.00,0.92,1.9458,-0.8016,7.712e-03
2.02,0.92,1.8687,-0.9092,5.735e-03
2.04,0.92,1.8066,-1.0212,4.314e-03
2.06,0.92,1.7720,-1.1371,3.331e-03
2.08,0.92,1.7788,-1.2614,2.698e-03
2.10,0.92,1.8378,-1.4073,2.358e-03
0.94,0.94,1.9428,-0.0535,1.790e-01
0.96,0.94,1.8844,-0.3059,1.790e-01
0.98,0.94,1.8832,-0.3523,1.789e-01
1.00,0.94,1.8855,-0.3556,1.789e-01
