M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8772,-0.8047,1.644e-01
0.92,0.90,1.9430,-0.4526,1.666e-01
0.94,0.90,1.9520,-0.4739,1.700e-01
0.96,0.90,1.9519,-0.4737,1.745e-01
0.98,0.90,1.9519,-0.4737,1.802e-01
1.00,0.90,1.9520,-0.4739,1.870e-01
1.02,0.90,1.9520,-0.4739,1.949e-01
1.04,0.90,1.9520,-0.4738,2.037e-01
1.06,0.90,1.9517,-0.4732,2.134e-01
1.08,0.90,1.9512,-0.4722,2.238e-01
1.10,0.90,1.9504,-0.4704,2.348e-01
1.12,0.90,1.9492,-0.4678,2.463e-01
1.14,0.90,1.9476,-0.4643,2.581e-01
1.16,0.90,1.9455,-0.4598,2.702e-01
1.18,0.90,1.9428,-0.4542,2.823e-01
1.20,0.90,1.9394,-0.4473,2.945e-01
1.22,0.90,1.9353,-0.4393,3.066e-01
1.24,0.90,1.9305,-0.4299,3.185e-01
1.26,0.90,1.9247,-0.4191,3.301e-01
1.28,0.90,1.9179,-0.4070,3.415e-01
1.30,0.90,1.9099,-0.3934,3.526e-01
1.32,0.90,1.8940,-0.3422,3.634e-01
1.34,0.90,1.8807,-0.4295,3.738e-01
1.36,0.90,1.8065,-0.4983,3.839e-01
1.38,0.90,1.9628,-0.8142,3.936e-01
1.40,0.90,2.0360,-0.7454,4.030e-01
1.42,0.90,2.0363,-0.7459,4.122e-01
1.44,0.90,2.0365,-0.7465,4.211e-01
1.46,0.90,2.0369,-0.7473,4.298e-01
1.48,0.90,2.0373,-0.7482,4.384e-01
1.50,0.90,2.0377,-0.7494,4.469e-01
1.52,0.90,2.0383,-0.7508,4.556e-01
1.54,0.90,2.0391,-0.7525,4.644e-01
1.56,0.90,2.0399,-0.7547,4.736e-01
1.58,0.90,2.0410,-0.7573,4.835e-01
1.60,0.90,2.0424,-0.7607,4.942e-01
1.62,0.90,2.0441,-0.7649,5.063e-01
1.64,0.90,2.0462,-0.7702,5.201e-01
1.66,0.90,2.0489,-0.7770,5.365e-01
1.68,0.90,2.0521,-0.7857,5.563e-01
1.70,0.90,2.0562,-0.7968,5.809e-01
1.72,0.90,2.0612,-0.8110,6.120e-01
1.74,0.90,2.0674,-0.8292,6.523e-01
1.76,0.90,2.0747,-0.8526,7.052e-01
1.78,0.90,2.0834,-0.8824,7.758e-01
1.80,0.90,2.0934,-0.9202,8.714e-01
1.82,0.90,2.1044,-0.9676,1.003e+00
1.84,0.90,2.1162,-1.0261,1.185e+00
1.86,0.90,2.1282,-1.0973,1.441e+00
1.88,0.90,2.1564,-1.2280,1.699e+00
1.90,0.90,2.1842,-1.4076,2.100e+00
1.92,0.90,2.1912,-1.6254,2.785e+00
1.94,0.90,2.1917,-1.8594,3.854e+00
1.96,0.90,2.1908,-2.1002,5.484e+00
1.98,0.90,2.1899,-2.3444,7.963e+00
2.00,0.90,2.1894,-2.5910,1.175e+01
2.02,0.90,2.1893,-2.8398,1.761e+01
2.04,0.90,2.1893,-3.0910,2.677e+01
2.06,0.90,2.1894,-3.3448,4.131e+01
2.08,0.90,2.1895,-3.6014,6.481e+01
2.10,0.90,2.1897,-3.8620,1.040e+02
0.92,0.92,1.9359,-0.4060,1.645e-01
0.94,0.92,1.9567,-0.4078,1.666e-01
0.96,0.92,1.9496,-0.4686,1.699e-01
0.98,0.92,1.9495,-0.4683,1.742e-01
1.00,0.92,1.9494,-0.4683,1.797e-01
1.02,0.92,1.9494,-0.4683,1.863e-01
1.04,0.92,1.9494,-0.4682,1.939e-01
1.06,0.92,1.9493,-0.4679,2.024e-01
1.08,0.92,1.9490,-0.4673,2.117e-01
1.10,0.92,1.9484,-0.4661,2.218e-01
1.12,0.92,1.9476,-0.4643,2.324e-01
1.14,0.92,1.9464,-0.4617,2.436e-01
1.16,0.92,1.9447,-0.4583,2.551e-01
1.18,0.92,1.9426,-0.4538,2.668e-01
1.20,0.92,1.9399,-0.4483,2.787e-01
1.22,0.92,1.9365,-0.4416,2.906e-01
1.24,0.92,1.9325,-0.4337,3.025e-01
1.26,0.92,1.9277,-0.4246,3.142e-01
1.28,0.92,1.9219,-0.4141,3.257e-01
1.30,0.92,1.9152,-0.4023,3.370e-01
1.32,0.92,1.9004,-0.3568,3.480e-01
1.34,0.92,1.8719,-0.4329,3.587e-01
1.36,0.92,1.8811,-0.2263,3.691e-01
1.38,0.92,1.8288,-0.9391,3.792e-01
1.40,0.92,2.0359,-0.7450,3.889e-01
1.42,0.92,2.0361,-0.7454,3.983e-01
1.44,0.92,2.0363,-0.7459,4.075e-01
1.46,0.92,2.0365,-0.7465,4.164e-01
1.48,0.92,2.0369,-0.7473,4.252e-01
1.50,0.92,2.0372,-0.7482,4.338e-01
1.52,0.92,2.0377,-0.7493,4.423e-01
1.54,0.92,2.0383,-0.7506,4.509e-01
1.56,0.92,2.0390,-0.7523,4.597e-01
1.58,0.92,2.0398,-0.7543,4.688e-01
1.60,0.92,2.0408,-0.7568,4.785e-01
1.62,0.92,2.0421,-0.7600,4.889e-01
1.64,0.92,2.0437,-0.7639,5.005e-01
1.66,0.92,2.0457,-0.7689,5.137e-01
