M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9668,-0.7701,4.246e-01
0.92,0.90,1.9962,-0.5898,4.246e-01
0.94,0.90,1.9995,-0.6017,4.247e-01
0.96,0.90,1.9986,-0.5987,4.247e-01
0.98,0.90,1.9975,-0.5951,4.247e-01
1.00,0.90,1.9962,-0.5909,4.248e-01
1.02,0.90,1.9947,-0.5861,4.248e-01
1.04,0.90,1.9930,-0.5807,4.249e-01
1.06,0.90,1.9910,-0.5745,4.249e-01
1.08,0.90,1.9887,-0.5676,4.250e-01
1.10,0.90,1.9861,-0.5600,4.250e-01
1.12,0.90,1.9831,-0.5515,4.251e-01
1.14,0.90,1.9797,-0.5421,4.252e-01
1.16,0.90,1.9759,-0.5317,4.253e-01
1.18,0.90,1.9716,-0.5204,4.255e-01
1.20,0.90,1.9666,-0.5079,4.256e-01
1.22,0.90,1.9610,-0.4943,4.258e-01
1.24,0.90,1.9545,-0.4795,4.260e-01
1.26,0.90,1.9472,-0.4635,4.262e-01
1.28,0.90,1.9388,-0.4462,4.265e-01
1.30,0.90,1.9292,-0.4276,4.268e-01
1.32,0.90,1.9124,-0.3729,4.271e-01
1.34,0.90,1.8975,-0.4506,4.276e-01
1.36,0.90,1.8254,-0.5105,4.281e-01
1.38,0.90,1.9683,-0.8086,4.287e-01
1.40,0.90,2.0359,-0.7451,4.294e-01
1.42,0.90,2.0362,-0.7457,4.302e-01
1.44,0.90,2.0365,-0.7464,4.313e-01
1.46,0.90,2.0368,-0.7473,4.325e-01
1.48,0.90,2.0373,-0.7483,4.341e-01
1.50,0.90,2.0378,-0.7496,4.359e-01
1.52,0.90,2.0385,-0.7512,4.382e-01
1.54,0.90,2.0393,-0.7531,4.411e-01
1.56,0.90,2.0403,-0.7556,4.447e-01
1.58,0.90,2.0416,-0.7586,4.492e-01
1.60,0.90,2.0431,-0.7625,4.550e-01
1.62,0.90,2.0451,-0.7673,4.623e-01
1.64,0.90,2.0475,-0.7734,4.717e-01
1.66,0.90,2.0505,-0.7813,4.839e-01
1.68,0.90,2.0542,-0.7913,4.998e-01
1.70,0.90,2.0588,-0.8041,5.207e-01
1.72,0.90,2.0645,-0.8205,5.485e-01
1.74,0.90,2.0713,-0.8416,5.856e-01
1.76,0.90,2.0794,-0.8684,6.356e-01
1.78,0.90,2.0889,-0.9025,7.036e-01
1.80,0.90,2.0994,-0.9452,7.969e-01
1.82,0.90,2.1109,-0.9983,9.262e-01
1.84,0.90,2.1227,-1.0629,1.107e+00
1.86,0.90,2.1345,-1.1404,1.362e+00
1.88,0.90,2.1604,-1.2817,1.636e+00
1.90,0.90,2.1850,-1.4714,2.056e+00
1.92,0.90,2.1911,-1.6935,2.754e+00
1.94,0.90,2.1915,-1.9281,3.832e+00
1.96,0.90,2.1907,-2.1671,5.467e+00
1.98,0.90,2.1900,-2.4073,7.950e+00
2.00,0.90,2.1895,-2.6479,1.174e+01
2.02,0.90,2.1894,-2.8885,1.761e+01
2.04,0.90,2.1893,-3.1291,2.677e+01
2.06,0.90,2.1894,-3.3699,4.131e+01
2.08,0.90,2.1895,-3.6111,6.481e+01
2.10,0.90,2.1897,-3.8546,1.040e+02
0.92,0.92,1.9925,-0.5577,4.133e-01
0.94,0.92,2.0014,-0.5610,4.133e-01
0.96,0.92,1.9976,-0.5952,4.133e-01
0.98,0.92,1.9966,-0.5921,4.133e-01
1.00,0.92,1.9954,-0.5884,4.134e-01
1.02,0.92,1.9941,-0.5842,4.134e-01
1.04,0.92,1.9925,-0.5793,4.134e-01
1.06,0.92,1.9907,-0.5738,4.135e-01
1.08,0.92,1.9886,-0.5675,4.135e-01
1.10,0.92,1.9863,-0.5606,4.136e-01
1.12,0.92,1.9836,-0.5528,4.137e-01
1.14,0.92,1.9805,-0.5443,4.138e-01
1.16,0.92,1.9771,-0.5348,4.139e-01
1.18,0.92,1.9731,-0.5244,4.140e-01
1.20,0.92,1.9687,-0.5130,4.141e-01
1.22,0.92,1.9636,-0.5006,4.143e-01
1.24,0.92,1.9579,-0.4871,4.144e-01
1.26,0.92,1.9513,-0.4724,4.146e-01
1.28,0.92,1.9439,-0.4565,4.148e-01
1.30,0.92,1.9354,-0.4393,4.151e-01
1.32,0.92,1.9197,-0.3901,4.154e-01
1.34,0.92,1.8910,-0.4554,4.158e-01
1.36,0.92,1.8961,-0.2521,4.162e-01
1.38,0.92,1.8440,-0.9246,4.167e-01
1.40,0.92,2.0358,-0.7447,4.173e-01
1.42,0.92,2.0360,-0.7452,4.180e-01
1.44,0.92,2.0362,-0.7458,4.188e-01
1.46,0.92,2.0365,-0.7465,4.198e-01
1.48,0.92,2.0369,-0.7473,4.210e-01
1.50,0.92,2.0373,-0.7484,4.225e-01
1.52,0.92,2.0379,-0.7496,4.243e-01
1.54,0.92,2.0385,-0.7512,4.265e-01
1.56,0.92,2.0393,-0.7531,4.292e-01
1.58,0.92,2.0403,-0.7555,4.326e-01
1.60,0.92,2.0415,-0.7584,4.368e-01
1.62,0.92,2.0430,-0.7621,4.422e-01
1.64,0.92,2.0448,-0.7667,4.490e-01
1.66,0.92,2.0471,-0.7725,4.576e-01
1.68,0.92,2.0500,-0.7799,4.688e-01
1.70,0.92,2.0535,-0.7893,4.833e-01
1.72,0.92,2.0578,-0.8013,5.022e-01
1.74,0.92,2.0631,-0.8165,5.270e-01
1.76,0.92,2.0695,-0.8360,5.600e-01
1.78,0.92,2.0772,-0.8607,6.042e-01
1.80,0.92,2.0860,-0.8920,6.637e-01
