M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9103,-0.7924,4.255e-01
0.92,0.90,1.9610,-0.4926,4.256e-01
0.94,0.90,1.9645,-0.5028,4.257e-01
0.96,0.90,1.9590,-0.4897,4.258e-01
0.98,0.90,1.9521,-0.4741,4.261e-01
1.00,0.90,1.9438,-0.4564,4.263e-01
1.02,0.90,1.9343,-0.4373,4.266e-01
1.04,0.90,1.9237,-0.4173,4.270e-01
1.06,0.90,1.9120,-0.3968,4.274e-01
1.08,0.90,1.8993,-0.3763,4.278e-01
1.10,0.90,1.8857,-0.3559,4.283e-01
1.12,0.90,1.8713,-0.3360,4.288e-01
1.14,0.90,1.8562,-0.3166,4.294e-01
1.16,0.90,1.8405,-0.2980,4.300e-01
1.18,0.90,1.8241,-0.2801,4.306e-01
1.20,0.90,1.8073,-0.2631,4.314e-01
1.22,0.90,1.7900,-0.2469,4.321e-01
1.24,0.90,1.7724,-0.2316,4.329e-01
1.26,0.90,1.7544,-0.2172,4.338e-01
1.28,0.90,1.7361,-0.2035,4.347e-01
1.30,0.90,1.7176,-0.1907,4.356e-01
1.32,0.90,1.6856,-0.1378,4.367e-01
1.34,0.90,1.6623,-0.2600,4.377e-01
1.36,0.90,1.5351,-0.3881,4.388e-01
1.38,0.90,1.8472,-0.9330,4.400e-01
1.40,0.90,2.0393,-0.7532,4.413e-01
1.42,0.90,2.0397,-0.7541,4.425e-01
1.44,0.90,2.0401,-0.7550,4.439e-01
1.46,0.90,2.0405,-0.7560,4.453e-01
1.48,0.90,2.0409,-0.7570,4.468e-01
1.50,0.90,2.0413,-0.7580,4.483e-01
1.52,0.90,2.0417,-0.7591,4.499e-01
1.54,0.90,2.0422,-0.7602,4.516e-01
1.56,0.90,2.0427,-0.7613,4.533e-01
1.58,0.90,2.0432,-0.7625,4.551e-01
1.60,0.90,2.0437,-0.7638,4.570e-01
1.62,0.90,2.0442,-0.7651,4.589e-01
1.64,0.90,2.0447,-0.7664,4.609e-01
1.66,0.90,2.0452,-0.7678,4.630e-01
1.68,0.90,2.0458,-0.7692,4.652e-01
1.70,0.90,2.0464,-0.7706,4.674e-01
1.72,0.90,2.0470,-0.7722,4.698e-01
1.74,0.90,2.0476,-0.7737,4.722e-01
1.76,0.90,2.0482,-0.7753,4.746e-01
1.78,0.90,2.0488,-0.7770,4.772e-01
1.80,0.90,2.0495,-0.7787,4.799e-01
1.82,0.90,2.0502,-0.7804,4.826e-01
1.84,0.90,2.0509,-0.7823,4.855e-01
1.86,0.90,2.0516,-0.7841,4.884e-01
1.88,0.90,2.0829,-0.7617,4.026e-01
1.90,0.90,2.1583,-0.6930,3.029e-01
1.92,0.90,2.1999,-0.6675,2.427e-01
1.94,0.90,2.2132,-0.6784,2.046e-01
1.96,0.90,2.2051,-0.7173,1.799e-01
1.98,0.90,2.1823,-0.7761,1.636e-01
2.00,0.90,2.1503,-0.8480,1.528e-01
2.02,0.90,2.1128,-0.9281,1.459e-01
2.04,0.90,2.0724,-1.0124,1.417e-01
2.06,0.90,2.0310,-1.0981,1.395e-01
2.08,0.90,1.9902,-1.1826,1.388e-01
2.10,0.90,1.9510,-1.2643,1.394e-01
0.92,0.92,1.9543,-0.4476,4.142e-01
0.94,0.92,1.9696,-0.4452,4.142e-01
0.96,0.92,1.9598,-0.4916,4.144e-01
0.98,0.92,1.9544,-0.4792,4.145e-01
1.00,0.92,1.9475,-0.4642,4.147e-01
1.02,0.92,1.9393,-0.4472,4.150e-01
1.04,0.92,1.9299,-0.4288,4.153e-01
1.06,0.92,1.9193,-0.4095,4.156e-01
1.08,0.92,1.9077,-0.3897,4.160e-01
1.10,0.92,1.8951,-0.3698,4.164e-01
1.12,0.92,1.8816,-0.3500,4.169e-01
1.14,0.92,1.8673,-0.3306,4.174e-01
1.16,0.92,1.8522,-0.3118,4.180e-01
1.18,0.92,1.8366,-0.2936,4.186e-01
1.20,0.92,1.8203,-0.2761,4.192e-01
1.22,0.92,1.8035,-0.2595,4.199e-01
1.24,0.92,1.7863,-0.2437,4.207e-01
