M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.1296,-0.9950,8.428e-01
0.92,0.90,0.4414,0.0260,8.002e-01
0.94,0.90,0.5349,0.0203,7.629e-01
0.96,0.90,0.5776,0.0191,7.301e-01
0.98,0.90,0.6190,0.0178,7.012e-01
1.00,0.90,0.6591,0.0164,6.758e-01
1.02,0.90,0.6977,0.0149,6.534e-01
1.04,0.90,0.7351,0.0134,6.336e-01
1.06,0.90,0.7710,0.0117,6.160e-01
1.08,0.90,0.8056,0.0100,6.004e-01
1.10,0.90,0.8389,0.0082,5.866e-01
1.12,0.90,0.8707,0.0064,5.743e-01
1.14,0.90,0.9013,0.0045,5.633e-01
1.16,0.90,0.9305,0.0025,5.535e-01
1.18,0.90,0.9585,0.0004,5.447e-01
1.20,0.90,0.9852,-0.0016,5.368e-01
1.22,0.90,1.0106,-0.0037,5.298e-01
1.24,0.90,1.0349,-0.0059,5.234e-01
1.26,0.90,1.0581,-0.0080,5.177e-01
1.28,0.90,1.0801,-0.0102,5.125e-01
1.30,0.90,1.1011,-0.0124,5.077e-01
1.32,0.90,1.0996,0.0240,5.035e-01
1.34,0.90,1.1127,-0.1280,4.996e-01
1.36,0.90,0.9805,-0.3140,4.960e-01
1.38,0.90,1.5288,-1.2663,4.928e-01
1.40,0.90,2.0519,-0.7850,4.898e-01
1.42,0.90,2.0512,-0.7833,4.870e-01
1.44,0.90,2.0506,-0.7817,4.845e-01
1.46,0.90,2.0501,-0.7802,4.822e-01
1.48,0.90,2.0495,-0.7788,4.800e-01
1.50,0.90,2.0490,-0.7775,4.780e-01
1.52,0.90,2.0486,-0.7763,4.762e-01
1.54,0.90,2.0482,-0.7752,4.744e-01
1.56,0.90,2.0477,-0.7742,4.728e-01
1.58,0.90,2.0474,-0.7732,4.713e-01
1.60,0.90,2.0470,-0.7723,4.699e-01
1.62,0.90,2.0467,-0.7714,4.686e-01
1.64,0.90,2.0463,-0.7706,4.673e-01
1.66,0.90,2.0460,-0.7698,4.661e-01
1.68,0.90,2.0458,-0.7691,4.650e-01
1.70,0.90,2.0455,-0.7684,4.640e-01
1.72,0.90,2.0452,-0.7677,4.630e-01
