M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4397,-0.9994,8.861e-04
0.92,0.90,-4.6030,0.0353,9.022e-04
0.94,0.90,-7.3177,0.0319,9.228e-04
0.96,0.90,-7.3177,0.0319,9.484e-04
0.98,0.90,-7.3177,0.0319,9.790e-04
1.00,0.90,-7.3177,0.0319,1.015e-03
1.02,0.90,-7.3177,0.0319,1.058e-03
1.04,0.90,-7.3177,0.0319,1.106e-03
1.06,0.90,-7.3177,0.0319,1.163e-03
1.08,0.90,-7.3177,0.0319,1.227e-03
1.10,0.90,-7.3177,0.0319,1.302e-03
1.12,0.90,-7.3177,0.0319,1.386e-03
1.14,0.90,-7.3177,0.0319,1.483e-03
1.16,0.90,-7.3177,0.0319,1.595e-03
1.18,0.90,-7.3177,0.0319,1.722e-03
1.20,0.90,-7.3177,0.0319,1.869e-03
1.22,0.90,-7.3177,0.0319,2.039e-03
1.24,0.90,-7.3177,0.0319,2.234e-03
1.26,0.90,-7.3177,0.0319,2.461e-03
1.28,0.90,-7.3177,0.0319,2.725e-03
1.30,0.90,-7.3177,0.0319,3.034e-03
1.32,0.90,-5.3060,0.0689,3.395e-03
1.34,0.90,-4.3800,-0.0855,3.821e-03
1.36,0.90,-2.8467,-0.2884,4.324e-03
1.38,0.90,0.3482,-3.7887,4.922e-03
1.40,0.90,2.1901,-5.3264,5.636e-03
1.42,0.90,2.1901,-5.3264,6.493e-03
1.44,0.90,2.1901,-5.3264,7.526e-03
1.46,0.90,2.1901,-5.3264,8.780e-03
1.48,0.90,2.1901,-5.3264,1.031e-02
1.50,0.90,2.1901,-5.3264,1.219e-02
1.52,0.90,2.1901,-5.3264,1.450e-02
1.54,0.90,2.1901,-5.3264,1.738e-02
1.56,0.90,2.1901,-5.3264,2.098e-02
1.58,0.90,2.1901,-5.3264,2.550e-02
1.60,0.90,2.1901,-5.3264,3.124e-02
1.62,0.90,2.1901,-5.3264,3.856e-02
1.64,0.90,2.1901,-5.3264,4.798e-02
1.66,0.90,2.1901,-5.3264,6.017e-02
1.68,0.90,2.1901,-5.3264,7.608e-02
1.70,0.90,2.1901,-5.3264,9.700e-02
1.72,0.90,2.1901,-5.3264,1.247e-01
1.74,0.90,2.1901,-5.3264,1.618e-01
1.76,0.90,2.1901,-5.3264,2.118e-01
1.78,0.90,2.1901,-5.3264,2.799e-01
1.80,0.90,2.1901,-5.3264,3.732e-01
