M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4397,-0.9994,1.741e-03
0.92,0.90,-4.6030,0.0353,1.812e-03
0.94,0.90,-7.3177,0.0319,1.932e-03
0.96,0.90,-7.3177,0.0319,2.098e-03
0.98,0.90,-7.3177,0.0319,2.310e-03
1.00,0.90,-7.3177,0.0319,2.567e-03
1.02,0.90,-7.3177,0.0319,2.869e-03
1.04,0.90,-7.3177,0.0319,3.216e-03
1.06,0.90,-7.3177,0.0319,3.607e-03
1.08,0.90,-7.3177,0.0319,4.043e-03
1.10,0.90,-7.3177,0.0319,4.524e-03
1.12,0.90,-7.3177,0.0319,5.049e-03
1.14,0.90,-7.3177,0.0319,5.621e-03
1.16,0.90,-7.3177,0.0319,6.238e-03
1.18,0.90,-7.3177,0.0319,6.902e-03
1.20,0.90,-7.3177,0.0319,7.613e-03
1.22,0.90,-7.3177,0.0319,8.372e-03
1.24,0.90,-7.3177,0.0319,9.180e-03
1.26,0.90,-7.3177,0.0319,1.004e-02
1.28,0.90,-7.3177,0.0319,1.094e-02
1.30,0.90,-7.3177,0.0319,1.190e-02
1.32,0.90,-5.3060,0.0689,1.292e-02
1.34,0.90,-4.3800,-0.0855,1.398e-02
1.36,0.90,-2.8467,-0.2884,1.510e-02
1.38,0.90,0.3482,-3.7887,1.628e-02
1.40,0.90,2.1901,-5.3264,1.751e-02
1.42,0.90,2.1901,-5.3264,1.880e-02
1.44,0.90,2.1901,-5.3264,2.015e-02
1.46,0.90,2.1901,-5.3264,2.156e-02
1.48,0.90,2.1901,-5.3264,2.303e-02
1.50,0.90,2.1901,-5.3264,2.456e-02
1.52,0.90,2.1901,-5.3264,2.616e-02
1.54,0.90,2.1901,-5.3264,2.782e-02
1.56,0.90,2.1901,-5.3264,2.955e-02
1.58,0.90,2.1901,-5.3264,3.136e-02
1.60,0.90,2.1901,-5.3264,3.323e-02
1.62,0.90,2.1901,-5.3264,3.517e-02
1.64,0.90,2.1901,-5.3264,3.718e-02
1.66,0.90,2.1901,-5.3264,3.927e-02
1.68,0.90,2.1901,-5.3264,4.144e-02
1.70,0.90,2.1901,-5.3264,4.368e-02
1.72,0.90,2.1901,-5.3264,4.601e-02
1.74,0.90,2.1901,-5.3264,4.841e-02
1.76,0.90,2.1901,-5.3264,5.090e-02
1.78,0.90,2.1901,-5.3264,5.347e-02
1.80,0.90,2.1901,-5.3264,5.613e-02
1.82,0.90,2.1901,-5.3264,5.888e-02
1.84,0.90,2.1901,-5.3264,6.172e-02
1.86,0.90,2.1901,-5.3264,6.465e-02
1.88,0.90,2.1901,-5.3264,6.768e-02
1.90,0.90,2.1901,-5.3264,7.080e-02
1.92,0.90,2.1901,-5.3264,7.403e-02
1.94,0.90,2.1901,-5.3264,7.735e-02
1.96,0.90,2.1901,-5.3264,8.079e-02
1.98,0.90,2.1901,-5.3264,8.433e-02
2.00,0.90,2.1901,-5.3264,8.798e-02
2.02,0.90,2.1901,-5.3264,9.175e-02
2.04,0.90,2.1901,-5.3264,9.564e-02
2.06,0.90,2.1901,-5.3264,9.967e-02
2.08,0.90,2.1901,-5.3264,1.038e-01
2.10,0.90,2.1901,-5.3264,1.082e-01
0.92,0.92,-2.9829,0.0877,1.833e-03
0.94,0.92,-4.6486,0.1652,1.902e-03
0.96,0.92,-7.3177,0.0319,2.018e-03
0.98,0.92,-7.3177,0.0319,2.179e-03
1.00,0.92,-7.3177,0.0319,2.386e-03
1.02,0.92,-7.3177,0.0319,2.636e-03
1.04,0.92,-7.3177,0.0319,2.931e-03
1.06,0.92,-7.3177,0.0319,3.269e-03
1.08,0.92,-7.3177,0.0319,3.651e-03
1.10,0.92,-7.3177,0.0319,4.077e-03
1.12,0.92,-7.3177,0.0319,4.547e-03
1.14,0.92,-7.3177,0.0319,5.061e-03
1.16,0.92,-7.3177,0.0319,5.619e-03
1.18,0.92,-7.3177,0.0319,6.223e-03
1.20,0.92,-7.3177,0.0319,6.871e-03
1.22,0.92,-7.3177,0.0319,7.566e-03
1.24,0.92,-7.3177,0.0319,8.308e-03
1.26,0.92,-7.3177,0.0319,9.097e-03
1.28,0.92,-7.3177,0.0319,9.935e-03
1.30,0.92,-7.3177,0.0319,1.082e-02
1.32,0.92,-5.4046,0.0627,1.176e-02
1.34,0.92,-4.5394,-0.1063,1.275e-02
1.36,0.92,-3.0168,0.1956,1.379e-02
1.38,0.92,-0.7065,-2.2563,1.488e-02
1.40,0.92,2.1901,-5.3264,1.602e-02
1.42,0.92,2.1901,-5.3264,1.723e-02
1.44,0.92,2.1901,-5.3264,1.848e-02
1.46,0.92,2.1901,-5.3264,1.980e-02
1.48,0.92,2.1901,-5.3264,2.117e-02
1.50,0.92,2.1901,-5.3264,2.261e-02
1.52,0.92,2.1901,-5.3264,2.410e-02
1.54,0.92,2.1901,-5.3264,2.566e-02
1.56,0.92,2.1901,-5.3264,2.728e-02
1.58,0.92,2.1901,-5.3264,2.896e-02
1.60,0.92,2.1901,-5.3264,3.072e-02
1.62,0.92,2.1901,-5.3264,3.254e-02
1.64,0.92,2.1901,-5.3264,3.443e-02
1.66,0.92,2.1901,-5.3264,3.639e-02
1.68,0.92,2.1901,-5.3264,3.842e-02
1.70,0.92,2.1901,-5.3264,4.052e-02
1.72,0.92,2.1901,-5.3264,4.270e-02
1.74,0.92,2.1901,-5.3264,4.496e-02
1.76,0.92,2.1901,-5.3264,4.730e-02
1.78,0.92,2.1901,-5.3264,4.971e-02
1.80,0.92,2.1901,-5.3264,5.221e-02
1.82,0.92,2.1901,-5.3264,5.480e-02
1.84,0.92,2.1901,-5.3264,5.746e-02
1.86,0.92,2.1901,-5.3264,6.022e-02
1.88,0.92,2.1901,-5.3264,6.306e-02
1.90,0.92,2.1901,-5.3264,6.600e-02
1.92,0.92,2.1901,-5.3264,6.903e-02
1.94,0.92,2.1901,-5.3264,7.216e-02
1.96,0.92,2.1901,-5.3264,7.539e-02
1.98,0.92,2.1901,-5.3264,7.872e-02
2.00,0.92,2.1901,-5.3264,8.215e-02
2.02,0.92,2.1901,-5.3264,8.570e-02
2.04,0.92,2.1901,-5.3264,8.936e-02
2.06,0.92,2.1901,-5.3264,9.314e-02
2.08,0.92,2.1901,-5.3264,9.707e-02
2.10,0.92,2.1901,-5.3264,1.012e-01
0.94,0.94,-3.1764,0.5890,1.921e-03
0.96,0.94,-4.7756,0.0982,1.987e-03
0.98,0.94,-7.3177,0.0319,2.099e-03
1.00,0.94,-7.3177,0.0319,2.256e-03
1.02,0.94,-7.3177,0.0319,2.456e-03
1.04,0.94,-7.3177,0.0319,2.701e-03
1.06,0.94,-7.3177,0.0319,2.988e-03
1.08,0.94,-7.3177,0.0319,3.319e-03
1.10,0.94,-7.3177,0.0319,3.692e-03
1.12,0.94,-7.3177,0.0319,4.108e-03
1.14,0.94,-7.3177,0.0319,4.567e-03
1.16,0.94,-7.3177,0.0319,5.070e-03
1.18,0.94,-7.3177,0.0319,5.616e-03
1.20,0.94,-7.3177,0.0319,6.206e-03
1.22,0.94,-7.3177,0.0319,6.840e-03
1.24,0.94,-7.3177,0.0319,7.520e-03
1.26,0.94,-7.3177,0.0319,8.245e-03
1.28,0.94,-7.3177,0.0319,9.016e-03
1.30,0.94,-7.3177,0.0319,9.835e-03
1.32,0.94,-5.4587,0.0586,1.070e-02
1.34,0.94,-4.5948,-0.0307,1.162e-02
1.36,0.94,-3.1331,0.5235,1.258e-02
1.38,0.94,-1.9213,-1.3160,1.360e-02
1.40,0.94,1.7501,-4.8735,1.466e-02
1.42,0.94,2.1901,-5.3264,1.578e-02
1.44,0.94,2.1901,-5.3264,1.696e-02
1.46,0.94,2.1901,-5.3264,1.818e-02
1.48,0.94,2.1901,-5.3264,1.947e-02
1.50,0.94,2.1901,-5.3264,2.081e-02
1.52,0.94,2.1901,-5.3264,2.220e-02
1.54,0.94,2.1901,-5.3264,2.366e-02
1.56,0.94,2.1901,-5.3264,2.518e-02
1.58,0.94,2.1901,-5.3264,2.676e-02
1.60,0.94,2.1901,-5.3264,2.840e-02
1.62,0.94,2.1901,-5.3264,3.011e-02
1.64,0.94,2.1901,-5.3264,3.188e-02
1.66,0.94,2.1901,-5.3264,3.372e-02
1.68,0.94,2.1901,-5.3264,3.563e-02
1.70,0.94,2.1901,-5.3264,3.760e-02
1.72,0.94,2.1901,-5.3264,3.965e-02
1.74,0.94,2.1901,-5.3264,4.177e-02
1.76,0.94,2.1901,-5.3264,4.397e-02
1.78,0.94,2.1901,-5.3264,4.624e-02
1.80,0.94,2.1901,-5.3264,4.859e-02
1.82,0.94,2.1901,-5.3264,5.102e-02
1.84,0.94,2.1901,-5.3264,5.353e-02
1.86,0.94,2.1901,-5.3264,5.612e-02
1.88,0.94,2.1901,-5.3264,5.879e-02
1.90,0.94,2.1901,-5.3264,6.156e-02
1.92,0.94,2.1901,-5.3264,6.441e-02
1.94,0.94,2.1901,-5.3264,6.735e-02
1.96,0.94,2.1901,-5.3264,7.039e-02
1.98,0.94,2.1901,-5.3264,7.352e-02
2.00,0.94,2.1901,-5.3264,7.676e-02
2.02,0.94,2.1901,-5.3264,8.009e-02
2.04,0.94,2.1901,-5.3264,8.354e-02
2.06,0.94,2.1901,-5.3264,8.710e-02
2.08,0.94,2.1901,-5.3264,9.079e-02
2.10,0.94,2.1901,-5.3264,9.466e-02
0.96,0.96,-3.5378,0.5591,2.004e-03
0.98,0.96,-4.8430,0.0617,2.067e-03
1.00,0.96,-7.3177,0.0319,2.175e-03
1.02,0.96,-7.3177,0.0319,2.327e-03
1.04,0.96,-7.3177,0.0319,2.523e-03
1.06,0.96,-7.3177,0.0319,2.761e-03
1.08,0.96,-7.3177,0.0319,3.042e-03
1.10,0.96,-7.3177,0.0319,3.364e-03
1.12,0.96,-7.3177,0.0319,3.729e-03
1.14,0.96,-7.3177,0.0319,4.136e-03
1.16,0.96,-7.3177,0.0319,4.585e-03
1.18,0.96,-7.3177,0.0319,5.076e-03
1.20,0.96,-7.3177,0.0319,5.610e-03
1.22,0.96,-7.3177,0.0319,6.187e-03
1.24,0.96,-7.3177,0.0319,6.808e-03
1.26,0.96,-7.3177,0.0319,7.472e-03
1.28,0.96,-7.3177,0.0319,8.182e-03
1.30,0.96,-7.3177,0.0319,8.936e-03
1.32,0.96,-5.4644,0.0581,9.737e-03
1.34,0.96,-4.6043,0.0585,1.058e-02
1.36,0.96,-3.3458,0.6333,1.148e-02
1.38,0.96,-2.6365,-0.7310,1.242e-02
1.40,0.96,0.1135,-3.2807,1.341e-02
1.42,0.96,2.1901,-5.3264,1.446e-02
1.44,0.96,2.1901,-5.3264,1.555e-02
1.46,0.96,2.1901,-5.3264,1.669e-02
1.48,0.96,2.1901,-5.3264,1.789e-02
1.50,0.96,2.1901,-5.3264,1.915e-02
1.52,0.96,2.1901,-5.3264,2.045e-02
1.54,0.96,2.1901,-5.3264,2.182e-02
1.56,0.96,2.1901,-5.3264,2.324e-02
1.58,0.96,2.1901,-5.3264,2.472e-02
1.60,0.96,2.1901,-5.3264,2.626e-02
1.62,0.96,2.1901,-5.3264,2.786e-02
1.64,0.96,2.1901,-5.3264,2.952e-02
1.66,0.96,2.1901,-5.3264,3.125e-02
1.68,0.96,2.1901,-5.3264,3.304e-02
1.70,0.96,2.1884,-2.6116,3.522e-02
1.72,0.96,2.1548,-1.3274,4.560e-02
1.74,0.96,2.1408,-1.1898,5.343e-02
1.76,0.96,2.1472,-1.1839,5.590e-02
1.78,0.96,2.1801,-1.2340,5.377e-02
1.80,0.96,2.1922,-1.3423,5.251e-02
1.82,0.96,2.1937,-1.5071,5.208e-02
1.84,0.96,2.1913,-1.7519,5.234e-02
1.86,0.96,2.1896,-2.2115,5.314e-02
1.88,0.96,2.1901,-5.3264,5.484e-02
1.90,0.96,2.1901,-5.3264,5.744e-02
1.92,0.96,2.1901,-5.3264,6.012e-02
1.94,0.96,2.1901,-5.3264,6.290e-02
1.96,0.96,2.1901,-5.3264,6.576e-02
1.98,0.96,2.1901,-5.3264,6.871e-02
2.00,0.96,2.1901,-5.3264,7.175e-02
2.02,0.96,2.1901,-5.3264,7.490e-02
2.04,0.96,2.1901,-5.3264,7.814e-02
2.06,0.96,2.1901,-5.3264,8.150e-02
2.08,0.96,2.1901,-5.3264,8.497e-02
2.10,0.96,2.1901,-5.3264,8.862e-02
0.98,0.98,-3.9237,0.2658,2.082e-03
1.00,0.98,-4.8393,0.0637,2.142e-03
1.02,0.98,-7.3177,0.0319,2.247e-03
1.04,0.98,-7.3177,0.0319,2.394e-03
1.06,0.98,-7.3177,0.0319,2.585e-03
1.08,0.98,-7.3177,0.0319,2.817e-03
1.10,0.98,-7.3177,0.0319,3.091e-03
1.12,0.98,-7.3177,0.0319,3.406e-03
1.14,0.98,-7.3177,0.0319,3.763e-03
1.16,0.98,-7.3177,0.0319,4.160e-03
1.18,0.98,-7.3177,0.0319,4.599e-03
1.20,0.98,-7.3177,0.0319,5.080e-03
1.22,0.98,-7.3177,0.0319,5.603e-03
1.24,0.98,-7.3177,0.0319,6.167e-03
1.26,0.98,-7.3177,0.0319,6.774e-03
1.28,0.98,-7.3177,0.0319,7.425e-03
1.30,0.98,-7.3177,0.0319,8.119e-03
1.32,0.98,-5.4229,0.0613,8.857e-03
1.34,0.98,-4.6049,0.1227,9.640e-03
1.36,0.98,-3.6938,0.4516,1.047e-02
1.38,0.98,-2.8960,-0.1610,1.134e-02
1.40,0.98,-0.8380,-2.0486,1.227e-02
1.42,0.98,2.1901,-5.3264,1.324e-02
1.44,0.98,2.1901,-5.3264,1.425e-02
1.46,0.98,2.1901,-5.3264,1.532e-02
1.48,0.98,2.1901,-5.3264,1.644e-02
1.50,0.98,2.1901,-5.3264,1.761e-02
1.52,0.98,2.1901,-5.3264,1.884e-02
1.54,0.98,2.1901,-5.3264,2.011e-02
1.56,0.98,2.1901,-5.3264,2.144e-02
1.58,0.98,2.1901,-5.3264,2.283e-02
1.60,0.98,2.1901,-5.3264,2.428e-02
1.62,0.98,2.1901,-5.3264,2.578e-02
1.64,0.98,2.1268,-1.0881,4.257e-02
1.66,0.98,2.1027,-0.9598,5.910e-02
1.68,0.98,2.0924,-0.9162,7.269e-02
1.70,0.98,2.0873,-0.8968,8.358e-02
1.72,0.98,2.0882,-0.9000,8.694e-02
1.74,0.98,2.1575,-0.8700,7.337e-02
1.76,0.98,2.1930,-0.8870,6.496e-02
1.78,0.98,2.2026,-0.9441,5.980e-02
1.80,0.98,2.1975,-1.0295,5.674e-02
1.82,0.98,2.1856,-1.1347,5.511e-02
1.84,0.98,2.1721,-1.2553,5.448e-02
1.86,0.98,2.1602,-1.3902,5.459e-02
1.88,0.98,2.1524,-1.5422,5.524e-02
1.90,0.98,2.1506,-1.7213,5.630e-02
1.92,0.98,2.1566,-1.9568,5.769e-02
