M1,M2,SrDy,ThDy,total_mass
0.90,0.90,nan,nan,0.000e+00
0.92,0.90,nan,nan,0.000e+00
0.94,0.90,nan,nan,0.000e+00
0.96,0.90,nan,nan,0.000e+00
0.98,0.90,nan,nan,0.000e+00
1.00,0.90,nan,nan,0.000e+00
1.02,0.90,nan,nan,0.000e+00
1.04,0.90,nan,nan,0.000e+00
1.06,0.90,nan,nan,0.000e+00
1.08,0.90,nan,nan,0.000e+00
1.10,0.90,nan,nan,0.000e+00
1.12,0.90,nan,nan,0.000e+00
1.14,0.90,nan,nan,0.000e+00
1.16,0.90,nan,nan,0.000e+00
1.18,0.90,nan,nan,0.000e+00
1.20,0.90,nan,nan,0.000e+00
1.22,0.90,nan,nan,0.000e+00
1.24,0.90,nan,nan,0.000e+00
1.26,0.90,-7.3177,0.0319,1.493e-03
1.28,0.90,-7.3177,0.0319,3.095e-03
1.30,0.90,-7.3177,0.0319,4.724e-03
1.32,0.90,-5.3060,0.0689,6.378e-03
1.34,0.90,-4.3800,-0.0855,8.056e-03
1.36,0.90,-2.8467,-0.2884,9.758e-03
1.38,0.90,0.3482,-3.7887,1.148e-02
1.40,0.90,2.1901,-5.3264,1.323e-02
1.42,0.90,2.1901,-5.3264,1.500e-02
1.44,0.90,2.1901,-5.3264,1.678e-02
1.46,0.90,2.1901,-5.3264,1.859e-02
1.48,0.90,2.1901,-5.3264,2.041e-02
1.50,0.90,2.1901,-5.3264,2.226e-02
1.52,0.90,2.1901,-5.3264,2.411e-02
1.54,0.90,2.1901,-5.3264,2.598e-02
1.56,0.90,2.1901,-5.3264,2.787e-02
1.58,0.90,2.1901,-5.3264,2.976e-02
1.60,0.90,2.1901,-5.3264,3.167e-02
1.62,0.90,2.1901,-5.3264,3.358e-02
1.64,0.90,2.1901,-5.3264,3.551e-02
1.66,0.90,2.1901,-5.3264,3.744e-02
1.68,0.90,2.1901,-5.3264,3.937e-02
1.70,0.90,2.1901,-5.3264,4.131e-02
1.72,0.90,2.1901,-5.3264,4.325e-02
1.74,0.90,2.1901,-5.3264,4.519e-02
1.76,0.90,2.1901,-5.3264,4.713e-02
1.78,0.90,2.1901,-5.3264,4.906e-02
1.80,0.90,2.1901,-5.3264,5.098e-02
1.82,0.90,2.1901,-5.3264,5.289e-02
1.84,0.90,2.1901,-5.3264,5.479e-02
1.86,0.90,2.1901,-5.3264,5.667e-02
1.88,0.90,2.1901,-5.3264,5.852e-02
1.90,0.90,2.1901,-5.3264,6.035e-02
1.92,0.90,2.1901,-5.3264,6.215e-02
1.94,0.90,2.1901,-5.3264,6.390e-02
1.96,0.90,2.1901,-5.3264,6.560e-02
1.98,0.90,2.1901,-5.3264,6.723e-02
2.00,0.90,2.1901,-5.3264,6.877e-02
2.02,0.90,2.1901,-5.3264,7.021e-02
2.04,0.90,2.1901,-5.3264,7.149e-02
2.06,0.90,2.1901,-5.3264,7.253e-02
2.08,0.90,2.1901,-5.3264,7.319e-02
2.10,0.90,2.1901,-5.3264,7.286e-02
0.92,0.92,nan,nan,0.000e+00
0.94,0.92,nan,nan,0.000e+00
0.96,0.92,nan,nan,0.000e+00
0.98,0.92,nan,nan,0.000e+00
1.00,0.92,nan,nan,0.000e+00
1.02,0.92,nan,nan,0.000e+00
1.04,0.92,nan,nan,0.000e+00
1.06,0.92,nan,nan,0.000e+00
1.08,0.92,nan,nan,0.000e+00
1.10,0.92,nan,nan,0.000e+00
1.12,0.92,nan,nan,0.000e+00
1.14,0.92,nan,nan,0.000e+00
1.16,0.92,nan,nan,0.000e+00
1.18,0.92,nan,nan,0.000e+00
1.20,0.92,nan,nan,0.000e+00
1.22,0.92,nan,nan,0.000e+00
1.24,0.92,nan,nan,0.000e+00
1.26,0.92,-7.3177,0.0319,9.661e-04
1.28,0.92,-7.3177,0.0319,2.492e-03
1.30,0.92,-7.3177,0.0319,4.044e-03
1.32,0.92,-5.4046,0.0627,5.622e-03
1.34,0.92,-4.5394,-0.1063,7.225e-03
1.36,0.92,-3.0168,0.1956,8.852e-03
1.38,0.92,-0.7065,-2.2563,1.050e-02
1.40,0.92,2.1901,-5.3264,1.217e-02
1.42,0.92,2.1901,-5.3264,1.386e-02
1.44,0.92,2.1901,-5.3264,1.558e-02
1.46,0.92,2.1901,-5.3264,1.731e-02
1.48,0.92,2.1901,-5.3264,1.906e-02
1.50,0.92,2.1901,-5.3264,2.082e-02
1.52,0.92,2.1901,-5.3264,2.260e-02
1.54,0.92,2.1901,-5.3264,2.440e-02
1.56,0.92,2.1901,-5.3264,2.621e-02
1.58,0.92,2.1901,-5.3264,2.803e-02
1.60,0.92,2.1901,-5.3264,2.986e-02
1.62,0.92,2.1901,-5.3264,3.170e-02
1.64,0.92,2.1901,-5.3264,3.355e-02
1.66,0.92,2.1901,-5.3264,3.540e-02
1.68,0.92,2.1901,-5.3264,3.726e-02
1.70,0.92,2.1901,-5.3264,3.912e-02
1.72,0.92,2.1901,-5.3264,4.099e-02
1.74,0.92,2.1901,-5.3264,4.285e-02
1.76,0.92,2.1901,-5.3264,4.471e-02
1.78,0.92,2.1901,-5.3264,4.656e-02
1.80,0.92,2.1901,-5.3264,4.841e-02
1.82,0.92,2.1901,-5.3264,5.024e-02
1.84,0.92,2.1901,-5.3264,5.207e-02
1.86,0.92,2.1901,-5.3264,5.387e-02
1.88,0.92,2.1901,-5.3264,5.565e-02
1.90,0.92,2.1901,-5.3264,5.740e-02
1.92,0.92,2.1901,-5.3264,5.912e-02
1.94,0.92,2.1901,-5.3264,6.079e-02
1.96,0.92,2.1901,-5.3264,6.241e-02
1.98,0.92,2.1901,-5.3264,6.396e-02
2.00,0.92,2.1901,-5.3264,6.543e-02
2.02,0.92,2.1901,-5.3264,6.679e-02
2.04,0.92,2.1901,-5.3264,6.799e-02
2.06,0.92,2.1901,-5.3264,6.896e-02
2.08,0.92,2.1901,-5.3264,6.953e-02
2.10,0.92,2.1901,-5.3264,6.913e-02
0.94,0.94,nan,nan,0.000e+00
0.96,0.94,nan,nan,0.000e+00
0.98,0.94,nan,nan,0.000e+00
1.00,0.94,nan,nan,0.000e+00
1.02,0.94,nan,nan,0.000e+00
1.04,0.94,nan,nan,0.000e+00
1.06,0.94,nan,nan,0.000e+00
1.08,0.94,nan,nan,0.000e+00
1.10,0.94,nan,nan,0.000e+00
1.12,0.94,nan,nan,0.000e+00
1.14,0.94,nan,nan,0.000e+00
1.16,0.94,nan,nan,0.000e+00
1.18,0.94,nan,nan,0.000e+00
1.20,0.94,nan,nan,0.000e+00
1.22,0.94,nan,nan,0.000e+00
1.24,0.94,nan,nan,0.000e+00
1.26,0.94,-7.3177,0.0319,5.126e-04
1.28,0.94,-7.3177,0.0319,1.963e-03
1.30,0.94,-7.3177,0.0319,3.441e-03
1.32,0.94,-5.4587,0.0586,4.945e-03
1.34,0.94,-4.5948,-0.0307,6.473e-03
1.36,0.94,-3.1331,0.5235,8.026e-03
1.38,0.94,-1.9213,-1.3160,9.601e-03
1.40,0.94,1.7501,-4.8735,1.120e-02
1.42,0.94,2.1901,-5.3264,1.282e-02
1.44,0.94,2.1901,-5.3264,1.445e-02
1.46,0.94,2.1901,-5.3264,1.611e-02
1.48,0.94,2.1901,-5.3264,1.779e-02
1.50,0.94,2.1901,-5.3264,1.948e-02
1.52,0.94,2.1901,-5.3264,2.118e-02
1.54,0.94,2.1901,-5.3264,2.291e-02
1.56,0.94,2.1901,-5.3264,2.464e-02
1.58,0.94,2.1901,-5.3264,2.639e-02
1.60,0.94,2.1901,-5.3264,2.815e-02
1.62,0.94,2.1901,-5.3264,2.991e-02
1.64,0.94,2.1901,-5.3264,3.169e-02
1.66,0.94,2.1901,-5.3264,3.347e-02
1.68,0.94,2.1901,-5.3264,3.525e-02
1.70,0.94,2.1901,-5.3264,3.704e-02
1.72,0.94,2.1901,-5.3264,3.883e-02
1.74,0.94,2.1901,-5.3264,4.062e-02
1.76,0.94,2.1901,-5.3264,4.241e-02
1.78,0.94,2.1901,-5.3264,4.418e-02
1.80,0.94,2.1901,-5.3264,4.596e-02
1.82,0.94,2.1901,-5.3264,4.772e-02
1.84,0.94,2.1901,-5.3264,4.946e-02
1.86,0.94,2.1901,-5.3264,5.119e-02
1.88,0.94,2.1901,-5.3264,5.290e-02
1.90,0.94,2.1901,-5.3264,5.457e-02
1.92,0.94,2.1901,-5.3264,5.621e-02
1.94,0.94,2.1901,-5.3264,5.781e-02
1.96,0.94,2.1901,-5.3264,5.936e-02
1.98,0.94,2.1901,-5.3264,6.084e-02
2.00,0.94,2.1901,-5.3264,6.223e-02
2.02,0.94,2.1901,-5.3264,6.351e-02
2.04,0.94,2.1901,-5.3264,6.463e-02
2.06,0.94,2.1901,-5.3264,6.553e-02
2.08,0.94,2.1901,-5.3264,6.603e-02
2.10,0.94,2.1901,-5.3264,6.554e-02
0.96,0.96,nan,nan,0.000e+00
0.98,0.96,nan,nan,0.000e+00
1.00,0.96,nan,nan,0.000e+00
1.02,0.96,nan,nan,0.000e+00
1.04,0.96,nan,nan,0.000e+00
1.06,0.96,nan,nan,0.000e+00
1.08,0.96,nan,nan,0.000e+00
1.10,0.96,nan,nan,0.000e+00
1.12,0.96,nan,nan,0.000e+00
1.14,0.96,nan,nan,0.000e+00
1.16,0.96,nan,nan,0.000e+00
1.18,0.96,nan,nan,0.000e+00
1.20,0.96,nan,nan,0.000e+00
1.22,0.96,nan,nan,0.000e+00
1.24,0.96,nan,nan,0.000e+00
1.26,0.96,-7.3177,0.0319,1.289e-04
1.28,0.96,-7.3177,0.0319,1.506e-03
1.30,0.96,-7.3177,0.0319,2.911e-03
1.32,0.96,-5.4644,0.0581,4.341e-03
1.34,0.96,-4.6043,0.0585,5.797e-03
1.36,0.96,-3.3458,0.6333,7.276e-03
1.38,0.96,-2.6365,-0.7310,8.779e-03
1.40,0.96,0.1135,-3.2807,1.030e-02
1.42,0.96,2.1901,-5.3264,1.185e-02
1.44,0.96,2.1901,-5.3264,1.341e-02
1.46,0.96,2.1901,-5.3264,1.500e-02
1.48,0.96,2.1901,-5.3264,1.660e-02
1.50,0.96,2.1901,-5.3264,1.822e-02
1.52,0.96,2.1901,-5.3264,1.986e-02
1.54,0.96,2.1901,-5.3264,2.151e-02
1.56,0.96,2.1901,-5.3264,2.317e-02
1.58,0.96,2.1901,-5.3264,2.484e-02
1.60,0.96,2.1901,-5.3264,2.653e-02
1.62,0.96,2.1901,-5.3264,2.822e-02
