M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4397,-0.9994,4.191e-01
0.92,0.90,-4.6030,0.0353,3.765e-01
0.94,0.90,-7.3177,0.0319,3.391e-01
0.96,0.90,-7.3177,0.0319,3.063e-01
0.98,0.90,-7.3177,0.0319,2.775e-01
1.00,0.90,-7.3177,0.0319,2.521e-01
1.02,0.90,-7.3177,0.0319,2.296e-01
1.04,0.90,-7.3177,0.0319,2.098e-01
1.06,0.90,-7.3177,0.0319,1.923e-01
1.08,0.90,-7.3177,0.0319,1.767e-01
1.10,0.90,-7.3177,0.0319,1.628e-01
1.12,0.90,-7.3177,0.0319,1.505e-01
1.14,0.90,-7.3177,0.0319,1.396e-01
1.16,0.90,-7.3177,0.0319,1.298e-01
1.18,0.90,-7.3177,0.0319,1.210e-01
1.20,0.90,-7.3177,0.0319,1.131e-01
1.22,0.90,-7.3177,0.0319,1.060e-01
1.24,0.90,-7.3177,0.0319,9.966e-02
1.26,0.90,-7.3177,0.0319,9.391e-02
1.28,0.90,-7.3177,0.0319,8.871e-02
1.30,0.90,-7.3177,0.0319,8.400e-02
1.32,0.90,-5.3060,0.0689,7.972e-02
1.34,0.90,-4.3800,-0.0855,7.583e-02
1.36,0.90,-2.8467,-0.2884,7.227e-02
1.38,0.90,0.3482,-3.7887,6.902e-02
1.40,0.90,2.1901,-5.3264,6.604e-02
1.42,0.90,2.1901,-5.3264,6.330e-02
1.44,0.90,2.1901,-5.3264,6.078e-02
1.46,0.90,2.1901,-5.3264,5.845e-02
1.48,0.90,2.1901,-5.3264,5.629e-02
1.50,0.90,2.1901,-5.3264,5.429e-02
1.52,0.90,2.1901,-5.3264,5.243e-02
1.54,0.90,2.1901,-5.3264,5.070e-02
1.56,0.90,2.1901,-5.3264,4.908e-02
1.58,0.90,2.1901,-5.3264,4.757e-02
1.60,0.90,2.1901,-5.3264,4.615e-02
1.62,0.90,2.1901,-5.3264,4.482e-02
1.64,0.90,2.1901,-5.3264,4.356e-02
1.66,0.90,2.1901,-5.3264,4.239e-02
1.68,0.90,2.1901,-5.3264,4.127e-02
1.70,0.90,2.1901,-5.3264,4.023e-02
1.72,0.90,2.1901,-5.3264,3.924e-02
1.74,0.90,2.1901,-5.3264,3.830e-02
1.76,0.90,2.1901,-5.3264,3.741e-02
1.78,0.90,2.1901,-5.3264,3.658e-02
1.80,0.90,2.1901,-5.3264,3.578e-02
1.82,0.90,2.1901,-5.3264,3.503e-02
1.84,0.90,2.1901,-5.3264,3.432e-02
1.86,0.90,2.1901,-5.3264,3.364e-02
1.88,0.90,2.1901,-5.3264,3.300e-02
1.90,0.90,2.1901,-5.3264,3.239e-02
1.92,0.90,2.1901,-5.3264,3.182e-02
1.94,0.90,2.1901,-5.3264,3.127e-02
1.96,0.90,2.1901,-5.3264,3.075e-02
1.98,0.90,2.1901,-5.3264,3.026e-02
2.00,0.90,2.1901,-5.3264,2.979e-02
2.02,0.90,2.1901,-5.3264,2.934e-02
2.04,0.90,2.1901,-5.3264,2.891e-02
2.06,0.90,2.1901,-5.3264,2.849e-02
2.08,0.90,2.1901,-5.3264,2.806e-02
2.10,0.90,2.1901,-5.3264,2.759e-02
0.92,0.92,-2.9829,0.0877,3.261e-01
0.94,0.92,-4.6486,0.1652,2.935e-01
0.96,0.92,-7.3177,0.0319,2.650e-01
0.98,0.92,-7.3177,0.0319,2.398e-01
1.00,0.92,-7.3177,0.0319,2.177e-01
1.02,0.92,-7.3177,0.0319,1.983e-01
1.04,0.92,-7.3177,0.0319,1.810e-01
