M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8133,-0.8267,2.127e-01
0.92,0.90,1.8979,-0.3717,2.128e-01
0.94,0.90,1.9040,-0.3837,2.129e-01
0.96,0.90,1.8944,-0.3688,2.131e-01
0.98,0.90,1.8825,-0.3513,2.133e-01
1.00,0.90,1.8685,-0.3322,2.136e-01
1.02,0.90,1.8525,-0.3121,2.139e-01
1.04,0.90,1.8350,-0.2918,2.142e-01
1.06,0.90,1.8160,-0.2717,2.146e-01
1.08,0.90,1.7957,-0.2521,2.150e-01
1.10,0.90,1.7744,-0.2334,2.155e-01
1.12,0.90,1.7523,-0.2155,2.160e-01
1.14,0.90,1.7294,-0.1988,2.166e-01
1.16,0.90,1.7060,-0.1831,2.172e-01
1.18,0.90,1.6821,-0.1685,2.179e-01
1.20,0.90,1.6580,-0.1549,2.186e-01
1.22,0.90,1.6336,-0.1423,2.194e-01
1.24,0.90,1.6090,-0.1307,2.202e-01
1.26,0.90,1.5844,-0.1200,2.210e-01
1.28,0.90,1.5598,-0.1101,2.219e-01
1.30,0.90,1.5352,-0.1009,2.229e-01
1.32,0.90,1.4934,-0.0522,2.239e-01
1.34,0.90,1.4637,-0.1875,2.250e-01
1.36,0.90,1.3075,-0.3446,2.261e-01
1.38,0.90,1.7185,-1.0664,2.272e-01
1.40,0.90,2.0442,-0.7651,2.284e-01
1.42,0.90,2.0448,-0.7668,2.297e-01
1.44,0.90,2.0456,-0.7686,2.310e-01
1.46,0.90,2.0463,-0.7704,2.323e-01
1.48,0.90,2.0470,-0.7724,2.337e-01
1.50,0.90,2.0478,-0.7744,2.351e-01
1.52,0.90,2.0486,-0.7765,2.365e-01
1.54,0.90,2.0495,-0.7787,2.379e-01
1.56,0.90,2.0504,-0.7810,2.393e-01
1.58,0.90,2.0513,-0.7834,2.407e-01
1.60,0.90,2.0522,-0.7859,2.420e-01
1.62,0.90,2.0532,-0.7885,2.433e-01
1.64,0.90,2.0542,-0.7912,2.444e-01
1.66,0.90,2.0553,-0.7941,2.455e-01
1.68,0.90,2.0564,-0.7972,2.464e-01
1.70,0.90,2.0575,-0.8005,2.471e-01
1.72,0.90,2.0588,-0.8039,2.476e-01
1.74,0.90,2.0601,-0.8076,2.479e-01
1.76,0.90,2.0614,-0.8116,2.480e-01
1.78,0.90,2.0629,-0.8158,2.478e-01
1.80,0.90,2.0644,-0.8204,2.473e-01
1.82,0.90,2.0661,-0.8253,2.465e-01
1.84,0.90,2.0678,-0.8306,2.455e-01
1.86,0.90,2.0697,-0.8364,2.442e-01
1.88,0.90,2.1011,-0.8337,2.060e-01
1.90,0.90,2.1659,-0.8074,1.640e-01
1.92,0.90,2.1969,-0.8274,1.397e-01
1.94,0.90,2.2048,-0.8807,1.252e-01
1.96,0.90,2.1988,-0.9552,1.167e-01
1.98,0.90,2.1859,-1.0422,1.120e-01
2.00,0.90,2.1700,-1.1356,1.097e-01
2.02,0.90,2.1534,-1.2317,1.091e-01
2.04,0.90,2.1372,-1.3281,1.097e-01
2.06,0.90,2.1220,-1.4231,1.112e-01
2.08,0.90,2.1085,-1.5159,1.135e-01
2.10,0.90,2.0972,-1.6063,1.163e-01
0.92,0.92,1.8896,-0.3218,2.128e-01
0.94,0.92,1.9157,-0.3120,2.129e-01
0.96,0.92,1.8990,-0.3758,2.130e-01
0.98,0.92,1.8898,-0.3619,2.132e-01
1.00,0.92,1.8783,-0.3455,2.134e-01
1.02,0.92,1.8648,-0.3274,2.136e-01
1.04,0.92,1.8494,-0.3083,2.139e-01
1.06,0.92,1.8323,-0.2889,2.143e-01
1.08,0.92,1.8139,-0.2696,2.147e-01
1.10,0.92,1.7942,-0.2507,2.151e-01
1.12,0.92,1.7734,-0.2325,2.155e-01
1.14,0.92,1.7518,-0.2152,2.161e-01
1.16,0.92,1.7295,-0.1988,2.166e-01
1.18,0.92,1.7066,-0.1835,2.172e-01
1.20,0.92,1.6832,-0.1691,2.179e-01
1.22,0.92,1.6595,-0.1557,2.186e-01
1.24,0.92,1.6356,-0.1433,2.193e-01
1.26,0.92,1.6115,-0.1318,2.201e-01
1.28,0.92,1.5873,-0.1212,2.209e-01
1.30,0.92,1.5631,-0.1113,2.218e-01
1.32,0.92,1.5206,-0.0670,2.227e-01
1.34,0.92,1.4495,-0.2031,2.237e-01
1.36,0.92,1.4746,0.0742,2.247e-01
1.38,0.92,1.3652,-1.3667,2.258e-01
1.40,0.92,2.0434,-0.7631,2.269e-01
1.42,0.92,2.0440,-0.7647,2.281e-01
1.44,0.92,2.0447,-0.7664,2.292e-01
1.46,0.92,2.0454,-0.7681,2.304e-01
1.48,0.92,2.0461,-0.7700,2.317e-01
1.50,0.92,2.0469,-0.7719,2.329e-01
1.52,0.92,2.0476,-0.7739,2.341e-01
1.54,0.92,2.0484,-0.7760,2.353e-01
1.56,0.92,2.0493,-0.7781,2.364e-01
1.58,0.92,2.0502,-0.7804,2.375e-01
1.60,0.92,2.0511,-0.7828,2.385e-01
1.62,0.92,2.0520,-0.7854,2.394e-01
1.64,0.92,2.0530,-0.7881,2.401e-01
1.66,0.92,2.0541,-0.7909,2.407e-01
1.68,0.92,2.0552,-0.7939,2.411e-01
1.70,0.92,2.0563,-0.7971,2.413e-01
1.72,0.92,2.0576,-0.8006,2.412e-01
1.74,0.92,2.0589,-0.8043,2.408e-01
1.76,0.92,2.0603,-0.8082,2.402e-01
1.78,0.92,2.0618,-0.8125,2.393e-01
1.80,0.92,2.0634,-0.8172,2.381e-01
1.82,0.92,2.0651,-0.8223,2.366e-01
1.84,0.92,2.1005,-0.8119,1.952e-01
1.86,0.92,2.1674,-0.7780,1.526e-01
1.88,0.92,2.1992,-0.7921,1.279e-01
1.90,0.92,2.2062,-0.8416,1.132e-01
1.92,0.92,2.1983,-0.9143,1.045e-01
1.94,0.92,2.1827,-1.0007,9.939e-02
1.96,0.92,2.1637,-1.0944,9.675e-02
1.98,0.92,2.1439,-1.1914,9.579e-02
2.00,0.92,2.1246,-1.2888,9.601e-02
2.02,0.92,2.1066,-1.3847,9.711e-02
2.04,0.92,2.0905,-1.4778,9.888e-02
2.06,0.92,2.0768,-1.5671,1.012e-01
2.08,0.92,2.0658,-1.6522,1.039e-01
2.10,0.92,2.0581,-1.7337,1.071e-01
0.94,0.94,1.9590,-0.1136,2.129e-01
0.96,0.94,1.9039,-0.3377,2.130e-01
