M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.1693,-0.9972,6.301e-01
0.92,0.90,0.1442,0.0307,5.875e-01
0.94,0.90,0.2391,0.0261,5.501e-01
0.96,0.90,0.2825,0.0254,5.173e-01
0.98,0.90,0.3247,0.0248,4.885e-01
1.00,0.90,0.3655,0.0241,4.631e-01
1.02,0.90,0.4051,0.0233,4.406e-01
1.04,0.90,0.4433,0.0225,4.208e-01
1.06,0.90,0.4803,0.0217,4.033e-01
1.08,0.90,0.5159,0.0208,3.877e-01
1.10,0.90,0.5502,0.0199,3.738e-01
1.12,0.90,0.5832,0.0189,3.615e-01
1.14,0.90,0.6148,0.0179,3.506e-01
1.16,0.90,0.6452,0.0169,3.408e-01
1.18,0.90,0.6744,0.0158,3.320e-01
1.20,0.90,0.7023,0.0147,3.241e-01
1.22,0.90,0.7290,0.0136,3.170e-01
1.24,0.90,0.7545,0.0125,3.107e-01
1.26,0.90,0.7789,0.0114,3.049e-01
1.28,0.90,0.8022,0.0102,2.997e-01
1.30,0.90,0.8245,0.0090,2.950e-01
1.32,0.90,0.8229,0.0457,2.907e-01
1.34,0.90,0.8368,-0.1075,2.868e-01
1.36,0.90,0.6973,-0.3015,2.832e-01
1.38,0.90,1.3161,-1.4979,2.800e-01
1.40,0.90,2.0660,-0.8251,2.770e-01
1.42,0.90,2.0650,-0.8220,2.742e-01
1.44,0.90,2.0640,-0.8190,2.716e-01
1.46,0.90,2.0631,-0.8163,2.692e-01
1.48,0.90,2.0622,-0.8138,2.670e-01
1.50,0.90,2.0614,-0.8114,2.648e-01
1.52,0.90,2.0606,-0.8093,2.628e-01
1.54,0.90,2.0599,-0.8073,2.608e-01
1.56,0.90,2.0593,-0.8054,2.588e-01
1.58,0.90,2.0587,-0.8037,2.569e-01
1.60,0.90,2.0581,-0.8021,2.549e-01
1.62,0.90,2.0576,-0.8006,2.529e-01
1.64,0.90,2.0571,-0.7993,2.508e-01
1.66,0.90,2.0567,-0.7981,2.486e-01
1.68,0.90,2.0563,-0.7970,2.462e-01
1.70,0.90,2.0560,-0.7961,2.436e-01
1.72,0.90,2.0557,-0.7952,2.408e-01
1.74,0.90,2.0554,-0.7945,2.378e-01
1.76,0.90,2.0552,-0.7940,2.345e-01
1.78,0.90,2.0551,-0.7936,2.309e-01
1.80,0.90,2.0550,-0.7933,2.269e-01
1.82,0.90,2.0549,-0.7932,2.227e-01
1.84,0.90,2.0549,-0.7932,2.181e-01
1.86,0.90,2.0550,-0.7933,2.132e-01
1.88,0.90,2.0856,-0.7716,1.713e-01
1.90,0.90,2.1592,-0.7051,1.256e-01
1.92,0.90,2.1997,-0.6802,9.744e-02
1.94,0.90,2.2126,-0.6898,7.915e-02
1.96,0.90,2.2048,-0.7261,6.670e-02
1.98,0.90,2.1824,-0.7816,5.790e-02
2.00,0.90,2.1505,-0.8505,5.147e-02
2.02,0.90,2.1127,-0.9280,4.666e-02
2.04,0.90,2.0718,-1.0105,4.295e-02
2.06,0.90,2.0297,-1.0951,4.004e-02
2.08,0.90,1.9883,-1.1794,3.767e-02
2.10,0.90,1.9490,-1.2615,3.565e-02
0.92,0.92,0.1816,0.0825,5.371e-01
0.94,0.92,0.3404,0.1574,5.045e-01
0.96,0.92,0.3443,0.0245,4.760e-01
0.98,0.92,0.3866,0.0237,4.508e-01
1.00,0.92,0.4276,0.0229,4.287e-01
1.02,0.92,0.4673,0.0220,4.093e-01
1.04,0.92,0.5056,0.0211,3.920e-01
1.06,0.92,0.5426,0.0201,3.768e-01
1.08,0.92,0.5782,0.0191,3.633e-01
1.10,0.92,0.6124,0.0180,3.514e-01
1.12,0.92,0.6453,0.0169,3.407e-01
1.14,0.92,0.6769,0.0157,3.313e-01
1.16,0.92,0.7071,0.0145,3.228e-01
1.18,0.92,0.7360,0.0133,3.152e-01
1.20,0.92,0.7637,0.0121,3.085e-01
1.22,0.92,0.7901,0.0108,3.024e-01
1.24,0.92,0.8154,0.0095,2.969e-01
1.26,0.92,0.8394,0.0082,2.920e-01
1.28,0.92,0.8624,0.0069,2.875e-01
1.30,0.92,0.8843,0.0055,2.835e-01
1.32,0.92,0.8804,0.0362,2.798e-01
1.34,0.92,0.8408,-0.1282,2.765e-01
1.36,0.92,0.9235,0.1647,2.734e-01
1.38,0.92,0.8461,-1.7785,2.706e-01
1.40,0.92,2.0625,-0.8147,2.680e-01
1.42,0.92,2.0616,-0.8120,2.656e-01
1.44,0.92,2.0607,-0.8094,2.634e-01
1.46,0.92,2.0599,-0.8071,2.613e-01
1.48,0.92,2.0591,-0.8049,2.593e-01
1.50,0.92,2.0584,-0.8028,2.574e-01
1.52,0.92,2.0577,-0.8010,2.555e-01
1.54,0.92,2.0571,-0.7992,2.537e-01
1.56,0.92,2.0565,-0.7977,2.518e-01
1.58,0.92,2.0560,-0.7962,2.499e-01
1.60,0.92,2.0555,-0.7948,2.479e-01
1.62,0.92,2.0551,-0.7936,2.459e-01
1.64,0.92,2.0547,-0.7925,2.436e-01
1.66,0.92,2.0543,-0.7915,2.412e-01
1.68,0.92,2.0540,-0.7907,2.386e-01
1.70,0.92,2.0537,-0.7900,2.358e-01
1.72,0.92,2.0535,-0.7893,2.327e-01
1.74,0.92,2.0533,-0.7888,2.292e-01
1.76,0.92,2.0532,-0.7885,2.255e-01
1.78,0.92,2.0531,-0.7883,2.214e-01
1.80,0.92,2.0531,-0.7882,2.170e-01
1.82,0.92,2.0531,-0.7882,2.123e-01
1.84,0.92,2.0878,-0.7607,1.676e-01
1.86,0.92,2.1622,-0.6912,1.217e-01
1.88,0.92,2.2022,-0.6645,9.362e-02
1.90,0.92,2.2136,-0.6734,7.546e-02
1.92,0.92,2.2032,-0.7100,6.314e-02
1.94,0.92,2.1773,-0.7669,5.445e-02
1.96,0.92,2.1411,-0.8376,4.813e-02
1.98,0.92,2.0987,-0.9175,4.339e-02
2.00,0.92,2.0529,-1.0025,3.977e-02
2.02,0.92,2.0062,-1.0895,3.692e-02
2.04,0.92,1.9603,-1.1756,3.465e-02
2.06,0.92,1.9169,-1.2589,3.279e-02
2.08,0.92,1.8770,-1.3375,3.122e-02
2.10,0.92,1.8419,-1.4107,2.982e-02
0.94,0.94,0.6199,0.5727,4.647e-01
0.96,0.94,0.4183,0.0892,4.398e-01
0.98,0.94,0.4492,0.0224,4.179e-01
1.00,0.94,0.4903,0.0214,3.987e-01
1.02,0.94,0.5301,0.0204,3.818e-01
1.04,0.94,0.5685,0.0194,3.669e-01
1.06,0.94,0.6055,0.0182,3.537e-01
1.08,0.94,0.6411,0.0170,3.420e-01
1.10,0.94,0.6753,0.0158,3.317e-01
1.12,0.94,0.7081,0.0145,3.225e-01
1.14,0.94,0.7395,0.0132,3.143e-01
1.16,0.94,0.7696,0.0118,3.071e-01
1.18,0.94,0.7983,0.0104,3.006e-01
1.20,0.94,0.8257,0.0090,2.948e-01
1.22,0.94,0.8518,0.0075,2.895e-01
1.24,0.94,0.8767,0.0060,2.849e-01
1.26,0.94,0.9004,0.0045,2.806e-01
1.28,0.94,0.9230,0.0030,2.768e-01
1.30,0.94,0.9444,0.0015,2.734e-01
1.32,0.94,0.9390,0.0282,2.702e-01
1.34,0.94,0.9114,-0.0579,2.674e-01
1.36,0.94,1.1830,0.4614,2.648e-01
1.38,0.94,0.7153,-1.2621,2.624e-01
1.40,0.94,1.9768,-0.8709,2.601e-01
1.42,0.94,2.0584,-0.8030,2.581e-01
1.44,0.94,2.0577,-0.8008,2.561e-01
1.46,0.94,2.0569,-0.7988,2.542e-01
1.48,0.94,2.0563,-0.7969,2.524e-01
1.50,0.94,2.0556,-0.7952,2.507e-01
1.52,0.94,2.0550,-0.7936,2.489e-01
1.54,0.94,2.0545,-0.7921,2.471e-01
1.56,0.94,2.0540,-0.7907,2.453e-01
1.58,0.94,2.0536,-0.7895,2.434e-01
1.60,0.94,2.0532,-0.7884,2.413e-01
1.62,0.94,2.0528,-0.7874,2.391e-01
1.64,0.94,2.0525,-0.7865,2.367e-01
1.66,0.94,2.0522,-0.7858,2.340e-01
1.68,0.94,2.0519,-0.7851,2.311e-01
1.70,0.94,2.0517,-0.7846,2.279e-01
1.72,0.94,2.0516,-0.7841,2.244e-01
1.74,0.94,2.0514,-0.7838,2.205e-01
1.76,0.94,2.0514,-0.7836,2.163e-01
1.78,0.94,2.0513,-0.7836,2.117e-01
1.80,0.94,2.0820,-0.7587,1.691e-01
1.82,0.94,2.1603,-0.6825,1.210e-01
1.84,0.94,2.2026,-0.6506,9.189e-02
1.86,0.94,2.2146,-0.6563,7.323e-02
1.88,0.94,2.2029,-0.6915,6.067e-02
1.90,0.94,2.1744,-0.7484,5.186e-02
1.92,0.94,2.1345,-0.8205,4.548e-02
1.94,0.94,2.0876,-0.9024,4.073e-02
1.96,0.94,2.0371,-0.9898,3.710e-02
1.98,0.94,1.9855,-1.0792,3.427e-02
2.00,0.94,1.9351,-1.1675,3.201e-02
2.02,0.94,1.8874,-1.2524,3.018e-02
2.04,0.94,1.8438,-1.3321,2.866e-02
2.06,0.94,1.8052,-1.4056,2.738e-02
2.08,0.94,1.7722,-1.4724,2.626e-02
2.10,0.94,1.7454,-1.5323,2.522e-02
0.96,0.96,0.8100,0.5338,4.081e-01
0.98,0.96,0.5022,0.0508,3.891e-01
1.00,0.96,0.5538,0.0198,3.725e-01
1.02,0.96,0.5937,0.0186,3.578e-01
1.04,0.96,0.6322,0.0173,3.449e-01
1.06,0.96,0.6692,0.0160,3.335e-01
1.08,0.96,0.7048,0.0146,3.234e-01
1.10,0.96,0.7390,0.0132,3.145e-01
1.12,0.96,0.7717,0.0117,3.066e-01
1.14,0.96,0.8030,0.0102,2.996e-01
1.16,0.96,0.8328,0.0086,2.933e-01
1.18,0.96,0.8613,0.0069,2.877e-01
1.20,0.96,0.8884,0.0053,2.828e-01
1.22,0.96,0.9141,0.0036,2.783e-01
1.24,0.96,0.9386,0.0019,2.743e-01
1.26,0.96,0.9619,0.0002,2.707e-01
1.28,0.96,0.9840,-0.0015,2.675e-01
1.30,0.96,1.0050,-0.0033,2.645e-01
1.32,0.96,0.9992,0.0231,2.618e-01
