M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7747,-0.8390,2.131e-01
0.92,0.90,1.8791,-0.3440,2.131e-01
0.94,0.90,1.8958,-0.3709,2.131e-01
0.96,0.90,1.8978,-0.3740,2.130e-01
0.98,0.90,1.8998,-0.3770,2.130e-01
1.00,0.90,1.9017,-0.3800,2.130e-01
1.02,0.90,1.9035,-0.3830,2.129e-01
1.04,0.90,1.9053,-0.3859,2.129e-01
1.06,0.90,1.9071,-0.3887,2.129e-01
1.08,0.90,1.9088,-0.3915,2.128e-01
1.10,0.90,1.9105,-0.3943,2.128e-01
1.12,0.90,1.9121,-0.3970,2.128e-01
1.14,0.90,1.9136,-0.3996,2.128e-01
1.16,0.90,1.9151,-0.4022,2.127e-01
1.18,0.90,1.9166,-0.4047,2.127e-01
1.20,0.90,1.9180,-0.4072,2.127e-01
1.22,0.90,1.9194,-0.4096,2.127e-01
1.24,0.90,1.9207,-0.4119,2.127e-01
1.26,0.90,1.9219,-0.4141,2.126e-01
1.28,0.90,1.9231,-0.4163,2.126e-01
1.30,0.90,1.9243,-0.4184,2.126e-01
1.32,0.90,1.9198,-0.3863,2.126e-01
1.34,0.90,1.9193,-0.4812,2.125e-01
1.36,0.90,1.8753,-0.5473,2.125e-01
1.38,0.90,1.9920,-0.7844,2.125e-01
1.40,0.90,2.0352,-0.7433,2.124e-01
1.42,0.90,2.0351,-0.7433,2.124e-01
1.44,0.90,2.0351,-0.7433,2.123e-01
1.46,0.90,2.0351,-0.7432,2.123e-01
1.48,0.90,2.0351,-0.7432,2.121e-01
1.50,0.90,2.0351,-0.7432,2.120e-01
1.52,0.90,2.0351,-0.7432,2.118e-01
1.54,0.90,2.0351,-0.7432,2.115e-01
1.56,0.90,2.0351,-0.7432,2.112e-01
1.58,0.90,2.0351,-0.7432,2.108e-01
1.60,0.90,2.0351,-0.7432,2.102e-01
1.62,0.90,2.0351,-0.7432,2.095e-01
1.64,0.90,2.0351,-0.7432,2.087e-01
1.66,0.90,2.0351,-0.7432,2.076e-01
1.68,0.90,2.0351,-0.7432,2.063e-01
1.70,0.90,2.0351,-0.7432,2.048e-01
