M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8889,-0.7922,1.779e-01
0.92,0.90,1.9490,-0.4596,1.779e-01
0.94,0.90,1.9553,-0.4812,1.779e-01
0.96,0.90,1.9533,-0.4767,1.779e-01
0.98,0.90,1.9509,-0.4714,1.780e-01
1.00,0.90,1.9481,-0.4654,1.780e-01
1.02,0.90,1.9449,-0.4585,1.781e-01
1.04,0.90,1.9411,-0.4508,1.781e-01
1.06,0.90,1.9369,-0.4423,1.782e-01
1.08,0.90,1.9321,-0.4329,1.782e-01
1.10,0.90,1.9266,-0.4226,1.783e-01
1.12,0.90,1.9204,-0.4114,1.784e-01
1.14,0.90,1.9135,-0.3994,1.785e-01
1.16,0.90,1.9056,-0.3864,1.786e-01
1.18,0.90,1.8968,-0.3724,1.787e-01
1.20,0.90,1.8869,-0.3576,1.789e-01
1.22,0.90,1.8757,-0.3419,1.790e-01
1.24,0.90,1.8631,-0.3253,1.792e-01
1.26,0.90,1.8490,-0.3079,1.794e-01
1.28,0.90,1.8331,-0.2897,1.797e-01
1.30,0.90,1.8152,-0.2710,1.800e-01
1.32,0.90,1.7815,-0.2180,1.804e-01
1.34,0.90,1.7770,-0.2921,1.808e-01
1.36,0.90,1.6269,-0.4891,1.813e-01
1.38,0.90,1.9222,-0.8571,1.819e-01
1.40,0.90,2.0382,-0.7505,1.825e-01
1.42,0.90,2.0388,-0.7519,1.834e-01
1.44,0.90,2.0395,-0.7536,1.844e-01
1.46,0.90,2.0403,-0.7556,1.856e-01
1.48,0.90,2.0414,-0.7581,1.871e-01
1.50,0.90,2.0426,-0.7611,1.889e-01
1.52,0.90,2.0441,-0.7648,1.912e-01
1.54,0.90,2.0459,-0.7693,1.940e-01
1.56,0.90,2.0480,-0.7749,1.975e-01
1.58,0.90,2.0507,-0.7818,2.019e-01
1.60,0.90,2.0539,-0.7905,2.075e-01
1.62,0.90,2.0578,-0.8013,2.146e-01
1.64,0.90,2.0625,-0.8147,2.238e-01
1.66,0.90,2.0681,-0.8316,2.357e-01
1.68,0.90,2.0748,-0.8527,2.511e-01
1.70,0.90,2.0824,-0.8789,2.715e-01
1.72,0.90,2.0912,-0.9115,2.984e-01
1.74,0.90,2.1009,-0.9516,3.344e-01
1.76,0.90,2.1113,-1.0005,3.829e-01
1.78,0.90,2.1221,-1.0595,4.487e-01
1.80,0.90,2.1330,-1.1294,5.390e-01
1.82,0.90,2.1433,-1.2111,6.637e-01
1.84,0.90,2.1528,-1.3049,8.376e-01
1.86,0.90,2.1612,-1.4109,1.083e+00
1.88,0.90,2.1682,-1.5286,1.431e+00
1.90,0.90,2.1740,-1.6576,1.930e+00
1.92,0.90,2.1785,-1.7973,2.654e+00
1.94,0.90,2.1819,-1.9471,3.713e+00
1.96,0.90,2.1844,-2.1064,5.279e+00
1.98,0.90,2.1863,-2.2750,7.621e+00
