M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7830,-0.8227,1.787e-01
0.92,0.90,1.8768,-0.3334,1.788e-01
0.94,0.90,1.8823,-0.3511,1.789e-01
0.96,0.90,1.8715,-0.3362,1.791e-01
0.98,0.90,1.8580,-0.3189,1.793e-01
1.00,0.90,1.8423,-0.3000,1.796e-01
1.02,0.90,1.8244,-0.2805,1.799e-01
1.04,0.90,1.8048,-0.2607,1.802e-01
1.06,0.90,1.7837,-0.2414,1.806e-01
1.08,0.90,1.7614,-0.2227,1.810e-01
1.10,0.90,1.7380,-0.2049,1.815e-01
1.12,0.90,1.7138,-0.1881,1.820e-01
1.14,0.90,1.6889,-0.1725,1.826e-01
1.16,0.90,1.6635,-0.1579,1.832e-01
1.18,0.90,1.6378,-0.1444,1.839e-01
1.20,0.90,1.6118,-0.1320,1.846e-01
1.22,0.90,1.5857,-0.1205,1.854e-01
1.24,0.90,1.5596,-0.1100,1.862e-01
1.26,0.90,1.5334,-0.1003,1.870e-01
1.28,0.90,1.5073,-0.0914,1.879e-01
1.30,0.90,1.4814,-0.0832,1.889e-01
1.32,0.90,1.4319,-0.0448,1.899e-01
1.34,0.90,1.4371,-0.1359,1.909e-01
1.36,0.90,1.2263,-0.4207,1.920e-01
1.38,0.90,1.7435,-1.0444,1.932e-01
1.40,0.90,2.0459,-0.7695,1.944e-01
1.42,0.90,2.0467,-0.7715,1.957e-01
1.44,0.90,2.0475,-0.7736,1.970e-01
1.46,0.90,2.0484,-0.7758,1.984e-01
1.48,0.90,2.0493,-0.7781,1.998e-01
1.50,0.90,2.0502,-0.7804,2.013e-01
1.52,0.90,2.0511,-0.7829,2.029e-01
1.54,0.90,2.0520,-0.7854,2.045e-01
1.56,0.90,2.0530,-0.7881,2.061e-01
1.58,0.90,2.0540,-0.7908,2.078e-01
1.60,0.90,2.0551,-0.7936,2.096e-01
1.62,0.90,2.0561,-0.7965,2.114e-01
1.64,0.90,2.0572,-0.7995,2.133e-01
1.66,0.90,2.0583,-0.8026,2.151e-01
1.68,0.90,2.0594,-0.8058,2.171e-01
1.70,0.90,2.0606,-0.8092,2.190e-01
1.72,0.90,2.0618,-0.8126,2.210e-01
1.74,0.90,2.0630,-0.8162,2.229e-01
1.76,0.90,2.0643,-0.8200,2.249e-01
1.78,0.90,2.0656,-0.8239,2.268e-01
1.80,0.90,2.0669,-0.8279,2.287e-01
1.82,0.90,2.0683,-0.8322,2.305e-01
1.84,0.90,2.0698,-0.8367,2.322e-01
1.86,0.90,2.0713,-0.8414,2.338e-01
1.88,0.90,2.0729,-0.8465,2.352e-01
1.90,0.90,2.0745,-0.8519,2.363e-01
1.92,0.90,2.0763,-0.8577,2.372e-01
1.94,0.90,2.0782,-0.8641,2.376e-01
1.96,0.90,2.0802,-0.8712,2.377e-01
1.98,0.90,2.0825,-0.8790,2.372e-01
2.00,0.90,2.0849,-0.8879,2.361e-01
2.02,0.90,2.0877,-0.8981,2.342e-01
2.04,0.90,2.0908,-0.9100,2.315e-01
2.06,0.90,2.0943,-0.9240,2.280e-01
2.08,0.90,2.0984,-0.9408,2.235e-01
2.10,0.90,2.1030,-0.9612,2.180e-01
2.12,0.90,2.1085,-0.9865,2.116e-01
2.14,0.90,2.1147,-1.0182,2.044e-01
2.16,0.90,2.1220,-1.0585,1.966e-01
2.18,0.90,2.1302,-1.1106,1.886e-01
2.20,0.90,2.1394,-1.1782,1.808e-01
2.22,0.90,2.1492,-1.2665,1.737e-01
2.24,0.90,2.1591,-1.3820,1.680e-01
2.26,0.90,2.1684,-1.5321,1.640e-01
2.28,0.90,2.1763,-1.7246,1.621e-01
2.30,0.90,2.1823,-1.9679,1.623e-01
2.32,0.90,2.1862,-2.2696,1.646e-01
2.34,0.90,2.1885,-2.6380,1.685e-01
2.36,0.90,2.1890,-2.8146,1.739e-01
2.38,0.90,2.1891,-2.8295,1.800e-01
2.40,0.90,2.1891,-2.8443,1.863e-01
2.42,0.90,2.1891,-2.8593,1.929e-01
0.92,0.92,1.8696,-0.2748,1.788e-01
0.94,0.92,1.8957,-0.2758,1.789e-01
0.96,0.92,1.8767,-0.3432,1.790e-01
0.98,0.92,1.8663,-0.3294,1.792e-01
1.00,0.92,1.8534,-0.3131,1.794e-01
1.02,0.92,1.8381,-0.2954,1.796e-01
1.04,0.92,1.8209,-0.2768,1.799e-01
1.06,0.92,1.8019,-0.2579,1.803e-01
1.08,0.92,1.7814,-0.2393,1.806e-01
1.10,0.92,1.7597,-0.2213,1.811e-01
1.12,0.92,1.7369,-0.2041,1.815e-01
1.14,0.92,1.7133,-0.1878,1.821e-01
1.16,0.92,1.6889,-0.1725,1.826e-01
1.18,0.92,1.6641,-0.1582,1.832e-01
1.20,0.92,1.6389,-0.1450,1.839e-01
1.22,0.92,1.6135,-0.1327,1.846e-01
1.24,0.92,1.5878,-0.1214,1.853e-01
1.26,0.92,1.5621,-0.1110,1.861e-01
1.28,0.92,1.5364,-0.1014,1.869e-01
1.30,0.92,1.5108,-0.0925,1.878e-01
1.32,0.92,1.4662,-0.0464,1.887e-01
1.34,0.92,1.3947,-0.2046,1.897e-01
1.36,0.92,1.3931,0.0347,1.907e-01
1.38,0.92,1.3247,-1.4176,1.918e-01
1.40,0.92,2.0450,-0.7672,1.929e-01
1.42,0.92,2.0458,-0.7691,1.941e-01
1.44,0.92,2.0465,-0.7710,1.953e-01
1.46,0.92,2.0473,-0.7731,1.966e-01
1.48,0.92,2.0482,-0.7752,1.979e-01
1.50,0.92,2.0490,-0.7775,1.993e-01
1.52,0.92,2.0499,-0.7798,2.008e-01
1.54,0.92,2.0508,-0.7822,2.022e-01
1.56,0.92,2.0517,-0.7846,2.038e-01
1.58,0.92,2.0527,-0.7872,2.053e-01
1.60,0.92,2.0537,-0.7899,2.070e-01
1.62,0.92,2.0547,-0.7926,2.086e-01
1.64,0.92,2.0558,-0.7955,2.103e-01
1.66,0.92,2.0568,-0.7985,2.120e-01
1.68,0.92,2.0579,-0.8015,2.138e-01
1.70,0.92,2.0591,-0.8047,2.155e-01
1.72,0.92,2.0602,-0.8080,2.172e-01
1.74,0.92,2.0614,-0.8115,2.190e-01
1.76,0.92,2.0626,-0.8151,2.207e-01
1.78,0.92,2.0639,-0.8188,2.223e-01
1.80,0.92,2.0652,-0.8228,2.239e-01
1.82,0.92,2.0666,-0.8270,2.253e-01
1.84,0.92,2.0681,-0.8314,2.266e-01
1.86,0.92,2.0696,-0.8360,2.278e-01
1.88,0.92,2.0712,-0.8411,2.286e-01
1.90,0.92,2.0729,-0.8465,2.292e-01
1.92,0.92,2.0747,-0.8525,2.294e-01
1.94,0.92,2.0767,-0.8590,2.291e-01
1.96,0.92,2.0788,-0.8664,2.283e-01
1.98,0.92,2.0812,-0.8747,2.269e-01
2.00,0.92,2.0839,-0.8842,2.247e-01
2.02,0.92,2.0869,-0.8953,2.217e-01
2.04,0.92,2.0904,-0.9084,2.178e-01
2.06,0.92,2.0944,-0.9241,2.130e-01
2.08,0.92,2.0990,-0.9433,2.071e-01
2.10,0.92,2.1044,-0.9672,2.004e-01
2.12,0.92,2.1106,-0.9972,1.928e-01
2.14,0.92,2.1180,-1.0356,1.846e-01
2.16,0.92,2.1264,-1.0852,1.762e-01
2.18,0.92,2.1358,-1.1502,1.680e-01
2.20,0.92,2.1460,-1.2357,1.605e-01
2.22,0.92,2.1565,-1.3482,1.544e-01
2.24,0.92,2.1664,-1.4953,1.499e-01
2.26,0.92,2.1750,-1.6855,1.476e-01
2.28,0.92,2.1815,-1.9268,1.474e-01
2.30,0.92,2.1858,-2.2275,1.492e-01
2.32,0.92,2.1883,-2.5953,1.526e-01
2.34,0.92,2.1889,-2.7719,1.576e-01
2.36,0.92,2.1890,-2.7869,1.631e-01
2.38,0.92,2.1890,-2.8019,1.689e-01
2.40,0.92,2.1890,-2.8168,1.748e-01
2.42,0.92,2.1891,-2.8318,1.810e-01
0.94,0.94,1.9470,-0.0634,1.789e-01
0.96,0.94,1.8819,-0.3040,1.790e-01
0.98,0.94,1.8715,-0.3361,1.791e-01
1.00,0.94,1.8615,-0.3232,1.793e-01
1.02,0.94,1.8490,-0.3079,1.795e-01
1.04,0.94,1.8343,-0.2911,1.797e-01
1.06,0.94,1.8176,-0.2734,1.800e-01
1.08,0.94,1.7992,-0.2554,1.803e-01
1.10,0.94,1.7793,-0.2375,1.807e-01
1.12,0.94,1.7581,-0.2201,1.811e-01
1.14,0.94,1.7359,-0.2034,1.816e-01
1.16,0.94,1.7128,-0.1875,1.821e-01
1.18,0.94,1.6891,-0.1726,1.826e-01
1.20,0.94,1.6648,-0.1586,1.832e-01
1.22,0.94,1.6401,-0.1456,1.838e-01
1.24,0.94,1.6151,-0.1335,1.845e-01
1.26,0.94,1.5900,-0.1223,1.852e-01
1.28,0.94,1.5647,-0.1120,1.860e-01
1.30,0.94,1.5394,-0.1024,1.868e-01
1.32,0.94,1.4969,-0.0539,1.876e-01
1.34,0.94,1.4250,-0.1527,1.885e-01
1.36,0.94,1.5801,0.3099,1.895e-01
1.38,0.94,1.1823,-1.2028,1.905e-01
1.40,0.94,2.0221,-0.7825,1.915e-01
1.42,0.94,2.0449,-0.7668,1.926e-01
1.44,0.94,2.0456,-0.7687,1.938e-01
1.46,0.94,2.0464,-0.7706,1.950e-01
1.48,0.94,2.0471,-0.7726,1.962e-01
1.50,0.94,2.0480,-0.7747,1.975e-01
1.52,0.94,2.0488,-0.7769,1.988e-01
1.54,0.94,2.0497,-0.7791,2.001e-01
1.56,0.94,2.0506,-0.7815,2.016e-01
1.58,0.94,2.0515,-0.7839,2.030e-01
1.60,0.94,2.0524,-0.7864,2.045e-01
1.62,0.94,2.0534,-0.7890,2.060e-01
1.64,0.94,2.0544,-0.7918,2.075e-01
1.66,0.94,2.0554,-0.7946,2.091e-01
1.68,0.94,2.0565,-0.7975,2.106e-01
1.70,0.94,2.0576,-0.8006,2.122e-01
1.72,0.94,2.0587,-0.8038,2.137e-01
1.74,0.94,2.0599,-0.8071,2.152e-01
1.76,0.94,2.0611,-0.8106,2.166e-01
1.78,0.94,2.0623,-0.8142,2.179e-01
1.80,0.94,2.0637,-0.8181,2.191e-01
