M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8789,-0.7953,1.644e-01
0.92,0.90,1.9438,-0.4483,1.666e-01
0.94,0.90,1.9519,-0.4737,1.700e-01
0.96,0.90,1.9518,-0.4735,1.745e-01
0.98,0.90,1.9518,-0.4735,1.802e-01
1.00,0.90,1.9519,-0.4737,1.870e-01
1.02,0.90,1.9519,-0.4737,1.949e-01
1.04,0.90,1.9519,-0.4736,2.037e-01
1.06,0.90,1.9516,-0.4730,2.134e-01
1.08,0.90,1.9511,-0.4719,2.238e-01
1.10,0.90,1.9503,-0.4702,2.348e-01
1.12,0.90,1.9491,-0.4676,2.463e-01
1.14,0.90,1.9475,-0.4641,2.581e-01
1.16,0.90,1.9454,-0.4596,2.702e-01
1.18,0.90,1.9426,-0.4539,2.823e-01
1.20,0.90,1.9393,-0.4471,2.945e-01
1.22,0.90,1.9352,-0.4390,3.066e-01
1.24,0.90,1.9303,-0.4296,3.185e-01
1.26,0.90,1.9246,-0.4189,3.301e-01
1.28,0.90,1.9177,-0.4067,3.416e-01
1.30,0.90,1.9098,-0.3931,3.526e-01
1.32,0.90,1.8918,-0.3467,3.634e-01
1.34,0.90,1.8923,-0.4128,3.738e-01
1.36,0.90,1.7975,-0.5527,3.839e-01
1.38,0.90,1.9794,-0.7978,3.936e-01
1.40,0.90,2.0360,-0.7454,4.030e-01
1.42,0.90,2.0363,-0.7459,4.122e-01
1.44,0.90,2.0365,-0.7465,4.211e-01
1.46,0.90,2.0369,-0.7473,4.298e-01
1.48,0.90,2.0373,-0.7482,4.384e-01
1.50,0.90,2.0377,-0.7494,4.469e-01
1.52,0.90,2.0383,-0.7508,4.556e-01
1.54,0.90,2.0391,-0.7525,4.644e-01
1.56,0.90,2.0399,-0.7546,4.736e-01
1.58,0.90,2.0410,-0.7573,4.835e-01
1.60,0.90,2.0424,-0.7606,4.942e-01
1.62,0.90,2.0441,-0.7648,5.062e-01
1.64,0.90,2.0462,-0.7701,5.201e-01
1.66,0.90,2.0488,-0.7768,5.364e-01
1.68,0.90,2.0520,-0.7853,5.561e-01
1.70,0.90,2.0560,-0.7962,5.805e-01
1.72,0.90,2.0610,-0.8102,6.114e-01
1.74,0.90,2.0670,-0.8281,6.512e-01
1.76,0.90,2.0742,-0.8510,7.033e-01
1.78,0.90,2.0828,-0.8801,7.728e-01
1.80,0.90,2.0925,-0.9169,8.667e-01
1.82,0.90,2.1034,-0.9629,9.950e-01
1.84,0.90,2.1150,-1.0196,1.173e+00
1.86,0.90,2.1269,-1.0884,1.421e+00
1.88,0.90,2.1384,-1.1703,1.773e+00
1.90,0.90,2.1491,-1.2657,2.276e+00
1.92,0.90,2.1585,-1.3745,3.004e+00
1.94,0.90,2.1665,-1.4963,4.068e+00
1.96,0.90,2.1729,-1.6300,5.640e+00
1.98,0.90,2.1778,-1.7747,7.986e+00
2.00,0.90,2.1816,-1.9293,1.153e+01
2.02,0.90,2.1843,-2.0927,1.694e+01
2.04,0.90,2.1862,-2.2642,2.529e+01
2.06,0.90,2.1875,-2.4432,3.834e+01
2.08,0.90,2.1884,-2.6292,5.896e+01
2.10,0.90,2.1890,-2.8219,9.195e+01
2.12,0.90,2.1894,-3.0211,1.454e+02
2.14,0.90,2.1897,-3.2265,2.330e+02
2.16,0.90,2.1899,-3.4381,3.784e+02
2.18,0.90,2.1900,-3.6553,6.231e+02
2.20,0.90,2.1900,-3.8772,1.040e+03
2.22,0.90,2.1901,-4.1023,1.761e+03
2.24,0.90,2.1901,-4.3273,3.024e+03
2.26,0.90,2.1901,-4.5467,5.267e+03
2.28,0.90,2.1901,-4.7520,9.312e+03
2.30,0.90,2.1901,-4.9318,1.671e+04
2.32,0.90,2.1901,-5.0756,3.046e+04
2.34,0.90,2.1901,-5.1788,5.640e+04
2.36,0.90,2.1901,-5.2450,1.062e+05
2.38,0.90,2.1901,-5.2837,2.033e+05
2.40,0.90,2.1901,-5.3048,3.967e+05
2.42,0.90,2.1901,-5.3158,7.918e+05
0.92,0.92,1.9380,-0.3962,1.645e-01
0.94,0.92,1.9566,-0.4086,1.666e-01
0.96,0.92,1.9495,-0.4684,1.699e-01
0.98,0.92,1.9494,-0.4681,1.742e-01
1.00,0.92,1.9493,-0.4680,1.797e-01
1.02,0.92,1.9493,-0.4680,1.863e-01
1.04,0.92,1.9493,-0.4680,1.939e-01
1.06,0.92,1.9492,-0.4677,2.024e-01
1.08,0.92,1.9489,-0.4671,2.117e-01
1.10,0.92,1.9483,-0.4659,2.218e-01
1.12,0.92,1.9475,-0.4641,2.324e-01
1.14,0.92,1.9463,-0.4615,2.436e-01
1.16,0.92,1.9446,-0.4580,2.551e-01
1.18,0.92,1.9425,-0.4536,2.668e-01
1.20,0.92,1.9398,-0.4481,2.787e-01
1.22,0.92,1.9364,-0.4414,2.906e-01
1.24,0.92,1.9324,-0.4335,3.025e-01
1.26,0.92,1.9275,-0.4244,3.142e-01
1.28,0.92,1.9218,-0.4139,3.257e-01
1.30,0.92,1.9151,-0.4021,3.370e-01
1.32,0.92,1.9004,-0.3544,3.480e-01
1.34,0.92,1.8730,-0.4440,3.587e-01
1.36,0.92,1.8711,-0.2616,3.691e-01
1.38,0.92,1.8377,-0.9329,3.792e-01
1.40,0.92,2.0359,-0.7450,3.889e-01
1.42,0.92,2.0361,-0.7454,3.983e-01
1.44,0.92,2.0363,-0.7459,4.075e-01
1.46,0.92,2.0365,-0.7465,4.164e-01
1.48,0.92,2.0369,-0.7473,4.252e-01
1.50,0.92,2.0372,-0.7482,4.338e-01
1.52,0.92,2.0377,-0.7493,4.424e-01
1.54,0.92,2.0383,-0.7506,4.510e-01
1.56,0.92,2.0389,-0.7523,4.598e-01
1.58,0.92,2.0398,-0.7543,4.689e-01
1.60,0.92,2.0408,-0.7568,4.785e-01
1.62,0.92,2.0421,-0.7599,4.890e-01
1.64,0.92,2.0437,-0.7638,5.006e-01
1.66,0.92,2.0456,-0.7687,5.137e-01
1.68,0.92,2.0480,-0.7749,5.291e-01
1.70,0.92,2.0510,-0.7827,5.475e-01
1.72,0.92,2.0547,-0.7926,5.699e-01
1.74,0.92,2.0593,-0.8053,5.980e-01
1.76,0.92,2.0648,-0.8215,6.338e-01
1.78,0.92,2.0715,-0.8421,6.801e-01
1.80,0.92,2.0794,-0.8682,7.412e-01
1.82,0.92,2.0885,-0.9012,8.228e-01
1.84,0.92,2.0988,-0.9425,9.331e-01
1.86,0.92,2.1099,-0.9935,1.084e+00
1.88,0.92,2.1215,-1.0557,1.293e+00
1.90,0.92,2.1331,-1.1301,1.586e+00
1.92,0.92,2.1440,-1.2175,2.001e+00
1.94,0.92,2.1540,-1.3180,2.593e+00
1.96,0.92,2.1625,-1.4313,3.448e+00
1.98,0.92,2.1696,-1.5568,4.696e+00
2.00,0.92,2.1753,-1.6935,6.536e+00
2.02,0.92,2.1796,-1.8404,9.279e+00
2.04,0.92,2.1828,-1.9966,1.341e+01
2.06,0.92,2.1851,-2.1613,1.970e+01
2.08,0.92,2.1868,-2.3337,2.938e+01
2.10,0.92,2.1879,-2.5135,4.446e+01
2.12,0.92,2.1887,-2.7003,6.820e+01
2.14,0.92,2.1892,-2.8940,1.060e+02
2.16,0.92,2.1896,-3.0945,1.671e+02
2.18,0.92,2.1898,-3.3016,2.667e+02
2.20,0.92,2.1899,-3.5151,4.313e+02
2.22,0.92,2.1900,-3.7345,7.070e+02
2.24,0.92,2.1901,-3.9585,1.174e+03
2.26,0.92,2.1901,-4.1848,1.978e+03
2.28,0.92,2.1901,-4.4092,3.377e+03
2.30,0.92,2.1901,-4.6246,5.849e+03
2.32,0.92,2.1901,-4.8211,1.028e+04
2.34,0.92,2.1901,-4.9874,1.834e+04
2.36,0.92,2.1901,-5.1152,3.322e+04
2.38,0.92,2.1901,-5.2034,6.116e+04
2.40,0.92,2.1901,-5.2587,1.146e+05
2.42,0.92,2.1901,-5.2908,2.196e+05
0.94,0.94,1.9859,-0.2390,1.645e-01
0.96,0.94,1.9492,-0.4308,1.666e-01
0.98,0.94,1.9470,-0.4631,1.697e-01
1.00,0.94,1.9469,-0.4627,1.740e-01
1.02,0.94,1.9468,-0.4625,1.793e-01
1.04,0.94,1.9467,-0.4624,1.856e-01
1.06,0.94,1.9466,-0.4622,1.929e-01
1.08,0.94,1.9464,-0.4618,2.011e-01
1.10,0.94,1.9461,-0.4611,2.101e-01
1.12,0.94,1.9455,-0.4598,2.198e-01
1.14,0.94,1.9446,-0.4580,2.302e-01
1.16,0.94,1.9434,-0.4554,2.410e-01
1.18,0.94,1.9417,-0.4520,2.522e-01
1.20,0.94,1.9395,-0.4476,2.636e-01
1.22,0.94,1.9368,-0.4421,2.752e-01
1.24,0.94,1.9335,-0.4356,2.869e-01
1.26,0.94,1.9294,-0.4279,2.985e-01
1.28,0.94,1.9246,-0.4190,3.101e-01
1.30,0.94,1.9189,-0.4088,3.215e-01
1.32,0.94,1.9062,-0.3625,3.326e-01
1.34,0.94,1.8803,-0.4110,3.436e-01
1.36,0.94,1.9354,-0.1162,3.542e-01
1.38,0.94,1.7662,-0.9288,3.645e-01
1.40,0.94,2.0324,-0.7473,3.746e-01
1.42,0.94,2.0359,-0.7450,3.843e-01
1.44,0.94,2.0361,-0.7454,3.937e-01
1.46,0.94,2.0363,-0.7459,4.029e-01
1.48,0.94,2.0365,-0.7465,4.119e-01
1.50,0.94,2.0369,-0.7473,4.206e-01
1.52,0.94,2.0372,-0.7482,4.293e-01
1.54,0.94,2.0377,-0.7492,4.378e-01
1.56,0.94,2.0382,-0.7505,4.464e-01
1.58,0.94,2.0389,-0.7521,4.552e-01
1.60,0.94,2.0397,-0.7540,4.642e-01
1.62,0.94,2.0406,-0.7564,4.737e-01
1.64,0.94,2.0418,-0.7593,4.839e-01
1.66,0.94,2.0433,-0.7629,4.951e-01
1.68,0.94,2.0451,-0.7675,5.078e-01
1.70,0.94,2.0474,-0.7732,5.223e-01
1.72,0.94,2.0502,-0.7804,5.395e-01
1.74,0.94,2.0536,-0.7896,5.603e-01
1.76,0.94,2.0578,-0.8011,5.861e-01
1.78,0.94,2.0629,-0.8158,6.185e-01
1.80,0.94,2.0691,-0.8345,6.601e-01
1.82,0.94,2.0764,-0.8580,7.143e-01
1.84,0.94,2.0849,-0.8878,7.859e-01
1.86,0.94,2.0946,-0.9250,8.817e-01
1.88,0.94,2.1052,-0.9711,1.012e+00
1.90,0.94,2.1165,-1.0274,1.190e+00
1.92,0.94,2.1279,-1.0952,1.436e+00
1.94,0.94,2.1390,-1.1752,1.782e+00
1.96,0.94,2.1493,-1.2680,2.270e+00
1.98,0.94,2.1585,-1.3735,2.967e+00
2.00,0.94,2.1662,-1.4912,3.972e+00
2.02,0.94,2.1725,-1.6205,5.437e+00
2.04,0.94,2.1774,-1.7603,7.594e+00
2.06,0.94,2.1812,-1.9098,1.080e+01
2.08,0.94,2.1839,-2.0683,1.562e+01
2.10,0.94,2.1859,-2.2351,2.294e+01
2.12,0.94,2.1873,-2.4096,3.419e+01
2.14,0.94,2.1883,-2.5918,5.164e+01
2.16,0.94,2.1889,-2.7812,7.904e+01
2.18,0.94,2.1894,-2.9780,1.226e+02
2.20,0.94,2.1897,-3.1819,1.925e+02
2.22,0.94,2.1898,-3.3928,3.061e+02
2.24,0.94,2.1900,-3.6101,4.933e+02
2.26,0.94,2.1900,-3.8326,8.051e+02
2.28,0.94,2.1901,-4.0583,1.332e+03
2.30,0.94,2.1901,-4.2836,2.232e+03
2.32,0.94,2.1901,-4.5029,3.793e+03
2.34,0.94,2.1901,-4.7083,6.537e+03
2.36,0.94,2.1901,-4.8899,1.143e+04
2.38,0.94,2.1901,-5.0440,2.030e+04
2.40,0.94,2.1901,-5.1854,3.667e+04
2.42,0.94,2.1901,-5.2599,6.763e+04
0.96,0.96,1.9926,-0.3086,1.645e-01
0.98,0.96,1.9427,-0.4371,1.666e-01
1.00,0.96,1.9445,-0.4578,1.696e-01
1.02,0.96,1.9443,-0.4573,1.737e-01
1.04,0.96,1.9441,-0.4570,1.788e-01
1.06,0.96,1.9440,-0.4568,1.849e-01
1.08,0.96,1.9439,-0.4564,1.920e-01
1.10,0.96,1.9436,-0.4559,1.999e-01
1.12,0.96,1.9432,-0.4551,2.086e-01
1.14,0.96,1.9426,-0.4538,2.180e-01
1.16,0.96,1.9417,-0.4519,2.280e-01
1.18,0.96,1.9404,-0.4493,2.385e-01
1.20,0.96,1.9387,-0.4459,2.494e-01
1.22,0.96,1.9365,-0.4415,2.606e-01
1.24,0.96,1.9338,-0.4362,2.719e-01
1.26,0.96,1.9304,-0.4298,2.833e-01
1.28,0.96,1.9264,-0.4223,2.948e-01
1.30,0.96,1.9216,-0.4136,3.061e-01
1.32,0.96,1.9099,-0.3699,3.174e-01
1.34,0.96,1.8952,-0.3723,3.284e-01
1.36,0.96,1.9688,-0.1173,3.392e-01
1.38,0.96,1.7889,-0.7662,3.498e-01
1.40,0.96,1.9539,-0.8226,3.601e-01
1.42,0.96,2.0358,-0.7447,3.701e-01
1.44,0.96,2.0359,-0.7451,3.798e-01
1.46,0.96,2.0361,-0.7455,3.892e-01
1.48,0.96,2.0363,-0.7460,3.984e-01
1.50,0.96,2.0366,-0.7466,4.074e-01
1.52,0.96,2.0369,-0.7473,4.162e-01
