M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.635e-01
0.92,0.90,2.0342,-0.7412,1.657e-01
0.94,0.90,2.0342,-0.7412,1.691e-01
0.96,0.90,2.0342,-0.7412,1.736e-01
0.98,0.90,2.0342,-0.7412,1.793e-01
1.00,0.90,2.0342,-0.7412,1.860e-01
1.02,0.90,2.0342,-0.7412,1.938e-01
1.04,0.90,2.0342,-0.7412,2.026e-01
1.06,0.90,2.0342,-0.7412,2.122e-01
1.08,0.90,2.0342,-0.7412,2.226e-01
1.10,0.90,2.0342,-0.7412,2.335e-01
1.12,0.90,2.0342,-0.7412,2.449e-01
1.14,0.90,2.0342,-0.7412,2.566e-01
1.16,0.90,2.0342,-0.7412,2.686e-01
1.18,0.90,2.0342,-0.7412,2.806e-01
1.20,0.90,2.0342,-0.7412,2.926e-01
1.22,0.90,2.0342,-0.7412,3.045e-01
1.24,0.90,2.0342,-0.7412,3.162e-01
1.26,0.90,1.9631,-0.4993,3.292e-01
1.28,0.90,1.9030,-0.3822,3.420e-01
1.30,0.90,1.8525,-0.3121,3.544e-01
1.32,0.90,1.7958,-0.2311,3.664e-01
1.34,0.90,1.7749,-0.2905,3.781e-01
1.36,0.90,1.6129,-0.4852,3.893e-01
1.38,0.90,1.9160,-0.8635,4.002e-01
1.40,0.90,2.0384,-0.7509,4.107e-01
1.42,0.90,2.0388,-0.7520,4.207e-01
1.44,0.90,2.0393,-0.7530,4.304e-01
1.46,0.90,2.0397,-0.7541,4.396e-01
1.48,0.90,2.0401,-0.7551,4.485e-01
1.50,0.90,2.0405,-0.7561,4.570e-01
1.52,0.90,2.0409,-0.7571,4.652e-01
1.54,0.90,2.0413,-0.7581,4.731e-01
1.56,0.90,2.0417,-0.7590,4.806e-01
1.58,0.90,2.0421,-0.7600,4.879e-01
1.60,0.90,2.0425,-0.7610,4.948e-01
1.62,0.90,2.0429,-0.7620,5.015e-01
1.64,0.90,2.0433,-0.7629,5.079e-01
1.66,0.90,2.0437,-0.7639,5.141e-01
1.68,0.90,2.0441,-0.7648,5.201e-01
1.70,0.90,2.0445,-0.7658,5.259e-01
1.72,0.90,2.0448,-0.7668,5.314e-01
1.74,0.90,2.0452,-0.7677,5.368e-01
1.76,0.90,2.0456,-0.7687,5.420e-01
1.78,0.90,2.0460,-0.7696,5.470e-01
1.80,0.90,2.0464,-0.7706,5.519e-01
1.82,0.90,2.0467,-0.7716,5.566e-01
1.84,0.90,2.0471,-0.7725,5.611e-01
1.86,0.90,2.0475,-0.7735,5.655e-01
1.88,0.90,2.0479,-0.7744,5.698e-01
1.90,0.90,2.0482,-0.7754,5.738e-01
1.92,0.90,2.0486,-0.7763,5.778e-01
1.94,0.90,2.0490,-0.7773,5.815e-01
1.96,0.90,2.0493,-0.7783,5.851e-01
1.98,0.90,2.0497,-0.7792,5.885e-01
2.00,0.90,2.0501,-0.7802,5.916e-01
2.02,0.90,2.0505,-0.7812,5.944e-01
2.04,0.90,2.0508,-0.7822,5.969e-01
2.06,0.90,2.0512,-0.7832,5.990e-01
2.08,0.90,2.0516,-0.7843,6.006e-01
2.10,0.90,2.0520,-0.7854,6.016e-01
2.12,0.90,2.0524,-0.7865,6.018e-01
2.14,0.90,2.0529,-0.7877,6.010e-01
2.16,0.90,2.0534,-0.7890,5.991e-01
2.18,0.90,2.0539,-0.7905,5.958e-01
2.20,0.90,2.0545,-0.7921,5.909e-01
2.22,0.90,2.0552,-0.7939,5.842e-01
2.24,0.90,2.0559,-0.7959,5.755e-01
2.26,0.90,2.0567,-0.7983,5.647e-01
2.28,0.90,2.0577,-0.8009,5.521e-01
2.30,0.90,2.0587,-0.8038,5.379e-01
2.32,0.90,2.0599,-0.8070,5.226e-01
