M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.2695,-0.9543,5.792e-01
0.92,0.90,0.0488,0.0419,5.392e-01
0.94,0.90,0.1477,0.0272,5.055e-01
0.96,0.90,0.2025,0.0265,4.775e-01
0.98,0.90,0.2585,0.0258,4.545e-01
1.00,0.90,0.3153,0.0249,4.361e-01
1.02,0.90,0.3725,0.0239,4.217e-01
1.04,0.90,0.4295,0.0228,4.108e-01
1.06,0.90,0.4861,0.0215,4.030e-01
1.08,0.90,0.5417,0.0201,3.979e-01
1.10,0.90,0.5960,0.0185,3.951e-01
1.12,0.90,0.6487,0.0168,3.943e-01
1.14,0.90,0.6996,0.0148,3.951e-01
1.16,0.90,0.7485,0.0128,3.973e-01
1.18,0.90,0.7952,0.0105,4.006e-01
1.20,0.90,0.8398,0.0082,4.048e-01
1.22,0.90,0.8821,0.0057,4.097e-01
1.24,0.90,0.9221,0.0031,4.151e-01
1.26,0.90,0.9600,0.0003,4.209e-01
1.28,0.90,0.9957,-0.0025,4.269e-01
1.30,0.90,1.0294,-0.0054,4.330e-01
1.32,0.90,1.0325,0.0197,4.392e-01
1.34,0.90,1.0993,-0.0800,4.453e-01
1.36,0.90,0.9196,-0.4000,4.514e-01
1.38,0.90,1.5901,-1.2090,4.573e-01
1.40,0.90,2.0528,-0.7875,4.631e-01
1.42,0.90,2.0518,-0.7848,4.687e-01
1.44,0.90,2.0509,-0.7824,4.741e-01
1.46,0.90,2.0501,-0.7803,4.793e-01
1.48,0.90,2.0494,-0.7783,4.842e-01
1.50,0.90,2.0487,-0.7766,4.890e-01
1.52,0.90,2.0481,-0.7750,4.935e-01
1.54,0.90,2.0475,-0.7735,4.978e-01
1.56,0.90,2.0470,-0.7722,5.019e-01
1.58,0.90,2.0465,-0.7710,5.058e-01
1.60,0.90,2.0461,-0.7698,5.095e-01
1.62,0.90,2.0457,-0.7688,5.130e-01
1.64,0.90,2.0453,-0.7679,5.163e-01
1.66,0.90,2.0449,-0.7670,5.194e-01
1.68,0.90,2.0446,-0.7662,5.224e-01
1.70,0.90,2.0443,-0.7654,5.252e-01
1.72,0.90,2.0440,-0.7647,5.278e-01
1.74,0.90,2.0438,-0.7640,5.303e-01
1.76,0.90,2.0435,-0.7634,5.327e-01
1.78,0.90,2.0433,-0.7629,5.349e-01
1.80,0.90,2.0431,-0.7623,5.371e-01
1.82,0.90,2.0429,-0.7618,5.390e-01
1.84,0.90,2.0427,-0.7614,5.409e-01
1.86,0.90,2.0425,-0.7609,5.426e-01
1.88,0.90,2.0423,-0.7605,5.443e-01
1.90,0.90,2.0422,-0.7601,5.458e-01
1.92,0.90,2.0420,-0.7598,5.472e-01
1.94,0.90,2.0419,-0.7595,5.484e-01
1.96,0.90,2.0418,-0.7592,5.495e-01
1.98,0.90,2.0417,-0.7589,5.504e-01
2.00,0.90,2.0416,-0.7586,5.511e-01
2.02,0.90,2.0415,-0.7584,5.515e-01
2.04,0.90,2.0414,-0.7582,5.516e-01
2.06,0.90,2.0413,-0.7580,5.514e-01
2.08,0.90,2.0412,-0.7578,5.507e-01
2.10,0.90,2.0412,-0.7577,5.494e-01
2.12,0.90,2.0412,-0.7576,5.474e-01
2.14,0.90,2.0411,-0.7575,5.445e-01
2.16,0.90,2.0411,-0.7575,5.404e-01
2.18,0.90,2.0411,-0.7576,5.351e-01
2.20,0.90,2.0412,-0.7577,5.281e-01
2.22,0.90,2.0413,-0.7579,5.194e-01
2.24,0.90,2.0414,-0.7582,5.088e-01
2.26,0.90,2.0415,-0.7585,4.962e-01
2.28,0.90,2.0417,-0.7590,4.818e-01
